dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,gender
62,31,94,78,93,63,140,47,94,125,63,141,78,94,188,78,94,1
78,47,78,40,40,271,380,380,125,47,94,63,125,32,0,15,32,1
62,31,78,79,78,32,78,0,125,62,78,63,312,63,94,94,62,1
63,0,62,94,40,271,380,125,94,62,76,63,125,32,0,15,79,1
78,94,78,78,78,140,79,79,93,47,62,63,63,93,63,125,63,1
63,47,63,62,63,94,62,94,125,78,78,63,78,110,62,62,78,1
63,78,62,47,78,140,79,78,125,63,47,63,63,93,63,125,78,1
126,31,78,109,109,31,172,172,156,94,109,453,140,47,63,46,31,1
125,46,109,110,125,15,78,110,156,31,94,78,829,31,93,78,62,1
141,0,93,78,109,31,172,172,157,94,94,453,140,47,63,46,109,1
62,78,78,63,63,78,62,62,94,78,93,110,78,94,63,0,31,1
94,0,47,62,78,61,52,78,188,63,47,63,62,110,62,94,31,1
94,47,94,47,63,78,62,79,78,94,109,110,78,94,63,0,78,1
125,16,78,93,93,188,78,78,94,110,109,62,78,110,78,125,125,1
156,16,109,94,78,0,78,0,109,156,78,63,62,94,62,94,125,1
109,31,78,109,93,188,78,0,94,156,78,62,78,110,78,125,125,1
125,16,125,47,47,109,203,203,62,31,47,94,157,31,62,31,156,1
47,78,31,31,344,94,0,1469,31,0,125,78,0,47,63,156,31,1
16,79,31,62,47,109,203,141,125,125,78,94,157,31,62,31,94,1
141,62,94,78,78,203,78,78,88,78,78,93,94,140,79,47,78,1
109,63,109,78,62,157,78,62,78,78,109,93,94,172,78,94,78,1
110,0,407,78,78,203,78,1109,250,94,78,93,94,140,79,47,93,1
156,47,140,78,78,79,110,110,110,78,94,79,63,47,15,31,48,1
15,63,93,31,15,94,31,141,94,16,46,63,16,78,62,109,16,1
63,15,110,16,78,79,110,438,31,625,93,79,63,47,15,31,16,1
156,16,109,187,187,109,157,157,94,110,218,63,94,203,63,157,110,1
125,110,94,109,78,141,47,172,172,125,297,62,16,141,62,172,531,1
250,110,93,125,187,109,157,94,110,141,110,63,94,203,63,157,93,1
125,93,94,94,94,125,125,125,125,109,78,94,125,94,78,110,94,1
141,78,94,94,94,47,109,109,171,110,109,78,156,47,110,94,94,1
109,16,93,109,94,125,125,125,141,125,110,94,125,94,78,110,94,1
78,63,63,78,78,125,94,94,98,78,94,78,78,110,46,46,63,1
109,32,62,78,94,31,78,94,78,110,94,47,94,93,78,63,63,1
78,78,63,94,78,125,94,110,78,93,94,78,78,110,46,46,63,1
93,47,171,94,94,47,156,156,140,94,141,94,250,31,125,16,78,1
94,16,110,172,125,0,63,110,187,62,94,93,125,93,94,93,62,1
250,0,109,78,94,47,156,125,140,141,94,94,250,31,125,16,125,1
125,15,78,78,78,16,141,141,125,78,140,63,62,140,63,78,0,1
78,15,125,78,78,78,63,0,125,78,172,63,78,93,32,109,94,1
78,31,78,94,78,16,141,187,94,140,78,63,62,140,63,78,78,1
93,47,109,297,297,16,203,203,137,125,78,125,94,78,109,94,94,1
172,16,94,78,93,32,78,156,137,109,94,79,109,63,141,78,15,1
62,110,94,125,297,16,203,0,140,47,78,125,94,78,109,94,78,1
94,78,109,110,110,109,203,203,109,125,110,125,109,63,78,110,78,1
