dtfk1,ft1,dtsk1,ft2,dtsk2,dtfk3,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtfk8,dtsk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
63,15,16,328,32,110,79,110,438,125,31,32,93,31,16,79,63,47,15,31,16,109,78,1
156,16,125,109,109,109,109,157,157,156,94,94,218,111,203,63,94,203,63,157,110,15,94,1
125,110,109,16,94,94,141,47,172,0,172,125,297,109,157,62,16,141,62,172,531,63,93,1
250,110,531,16,125,93,109,157,94,156,110,140,110,47,125,63,94,203,63,157,93,15,94,1
125,93,125,94,94,94,125,125,125,78,125,63,78,93,125,94,125,94,78,110,94,62,79,1
141,78,125,125,94,94,47,109,109,32,171,140,109,94,16,78,156,47,110,94,94,94,94,1
109,16,94,31,78,93,125,125,125,47,141,110,110,187,110,94,125,94,78,110,94,62,79,1
78,63,109,78,63,63,125,94,94,219,98,109,94,78,110,78,78,110,46,46,63,62,94,1
109,32,62,109,47,62,31,78,94,187,78,15,94,78,109,47,94,93,78,63,63,109,63,1
78,78,63,110,62,63,125,94,110,234,78,0,94,125,110,78,78,110,46,46,63,62,94,1
93,47,110,93,171,171,47,156,156,32,140,31,141,125,203,94,250,31,125,16,78,0,109,1
94,16,109,140,63,110,0,63,110,78,187,109,94,78,16,93,125,93,94,93,62,0,125,1
250,0,62,63,125,109,47,156,125,79,140,15,94,110,62,94,250,31,125,16,125,0,109,1
125,15,78,94,78,78,16,141,141,62,125,63,140,63,157,63,62,140,63,78,0,62,156,1
78,15,94,109,16,125,78,63,0,15,125,78,172,63,79,63,78,93,32,109,94,31,78,1
78,31,94,93,110,78,16,141,187,0,94,63,78,31,78,63,62,140,63,78,78,62,156,1
93,47,94,141,109,109,16,203,203,15,137,16,78,94,125,125,94,78,109,94,94,31,110,1
172,16,78,0,125,94,32,78,156,16,137,0,94,125,46,79,109,63,141,78,15,15,78,1
62,110,15,219,62,94,16,203,0,47,140,16,78,375,109,125,94,78,109,94,78,31,110,1
94,78,125,94,109,109,109,203,203,78,109,47,110,78,468,125,109,63,78,110,78,47,78,1
500,15,156,16,93,109,47,62,0,15,109,109,110,78,15,94,78,110,109,94,79,31,94,1
93,375,79,109,63,110,109,203,0,47,125,31,78,94,46,125,109,63,78,110,94,47,78,1
156,47,78,63,141,141,31,78,78,32,31,47,78,32,16,62,47,125,47,47,31,78,16,1
78,156,32,125,47,47,156,16,531,625,31,79,31,63,32,62,94,0,62,109,32,62,0,1
78,156,32,47,62,31,31,78,671,193,31,32,16,47,47,62,47,125,47,47,0,78,16,1
110,15,109,63,141,141,31,125,125,31,125,125,203,93,125,93,47,141,31,16,46,93,47,1
47,31,109,547,125,94,110,94,0,0,125,16,16,62,47,79,0,93,47,78,0,63,93,1
32,62,0,63,47,203,31,125,657,720,15,78,94,1000,0,93,47,141,31,16,93,93,47,1
94,62,62,125,63,63,172,78,78,31,78,79,63,47,78,106,47,125,63,94,63,79,62,1
78,47,62,125,46,63,62,63,78,250,47,93,78,47,62,31,78,109,63,176,63,141,62,1
63,62,63,126,46,62,172,78,62,188,78,140,74,101,94,106,47,125,63,94,62,79,62,1
78,78,110,78,109,109,79,109,109,31,78,234,110,62,94,109,140,16,62,203,32,16,62,2
