dtfk1,ft1,dtsk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtfk7,ft7,dtfk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
156,0,94,93,32,171,171,16,63,62,156,78,375,156,47,78,16,47,31,125,1
62,16,94,63,93,47,110,31,94,109,93,78,78,78,47,125,109,62,15,94,1
47,31,62,63,32,171,94,31,62,125,125,94,375,156,47,78,16,94,31,125,1
125,15,110,78,94,78,78,203,141,0,78,203,63,94,78,94,16,78,32,62,1
187,16,78,94,31,63,0,0,94,63,93,31,110,110,93,78,93,78,31,78,1
78,31,78,78,94,78,94,171,109,16,79,94,63,94,78,94,16,78,32,62,1
125,172,94,109,250,78,78,110,125,140,62,78,110,47,156,79,265,63,94,78,1
110,359,94,78,219,93,94,78,62,328,109,141,63,78,109,79,94,93,125,93,1
94,313,93,63,250,78,93,250,94,187,109,62,110,47,156,79,265,93,94,78,1
63,94,93,47,93,156,156,31,78,125,141,141,73,78,31,125,15,78,31,63,1
62,16,47,63,16,47,0,594,62,125,78,16,63,140,0,63,110,31,31,78,1
78,31,31,78,93,156,0,16,94,31,78,62,73,78,31,125,15,78,31,63,1
109,16,110,109,391,438,438,31,78,31,110,109,78,109,125,109,16,15,0,94,1
94,0,109,78,141,78,0,32,31,78,63,110,78,125,31,62,94,32,31,94,1
78,109,32,94,391,438,0,31,110,31,0,31,78,109,125,109,16,94,0,94,1
125,31,110,125,485,594,594,47,78,141,125,125,78,47,62,109,16,0,32,93,1
93,16,94,78,47,78,125,31,32,110,78,109,62,125,62,125,78,94,47,93,1
156,16,94,62,485,594,234,16,125,78,109,32,78,47,62,109,16,93,32,93,1
62,63,93,47,125,63,63,171,62,32,78,78,93,78,78,47,172,63,79,78,1
172,15,93,78,46,47,47,31,78,15,78,125,63,78,94,63,62,63,63,78,1
62,0,63,78,125,63,46,47,62,16,62,78,93,78,78,47,172,78,79,78,1
93,547,156,172,128,225,225,40,63,47,15,203,109,78,63,93,15,32,47,94,1
78,16,109,109,47,62,609,734,79,93,109,78,78,79,78,172,94,78,62,47,1
78,78,78,78,128,225,0,47,94,31,47,79,109,78,63,93,15,47,47,94,1
63,15,63,63,63,140,140,188,63,578,78,78,141,78,94,188,78,47,63,62,1
62,78,125,94,62,78,125,207,94,78,94,93,63,78,125,62,110,47,31,94,1
62,31,47,94,63,140,47,687,125,453,63,94,141,78,94,188,78,94,63,62,1
78,47,94,78,271,380,380,47,47,16,94,172,63,125,32,0,15,32,16,78,1
62,31,78,78,32,78,0,47,62,31,78,125,63,312,63,94,94,62,31,79,1
63,0,62,62,271,380,125,140,62,0,76,62,63,125,32,0,15,79,16,78,1
78,94,94,78,140,79,79,250,47,141,62,47,63,63,93,63,125,63,110,78,1
63,47,78,63,94,62,94,125,78,78,78,156,63,78,110,62,62,78,47,78,1
63,78,78,62,140,79,78,172,63,125,47,78,63,63,93,63,125,78,110,78,1
126,31,125,78,31,172,172,31,94,16,109,187,453,140,47,63,46,31,32,78,1
125,46,125,109,15,78,110,125,31,63,94,0,78,829,31,93,78,62,31,109,1
141,0,62,93,31,172,172,93,94,78,94,31,453,140,47,63,46,109,32,78,1
62,78,110,78,78,62,62,94,78,31,93,93,110,78,94,63,0,31,62,63,1
94,0,78,47,61,52,78,94,63,62,47,0,63,62,110,62,94,31,47,78,1
94,47,31,94,78,62,79,78,94,47,109,63,110,78,94,63,0,78,62,63,1
125,16,94,78,188,78,78,31,110,31,109,250,62,78,110,78,125,125,32,125,1
156,16,62,109,0,78,0,31,156,31,78,16,63,62,94,62,94,125,235,125,1
109,31,125,78,188,78,0,0,156,16,78,156,62,78,110,78,125,125,32,125,1
125,16,109,125,109,203,203,47,31,63,47,125,94,157,31,62,31,156,16,62,1
47,78,16,31,94,0,1469,140,0,62,125,141,78,0,47,63,156,31,31,94,1
16,79,31,31,109,203,141,15,125,719,78,0,94,157,31,62,31,94,16,62,1
141,62,110,94,203,78,78,249,78,344,78,94,93,94,140,79,47,78,109,94,1
109,63,93,109,157,78,62,204,78,172,109,156,93,94,172,78,94,78,125,93,1
110,0,78,407,203,78,1109,63,94,203,78,78,93,94,140,79,47,93,109,94,1
156,47,47,140,79,110,110,15,78,16,94,16,79,63,47,15,31,48,109,78,1
15,63,31,93,94,31,141,0,16,78,46,16,63,16,78,62,109,16,109,16,1
63,15,16,110,79,110,438,125,625,32,93,16,79,63,47,15,31,16,109,78,1
156,16,125,109,109,157,157,156,110,94,218,203,63,94,203,63,157,110,15,94,1
125,110,109,94,141,47,172,0,125,125,297,157,62,16,141,62,172,531,63,93,1
250,110,531,93,109,157,94,156,141,140,110,125,63,94,203,63,157,93,15,94,1
125,93,125,94,125,125,125,78,109,63,78,125,94,125,94,78,110,94,62,79,1
141,78,125,94,47,109,109,32,110,140,109,16,78,156,47,110,94,94,94,94,1
109,16,94,93,125,125,125,47,125,110,110,110,94,125,94,78,110,94,62,79,1
78,63,109,63,125,94,94,219,78,109,94,110,78,78,110,46,46,63,62,94,1
109,32,62,62,31,78,94,187,110,15,94,109,47,94,93,78,63,63,109,63,1
78,78,63,63,125,94,110,234,93,0,94,110,78,78,110,46,46,63,62,94,1
93,47,110,171,47,156,156,32,94,31,141,203,94,250,31,125,16,78,0,109,1
94,16,109,110,0,63,110,78,62,109,94,16,93,125,93,94,93,62,0,125,1
250,0,62,109,47,156,125,79,141,15,94,62,94,250,31,125,16,125,0,109,1
125,15,78,78,16,141,141,62,78,63,140,157,63,62,140,63,78,0,62,156,1
78,15,94,125,78,63,0,15,78,78,172,79,63,78,93,32,109,94,31,78,1
78,31,94,78,16,141,187,0,140,63,78,78,63,62,140,63,78,78,62,156,1
93,47,94,109,16,203,203,15,125,16,78,125,125,94,78,109,94,94,31,110,1
172,16,78,94,32,78,156,16,109,0,94,46,79,109,63,141,78,15,15,78,1
62,110,15,94,16,203,0,47,47,16,78,109,125,94,78,109,94,78,31,110,1
94,78,125,109,109,203,203,78,125,47,110,468,125,109,63,78,110,78,47,78,1
500,15,156,109,47,62,0,15,46,109,110,15,94,78,110,109,94,79,31,94,1
93,375,79,110,109,203,0,47,141,31,78,46,125,109,63,78,110,94,47,78,1
156,47,78,141,31,78,78,32,15,47,78,16,62,47,125,47,47,31,78,16,1
78,156,32,47,156,16,531,625,47,79,31,32,62,94,0,62,109,32,62,0,1
78,156,32,31,31,78,671,193,78,32,16,47,62,47,125,47,47,0,78,16,1
110,15,109,141,31,125,125,31,63,125,203,125,93,47,141,31,16,46,93,47,1
47,31,109,94,110,94,0,0,0,16,16,47,79,0,93,47,78,0,63,93,1
