dtfk1,ft1,dtsk1,dtsk4,dtfk5,ft5,dtfk6,dtfk7,ft7,dtsk7,dtfk10,ft10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
78,16,109,62,609,734,109,79,93,32,78,78,79,78,172,110,94,78,78,0,15,62,47,1
78,78,78,225,0,47,93,94,31,172,47,62,78,63,93,47,15,62,47,78,94,47,94,1
63,15,63,140,140,188,31,63,578,94,47,94,78,94,188,47,78,62,47,109,93,63,62,1
62,78,125,78,125,207,141,94,78,47,47,78,78,125,62,93,110,78,47,438,94,31,94,1
62,31,47,140,47,687,78,125,453,78,47,94,78,94,188,47,78,62,94,47,93,63,62,1
78,47,94,380,380,47,79,47,16,62,47,62,125,32,0,47,15,78,32,94,62,16,78,1
62,31,78,78,0,47,63,62,31,32,63,62,312,63,94,62,94,141,62,32,78,31,79,1
63,0,62,380,125,140,63,62,0,32,47,62,125,32,0,47,15,78,79,31,62,16,78,1
78,94,94,79,79,250,62,47,141,62,125,47,63,93,63,63,125,62,63,125,62,110,78,1
63,47,78,62,94,125,63,78,78,63,62,78,78,110,62,110,62,78,78,63,63,47,78,1
63,78,78,79,78,172,62,63,125,83,125,47,63,93,63,63,125,62,78,78,62,110,78,1
126,31,125,172,172,31,110,94,16,93,0,93,140,47,63,32,46,79,31,94,78,32,78,1
125,46,125,78,110,125,453,31,63,31,93,110,829,31,93,109,78,110,62,47,157,31,109,1
141,0,62,172,172,93,31,94,78,94,0,93,140,47,63,32,46,79,109,0,78,32,78,1
62,78,110,62,62,94,62,78,31,94,32,62,78,94,63,141,0,78,31,79,78,62,63,1
94,0,78,52,78,94,110,63,62,31,78,78,62,110,62,141,94,15,31,31,78,47,78,1
94,47,31,62,79,78,16,94,47,78,32,62,78,94,63,141,0,78,78,47,78,62,63,1
125,16,94,78,78,31,94,110,31,78,78,63,78,110,78,93,125,110,125,125,78,32,125,1
156,16,62,78,0,31,62,156,31,125,78,47,62,94,62,125,94,235,125,0,62,235,125,1
109,31,125,78,0,0,0,156,16,94,78,63,78,110,78,93,125,110,125,31,78,32,125,1
125,16,109,203,203,47,31,31,63,31,16,62,157,31,62,31,31,47,156,110,78,16,62,1
47,78,16,0,1469,140,94,0,62,156,78,78,0,47,63,78,156,16,31,125,63,31,94,1
16,79,31,203,141,15,125,125,719,109,16,62,157,31,62,31,31,47,94,0,78,16,62,1
141,62,110,78,78,249,78,78,344,407,234,79,94,140,79,78,47,109,78,391,78,109,94,1
109,63,93,78,62,204,93,78,172,78,281,63,94,172,78,213,94,110,78,516,94,125,93,1
110,0,78,78,1109,63,32,94,203,78,234,79,94,140,79,78,47,109,93,235,78,109,94,1
156,47,47,110,110,15,31,78,16,110,63,78,63,47,15,63,31,63,48,5,46,109,78,1
15,63,31,31,141,0,79,16,78,48,31,78,16,78,62,31,109,31,16,94,16,109,16,1
63,15,16,110,438,125,93,625,32,79,63,78,63,47,15,63,31,63,16,110,46,109,78,1
156,16,125,157,157,156,109,110,94,93,94,109,94,203,63,47,157,171,110,93,141,15,94,1
125,110,109,47,172,0,63,125,125,110,93,110,16,141,62,47,172,78,531,140,125,63,93,1
250,110,531,157,94,156,94,141,140,78,94,109,94,203,63,47,157,171,93,110,141,15,94,1
125,93,125,125,125,78,94,109,63,93,94,62,125,94,78,109,110,93,94,47,109,62,79,1
141,78,125,109,109,32,94,110,140,94,47,93,156,47,110,187,94,453,94,31,109,94,94,1
109,16,94,125,125,47,47,125,110,78,94,62,125,94,78,109,110,93,94,78,109,62,79,1
78,63,109,94,94,219,78,78,109,63,93,63,78,110,46,94,46,63,63,94,110,62,94,1
109,32,62,78,94,187,78,110,15,63,78,109,94,93,78,125,63,109,63,16,78,109,63,1
78,78,63,94,110,234,15,93,0,63,93,63,78,110,46,94,46,63,63,31,110,62,94,1
93,47,110,156,156,32,172,94,31,109,15,141,250,31,125,125,16,114,78,109,125,0,109,1
94,16,109,63,110,78,94,62,109,78,62,110,125,93,94,110,93,110,62,140,78,0,125,1
250,0,62,156,125,79,16,141,15,94,15,141,250,31,125,125,16,114,125,0,125,0,109,1
125,15,78,141,141,62,78,78,63,78,47,47,62,140,63,109,78,16,0,110,110,62,156,1
78,15,94,63,0,15,63,78,78,0,78,109,78,93,32,31,109,187,94,15,94,31,78,1
78,31,94,141,187,0,94,140,63,62,47,47,62,140,63,109,78,16,78,141,110,62,156,1
93,47,94,203,203,15,78,125,16,94,157,62,94,78,109,141,94,78,94,109,109,31,110,1
172,16,78,78,156,16,125,109,0,94,110,93,109,63,141,375,78,109,15,78,78,15,78,1
62,110,15,203,0,47,32,47,16,172,157,62,94,78,109,141,94,78,78,15,109,31,110,1
94,78,125,203,203,78,78,125,47,110,156,78,109,63,78,109,110,93,78,94,94,47,78,1
500,15,156,62,0,15,125,46,109,78,79,62,78,110,109,94,94,172,79,78,78,31,94,1
93,375,79,203,0,47,78,141,31,110,156,78,109,63,78,109,110,93,94,484,94,47,78,1
156,47,78,78,78,32,47,15,47,31,94,16,47,125,47,62,47,63,31,78,0,78,16,1
78,156,32,16,531,625,62,47,79,31,31,94,94,0,62,47,109,31,32,78,31,62,0,1
78,156,32,78,671,193,15,78,32,93,94,16,47,125,47,62,47,63,0,79,0,78,16,1
110,15,109,125,125,31,125,63,125,203,125,47,47,141,31,31,16,63,46,109,15,93,47,1
47,31,109,94,0,0,93,0,16,46,47,93,0,93,47,1000,78,156,0,94,0,63,93,1
32,62,0,125,657,720,63,250,78,453,125,47,47,141,31,31,16,63,93,63,15,93,47,1
94,62,62,78,78,31,62,78,79,62,40,60,47,125,63,63,94,62,63,94,78,79,62,1
78,47,62,63,78,250,106,94,93,63,47,78,78,109,63,101,176,13,63,78,62,141,62,1
63,62,63,78,62,188,27,78,140,63,40,60,47,125,63,63,94,62,62,141,78,79,62,1
78,78,110,109,109,31,63,47,234,78,141,62,140,16,62,109,203,63,32,78,63,16,62,2
78,47,78,62,0,31,109,94,109,32,78,78,109,16,78,125,63,94,78,265,78,16,78,2
78,16,78,109,0,16,93,125,109,109,141,62,140,16,62,109,203,63,78,219,63,16,62,2
375,16,78,250,250,31,47,109,62,94,156,63,94,62,94,109,47,78,156,63,93,47,110,2
