dtfk1,dtfk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk6,dtsk6,dtsk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,dtfk14,gender
63,47,63,93,156,156,63,63,62,78,141,73,78,31,125,79,110,78,62,1
62,63,47,16,47,0,656,73,16,78,78,63,140,0,63,47,62,31,63,1
78,78,63,93,156,0,94,62,15,63,78,73,78,31,125,79,110,78,62,1
109,109,47,391,438,438,46,94,94,94,110,78,109,125,109,109,78,15,78,1
94,78,78,141,78,0,46,78,78,15,63,78,125,31,62,687,78,32,78,1
78,94,47,391,438,0,94,78,46,94,0,78,109,125,109,109,78,94,78,1
125,125,93,485,594,594,140,94,93,62,125,78,47,62,109,125,93,0,78,1
93,78,109,47,78,125,141,78,109,0,78,62,125,62,125,172,94,94,94,1
156,62,93,485,594,234,109,94,109,94,109,78,47,62,109,125,93,93,78,1
62,47,31,125,63,63,79,63,172,78,78,93,78,78,47,78,78,63,46,1
172,78,79,46,47,47,94,93,125,63,78,63,78,94,63,125,47,63,62,1
62,78,31,125,63,46,94,94,109,62,62,93,78,78,47,78,78,78,46,1
93,172,79,128,225,225,110,63,78,78,15,109,78,63,93,47,62,32,94,1
78,109,78,47,62,609,0,109,172,32,109,78,79,78,172,110,78,78,15,1
78,78,79,128,225,0,141,93,62,172,47,109,78,63,93,47,62,47,94,1
63,63,93,63,140,140,109,31,62,94,78,141,78,94,188,47,62,47,93,1
62,94,79,62,78,125,109,141,156,47,94,63,78,125,62,93,78,47,94,1
62,94,93,63,140,47,94,78,94,78,63,141,78,94,188,47,62,94,93,1
78,78,40,271,380,380,125,79,62,62,94,63,125,32,0,47,78,32,62,1
62,78,78,32,78,0,125,63,15,32,78,63,312,63,94,62,141,62,78,1
63,62,40,271,380,125,94,63,94,32,76,63,125,32,0,47,78,79,62,1
78,78,78,140,79,79,93,62,63,62,62,63,63,93,63,63,62,63,62,1
63,63,63,94,62,94,125,63,172,63,78,63,78,110,62,110,78,78,63,1
63,62,78,140,79,78,125,62,125,83,47,63,63,93,63,63,62,78,62,1
126,78,109,31,172,172,156,110,125,93,109,453,140,47,63,32,79,31,78,1
125,109,125,15,78,110,156,453,47,31,94,78,829,31,93,109,110,62,157,1
141,93,109,31,172,172,157,31,15,94,94,453,140,47,63,32,79,109,78,1
62,78,63,78,62,62,94,62,94,94,93,110,78,94,63,141,78,31,78,1
94,47,78,61,52,78,188,110,141,31,47,63,62,110,62,141,15,31,78,1
94,94,63,78,62,79,78,16,31,78,109,110,78,94,63,141,78,78,78,1
125,78,93,188,78,78,94,94,156,78,109,62,78,110,78,93,110,125,78,1
156,109,78,0,78,0,109,62,313,125,78,63,62,94,62,125,235,125,62,1
109,78,93,188,78,0,94,0,78,94,78,62,78,110,78,93,110,125,78,1
125,125,47,109,203,203,62,31,47,31,47,94,157,31,62,31,47,156,78,1
47,31,344,94,0,1469,31,94,63,156,125,78,0,47,63,78,16,31,63,1
16,31,47,109,203,141,125,125,47,109,78,94,157,31,62,31,47,94,78,1
141,94,78,203,78,78,88,78,109,407,78,93,94,140,79,78,109,78,78,1
109,109,62,157,78,62,78,93,172,78,109,93,94,172,78,213,110,78,94,1
110,407,78,203,78,1109,250,32,157,78,78,93,94,140,79,78,109,93,78,1
156,140,78,79,110,110,110,31,15,110,94,79,63,47,15,63,63,48,46,1
15,93,15,94,31,141,94,79,31,48,46,63,16,78,62,31,31,16,16,1
63,110,78,79,110,438,31,93,47,79,93,79,63,47,15,63,63,16,46,1
156,109,187,109,157,157,94,109,125,93,218,63,94,203,63,47,171,110,141,1
125,94,78,141,47,172,172,63,500,110,297,62,16,141,62,47,78,531,125,1
250,93,187,109,157,94,110,94,125,78,110,63,94,203,63,47,171,93,141,1
125,94,94,125,125,125,125,94,141,93,78,94,125,94,78,109,93,94,109,1
141,94,94,47,109,109,171,94,140,94,109,78,156,47,110,187,453,94,109,1
109,93,94,125,125,125,141,47,94,78,110,94,125,94,78,109,93,94,109,1
78,63,78,125,94,94,98,78,109,63,94,78,78,110,46,94,63,63,110,1
109,62,94,31,78,94,78,78,125,63,94,47,94,93,78,125,109,63,78,1
78,63,78,125,94,110,78,15,63,63,94,78,78,110,46,94,63,63,110,1
93,171,94,47,156,156,140,172,94,109,141,94,250,31,125,125,114,78,125,1
94,110,125,0,63,110,187,94,47,78,94,93,125,93,94,110,110,62,78,1
250,109,94,47,156,125,140,16,0,94,94,94,250,31,125,125,114,125,125,1
125,78,78,16,141,141,125,78,78,78,140,63,62,140,63,109,16,0,110,1
78,125,78,78,63,0,125,63,110,0,172,63,78,93,32,31,187,94,94,1
78,78,78,16,141,187,94,94,47,62,78,63,62,140,63,109,16,78,110,1
93,109,297,16,203,203,137,78,172,94,78,125,94,78,109,141,78,94,109,1
172,94,93,32,78,156,137,125,94,94,94,79,109,63,141,375,109,15,78,1
62,94,297,16,203,0,140,32,16,172,78,125,94,78,109,141,78,78,109,1
94,109,110,109,203,203,109,78,500,110,110,125,109,63,78,109,93,78,94,1
500,109,125,47,62,0,109,125,609,78,110,94,78,110,109,94,172,79,78,1
93,110,110,109,203,0,125,78,141,110,78,125,109,63,78,109,93,94,94,1
156,141,109,31,78,78,31,47,78,31,78,62,47,125,47,62,63,31,0,1
78,47,31,156,16,531,31,62,172,31,31,62,94,0,62,47,31,32,31,1
78,31,109,31,78,671,31,15,0,93,16,62,47,125,47,62,63,0,0,1
110,141,110,31,125,125,125,125,47,203,203,93,47,141,31,31,63,46,15,1
47,94,16,110,94,0,125,93,78,46,16,79,0,93,47,1000,156,0,0,1
32,203,110,31,125,657,15,63,125,453,94,93,47,141,31,31,63,93,15,1
94,63,63,172,78,78,78,62,78,62,63,106,47,125,63,63,62,63,78,1
78,63,79,62,63,78,47,106,91,63,78,31,78,109,63,101,13,63,62,1
63,62,63,172,78,62,78,27,115,63,74,106,47,125,63,63,62,62,78,1
78,109,109,79,109,109,78,63,78,78,110,109,140,16,62,109,63,32,63,2
78,93,125,63,62,0,141,109,203,32,78,63,109,16,78,125,94,78,78,2
78,78,109,79,109,0,94,93,62,109,63,109,140,16,62,109,63,78,63,2
375,62,94,156,250,250,141,47,94,94,109,62,94,62,94,109,78,156,93,2
94,63,47,47,62,0,141,62,16,156,78,63,79,78,62,94,266,16,110,2
171,94,94,156,250,62,94,32,172,62,109,62,94,62,94,109,78,78,93,2
109,78,94,141,250,250,47,94,63,62,47,78,32,141,31,16,16,16,63,2
63,94,78,172,16,0,47,78,47,16,94,78,31,94,31,968,125,16,63,2
32,62,94,141,250,906,47,78,141,78,91,78,32,141,31,16,16,110,63,2
62,62,78,31,109,109,63,32,47,78,62,359,218,47,16,16,62,16,47,2
47,63,62,16,47,0,94,359,47,16,62,94,94,15,62,94,16,16,63,2
63,78,78,31,109,0,94,59,79,78,62,359,218,47,16,16,62,47,47,2
172,78,94,31,140,140,62,94,219,94,94,109,62,94,62,78,109,125,78,2
219,94,94,62,78,0,62,109,110,125,94,63,94,109,62,109,78,16,78,2
140,94,94,31,140,109,78,63,94,78,62,109,62,94,62,78,109,78,78,2
57,69,90,63,80,80,110,65,192,79,79,78,69,111,41,63,109,81,33,2
192,98,78,31,78,70,65,78,187,81,94,150,78,94,94,141,141,79,78,2
74,79,90,63,80,73,103,109,172,31,47,78,69,111,41,63,109,78,33,2
110,94,109,63,172,172,109,63,94,78,109,78,156,63,141,78,125,15,78,2
94,78,156,16,78,0,109,78,62,15,110,63,110,47,62,109,62,410,109,2
187,78,109,63,172,0,109,47,141,94,141,78,156,63,141,78,125,125,78,2
93,63,93,32,187,187,78,93,125,78,78,78,94,78,47,63,78,20,109,2
125,94,62,16,62,110,78,78,78,20,94,63,94,31,63,109,15,32,63,2
78,78,93,32,187,109,63,16,94,78,94,78,94,78,47,63,78,125,109,2
62,63,78,219,62,62,47,46,62,47,94,1015,79,125,62,63,62,62,47,2
62,47,62,63,78,63,78,1015,125,62,63,62,93,110,93,188,485,47,63,2
31,47,78,219,62,47,109,79,125,47,63,1015,79,125,62,63,62,63,47,2
109,78,125,63,109,109,125,78,94,94,94,109,78,93,203,94,78,47,79,2
94,78,94,31,110,78,187,109,46,47,109,78,109,110,62,94,62,78,78,2
125,94,125,63,109,93,110,78,63,78,94,109,78,93,203,94,78,94,79,2
93,110,94,31,79,79,140,47,94,46,110,79,125,62,109,110,94,31,94,2
