dtfk1,dtsk1,dtfk3,dtsk4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtfk14,gender
171,16,94,250,62,94,63,15,62,62,94,62,94,109,47,78,78,110,93,2
109,172,78,250,250,47,62,47,62,78,32,141,31,16,78,16,16,78,63,2
63,109,94,16,0,47,47,125,16,78,31,94,31,968,63,125,16,78,63,2
32,16,62,250,906,1000,94,203,78,78,32,141,31,16,78,16,110,15,63,2
62,109,62,109,109,31,62,32,78,359,218,47,16,16,47,62,16,78,47,2
47,94,63,47,0,15,31,47,16,94,94,15,62,94,156,16,16,78,63,2
63,16,78,109,0,31,125,78,78,359,218,47,16,16,47,62,47,15,47,2
172,94,78,140,140,31,93,16,94,109,62,94,62,78,94,109,125,78,78,2
219,94,94,78,0,16,31,109,125,63,94,109,62,109,78,78,16,78,78,2
140,16,94,140,109,16,109,16,78,109,62,94,62,78,94,109,78,94,78,2
57,113,69,80,80,442,89,36,79,78,69,111,41,63,78,109,81,37,33,2
192,79,98,78,70,411,89,24,81,150,78,94,94,141,62,141,79,13,78,2
74,79,79,80,73,185,11,73,31,78,69,111,41,63,78,109,78,15,33,2
110,125,94,172,172,47,79,78,78,78,156,63,141,78,47,125,15,63,78,2
94,94,78,78,0,31,109,94,15,63,110,47,62,109,94,62,410,94,109,2
187,410,78,172,0,15,93,172,94,78,156,63,141,78,47,125,125,266,78,2
93,125,63,187,187,0,63,31,78,78,94,78,47,63,15,78,20,88,109,2
125,94,94,62,110,31,47,117,20,63,94,31,63,109,172,15,32,32,63,2
78,32,78,187,109,47,63,15,78,78,94,78,47,63,15,78,125,15,109,2
62,78,63,62,62,31,63,109,47,1015,79,125,62,63,203,62,62,188,47,2
62,63,47,78,63,94,79,125,62,62,93,110,93,188,62,485,47,172,63,2
31,47,47,62,47,78,94,219,47,1015,79,125,62,63,203,62,63,125,47,2
109,109,78,109,109,47,94,0,94,109,78,93,203,94,47,78,47,78,79,2
94,78,78,110,78,78,16,62,47,78,109,110,62,94,94,62,78,78,78,2
125,78,94,109,93,78,94,31,78,109,78,93,203,94,47,78,94,31,79,2
93,125,110,79,79,31,78,16,46,79,125,62,109,110,15,94,31,78,94,2
94,62,62,78,98,59,62,94,31,93,79,93,140,78,78,0,62,32,93,2
79,62,46,79,94,31,78,16,94,79,125,62,109,110,15,94,62,32,94,2
94,78,79,140,140,47,109,0,62,78,94,94,47,78,0,78,16,78,94,2
94,63,62,94,0,16,31,140,16,78,78,94,78,94,78,31,78,15,62,2
62,78,62,140,0,63,62,31,78,78,94,94,47,78,0,78,94,15,94,2
63,63,46,78,78,125,62,16,62,156,63,109,62,110,234,31,47,78,62,2
63,78,47,63,125,62,110,62,47,47,62,125,63,140,63,94,16,78,47,2
203,16,62,78,79,46,62,16,62,156,63,109,62,110,234,31,62,47,62,2
140,141,109,172,172,15,94,46,63,62,141,62,125,110,109,94,16,93,94,2
125,110,94,78,94,46,16,141,16,46,109,31,110,110,78,47,16,78,78,2
31,16,63,172,78,94,79,15,94,62,141,62,125,110,109,94,79,46,94,2
63,78,62,78,78,62,63,78,62,94,78,93,63,63,78,62,47,31,63,2
78,79,62,63,63,125,78,125,47,63,78,94,63,79,93,78,78,47,78,2
94,78,62,78,47,125,62,78,63,94,78,93,63,63,78,62,63,31,63,2
109,63,31,125,125,47,93,16,78,78,47,63,109,16,110,62,16,47,78,2
47,78,78,32,484,500,609,47,16,78,31,62,79,78,109,62,0,94,16,2
94,0,78,125,0,47,31,78,94,78,47,63,109,16,110,62,16,93,78,2
94,109,78,78,78,172,79,78,93,79,79,78,78,78,63,93,94,15,62,2
94,93,78,94,109,157,125,141,94,78,78,110,78,141,78,94,78,47,78,2
110,78,93,78,47,156,140,63,78,79,79,78,78,78,63,93,94,156,62,2
94,62,63,78,78,187,63,62,47,109,78,94,63,78,188,78,78,78,47,2
94,63,78,62,63,62,62,94,78,78,63,109,78,156,62,125,63,78,63,2
63,63,47,78,63,140,63,47,78,109,78,94,63,78,188,78,47,47,47,2
78,157,125,78,78,78,63,16,78,62,31,109,47,46,93,0,31,94,78,2
94,94,125,47,141,47,62,47,31,63,15,125,46,1390,63,141,16,94,93,2
47,16,78,78,0,15,125,94,94,62,31,109,47,46,93,0,63,31,78,2
62,109,94,109,109,31,94,141,31,94,141,0,62,15,93,32,31,78,78,2
78,93,94,31,110,31,78,78,31,46,63,172,16,0,125,500,78,78,63,2
78,78,31,109,0,0,78,47,109,94,141,0,62,15,93,32,78,94,78,2
