dtfk1,ft1,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,gender
63,78,47,78,140,79,125,63,47,63,63,93,63,63,62,78,1
126,31,109,109,31,172,156,94,109,453,140,47,63,32,79,31,1
125,46,110,125,15,78,156,31,94,78,829,31,93,109,110,62,1
141,0,78,109,31,172,157,94,94,453,140,47,63,32,79,109,1
62,78,63,63,78,62,94,78,93,110,78,94,63,141,78,31,1
94,0,62,78,61,52,188,63,47,63,62,110,62,141,15,31,1
94,47,47,63,78,62,78,94,109,110,78,94,63,141,78,78,1
125,16,93,93,188,78,94,110,109,62,78,110,78,93,110,125,1
156,16,94,78,0,78,109,156,78,63,62,94,62,125,235,125,1
109,31,109,93,188,78,94,156,78,62,78,110,78,93,110,125,1
125,16,47,47,109,203,62,31,47,94,157,31,62,31,47,156,1
47,78,31,344,94,0,31,0,125,78,0,47,63,78,16,31,1
16,79,62,47,109,203,125,125,78,94,157,31,62,31,47,94,1
141,62,78,78,203,78,88,78,78,93,94,140,79,78,109,78,1
109,63,78,62,157,78,78,78,109,93,94,172,78,213,110,78,1
110,0,78,78,203,78,250,94,78,93,94,140,79,78,109,93,1
156,47,78,78,79,110,110,78,94,79,63,47,15,63,63,48,1
15,63,31,15,94,31,94,16,46,63,16,78,62,31,31,16,1
63,15,16,78,79,110,31,625,93,79,63,47,15,63,63,16,1
156,16,187,187,109,157,94,110,218,63,94,203,63,47,171,110,1
125,110,109,78,141,47,172,125,297,62,16,141,62,47,78,531,1
250,110,125,187,109,157,110,141,110,63,94,203,63,47,171,93,1
125,93,94,94,125,125,125,109,78,94,125,94,78,109,93,94,1
141,78,94,94,47,109,171,110,109,78,156,47,110,187,453,94,1
109,16,109,94,125,125,141,125,110,94,125,94,78,109,93,94,1
78,63,78,78,125,94,98,78,94,78,78,110,46,94,63,63,1
109,32,78,94,31,78,78,110,94,47,94,93,78,125,109,63,1
78,78,94,78,125,94,78,93,94,78,78,110,46,94,63,63,1
93,47,94,94,47,156,140,94,141,94,250,31,125,125,114,78,1
94,16,172,125,0,63,187,62,94,93,125,93,94,110,110,62,1
250,0,78,94,47,156,140,141,94,94,250,31,125,125,114,125,1
125,15,78,78,16,141,125,78,140,63,62,140,63,109,16,0,1
78,15,78,78,78,63,125,78,172,63,78,93,32,31,187,94,1
78,31,94,78,16,141,94,140,78,63,62,140,63,109,16,78,1
