ft1,dtsk1,dtfk4,dtsk4,ft5,dtsk5,dtfk6,dtfk7,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtsk12,dtfk13,ft14,gender
16,125,187,157,156,94,109,110,94,94,109,63,94,203,63,171,110,15,1
110,109,78,47,0,172,63,125,125,93,110,62,16,141,62,78,531,63,1
110,531,187,157,156,110,94,141,140,94,109,63,94,203,63,171,93,15,1
93,125,94,125,78,125,94,109,63,94,62,94,125,94,78,93,94,62,1
78,125,94,109,32,171,94,110,140,47,93,78,156,47,110,453,94,94,1
16,94,94,125,47,141,47,125,110,94,62,94,125,94,78,93,94,62,1
63,109,78,94,219,98,78,78,109,93,63,78,78,110,46,63,63,62,1
32,62,94,78,187,78,78,110,15,78,109,47,94,93,78,109,63,109,1
78,63,78,94,234,78,15,93,0,93,63,78,78,110,46,63,63,62,1
47,110,94,156,32,140,172,94,31,15,141,94,250,31,125,114,78,0,1
16,109,125,63,78,187,94,62,109,62,110,93,125,93,94,110,62,0,1
0,62,94,156,79,140,16,141,15,15,141,94,250,31,125,114,125,0,1
15,78,78,141,62,125,78,78,63,47,47,63,62,140,63,16,0,62,1
15,94,78,63,15,125,63,78,78,78,109,63,78,93,32,187,94,31,1
31,94,78,141,0,94,94,140,63,47,47,63,62,140,63,16,78,62,1
47,94,297,203,15,137,78,125,16,157,62,125,94,78,109,78,94,31,1
16,78,93,78,16,137,125,109,0,110,93,79,109,63,141,109,15,15,1
110,15,297,203,47,140,32,47,16,157,62,125,94,78,109,78,78,31,1
78,125,110,203,78,109,78,125,47,156,78,125,109,63,78,93,78,47,1
15,156,125,62,15,109,125,46,109,79,62,94,78,110,109,172,79,31,1
375,79,110,203,47,125,78,141,31,156,78,125,109,63,78,93,94,47,1
47,78,109,78,32,31,47,15,47,94,16,62,47,125,47,63,31,78,1
156,32,31,16,625,31,62,47,79,31,94,62,94,0,62,31,32,62,1
156,32,109,78,193,31,15,78,32,94,16,62,47,125,47,63,0,78,1
15,109,110,125,31,125,125,63,125,125,47,93,47,141,31,63,46,93,1
31,109,16,94,0,125,93,0,16,47,93,79,0,93,47,156,0,63,1
62,0,110,125,720,15,63,250,78,125,47,93,47,141,31,63,93,93,1
62,62,63,78,31,78,62,78,79,40,60,106,47,125,63,62,63,79,1
47,62,79,63,250,47,106,94,93,47,78,31,78,109,63,13,63,141,1
62,63,63,78,188,78,27,78,140,40,60,106,47,125,63,62,62,79,1
78,110,109,109,31,78,63,47,234,141,62,109,140,16,62,63,32,16,2
47,78,125,62,31,141,109,94,109,78,78,63,109,16,78,94,78,16,2
16,78,109,109,16,94,93,125,109,141,62,109,140,16,62,63,78,16,2
16,78,94,250,31,141,47,109,62,156,63,62,94,62,94,78,156,47,2
