@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,15,78,63,94,63,141,0,78,141,203,141,109,63,94,78,93,16,78,78,32,62,1
187,16,94,62,31,94,94,63,78,94,31,234,328,110,110,93,94,93,32,62,31,78,1
78,31,78,63,94,63,109,16,62,78,94,141,109,63,94,78,93,16,16,78,32,62,1
125,172,109,110,250,78,125,140,63,94,78,94,78,110,47,156,94,265,422,78,94,78,1
110,359,78,110,219,78,62,328,63,156,141,93,94,63,78,109,156,94,547,94,125,93,1
94,313,63,15,250,94,94,187,78,78,62,94,78,110,47,156,94,265,203,63,94,78,1
63,94,47,47,93,63,78,125,78,78,141,78,56,73,78,31,79,15,78,47,31,63,1
62,16,63,62,16,656,62,125,78,15,16,62,78,63,140,0,47,110,47,63,31,78,1
78,31,78,32,93,94,94,31,63,844,62,78,56,73,78,31,79,15,172,78,31,63,1
109,16,109,78,391,46,78,31,94,78,109,94,31,78,109,125,109,16,78,31,0,94,1
94,0,78,47,141,46,31,78,15,46,110,63,62,78,125,31,687,94,110,31,31,94,1
78,109,94,31,391,94,110,31,94,765,31,94,31,78,109,125,109,16,62,63,0,94,1
125,31,125,79,485,140,78,141,62,140,125,47,78,78,47,62,125,16,125,62,32,93,1
93,16,78,125,47,141,32,110,0,109,109,62,94,62,125,62,172,78,15,63,47,93,1
156,16,62,31,485,109,125,78,94,985,32,47,78,78,47,62,125,16,125,94,32,93,1
62,63,47,78,125,79,62,32,78,63,78,63,47,93,78,78,78,172,78,63,79,78,1
172,15,78,47,46,94,78,15,63,109,125,62,78,63,78,94,125,62,125,31,63,78,1
62,0,78,47,125,94,62,16,62,62,78,63,47,93,78,78,78,172,62,32,79,78,1
93,547,172,292,128,110,63,47,78,94,203,47,62,109,78,63,47,15,93,16,47,94,1
78,16,109,0,47,0,79,93,32,62,78,78,78,78,79,78,110,94,0,63,62,47,1
78,78,78,297,128,141,94,31,172,812,79,47,62,109,78,63,47,15,78,47,47,94,1
63,15,63,16,63,109,63,578,94,63,78,47,94,141,78,94,47,78,109,47,63,62,1
62,78,94,78,62,109,94,78,47,94,93,47,78,63,78,125,93,110,438,62,31,94,1
62,31,94,62,63,94,125,453,78,63,94,47,94,141,78,94,47,78,47,62,63,62,1
78,47,78,52,271,125,47,16,62,62,172,47,62,63,125,32,47,15,94,31,16,78,1
62,31,78,31,32,125,62,31,32,94,125,63,62,63,312,63,62,94,32,62,31,79,1
63,0,62,16,271,94,62,0,32,813,62,47,62,63,125,32,47,15,31,156,16,78,1
78,94,78,563,140,93,47,141,62,63,47,125,47,63,63,93,63,125,125,62,110,78,1
63,47,63,109,94,125,78,78,63,125,156,62,78,63,78,110,110,62,63,46,47,78,1
63,78,62,78,140,125,63,125,83,63,78,125,47,63,63,93,63,125,78,47,110,78,1
126,31,78,31,31,156,94,16,93,172,187,0,93,453,140,47,32,46,94,78,32,78,1
125,46,109,0,15,156,31,63,31,15,0,93,110,78,829,31,109,78,47,94,31,109,1
141,0,93,32,31,157,94,78,94,719,31,0,93,453,140,47,32,46,0,110,32,78,1
62,78,78,16,78,94,78,31,94,47,93,32,62,110,78,94,141,0,79,46,62,63,1
94,0,47,31,61,188,63,62,31,31,0,78,78,63,62,110,141,94,31,94,47,78,1
94,47,94,62,78,78,94,47,78,895,63,32,62,110,78,94,141,0,47,78,62,63,1
125,16,78,63,188,94,110,31,78,78,250,78,63,62,78,110,93,125,125,125,32,125,1
156,16,109,31,0,109,156,31,125,78,16,78,47,63,62,94,125,94,0,94,235,125,1
109,31,78,47,188,94,156,16,94,203,156,78,63,62,78,110,93,125,31,109,32,125,1
125,16,125,0,109,62,31,63,31,93,125,16,62,94,157,31,31,31,110,62,16,62,1
47,78,31,109,94,31,0,62,156,47,141,78,78,78,0,47,78,156,125,15,31,94,1
16,79,31,78,109,125,125,719,109,859,0,16,62,94,157,31,31,31,0,62,16,62,1
141,62,94,62,203,88,78,344,407,94,94,234,79,93,94,140,78,47,391,109,109,94,1
109,63,109,94,157,78,78,172,78,157,156,281,63,93,94,172,213,94,516,78,125,93,1
110,0,407,15,203,250,94,203,78,63,78,234,79,93,94,140,78,47,235,78,109,94,1
156,47,140,32,79,110,78,16,110,469,16,63,78,79,63,47,63,31,5,84,109,78,1
15,63,93,32,94,94,16,78,48,47,16,31,78,63,16,78,31,109,94,0,109,16,1
63,15,110,15,79,31,625,32,79,0,16,63,78,79,63,47,63,31,110,15,109,78,1
156,16,109,32,109,94,110,94,93,125,203,94,109,63,94,203,47,157,93,161,15,94,1
125,110,94,125,141,172,125,125,110,125,157,93,110,62,16,141,47,172,140,516,63,93,1
250,110,93,63,109,110,141,140,78,750,125,94,109,63,94,203,47,157,110,109,15,94,1
