@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,5,6,8,9,12,14,16,18,19,21,22,23,24,26,27,28,34,36,37,38,39,40,42,43'

@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
31,47,78,63,93,0,94,141,31,844,56,73,78,31,125,15,31,1
110,110,109,47,391,438,46,62,31,78,31,78,109,125,109,16,0,1
109,93,78,78,141,0,46,94,78,46,62,78,125,31,62,94,31,1
32,203,94,47,391,0,94,47,31,765,31,78,109,125,109,16,0,1
110,110,125,93,485,594,140,47,141,140,78,78,47,62,109,16,32,1
94,125,78,109,47,125,141,79,110,109,94,62,125,62,125,78,47,1
94,188,62,93,485,234,109,94,78,985,78,78,47,62,109,16,32,1
93,93,47,31,125,63,79,109,32,63,47,93,78,78,47,172,79,1
93,94,78,79,46,47,94,63,15,109,78,63,78,94,63,62,63,1
63,78,78,31,125,46,94,47,16,62,47,93,78,78,47,172,79,1
156,156,172,79,128,225,110,78,47,94,62,109,78,63,93,15,47,1
109,109,109,78,47,609,0,63,93,62,78,78,79,78,172,94,62,1
78,15,78,79,128,0,141,32,31,812,62,109,78,63,93,15,47,1
63,63,63,93,63,140,109,141,578,63,94,141,78,94,188,78,63,1
125,79,94,79,62,125,109,62,78,94,78,63,78,125,62,110,31,1
47,63,94,93,63,47,94,62,453,63,94,141,78,94,188,78,63,1
94,94,78,40,271,380,125,15,16,62,62,63,125,32,0,15,16,1
78,31,78,78,32,0,125,157,31,94,62,63,312,63,94,94,31,1
62,141,62,40,271,125,94,0,0,813,62,63,125,32,0,15,16,1
94,94,78,78,140,79,93,125,141,63,47,63,63,93,63,125,110,1
78,94,63,63,94,94,125,62,78,125,78,63,78,110,62,62,47,1
78,94,62,78,140,78,125,63,125,63,47,63,63,93,63,125,110,1
125,125,78,109,31,172,156,46,16,172,93,453,140,47,63,46,32,1
125,47,109,125,15,110,156,94,63,15,110,78,829,31,93,78,31,1
62,78,93,109,31,172,157,78,78,719,93,453,140,47,63,46,32,1
110,110,78,63,78,62,94,47,31,47,62,110,78,94,63,0,62,1
78,0,47,78,61,78,188,62,62,31,78,63,62,110,62,94,47,1
31,93,94,63,78,79,78,94,47,895,62,110,78,94,63,0,62,1
94,94,78,93,188,78,94,62,31,78,63,62,78,110,78,125,32,1
62,140,109,78,0,0,109,94,31,78,47,63,62,94,62,94,235,1
125,78,78,93,188,0,94,62,16,203,63,62,78,110,78,125,32,1
109,109,125,47,109,203,62,78,63,93,62,94,157,31,62,31,16,1
16,32,31,344,94,1469,31,78,62,47,78,78,0,47,63,156,31,1
31,47,31,47,109,141,125,0,719,859,62,94,157,31,62,31,16,1
110,110,94,78,203,78,88,282,344,94,79,93,94,140,79,47,109,1
93,94,109,62,157,62,78,63,172,157,63,93,94,172,78,94,125,1
78,109,407,78,203,1109,250,93,203,63,79,93,94,140,79,47,109,1
47,47,140,78,79,110,110,47,16,469,78,79,63,47,15,31,109,1
31,31,93,15,94,141,94,188,78,47,78,63,16,78,62,109,109,1
16,235,110,78,79,438,31,32,32,0,78,79,63,47,15,31,109,1
125,125,109,187,109,157,94,203,94,125,109,63,94,203,63,157,15,1
109,156,94,78,141,172,172,93,125,125,110,62,16,141,62,172,63,1
531,312,93,187,109,94,110,78,140,750,109,63,94,203,63,157,15,1
125,125,94,94,125,125,125,109,63,94,62,94,125,94,78,110,62,1
125,125,94,94,47,109,171,94,140,94,93,78,156,47,110,94,94,1
94,156,93,94,125,125,141,140,110,125,62,94,125,94,78,110,62,1
109,109,63,78,125,94,98,94,109,78,63,78,78,110,46,46,62,1
62,78,62,94,31,94,78,62,15,63,109,47,94,93,78,63,109,1
63,109,63,78,125,110,78,109,0,93,63,78,78,110,46,46,62,1
110,110,171,94,47,156,140,15,31,110,141,94,250,31,125,16,0,1
109,0,110,125,0,110,187,109,109,0,110,93,125,93,94,93,0,1
62,312,109,94,47,125,140,125,15,860,141,94,250,31,125,16,0,1
78,78,78,78,16,141,125,79,63,109,47,63,62,140,63,78,62,1
94,32,125,78,78,0,125,62,78,47,109,63,78,93,32,109,31,1
94,79,78,78,16,187,94,0,63,937,47,63,62,140,63,78,62,1
94,94,109,297,16,203,137,63,16,94,62,125,94,78,109,94,31,1
78,219,94,93,32,156,137,78,0,16,93,79,109,63,141,78,15,1
15,63,94,297,16,0,140,125,16,110,62,125,94,78,109,94,31,1
125,125,109,110,109,203,109,390,47,94,78,125,109,63,78,110,47,1
156,141,109,125,47,0,109,63,109,141,62,94,78,110,109,94,31,1
79,94,110,110,109,0,125,78,31,1020,78,125,109,63,78,110,47,1
78,78,141,109,31,78,31,62,47,687,16,62,47,125,47,47,78,1
32,15,47,31,156,531,31,79,79,0,94,62,94,0,62,109,62,1
32,62,31,109,31,671,31,109,32,797,16,62,47,125,47,47,78,1
109,109,141,110,31,125,125,31,125,610,47,93,47,141,31,16,93,1
109,62,94,16,110,0,125,63,16,125,93,79,0,93,47,78,63,1
0,15,203,110,31,657,15,47,78,656,47,93,47,141,31,16,93,1
62,62,63,63,172,78,78,141,79,109,60,106,47,125,63,94,79,1
62,47,63,79,62,78,47,67,93,115,78,31,78,109,63,176,141,1
63,62,62,63,172,62,78,86,140,62,60,106,47,125,63,94,79,1
110,110,109,109,79,109,78,125,234,0,62,109,140,16,62,203,16,2
78,94,93,125,63,0,141,47,109,62,78,63,109,16,78,63,16,2
78,328,78,109,79,0,94,251,109,813,62,109,140,16,62,203,16,2
78,78,62,94,156,250,141,125,62,93,63,62,94,62,94,47,47,2
78,219,63,47,47,0,141,94,125,172,62,63,79,78,62,62,31,2
16,218,94,94,156,62,94,46,15,953,63,62,94,62,94,47,47,2
172,172,78,94,141,250,47,15,47,0,62,78,32,141,31,78,31,2
109,110,94,78,172,0,47,172,125,141,63,78,31,94,31,63,31,2
