@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,12,16,17,18,21,22,23,24,26,30,33,34,35,36,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,78,78,297,78,79,128,0,47,141,94,31,812,79,47,62,78,63,47,78,47,47,94,1
63,15,63,16,93,93,63,140,188,109,63,578,63,78,47,94,78,94,47,109,47,63,62,1
62,78,94,78,31,79,62,125,207,109,94,78,94,93,47,78,78,125,47,438,62,31,94,1
62,31,94,62,78,93,63,47,687,94,125,453,63,94,47,94,78,94,94,47,62,63,62,1
78,47,78,52,40,40,271,380,47,125,47,16,62,172,47,62,125,32,32,94,31,16,78,1
62,31,78,31,79,78,32,0,47,125,62,31,94,125,63,62,312,63,62,32,62,31,79,1
63,0,62,16,94,40,271,125,140,94,62,0,813,62,47,62,125,32,79,31,156,16,78,1
78,94,78,563,78,78,140,79,250,93,47,141,63,47,125,47,63,93,63,125,62,110,78,1
63,47,63,109,62,63,94,94,125,125,78,78,125,156,62,78,78,110,78,63,46,47,78,1
63,78,62,78,47,78,140,78,172,125,63,125,63,78,125,47,63,93,78,78,47,110,78,1
126,31,78,31,109,109,31,172,31,156,94,16,172,187,0,93,140,47,31,94,78,32,78,1
125,46,109,0,110,125,15,110,125,156,31,63,15,0,93,110,829,31,62,47,94,31,109,1
141,0,93,32,78,109,31,172,93,157,94,78,719,31,0,93,140,47,109,0,110,32,78,1
62,78,78,16,63,63,78,62,94,94,78,31,47,93,32,62,78,94,31,79,46,62,63,1
94,0,47,31,62,78,61,78,94,188,63,62,31,0,78,78,62,110,31,31,94,47,78,1
94,47,94,62,47,63,78,79,78,78,94,47,895,63,32,62,78,94,78,47,78,62,63,1
125,16,78,63,93,93,188,78,31,94,110,31,78,250,78,63,78,110,125,125,125,32,125,1
156,16,109,31,94,78,0,0,31,109,156,31,78,16,78,47,62,94,125,0,94,235,125,1
109,31,78,47,109,93,188,0,0,94,156,16,203,156,78,63,78,110,125,31,109,32,125,1
125,16,125,0,47,47,109,203,47,62,31,63,93,125,16,62,157,31,156,110,62,16,62,1
47,78,31,109,31,344,94,1469,140,31,0,62,47,141,78,78,0,47,31,125,15,31,94,1
16,79,31,78,62,47,109,141,15,125,125,719,859,0,16,62,157,31,94,0,62,16,62,1
141,62,94,62,78,78,203,78,249,88,78,344,94,94,234,79,94,140,78,391,109,109,94,1
109,63,109,94,78,62,157,62,204,78,78,172,157,156,281,63,94,172,78,516,78,125,93,1
110,0,407,15,78,78,203,1109,63,250,94,203,63,78,234,79,94,140,93,235,78,109,94,1
156,47,140,32,78,78,79,110,15,110,78,16,469,16,63,78,63,47,48,5,84,109,78,1
15,63,93,32,31,15,94,141,0,94,16,78,47,16,31,78,16,78,16,94,0,109,16,1
63,15,110,15,16,78,79,438,125,31,625,32,0,16,63,78,63,47,16,110,15,109,78,1
156,16,109,32,187,187,109,157,156,94,110,94,125,203,94,109,94,203,110,93,161,15,94,1
125,110,94,125,109,78,141,172,0,172,125,125,125,157,93,110,16,141,531,140,516,63,93,1
250,110,93,63,125,187,109,94,156,110,141,140,750,125,94,109,94,203,93,110,109,15,94,1
125,93,94,93,94,94,125,125,78,125,109,63,94,125,94,62,125,94,94,47,109,62,79,1
141,78,94,78,94,94,47,109,32,171,110,140,94,16,47,93,156,47,94,31,125,94,94,1
109,16,93,63,109,94,125,125,47,141,125,110,125,110,94,62,125,94,94,78,141,62,79,1
78,63,63,62,78,78,125,94,219,98,78,109,78,110,93,63,78,110,63,94,78,62,94,1
109,32,62,47,78,94,31,94,187,78,110,15,63,109,78,109,94,93,63,16,93,109,63,1
78,78,63,15,94,78,125,110,234,78,93,0,93,110,93,63,78,110,63,31,94,62,94,1
93,47,171,16,94,94,47,156,32,140,94,31,110,203,15,141,250,31,78,109,16,0,109,1
94,16,110,47,172,125,0,110,78,187,62,109,0,16,62,110,125,93,62,140,16,0,125,1
250,0,109,32,78,94,47,125,79,140,141,15,860,62,15,141,250,31,125,0,109,0,109,1
125,15,78,31,78,78,16,141,62,125,78,63,109,157,47,47,62,140,0,110,15,62,156,1
78,15,125,16,78,78,78,0,15,125,78,78,47,79,78,109,78,93,94,15,94,31,78,1
78,31,78,31,94,78,16,187,0,94,140,63,937,78,47,47,62,140,78,141,78,62,156,1
93,47,109,203,297,297,16,203,15,137,125,16,94,125,157,62,94,78,94,109,125,31,110,1
172,16,94,31,78,93,32,156,16,137,109,0,16,46,110,93,109,63,15,78,0,15,78,1
62,110,94,16,125,297,16,0,47,140,47,16,110,109,157,62,94,78,78,15,141,31,110,1
94,78,109,141,110,110,109,203,78,109,125,47,94,468,156,78,109,63,78,94,78,47,78,1
500,15,109,485,78,125,47,0,15,109,46,109,141,15,79,62,78,110,79,78,78,31,94,1
93,375,110,78,93,110,109,0,47,125,141,31,1020,46,156,78,109,63,94,484,203,47,78,1
156,47,141,47,109,109,31,78,32,31,15,47,687,16,94,16,47,125,31,78,0,78,16,1
78,156,47,63,47,31,156,531,625,31,47,79,0,32,31,94,94,0,32,78,31,62,0,1
78,156,31,63,47,109,31,671,193,31,78,32,797,47,94,16,47,125,0,79,78,78,16,1
110,15,141,15,110,110,31,125,31,125,63,125,610,125,125,47,47,141,46,109,16,93,47,1
47,31,94,15,125,16,110,0,0,125,0,16,125,47,47,93,0,93,0,94,15,63,93,1
32,62,203,16,16,110,31,657,720,15,250,78,656,0,125,47,47,141,93,63,219,93,47,1
94,62,63,31,63,63,172,78,31,78,78,79,109,78,40,60,47,125,63,94,62,79,62,1
78,47,63,297,62,79,62,78,250,47,94,93,115,62,47,78,78,109,63,78,62,141,62,1
63,62,62,47,94,63,172,62,188,78,78,140,62,94,40,60,47,125,62,141,235,79,62,1
78,78,109,297,109,109,79,109,31,78,47,234,0,94,141,62,140,16,32,78,109,16,62,2
78,47,93,203,63,125,63,0,31,141,94,109,62,110,78,78,109,16,78,265,110,16,78,2
78,16,78,172,62,109,79,0,16,94,125,109,813,94,141,62,140,16,78,219,78,16,62,2
375,16,62,94,94,94,156,250,31,141,109,62,93,235,156,63,94,62,156,63,109,47,110,2
94,31,63,62,47,47,47,0,32,141,47,125,172,47,63,62,79,78,16,78,31,31,78,2
171,63,94,47,125,94,156,62,94,94,63,15,953,47,156,63,94,62,78,110,172,47,110,2
109,47,78,16,94,94,141,250,47,47,62,47,0,94,63,62,32,141,16,78,47,31,78,2
63,15,94,31,94,78,172,0,47,47,47,125,141,47,15,63,31,94,16,78,16,31,110,2
32,93,62,16,78,94,141,906,1000,47,94,203,735,47,63,62,32,141,110,15,93,31,78,2
62,16,62,32,78,78,31,109,31,63,62,32,0,94,16,188,218,47,16,78,16,46,63,2
47,359,63,15,32,62,16,0,15,94,31,47,79,94,62,63,94,15,16,78,15,47,47,2
63,78,78,15,79,78,31,0,31,94,125,78,703,31,16,188,218,47,47,15,94,46,63,2
172,437,78,94,94,94,31,140,31,62,93,16,94,94,125,63,62,94,125,78,94,78,62,2
219,15,94,62,94,94,62,0,16,62,31,109,94,32,78,78,94,109,16,78,46,63,78,2
140,110,94,47,78,94,31,109,16,78,109,16,937,31,125,63,62,94,78,94,78,78,62,2
57,4369,69,166,90,90,63,80,442,110,89,36,78,141,47,78,69,111,81,37,78,69,61,2
192,4,98,49,65,78,31,70,411,65,89,24,172,406,58,68,78,94,79,13,85,63,78,2
74,6,79,21,104,90,63,73,185,103,11,73,74,89,47,78,69,111,78,15,94,69,61,2
110,156,94,172,109,109,63,172,47,109,79,78,78,63,110,250,156,63,15,63,78,78,125,2
94,15,78,62,63,156,16,0,31,109,109,94,141,110,78,78,110,47,410,94,62,172,125,2
187,78,78,109,78,109,63,0,15,109,93,172,828,109,110,250,156,63,125,266,109,78,125,2
93,32,63,0,93,93,32,187,0,78,63,31,562,78,16,94,94,78,20,88,78,16,93,2
125,32,94,16,93,62,16,110,31,78,47,117,94,15,47,47,94,31,32,32,421,46,125,2
78,78,78,16,93,93,32,109,47,63,63,15,719,47,16,94,94,78,125,15,125,16,93,2
62,141,63,94,78,78,219,62,31,47,63,109,78,94,547,63,79,125,62,188,46,47,78,2
62,78,47,125,46,62,63,63,94,78,79,125,125,78,31,828,93,110,47,172,63,62,63,2
31,109,47,125,62,78,219,47,78,109,94,219,79,79,547,63,79,125,63,125,78,47,78,2
109,125,78,109,125,125,63,109,47,125,94,0,109,125,63,78,78,93,47,78,63,31,78,2
94,16,78,63,78,94,31,78,78,187,16,62,63,125,78,78,109,110,78,78,94,31,94,2
125,0,94,15,94,125,63,93,78,110,94,31,843,16,63,78,78,93,94,31,141,31,78,2
93,47,110,93,94,94,31,79,31,140,78,16,172,94,31,62,125,62,31,78,16,16,78,2
94,16,62,47,47,78,32,98,59,124,62,94,62,78,63,78,79,93,62,32,93,32,62,2
79,31,46,110,62,94,31,94,31,125,78,16,609,62,31,62,125,62,62,32,78,16,78,2
94,31,79,46,79,79,15,140,47,90,109,0,94,140,47,63,94,94,16,78,0,16,78,2
94,0,62,579,78,78,32,0,16,93,31,140,31,0,63,78,78,94,78,15,79,16,94,2
62,16,62,32,78,79,15,0,63,125,62,31,781,31,47,63,94,94,94,15,110,16,78,2
63,343,46,188,47,47,62,78,125,79,62,16,62,78,94,62,63,109,47,78,110,31,47,2
63,0,47,94,47,93,47,125,62,141,110,62,156,125,32,125,62,125,16,78,47,47,62,2
203,47,62,94,47,47,62,79,46,110,62,16,922,110,94,62,63,109,62,47,63,31,47,2
140,31,109,47,94,94,62,172,15,100,94,46,94,93,78,47,141,62,16,93,32,47,62,2
