@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,13,14,16,17,18,22,23,24,25,27,28,33,34,36,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,47,78,94,78,156,141,125,94,15,63,62,63,94,94,125,16,63,62,47,79,78,62,1
62,32,78,47,63,47,62,62,62,110,78,140,62,79,79,140,15,47,94,63,78,16,62,1
78,47,93,78,62,32,93,62,94,203,47,62,109,47,109,94,47,47,47,62,63,47,78,1
63,125,94,78,63,47,62,78,78,31,63,171,62,79,79,140,15,78,62,63,78,16,62,1
94,141,93,47,78,250,328,172,47,78,125,94,78,344,140,234,125,62,125,125,78,31,94,1
313,109,31,141,46,79,31,172,140,235,62,188,78,78,16,93,78,156,16,78,62,281,79,1
78,78,297,125,78,250,328,172,109,141,62,47,78,344,140,234,125,79,31,109,78,31,94,1
93,282,93,78,78,234,94,94,63,218,47,156,78,78,63,140,828,78,297,78,63,219,78,1
63,297,47,78,62,188,62,109,78,250,78,62,94,62,78,140,62,94,484,79,78,204,62,1
62,797,78,47,78,234,94,109,78,375,47,141,78,78,63,140,828,62,375,63,63,219,78,1
93,32,93,94,62,110,250,63,125,46,0,204,78,63,125,47,32,47,78,78,93,78,63,1
78,16,94,62,78,31,78,63,78,16,47,266,93,63,125,15,93,0,78,31,62,16,78,1
31,172,172,0,62,110,250,31,109,32,78,1203,78,63,125,47,32,78,63,187,93,78,63,1
156,0,94,93,109,32,171,109,63,62,63,109,47,375,156,47,16,47,78,16,78,31,125,1
62,16,47,63,94,93,47,109,94,109,47,94,78,78,78,47,109,62,16,62,94,15,94,1
47,31,109,63,109,32,171,125,62,125,109,94,47,375,156,47,16,94,62,78,78,31,125,1
125,15,110,78,93,94,78,63,141,0,78,0,109,63,94,78,16,78,78,78,93,32,62,1
187,16,93,94,78,31,63,94,94,63,78,125,328,110,110,93,93,78,32,62,94,31,78,1
78,31,63,78,93,94,78,63,109,16,62,93,109,63,94,78,16,78,16,78,93,32,62,1
125,172,94,109,109,250,78,78,125,140,63,172,78,110,47,156,265,63,422,78,93,94,78,1
110,359,79,78,78,219,93,78,62,328,63,94,94,63,78,109,94,93,547,94,110,125,93,1
94,313,94,63,109,250,78,94,94,187,78,188,78,110,47,156,265,93,203,63,93,94,78,1
63,94,93,47,63,93,156,63,78,125,78,63,56,73,78,31,15,78,78,47,62,31,63,1
62,16,63,63,47,16,47,656,62,125,78,109,78,63,140,0,110,31,47,63,63,31,78,1
78,31,47,78,63,93,156,94,94,31,63,891,56,73,78,31,15,78,172,78,62,31,63,1
109,16,110,109,47,391,438,46,78,31,94,32,31,78,109,125,16,15,78,31,78,0,94,1
