@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,12,14,16,21,22,23,24,26,27,30,33,34,36,40,42'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
94,31,63,94,109,63,62,110,47,63,32,31,906,265,79,141,46,32,46,47,94,15,4048,1
78,62,78,78,78,156,141,125,125,203,78,16,109,47,63,94,125,16,109,32,109,78,3862,1
203,31,32,110,78,16,172,94,62,125,109,63,109,63,93,78,110,93,78,16,93,31,3611,1
78,47,94,78,78,156,125,125,78,109,94,15,129,47,63,94,125,16,63,62,47,78,3614,1
62,32,47,63,63,47,62,62,125,78,62,110,63,78,62,79,140,15,47,94,63,16,3080,1
78,47,78,63,62,32,78,62,62,125,94,203,141,47,109,109,94,47,47,47,62,47,3515,1
63,125,78,62,63,47,63,78,47,141,78,31,79,78,62,79,140,15,78,62,63,16,3141,1
94,141,47,78,78,250,328,172,93,313,47,78,1078,62,78,140,234,125,62,125,125,31,6577,1
313,109,141,157,46,79,0,172,94,140,140,235,62,62,78,16,93,78,156,16,78,281,5172,1
78,78,125,15,78,250,0,172,63,62,109,141,0,62,78,140,234,125,79,31,109,31,4420,1
93,282,78,78,78,234,94,94,984,63,63,218,78,78,78,63,140,828,78,297,78,219,6749,1
63,297,78,63,62,188,93,109,63,203,78,250,125,62,94,78,140,62,94,484,79,204,4935,1
62,797,47,62,78,234,141,109,78,125,78,375,110,78,78,63,140,828,62,375,63,219,6250,1
93,32,94,62,62,110,250,63,94,78,125,46,62,78,78,125,47,32,47,78,78,78,4202,1
78,16,62,78,78,31,125,63,62,141,78,16,94,63,93,125,15,93,0,78,31,16,3891,1
31,172,0,78,62,110,844,31,46,94,109,32,1047,78,78,125,47,32,78,63,187,78,7094,1
156,0,93,109,109,32,171,109,125,62,63,62,126,31,47,156,47,16,47,78,16,31,3624,1
62,16,63,47,94,93,110,109,78,78,94,109,140,63,78,78,47,109,62,16,62,15,3281,1
47,31,63,78,109,32,94,125,63,140,62,125,1176,31,47,156,47,16,94,62,78,31,4501,1
125,15,78,93,93,94,78,63,94,187,141,0,141,141,109,94,78,16,78,78,78,32,3703,1
187,16,94,63,78,31,0,94,62,125,94,63,94,234,328,110,93,93,78,32,62,31,3610,1
78,31,78,78,93,94,94,63,78,94,109,16,78,141,109,94,78,16,78,16,78,32,3280,1
125,172,109,109,109,250,78,78,156,110,125,140,94,94,78,47,156,265,63,422,78,94,4923,1
110,359,78,78,78,219,94,78,93,610,62,328,156,93,94,78,109,94,93,547,94,125,5672,1
94,313,63,94,109,250,93,94,63,156,94,187,78,94,78,47,156,265,93,203,63,94,4811,1
63,94,47,63,63,93,156,63,469,62,78,125,78,78,56,78,31,15,78,78,47,31,3755,1
62,16,63,63,47,16,0,656,166,16,62,125,15,62,78,140,0,110,31,47,63,31,3739,1
78,31,78,62,63,93,0,94,141,15,94,31,844,78,56,78,31,15,78,172,78,31,5098,1
109,16,109,47,47,391,438,46,62,94,78,31,78,94,31,109,125,16,15,78,31,0,4172,1
94,0,78,94,78,141,0,46,94,78,31,78,46,63,62,125,31,94,32,110,31,31,3593,1
78,109,94,78,47,391,0,94,47,46,110,31,765,94,31,109,125,16,94,62,63,0,5717,1
125,31,125,93,93,485,594,140,47,93,78,141,140,47,78,47,62,16,0,125,62,32,4935,1
93,16,78,94,109,47,125,141,79,109,32,110,109,62,94,125,62,78,94,15,63,47,3515,1
156,16,62,94,93,485,234,109,94,109,125,78,985,47,78,47,62,16,93,125,94,32,6516,1
62,63,47,31,31,125,63,79,109,172,62,32,63,63,47,78,78,172,63,78,63,79,3344,1
172,15,78,63,79,46,47,94,63,125,78,15,109,62,78,78,94,62,63,125,31,63,3125,1
62,0,78,62,31,125,46,94,47,109,62,16,62,63,47,78,78,172,78,62,32,79,2983,1
93,547,172,79,79,128,225,110,78,78,63,47,94,47,62,78,63,15,32,93,16,47,4488,1
78,16,109,63,78,47,609,0,63,172,79,93,62,78,78,79,78,94,78,0,63,62,4343,1
78,78,78,78,79,128,0,141,32,62,94,31,812,47,62,78,63,15,47,78,47,47,4134,1
63,15,63,93,93,63,140,109,141,62,63,578,63,47,94,78,94,78,47,109,47,63,3999,1
62,78,94,31,79,62,125,109,62,156,94,78,94,47,78,78,125,110,47,438,62,31,3941,1
62,31,94,78,93,63,47,94,62,94,125,453,63,47,94,78,94,78,94,47,62,63,5077,1
78,47,78,40,40,271,380,125,15,62,47,16,62,47,62,125,32,15,32,94,31,16,3507,1
62,31,78,79,78,32,0,125,157,15,62,31,94,63,62,312,63,94,62,32,62,31,3018,1
63,0,62,94,40,271,125,94,0,94,62,0,813,47,62,125,32,15,79,31,156,16,5659,1
78,94,78,78,78,140,79,93,125,63,47,141,63,125,47,63,93,125,63,125,62,110,4205,1
63,47,63,62,63,94,94,125,62,172,78,78,125,62,78,78,110,62,78,63,46,47,3438,1
63,78,62,47,78,140,78,125,63,125,63,125,63,125,47,63,93,125,78,78,47,110,3585,1
126,31,78,109,109,31,172,156,46,125,94,16,172,0,93,140,47,46,31,94,78,32,3983,1
125,46,109,110,125,15,110,156,94,47,31,63,15,93,110,829,31,78,62,47,94,31,4546,1
141,0,93,78,109,31,172,157,78,15,94,78,719,0,93,140,47,46,109,0,110,32,5156,1
62,78,78,63,63,78,62,94,47,94,78,31,47,32,62,78,94,0,31,79,46,62,3438,1
94,0,47,62,78,61,78,188,62,141,63,62,31,78,78,62,110,94,31,31,94,47,3129,1
94,47,94,47,63,78,79,78,94,31,94,47,895,32,62,78,94,0,78,47,78,62,3866,1
125,16,78,93,93,188,78,94,62,156,110,31,78,78,63,78,110,125,125,125,125,32,3953,1
156,16,109,94,78,0,0,109,94,313,156,31,78,78,47,62,94,94,125,0,94,235,3921,1
109,31,78,109,93,188,0,94,62,78,156,16,203,78,63,78,110,125,125,31,109,32,3623,1
125,16,125,47,47,109,203,62,78,47,31,63,93,16,62,157,31,31,156,110,62,16,3231,1
