@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,8,10,15,16,17,18,19,20,21,22,23,24,27,33,34,39,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,125,110,94,31,79,79,31,172,78,31,62,79,125,62,15,94,31,78,94,16,78,2
94,125,62,47,32,78,98,59,62,94,63,78,93,79,93,78,0,62,32,93,32,62,2
79,31,46,62,31,79,94,31,609,94,31,62,79,125,62,15,94,62,32,94,16,78,2
94,78,79,79,15,140,140,47,94,46,47,63,78,94,94,0,78,16,78,94,16,78,2
94,16,62,78,32,94,0,16,31,125,63,78,78,78,94,78,31,78,15,62,16,94,2
62,78,62,78,15,140,0,63,781,94,47,63,78,94,94,0,78,94,15,94,16,78,2
63,63,46,47,62,78,78,125,62,157,94,62,156,63,109,234,31,47,78,62,31,47,2
63,125,47,47,47,63,125,62,156,63,32,125,47,62,125,63,94,16,78,47,47,62,2
203,63,62,47,62,78,79,46,922,62,94,62,156,63,109,234,31,62,47,62,31,47,2
140,141,109,94,62,172,172,15,94,16,78,47,62,141,62,109,94,16,93,94,47,62,2
125,172,94,78,32,78,94,46,78,62,47,94,46,109,31,78,47,16,78,78,62,79,2
31,250,63,94,62,172,78,94,828,968,78,47,62,141,62,109,94,79,46,94,47,62,2
63,78,62,62,63,78,78,62,62,63,109,62,94,78,93,78,62,47,31,63,47,62,2
78,47,62,62,78,63,63,125,94,157,62,78,63,78,94,93,78,78,47,78,62,63,2
94,47,62,78,63,78,47,125,62,63,109,62,94,78,93,78,62,63,31,63,47,62,2
109,63,31,78,47,125,125,47,594,78,15,78,78,47,63,110,62,16,47,78,0,31,2
