@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,9,12,14,16,23,25,26,27,31,32,33,34,35,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
313,109,32,47,110,141,62,46,79,0,172,94,140,140,235,62,359,63,62,78,78,62,156,16,78,62,79,1
78,78,156,47,78,125,78,78,250,0,172,63,62,109,141,62,94,94,62,78,344,78,79,31,109,78,94,1
93,282,93,94,78,78,891,78,234,94,94,984,63,63,218,47,79,62,78,78,78,78,78,297,78,63,78,1
63,297,62,141,62,78,250,62,188,93,109,63,203,78,250,78,93,78,62,94,62,344,94,484,79,78,62,1
62,797,94,94,62,47,235,78,234,141,109,78,125,78,375,47,62,94,78,78,78,78,62,375,63,63,78,1
93,32,93,63,94,94,78,62,110,250,63,94,78,125,46,0,187,93,78,78,63,93,47,78,78,93,63,1
78,16,94,47,109,62,47,78,31,125,63,62,141,78,16,47,62,78,63,93,63,547,0,78,31,62,78,1
31,172,0,93,78,0,16,62,110,844,31,46,94,109,32,78,94,94,78,78,63,93,78,63,187,93,63,1
156,0,94,16,93,93,16,109,32,171,109,125,62,63,62,63,156,110,31,47,375,78,47,78,16,78,125,1
62,16,94,141,16,63,47,94,93,110,109,78,78,94,109,47,93,125,63,78,78,0,62,16,62,94,94,1
47,31,62,16,93,63,62,109,32,94,125,63,140,62,125,109,125,16,31,47,375,78,94,62,78,78,125,1
125,15,110,78,78,78,63,93,94,78,63,94,187,141,0,78,78,78,141,109,63,78,78,78,78,93,62,1
