@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,5,6,8,11,14,15,16,23,24,25,27,28,30,33,34,36,37,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
0,78,109,407,78,78,78,1109,93,157,94,203,78,78,250,79,94,140,47,235,78,78,109,94,1
47,47,47,140,78,78,110,110,47,15,78,16,110,94,578,78,63,47,31,5,84,46,109,78,1
63,31,31,93,31,15,31,141,188,31,16,78,48,46,140,78,16,78,109,94,0,16,109,16,1
15,16,235,110,16,78,110,438,32,47,625,32,79,93,62,78,63,47,31,110,15,46,109,78,1
16,125,125,109,187,187,157,157,203,125,110,94,93,218,110,109,94,203,157,93,161,141,15,94,1
110,109,156,94,109,78,47,172,93,500,125,125,110,297,156,110,16,141,172,140,516,125,63,93,1
110,531,312,93,125,187,157,94,78,125,141,140,78,110,125,109,94,203,157,110,109,141,15,94,1
93,125,125,94,94,94,125,125,109,141,109,63,93,78,109,62,125,94,110,47,109,109,62,79,1
78,125,125,94,94,94,109,109,94,140,110,140,94,109,125,93,156,47,94,31,125,109,94,94,1
16,94,156,93,109,94,125,125,140,94,125,110,78,110,94,62,125,94,110,78,141,109,62,79,1
63,109,109,63,78,78,94,94,94,109,78,109,63,94,94,63,78,110,46,94,78,110,62,94,1
32,62,78,62,78,94,78,94,62,125,110,15,63,94,78,109,94,93,63,16,93,78,109,63,1
78,63,109,63,94,78,94,110,109,63,93,0,63,94,125,63,78,110,46,31,94,110,62,94,1
47,110,110,171,94,94,156,156,15,94,94,31,109,141,47,141,250,31,16,109,16,125,0,109,1
16,109,0,110,172,125,63,110,109,47,62,109,78,94,140,110,125,93,93,140,16,78,0,125,1
0,62,312,109,78,94,156,125,125,0,141,15,94,94,125,141,250,31,16,0,109,125,0,109,1
15,78,78,78,78,78,141,141,79,78,78,63,78,140,32,47,62,140,78,110,15,110,62,156,1
15,94,32,125,78,78,63,0,62,110,78,78,0,172,93,109,78,93,109,15,94,94,31,78,1
31,94,79,78,94,78,141,187,0,47,140,63,62,78,94,47,62,140,78,141,78,110,62,156,1
47,94,94,109,297,297,203,203,63,172,125,16,94,78,188,62,94,78,94,109,125,109,31,110,1
16,78,219,94,78,93,78,156,78,94,109,0,94,94,141,93,109,63,78,78,0,78,15,78,1
110,15,63,94,125,297,203,0,125,16,47,16,172,78,78,62,94,78,94,15,141,109,31,110,1
78,125,125,109,110,110,203,203,390,500,125,47,110,110,343,78,109,63,110,94,78,94,47,78,1
15,156,141,109,78,125,62,0,63,609,46,109,78,110,266,62,78,110,94,78,78,78,31,94,1
375,79,94,110,93,110,203,0,78,141,141,31,110,78,1114,78,109,63,110,484,203,94,47,78,1
47,78,78,141,109,109,78,78,62,78,15,47,31,78,125,16,47,125,47,78,0,0,78,16,1
156,32,15,47,47,31,16,531,79,172,47,79,31,31,78,94,94,0,109,78,31,31,62,0,1
156,32,62,31,47,109,78,671,109,0,78,32,93,16,937,16,47,125,47,79,78,0,78,16,1
15,109,109,141,110,110,125,125,31,47,63,125,203,203,109,47,47,141,16,109,16,15,93,47,1
31,109,62,94,125,16,94,0,63,78,0,16,46,16,203,93,0,93,78,94,15,0,63,93,1
62,0,15,203,16,110,125,657,47,125,250,78,453,94,781,47,47,141,16,63,219,15,93,47,1
62,62,62,63,63,63,78,78,141,78,78,79,62,63,125,60,47,125,94,94,62,78,79,62,1
47,62,47,63,62,79,63,78,67,91,94,93,63,78,76,78,78,109,176,78,62,62,141,62,1
62,63,62,62,94,63,78,62,86,115,78,140,63,74,63,60,47,125,94,141,235,78,79,62,1
78,110,110,109,109,109,109,109,125,78,47,234,78,110,16,62,140,16,203,78,109,63,16,62,2
47,78,94,93,63,125,62,0,47,203,94,109,32,78,203,78,109,16,63,265,110,78,16,78,2
16,78,328,78,62,109,109,0,251,62,125,109,109,63,156,62,140,16,203,219,78,63,16,62,2
16,78,78,62,94,94,250,250,125,94,109,62,94,109,157,63,94,62,47,63,109,93,47,110,2
31,78,219,63,47,47,62,0,94,16,47,125,156,78,219,62,79,78,62,78,31,110,31,78,2
63,16,218,94,125,94,250,62,46,172,63,15,62,109,1047,63,94,62,47,110,172,93,47,110,2
47,172,172,78,94,94,250,250,15,63,62,47,62,47,31,62,32,141,78,78,47,63,31,78,2
15,109,110,94,94,78,16,0,172,47,47,125,16,94,31,63,31,94,63,78,16,63,31,110,2
93,16,110,62,78,94,250,906,31,141,94,203,78,91,797,62,32,141,78,15,93,63,31,78,2
16,109,109,62,78,78,109,109,140,47,62,32,78,62,47,188,218,47,47,78,16,47,46,63,2
359,94,63,63,32,62,47,0,78,47,31,47,16,62,93,63,94,15,156,78,15,63,47,47,2
78,16,110,78,79,78,109,0,32,79,125,78,78,62,766,188,218,47,47,15,94,47,46,63,2
437,94,94,78,94,94,140,140,141,219,93,16,94,94,125,63,62,94,94,78,94,78,78,62,2
15,94,125,94,94,94,78,0,62,110,31,109,125,94,46,78,94,109,78,78,46,78,63,78,2
110,16,219,94,78,94,140,109,78,94,109,16,78,62,63,63,62,94,94,94,78,78,78,62,2
4369,113,113,69,90,90,80,80,101,192,89,36,79,79,297,78,69,111,78,37,78,33,69,61,2
4,79,68,98,65,78,78,70,94,187,89,24,81,94,94,68,78,94,62,13,85,78,63,78,2
6,79,39,79,104,90,80,73,31,172,11,73,31,47,258,78,69,111,78,15,94,33,69,61,2
156,125,125,94,109,109,172,172,78,94,79,78,78,109,109,250,156,63,47,63,78,78,78,125,2
15,94,78,78,63,156,78,0,94,62,109,94,15,110,78,78,110,47,94,94,62,109,172,125,2
78,410,110,78,78,109,172,0,93,141,93,172,94,141,94,250,156,63,47,266,109,78,78,125,2
32,125,125,63,93,93,187,187,47,125,63,31,78,78,110,94,94,78,15,88,78,109,16,93,2
32,94,47,94,93,62,62,110,78,78,47,117,20,94,78,47,94,31,172,32,421,63,46,125,2
78,32,125,78,93,93,187,109,94,94,63,15,78,94,94,94,94,78,15,15,125,109,16,93,2
141,78,78,63,78,78,62,62,157,62,63,109,47,94,109,63,79,125,203,188,46,47,47,78,2
78,63,62,47,46,62,78,63,78,125,79,125,62,63,94,828,93,110,62,172,63,63,62,63,2
109,47,47,47,62,78,62,47,62,125,94,219,47,63,171,63,79,125,203,125,78,47,47,78,2
125,109,109,78,125,125,109,109,109,94,94,0,94,94,47,78,78,93,47,78,63,79,31,78,2
16,78,156,78,78,94,110,78,79,46,16,62,47,109,93,78,109,110,94,78,94,78,31,94,2
0,78,94,94,94,125,109,93,78,63,94,31,78,94,984,78,78,93,47,31,141,79,31,78,2
47,125,125,110,94,94,79,79,109,94,78,16,46,110,78,62,125,62,15,78,16,94,16,78,2
16,62,125,62,47,78,78,98,62,125,62,94,31,94,94,78,79,93,78,32,93,93,32,62,2
31,62,31,46,62,94,79,94,16,62,78,16,94,78,94,62,125,62,15,32,78,94,16,78,2
31,78,78,79,79,79,140,140,62,94,109,0,62,110,46,63,94,94,0,78,0,94,16,78,2
0,63,16,62,78,78,94,0,172,31,31,140,16,78,125,78,78,94,78,15,79,62,16,94,2
16,78,78,62,78,79,140,0,63,31,62,31,78,109,94,63,94,94,0,15,110,94,16,78,2
343,63,63,46,47,47,78,78,156,63,62,16,62,156,157,62,63,109,234,78,110,62,31,47,2
0,78,125,47,47,93,63,125,47,141,110,62,47,78,63,125,62,125,63,78,47,47,47,62,2
47,16,63,62,47,47,78,79,47,156,62,16,62,47,62,62,63,109,234,47,63,62,31,47,2
31,141,141,109,94,94,172,172,62,125,94,46,63,94,16,47,141,62,109,93,32,94,47,62,2
32,110,172,94,78,93,78,94,141,62,16,141,16,94,62,94,109,31,78,78,47,78,62,79,2
109,16,250,63,94,94,172,78,0,78,79,15,94,516,968,47,141,62,109,46,94,94,47,62,2
78,78,78,62,62,62,78,78,94,78,63,78,62,78,63,62,78,93,78,31,78,63,47,62,2
62,79,47,62,62,63,63,63,188,15,78,125,47,63,157,78,78,94,93,47,62,78,62,63,2
78,78,47,62,78,62,78,47,93,94,62,78,63,78,63,62,78,93,78,31,125,63,47,62,2
47,63,63,31,78,78,125,125,62,47,93,16,78,78,78,78,47,63,110,47,94,78,0,31,2
16,78,31,78,110,16,32,484,94,0,609,47,16,16,31,63,31,62,109,94,16,16,94,16,2
156,0,32,78,110,78,125,0,31,110,31,78,94,78,547,78,47,63,110,93,78,78,0,31,2
32,109,109,78,62,62,78,78,93,94,79,78,93,94,141,62,79,78,63,15,94,62,31,79,2
16,93,78,78,63,93,94,109,78,93,125,141,94,110,125,78,78,110,78,47,78,78,94,94,2
78,78,93,93,78,62,78,47,172,15,140,63,78,79,32,62,79,78,63,156,94,62,31,79,2
109,62,62,63,63,63,78,78,140,94,63,62,47,63,47,63,78,94,188,78,78,47,78,63,2
47,63,78,78,63,62,62,63,63,172,62,94,78,78,78,78,63,109,62,78,62,63,62,47,2
62,63,78,47,63,63,78,63,62,110,63,47,78,62,94,63,78,94,188,47,94,47,78,63,2
47,157,157,125,156,156,78,78,109,94,63,16,78,266,16,94,31,109,93,94,47,78,31,63,2
15,94,110,125,78,15,47,141,94,219,62,47,31,156,20,62,15,125,63,94,94,93,0,63,2
47,16,16,78,94,156,78,0,15,110,125,94,94,31,1094,94,31,109,93,31,156,78,31,63,2
79,109,109,94,78,78,109,109,125,78,94,141,31,110,93,78,141,0,93,78,63,78,32,93,2
125,93,0,94,63,47,31,110,78,109,78,78,31,156,94,94,63,172,125,78,94,63,93,78,2
31,78,97,31,156,78,109,0,187,120,78,47,109,63,78,78,141,0,93,94,78,78,32,93,2
