@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,6,8,11,12,14,16,19,20,23,24,27,28,31,33,34,41,42,43'

@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
94,93,109,94,125,141,140,94,78,110,125,94,62,94,94,110,93,94,78,141,109,1
109,63,78,78,94,98,94,109,63,94,78,94,63,78,110,46,63,63,94,78,110,1
62,62,78,94,94,78,62,125,63,94,63,78,109,47,93,63,109,63,16,93,78,1
63,63,94,78,110,78,109,63,63,94,93,125,63,78,110,46,63,63,31,94,110,1
110,171,94,94,156,140,15,94,109,141,110,47,141,94,31,16,114,78,109,16,125,1
109,110,172,125,110,187,109,47,78,94,0,140,110,93,93,93,110,62,140,16,78,1
62,109,78,94,125,140,125,0,94,94,860,125,141,94,31,16,114,125,0,109,125,1
78,78,78,78,141,125,79,78,78,140,109,32,47,63,140,78,16,0,110,15,110,1
94,125,78,78,0,125,62,110,0,172,47,93,109,63,93,109,187,94,15,94,94,1
94,78,94,78,187,94,0,47,62,78,937,94,47,63,140,78,16,78,141,78,110,1
94,109,297,297,203,137,63,172,94,78,94,188,62,125,78,94,78,94,109,125,109,1
78,94,78,93,156,137,78,94,94,94,16,141,93,79,63,78,109,15,78,0,78,1
15,94,125,297,0,140,125,16,172,78,110,78,62,125,78,94,78,78,15,141,109,1
125,109,110,110,203,109,390,500,110,110,94,343,78,125,63,110,93,78,94,78,94,1
156,109,78,125,0,109,63,609,78,110,141,266,62,94,110,94,172,79,78,78,78,1
79,110,93,110,0,125,78,141,110,78,1020,1114,78,125,63,110,93,94,484,203,94,1
78,141,109,109,78,31,62,78,31,78,687,125,16,62,125,47,63,31,78,0,0,1
32,47,47,31,531,31,79,172,31,31,0,78,94,62,0,109,31,32,78,31,31,1
32,31,47,109,671,31,109,0,93,16,797,937,16,62,125,47,63,0,79,78,0,1
109,141,110,110,125,125,31,47,203,203,610,109,47,93,141,16,63,46,109,16,15,1
109,94,125,16,0,125,63,78,46,16,125,203,93,79,93,78,156,0,94,15,0,1
0,203,16,110,657,15,47,125,453,94,656,781,47,93,141,16,63,93,63,219,15,1
62,63,63,63,78,78,141,78,62,63,109,125,60,106,125,94,62,63,94,62,78,1
62,63,62,79,78,47,67,91,63,78,115,76,78,31,109,176,13,63,78,62,62,1
63,62,94,63,62,78,86,115,63,74,62,63,60,106,125,94,62,62,141,235,78,1
110,109,109,109,109,78,125,78,78,110,0,16,62,109,16,203,63,32,78,109,63,2
78,93,63,125,0,141,47,203,32,78,62,203,78,63,16,63,94,78,265,110,78,2
78,78,62,109,0,94,251,62,109,63,813,156,62,109,16,203,63,78,219,78,63,2
78,62,94,94,250,141,125,94,94,109,93,157,63,62,62,47,78,156,63,109,93,2
78,63,47,47,0,141,94,16,156,78,172,219,62,63,78,62,266,16,78,31,110,2
16,94,125,94,62,94,46,172,62,109,953,1047,63,62,62,47,78,78,110,172,93,2
172,78,94,94,250,47,15,63,62,47,0,31,62,78,141,78,16,16,78,47,63,2
109,94,94,78,0,47,172,47,16,94,141,31,63,78,94,63,125,16,78,16,63,2
16,62,78,94,906,47,31,141,78,91,735,797,62,78,141,78,16,110,15,93,63,2
109,62,78,78,109,63,140,47,78,62,0,47,188,359,47,47,62,16,78,16,47,2
94,63,32,62,0,94,78,47,16,62,79,93,63,94,15,156,16,16,78,15,63,2
16,78,79,78,0,94,32,79,78,62,703,766,188,359,47,47,62,47,15,94,47,2
94,78,94,94,140,62,141,219,94,94,94,125,63,109,94,94,109,125,78,94,78,2
94,94,94,94,0,62,62,110,125,94,94,46,78,63,109,78,78,16,78,46,78,2
16,94,78,94,109,78,78,94,78,62,937,63,63,109,94,94,109,78,94,78,78,2
113,69,90,90,80,110,101,192,79,79,78,297,78,78,111,78,109,81,37,78,33,2
79,98,65,78,70,65,94,187,81,94,172,94,68,150,94,62,141,79,13,85,78,2
79,79,104,90,73,103,31,172,31,47,74,258,78,78,111,78,109,78,15,94,33,2
125,94,109,109,172,109,78,94,78,109,78,109,250,78,63,47,125,15,63,78,78,2
94,78,63,156,0,109,94,62,15,110,141,78,78,63,47,94,62,410,94,62,109,2
410,78,78,109,0,109,93,141,94,141,828,94,250,78,63,47,125,125,266,109,78,2
125,63,93,93,187,78,47,125,78,78,562,110,94,78,78,15,78,20,88,78,109,2
94,94,93,62,110,78,78,78,20,94,94,78,47,63,31,172,15,32,32,421,63,2
32,78,93,93,109,63,94,94,78,94,719,94,94,78,78,15,78,125,15,125,109,2
78,63,78,78,62,47,157,62,47,94,78,109,63,1015,125,203,62,62,188,46,47,2
63,47,46,62,63,78,78,125,62,63,125,94,828,62,110,62,485,47,172,63,63,2
47,47,62,78,47,109,62,125,47,63,79,171,63,1015,125,203,62,63,125,78,47,2
109,78,125,125,109,125,109,94,94,94,109,47,78,109,93,47,78,47,78,63,79,2
78,78,78,94,78,187,79,46,47,109,63,93,78,78,110,94,62,78,78,94,78,2
78,94,94,125,93,110,78,63,78,94,843,984,78,109,93,47,78,94,31,141,79,2
125,110,94,94,79,140,109,94,46,110,172,78,62,79,62,15,94,31,78,16,94,2
62,62,47,78,98,124,62,125,31,94,62,94,78,93,93,78,0,62,32,93,93,2
62,46,62,94,94,125,16,62,94,78,609,94,62,79,62,15,94,62,32,78,94,2
78,79,79,79,140,90,62,94,62,110,94,46,63,78,94,0,78,16,78,0,94,2
63,62,78,78,0,93,172,31,16,78,31,125,78,78,94,78,31,78,15,79,62,2
78,62,78,79,0,125,63,31,78,109,781,94,63,78,94,0,78,94,15,110,94,2
63,46,47,47,78,79,156,63,62,156,62,157,62,156,109,234,31,47,78,110,62,2
78,47,47,93,125,141,47,141,47,78,156,63,125,47,125,63,94,16,78,47,47,2
16,62,47,47,79,110,47,156,62,47,922,62,62,156,109,234,31,62,47,63,62,2
141,109,94,94,172,100,62,125,63,94,94,16,47,62,62,109,94,16,93,32,94,2
110,94,78,93,94,110,141,62,16,94,78,62,94,46,31,78,47,16,78,47,78,2
16,63,94,94,78,125,0,78,94,516,828,968,47,62,62,109,94,79,46,94,94,2
78,62,62,62,78,79,94,78,62,78,62,63,62,94,93,78,62,47,31,78,63,2
79,62,62,63,63,62,188,15,47,63,94,157,78,63,94,93,78,78,47,62,78,2
78,62,78,62,47,63,93,94,63,78,62,63,62,94,93,78,62,63,31,125,63,2
63,31,78,78,125,47,62,47,78,78,594,78,78,78,63,110,62,16,47,94,78,2
78,78,110,16,484,47,94,0,16,16,110,31,63,78,62,109,62,0,94,16,16,2
0,78,110,78,0,62,31,110,94,78,0,547,78,78,63,110,62,16,93,78,78,2
109,78,62,62,78,62,93,94,93,94,125,141,62,79,78,63,93,94,15,94,62,2
93,78,63,93,109,78,78,93,94,110,15,125,78,78,110,78,94,78,47,78,78,2
78,93,78,62,47,94,172,15,78,79,0,32,62,79,78,63,93,94,156,94,62,2
62,63,63,63,78,63,140,94,47,63,93,47,63,109,94,188,78,78,78,78,47,2
63,78,63,62,63,78,63,172,78,78,110,78,78,78,109,62,125,63,78,62,63,2
63,47,63,63,63,47,62,110,78,62,110,94,63,109,94,188,78,47,47,94,47,2
157,125,156,156,78,180,109,94,78,266,0,16,94,62,109,93,0,31,94,47,78,2
94,125,78,15,141,187,94,219,31,156,110,20,62,63,125,63,141,16,94,94,93,2
16,78,94,156,0,172,15,110,94,31,984,1094,94,62,109,93,0,63,31,156,78,2
109,94,78,78,109,125,125,78,31,110,94,93,78,94,0,93,32,31,78,63,78,2
93,94,63,47,110,125,78,109,31,156,120,94,94,46,172,125,500,78,78,94,63,2
78,31,156,78,0,94,187,120,109,63,735,78,78,94,0,93,32,78,94,78,78,2
