@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,9,10,12,13,15,16,23,24,25,27,30,33,34,36,37,38,39,42,43'

@attribute dtfk1 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
31,78,62,94,0,78,79,15,94,516,968,78,47,141,62,109,94,47,2
63,63,63,62,94,78,63,78,62,78,63,109,62,78,93,78,63,47,2
78,63,78,125,188,15,78,125,47,63,157,62,78,78,94,93,78,62,2
94,47,63,125,93,94,62,78,63,78,63,109,62,78,93,78,63,47,2
109,16,47,47,62,47,93,16,78,78,78,15,78,47,63,110,78,0,2
47,16,93,500,94,0,609,47,16,16,31,31,63,31,62,109,16,94,2
94,0,47,47,31,110,31,78,94,78,547,15,78,47,63,110,78,0,2
94,94,157,172,93,94,79,78,93,94,141,141,62,79,78,63,62,31,2
94,141,0,157,78,93,125,141,94,110,125,94,78,78,110,78,78,94,2
110,79,157,156,172,15,140,63,78,79,32,141,62,79,78,63,62,31,2
94,93,94,187,140,94,63,62,47,63,47,156,63,78,94,188,47,78,2
94,78,63,62,63,172,62,94,78,78,78,63,78,63,109,62,63,62,2
63,109,94,140,62,110,63,47,78,62,94,156,63,78,94,188,47,78,2
78,46,0,78,109,94,63,16,78,266,16,78,94,31,109,93,78,31,2
94,110,78,47,94,219,62,47,31,156,20,94,62,15,125,63,93,0,2
47,15,0,15,15,110,125,94,94,31,1094,78,94,31,109,93,78,31,2
62,94,62,31,125,78,94,141,31,110,93,63,78,141,0,93,78,32,2
78,109,78,31,78,109,78,78,31,156,94,94,94,63,172,125,63,93,2
78,78,62,0,187,120,78,47,109,63,78,63,78,141,0,93,78,32,2
