@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,6,7,9,10,11,12,14,16,21,24,25,26,27,28,34,37,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute ft3 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,16,109,47,0,609,0,63,172,79,93,109,47,78,78,79,78,172,94,78,0,15,62,47,4343,1
78,78,78,63,297,0,141,32,62,94,31,47,109,62,109,78,63,93,15,62,78,94,47,94,4134,1
63,15,63,93,16,140,109,141,62,63,578,78,125,94,141,78,94,188,78,62,109,93,63,62,3999,1
62,78,125,93,78,125,109,62,156,94,78,94,94,78,63,78,125,62,110,78,438,94,31,94,3941,1
62,31,47,109,62,47,94,62,94,125,453,63,766,94,141,78,94,188,78,62,47,93,63,62,5077,1
78,47,94,78,52,380,125,15,62,47,16,94,94,62,63,125,32,0,15,78,94,62,16,78,3507,1
62,31,78,110,31,0,125,157,15,62,31,78,94,62,63,312,63,94,94,141,32,78,31,79,3018,1
63,0,62,125,16,125,94,0,94,62,0,76,922,62,63,125,32,0,15,78,31,62,16,78,5659,1
78,94,94,109,563,79,93,125,63,47,141,62,125,47,63,63,93,63,125,62,125,62,110,78,4205,1
63,47,78,109,109,94,125,62,172,78,78,78,125,78,63,78,110,62,62,78,63,63,47,78,3438,1
63,78,78,125,78,78,125,63,125,63,125,47,78,47,63,63,93,63,125,62,78,62,110,78,3585,1
126,31,125,94,31,172,156,46,125,94,16,109,109,93,453,140,47,63,46,79,94,78,32,78,3983,1
125,46,125,172,0,110,156,94,47,31,63,94,125,110,78,829,31,93,78,110,47,157,31,109,4546,1
141,0,62,109,32,172,157,78,15,94,78,94,141,93,453,140,47,63,46,79,0,78,32,78,5156,1
62,78,110,62,16,62,94,47,94,78,31,93,94,62,110,78,94,63,0,78,79,78,62,63,3438,1
94,0,78,156,31,78,188,62,141,63,62,47,297,78,63,62,110,62,94,15,31,78,47,78,3129,1
94,47,31,110,62,79,78,94,31,94,47,109,62,62,110,78,94,63,0,78,47,78,62,63,3866,1
125,16,94,109,63,78,94,62,156,110,31,109,31,63,62,78,110,78,125,110,125,78,32,125,3953,1
156,16,62,63,31,0,109,94,313,156,31,78,141,47,63,62,94,62,94,235,0,62,235,125,3921,1
109,31,125,110,47,0,94,62,78,156,16,78,78,63,62,78,110,78,125,110,31,78,32,125,3623,1
125,16,109,15,0,203,62,78,47,31,63,47,297,62,94,157,31,62,31,47,110,78,16,62,3231,1
47,78,16,62,109,1469,31,78,63,0,62,125,32,78,78,0,47,63,156,16,125,63,31,94,4361,1
16,79,31,47,78,141,125,0,47,125,719,78,0,62,94,157,31,62,31,47,0,78,16,62,4186,1
