dtfk1,dtsk1,ft2,dtfk3,ft4,dtsk4,ft5,dtfk7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,gender
250,62,63,109,47,156,79,141,94,94,15,94,250,125,16,114,125,0,109,125,1
125,78,94,78,16,141,62,78,78,140,47,63,62,109,78,16,0,110,15,110,1
78,94,109,125,78,63,15,78,0,172,78,63,78,31,109,187,94,15,94,94,1
78,94,93,78,16,141,0,140,62,78,47,63,62,109,78,16,78,141,78,110,1
93,94,141,109,16,203,15,125,94,78,157,125,94,141,94,78,94,109,125,109,1
172,78,0,94,32,78,16,109,94,94,110,79,109,375,78,109,15,78,0,78,1
62,15,219,94,16,203,47,47,172,78,157,125,94,141,94,78,78,15,141,109,1
94,125,94,109,109,203,78,125,110,110,156,125,109,109,110,93,78,94,78,94,1
500,156,16,109,47,62,15,46,78,110,79,94,78,94,94,172,79,78,78,78,1
93,79,109,110,109,203,47,141,110,78,156,125,109,109,110,93,94,484,203,94,1
156,78,63,141,31,78,32,15,31,78,94,62,47,62,47,63,31,78,0,0,1
78,32,125,47,156,16,625,47,31,31,31,62,94,47,109,31,32,78,31,31,1
78,32,47,31,31,78,193,78,93,16,94,62,47,62,47,63,0,79,78,0,1
110,109,63,141,31,125,31,63,203,203,125,93,47,31,16,63,46,109,16,15,1
47,109,547,94,110,94,0,0,46,16,47,79,0,1000,78,156,0,94,15,0,1
32,0,63,203,31,125,720,250,453,94,125,93,47,31,16,63,93,63,219,15,1
94,62,125,63,172,78,31,78,62,63,40,106,47,63,94,62,63,94,62,78,1
78,62,125,63,62,63,250,94,63,78,47,31,78,101,176,13,63,78,62,62,1
63,63,126,62,172,78,188,78,63,74,40,106,47,63,94,62,62,141,235,78,1
78,110,78,109,79,109,31,47,78,110,141,109,140,109,203,63,32,78,109,63,2
78,78,47,93,63,62,31,94,32,78,78,63,109,125,63,94,78,265,110,78,2
78,78,31,78,79,109,16,125,109,63,141,109,140,109,203,63,78,219,78,63,2
375,78,94,62,156,250,31,109,94,109,156,62,94,109,47,78,156,63,109,93,2
94,78,31,63,47,62,32,47,156,78,63,63,79,94,62,266,16,78,31,110,2
171,16,63,94,156,250,94,63,62,109,156,62,94,109,47,78,78,110,172,93,2
109,172,31,78,141,250,47,62,62,47,63,78,32,16,78,16,16,78,47,63,2
63,109,62,94,172,16,47,47,16,94,15,78,31,968,63,125,16,78,16,63,2
32,16,188,62,141,250,1000,94,78,91,63,78,32,16,78,16,110,15,93,63,2
62,109,16,62,31,109,31,62,78,62,16,359,218,16,47,62,16,78,16,47,2
47,94,15,63,16,47,15,31,16,62,62,94,94,94,156,16,16,78,15,63,2
63,16,203,78,31,109,31,125,78,62,16,359,218,16,47,62,47,15,94,47,2
172,94,94,78,31,140,31,93,94,94,125,109,62,78,94,109,125,78,94,78,2
219,94,16,94,62,78,16,31,125,94,78,63,94,109,78,78,16,78,46,78,2
140,16,31,94,31,140,16,109,78,62,125,109,62,78,94,109,78,94,78,78,2
57,113,168,69,63,80,442,89,79,79,47,78,69,63,78,109,81,37,78,33,2
192,79,80,98,31,78,411,89,81,94,58,150,78,141,62,141,79,13,85,78,2
74,79,136,79,63,80,185,11,31,47,47,78,69,63,78,109,78,15,94,33,2
110,125,31,94,63,172,47,79,78,109,110,78,156,78,47,125,15,63,78,78,2
