dtfk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtfk7,dtsk7,ft8,dtfk10,dtsk10,dtfk11,dtsk12,dtfk13,dtfk14,ft14,gender
125,109,110,15,78,110,125,31,31,125,93,78,829,110,62,157,31,1
141,93,78,31,172,172,93,94,94,141,0,453,140,79,109,78,32,1
62,78,63,78,62,62,94,78,94,94,32,110,78,78,31,78,62,1
94,47,62,61,52,78,94,63,31,297,78,63,62,15,31,78,47,1
94,94,47,78,62,79,78,94,78,62,32,110,78,78,78,78,62,1
125,78,93,188,78,78,31,110,78,31,78,62,78,110,125,78,32,1
156,109,94,0,78,0,31,156,125,141,78,63,62,235,125,62,235,1
109,78,109,188,78,0,0,156,94,78,78,62,78,110,125,78,32,1
125,125,47,109,203,203,47,31,31,297,16,94,157,47,156,78,16,1
47,31,31,94,0,1469,140,0,156,32,78,78,0,16,31,63,31,1
16,31,62,109,203,141,15,125,109,0,16,94,157,47,94,78,16,1
141,94,78,203,78,78,249,78,407,94,234,93,94,109,78,78,109,1
109,109,78,157,78,62,204,78,78,125,281,93,94,110,78,94,125,1
110,407,78,203,78,1109,63,94,78,88,234,93,94,109,93,78,109,1
156,140,78,79,110,110,15,78,110,62,63,79,63,63,48,46,109,1
15,93,31,94,31,141,0,16,48,32,31,63,16,31,16,16,109,1
63,110,16,79,110,438,125,625,79,0,63,79,63,63,16,46,109,1
156,109,187,109,157,157,156,110,93,16,94,63,94,171,110,141,15,1
125,94,109,141,47,172,0,125,110,47,93,62,16,78,531,125,63,1
250,93,125,109,157,94,156,141,78,0,94,63,94,171,93,141,15,1
125,94,94,125,125,125,78,109,93,157,94,94,125,93,94,109,62,1
141,94,94,47,109,109,32,110,94,125,47,78,156,453,94,109,94,1
109,93,109,125,125,125,47,125,78,94,94,94,125,93,94,109,62,1
78,63,78,125,94,94,219,78,63,109,93,78,78,63,63,110,62,1
109,62,78,31,78,94,187,110,63,125,78,47,94,109,63,78,109,1
78,63,94,125,94,110,234,93,63,78,93,78,78,63,63,110,62,1
93,171,94,47,156,156,32,94,109,93,15,94,250,114,78,125,0,1
94,110,172,0,63,110,78,62,78,94,62,93,125,110,62,78,0,1
250,109,78,47,156,125,79,141,94,109,15,94,250,114,125,125,0,1
125,78,78,16,141,141,62,78,78,47,47,63,62,16,0,110,62,1
78,125,78,78,63,0,15,78,0,47,78,63,78,187,94,94,31,1
78,78,94,16,141,187,0,140,62,0,47,63,62,16,78,110,62,1
93,109,297,16,203,203,15,125,94,109,157,125,94,78,94,109,31,1
172,94,78,32,78,156,16,109,94,94,110,79,109,109,15,78,15,1
62,94,125,16,203,0,47,47,172,94,157,125,94,78,78,109,31,1
94,109,110,109,203,203,78,125,110,93,156,125,109,93,78,94,47,1
500,109,78,47,62,0,15,46,78,94,79,94,78,172,79,78,31,1
93,110,93,109,203,0,47,141,110,109,156,125,109,93,94,94,47,1
156,141,109,31,78,78,32,15,31,78,94,62,47,63,31,0,78,1
78,47,47,156,16,531,625,47,31,47,31,62,94,31,32,31,62,1
78,31,47,31,78,671,193,78,93,0,94,62,47,63,0,0,78,1
110,141,110,31,125,125,31,63,203,32,125,93,47,63,46,15,93,1
47,94,125,110,94,0,0,0,46,47,47,79,0,156,0,0,63,1
32,203,16,31,125,657,720,250,453,78,125,93,47,63,93,15,93,1
94,63,63,172,78,78,31,78,62,203,40,106,47,62,63,78,79,1
78,63,62,62,63,78,250,94,63,125,47,31,78,13,63,62,141,1
63,62,94,172,78,62,188,78,63,67,40,106,47,62,62,78,79,1
78,109,109,79,109,109,31,47,78,156,141,109,140,63,32,63,16,2
78,93,63,63,62,0,31,94,32,187,78,63,109,94,78,78,16,2
78,78,62,79,109,0,16,125,109,78,141,109,140,63,78,63,16,2
375,62,94,156,250,250,31,109,94,78,156,62,94,78,156,93,47,2
