ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,ft8,dtfk10,dtsk10,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
109,110,141,157,46,79,31,0,172,140,235,62,359,515,62,78,94,78,62,62,281,79,1
78,78,125,15,78,250,328,0,172,109,141,62,94,125,62,344,47,125,78,78,31,94,1
282,78,78,78,78,234,94,94,94,63,218,47,79,109,78,78,78,828,78,63,219,78,1
297,62,78,63,62,188,62,93,109,78,250,78,93,47,62,62,94,62,344,78,204,62,1
797,62,47,62,78,234,94,141,109,78,375,47,62,78,78,78,78,828,78,63,219,78,1
32,94,94,62,62,110,250,250,63,125,46,0,187,266,78,63,109,32,93,93,78,63,1
16,109,62,78,78,31,78,125,63,78,16,47,62,516,63,63,94,93,547,62,16,78,1
172,78,0,78,62,110,250,844,31,109,32,78,94,78,78,63,109,32,93,93,78,63,1
0,93,93,109,109,32,171,171,109,63,62,63,156,78,31,375,63,16,78,78,31,125,1
16,16,63,47,94,93,47,110,109,94,109,47,93,16,63,78,16,109,0,94,15,94,1
31,93,63,78,109,32,171,94,125,62,125,109,125,0,31,375,63,16,78,78,31,125,1
15,78,78,93,93,94,78,78,63,141,0,78,78,94,141,63,93,16,78,93,32,62,1
16,63,94,63,78,31,63,0,94,94,63,78,93,94,234,110,94,93,32,94,31,78,1
31,62,78,78,93,94,78,94,63,109,16,62,79,110,141,63,93,16,78,93,32,62,1
172,109,109,109,109,250,78,78,78,125,140,63,62,125,94,110,94,265,94,93,94,78,1
359,78,78,78,78,219,93,94,78,62,328,63,109,141,93,63,156,94,140,110,125,93,1
313,78,63,94,109,250,78,93,94,94,187,78,109,94,94,110,94,265,94,93,94,78,1
94,47,47,63,63,93,156,156,63,78,125,78,141,47,78,73,79,15,110,62,31,63,1
16,47,63,63,47,16,47,0,656,62,125,78,78,78,62,63,47,110,62,63,31,78,1
31,63,78,62,63,93,156,0,94,94,31,63,78,703,78,73,79,15,110,62,31,63,1
16,109,109,47,47,391,438,438,46,78,31,94,110,140,94,78,109,16,78,78,0,94,1
0,110,78,94,78,141,78,0,46,31,78,15,63,109,63,78,687,94,78,78,31,94,1
109,93,94,78,47,391,438,0,94,110,31,94,0,94,94,78,109,16,78,78,0,94,1
31,125,125,93,93,485,594,594,140,78,141,62,125,109,47,78,125,16,93,78,32,93,1
16,125,78,94,109,47,78,125,141,32,110,0,78,110,62,62,172,78,94,94,47,93,1
16,63,62,94,93,485,594,234,109,125,78,94,109,94,47,78,125,16,93,78,32,93,1
63,47,47,31,31,125,63,63,79,62,32,78,78,78,63,93,78,172,78,46,79,78,1
15,47,78,63,79,46,47,47,94,78,15,63,78,63,62,63,125,62,47,62,63,78,1
0,63,78,62,31,125,63,46,94,62,16,62,62,79,63,93,78,172,78,46,79,78,1
547,172,172,79,79,128,225,225,110,63,47,78,15,140,47,109,47,15,62,94,47,94,1
16,109,109,63,78,47,62,609,0,79,93,32,109,47,78,78,110,94,78,15,62,47,1
78,47,78,78,79,128,225,0,141,94,31,172,47,109,47,109,47,15,62,94,47,94,1
15,63,63,93,93,63,140,140,109,63,578,94,78,125,47,141,47,78,62,93,63,62,1
78,63,94,31,79,62,78,125,109,94,78,47,94,94,47,63,93,110,78,94,31,94,1
31,63,94,78,93,63,140,47,94,125,453,78,63,766,47,141,47,78,62,93,63,62,1
47,78,78,40,40,271,380,380,125,47,16,62,94,94,47,63,47,15,78,62,16,78,1
31,0,78,79,78,32,78,0,125,62,31,32,78,94,63,63,62,94,141,78,31,79,1
0,78,62,94,40,271,380,125,94,62,0,32,76,922,47,63,47,15,78,62,16,78,1
94,78,78,78,78,140,79,79,93,47,141,62,62,125,125,63,63,125,62,62,110,78,1
47,63,63,62,63,94,62,94,125,78,78,63,78,125,62,63,110,62,78,63,47,78,1
78,47,62,47,78,140,79,78,125,63,125,83,47,78,125,63,63,125,62,62,110,78,1
31,78,78,109,109,31,172,172,156,94,16,93,109,109,0,453,32,46,79,78,32,78,1
46,16,109,110,125,15,78,110,156,31,63,31,94,125,93,78,109,78,110,157,31,109,1
0,110,93,78,109,31,172,172,157,94,78,94,94,141,0,453,32,46,79,78,32,78,1
78,78,78,63,63,78,62,62,94,78,31,94,93,94,32,110,141,0,78,78,62,63,1
0,16,47,62,78,61,52,78,188,63,62,31,47,297,78,63,141,94,15,78,47,78,1
47,94,94,47,63,78,62,79,78,94,47,78,109,62,32,110,141,0,78,78,62,63,1
16,78,78,93,93,188,78,78,94,110,31,78,109,31,78,62,93,125,110,78,32,125,1
16,78,109,94,78,0,78,0,109,156,31,125,78,141,78,63,125,94,235,62,235,125,1
31,78,78,109,93,188,78,0,94,156,16,94,78,78,78,62,93,125,110,78,32,125,1
16,125,125,47,47,109,203,203,62,31,63,31,47,297,16,94,31,31,47,78,16,62,1
78,63,31,31,344,94,0,1469,31,0,62,156,125,32,78,78,78,156,16,63,31,94,1
79,62,31,62,47,109,203,141,125,125,719,109,78,0,16,94,31,31,47,78,16,62,1
62,94,94,78,78,203,78,78,88,78,344,407,78,94,234,93,78,47,109,78,109,94,1
63,94,109,78,62,157,78,62,78,78,172,78,109,125,281,93,213,94,110,94,125,93,1
0,78,407,78,78,203,78,1109,250,94,203,78,78,88,234,93,78,47,109,78,109,94,1
47,140,140,78,78,79,110,110,110,78,16,110,94,62,63,79,63,31,63,46,109,78,1
63,46,93,31,15,94,31,141,94,16,78,48,46,32,31,63,31,109,31,16,109,16,1
15,32,110,16,78,79,110,438,31,625,32,79,93,0,63,79,63,31,63,46,109,78,1
16,109,109,187,187,109,157,157,94,110,94,93,218,16,94,63,47,157,171,141,15,94,1
110,94,94,109,78,141,47,172,172,125,125,110,297,47,93,62,47,172,78,125,63,93,1
110,125,93,125,187,109,157,94,110,141,140,78,110,0,94,63,47,157,171,141,15,94,1
93,94,94,94,94,125,125,125,125,109,63,93,78,157,94,94,109,110,93,109,62,79,1
78,94,94,94,94,47,109,109,171,110,140,94,109,125,47,78,187,94,453,109,94,94,1
16,78,93,109,94,125,125,125,141,125,110,78,110,94,94,94,109,110,93,109,62,79,1
63,63,63,78,78,125,94,94,98,78,109,63,94,109,93,78,94,46,63,110,62,94,1
32,47,62,78,94,31,78,94,78,110,15,63,94,125,78,47,125,63,109,78,109,63,1
78,62,63,94,78,125,94,110,78,93,0,63,94,78,93,78,94,46,63,110,62,94,1
47,171,171,94,94,47,156,156,140,94,31,109,141,93,15,94,125,16,114,125,0,109,1
16,63,110,172,125,0,63,110,187,62,109,78,94,94,62,93,110,93,110,78,0,125,1
0,125,109,78,94,47,156,125,140,141,15,94,94,109,15,94,125,16,114,125,0,109,1
15,78,78,78,78,16,141,141,125,78,63,78,140,47,47,63,109,78,16,110,62,156,1
15,16,125,78,78,78,63,0,125,78,78,0,172,47,78,63,31,109,187,94,31,78,1
31,110,78,94,78,16,141,187,94,140,63,62,78,0,47,63,109,78,16,110,62,156,1
47,109,109,297,297,16,203,203,137,125,16,94,78,109,157,125,141,94,78,109,31,110,1
