ft3,dtsk3,ft4,dtsk4,dtfk5,dtfk6,ft7,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk11,ft11,ft12,dtsk12,dtfk13,dtsk13,ft14,gender
47,63,93,156,156,63,125,78,141,172,78,73,78,31,15,110,78,47,31,1
62,63,16,47,0,73,125,78,78,62,62,63,140,0,110,62,31,63,31,1
32,62,93,156,0,62,31,63,78,47,78,73,78,31,15,110,78,78,31,1
78,47,391,438,438,94,31,94,110,79,94,78,109,125,16,78,15,31,0,1
47,94,141,78,0,78,78,15,63,47,63,78,125,31,94,78,32,31,31,1
31,78,391,438,0,78,31,94,0,687,94,78,109,125,16,78,94,63,0,1
79,93,485,594,594,94,141,62,125,63,47,78,47,62,16,93,0,62,32,1
125,94,47,78,125,78,110,0,78,109,62,62,125,62,78,94,94,63,47,1
31,94,485,594,234,94,78,94,109,172,47,78,47,62,16,93,93,94,32,1
78,31,125,63,63,63,32,78,78,78,63,93,78,78,172,78,63,63,79,1
47,63,46,47,47,93,15,63,78,109,62,63,78,94,62,47,63,31,63,1
47,62,125,63,46,94,16,62,62,125,63,93,78,78,172,78,78,32,79,1
292,79,128,225,225,63,47,78,15,94,47,109,78,63,15,62,32,16,47,1
0,63,47,62,609,109,93,32,109,125,78,78,79,78,94,78,78,63,62,1
297,78,128,225,0,93,31,172,47,110,47,109,78,63,15,62,47,47,47,1
16,93,63,140,140,31,578,94,78,62,47,141,78,94,78,62,47,47,63,1
78,31,62,78,125,141,78,47,94,62,47,63,78,125,110,78,47,62,31,1
62,78,63,140,47,78,453,78,63,93,47,141,78,94,78,62,94,62,63,1
52,40,271,380,380,79,16,62,94,62,47,63,125,32,15,78,32,31,16,1
31,79,32,78,0,63,31,32,78,78,63,63,312,63,94,141,62,62,31,1
16,94,271,380,125,63,0,32,76,62,47,63,125,32,15,78,79,156,16,1
563,78,140,79,79,62,141,62,62,63,125,63,63,93,125,62,63,62,110,1
109,62,94,62,94,63,78,63,78,62,62,63,78,110,62,78,78,46,47,1
78,47,140,79,78,62,125,83,47,110,125,63,63,93,125,62,78,47,110,1
31,109,31,172,172,110,16,93,109,63,0,453,140,47,46,79,31,78,32,1
0,110,15,78,110,453,63,31,94,62,93,78,829,31,78,110,62,94,31,1
32,78,31,172,172,31,78,94,94,109,0,453,140,47,46,79,109,110,32,1
16,63,78,62,62,62,31,94,93,31,32,110,78,94,0,78,31,46,62,1
31,62,61,52,78,110,62,31,47,78,78,63,62,110,94,15,31,94,47,1
62,47,78,62,79,16,47,78,109,141,32,110,78,94,0,78,78,78,62,1
63,93,188,78,78,94,31,78,109,125,78,62,78,110,125,110,125,125,32,1
31,94,0,78,0,62,31,125,78,125,78,63,62,94,94,235,125,94,235,1
47,109,188,78,0,0,16,94,78,125,78,62,78,110,125,110,125,109,32,1
0,47,109,203,203,31,63,31,47,31,16,94,157,31,31,47,156,62,16,1
109,31,94,0,1469,94,62,156,125,31,78,78,0,47,156,16,31,15,31,1
78,62,109,203,141,125,719,109,78,78,16,94,157,31,31,47,94,62,16,1
62,78,203,78,78,78,344,407,78,78,234,93,94,140,47,109,78,109,109,1
94,78,157,78,62,93,172,78,109,78,281,93,94,172,94,110,78,78,125,1
15,78,203,78,1109,32,203,78,78,213,234,93,94,140,47,109,93,78,109,1
32,78,79,110,110,31,16,110,94,78,63,79,63,47,31,63,48,84,109,1
32,31,94,31,141,79,78,48,46,93,31,63,16,78,109,31,16,0,109,1
15,16,79,110,438,93,32,79,93,31,63,79,63,47,31,63,16,15,109,1
32,187,109,157,157,109,94,93,218,111,94,63,94,203,157,171,110,161,15,1
125,109,141,47,172,63,125,110,297,109,93,62,16,141,172,78,531,516,63,1
63,125,109,157,94,94,140,78,110,47,94,63,94,203,157,171,93,109,15,1
93,94,125,125,125,94,63,93,78,93,94,94,125,94,110,93,94,109,62,1
78,94,47,109,109,94,140,94,109,94,47,78,156,47,94,453,94,125,94,1
63,109,125,125,125,47,110,78,110,187,94,94,125,94,110,93,94,141,62,1
62,78,125,94,94,78,109,63,94,78,93,78,78,110,46,63,63,78,62,1
47,78,31,78,94,78,15,63,94,78,78,47,94,93,63,109,63,93,109,1
15,94,125,94,110,15,0,63,94,125,93,78,78,110,46,63,63,94,62,1
16,94,47,156,156,172,31,109,141,125,15,94,250,31,16,114,78,16,0,1
47,172,0,63,110,94,109,78,94,78,62,93,125,93,93,110,62,16,0,1
32,78,47,156,125,16,15,94,94,110,15,94,250,31,16,114,125,109,0,1
31,78,16,141,141,78,63,78,140,63,47,63,62,140,78,16,0,15,62,1
16,78,78,63,0,63,78,0,172,63,78,63,78,93,109,187,94,94,31,1
31,94,16,141,187,94,63,62,78,31,47,63,62,140,78,16,78,78,62,1
203,297,16,203,203,78,16,94,78,94,157,125,94,78,94,78,94,125,31,1
31,78,32,78,156,125,0,94,94,125,110,79,109,63,78,109,15,0,15,1
16,125,16,203,0,32,16,172,78,375,157,125,94,78,94,78,78,141,31,1
141,110,109,203,203,78,47,110,110,78,156,125,109,63,110,93,78,78,47,1
485,78,47,62,0,125,109,78,110,78,79,94,78,110,94,172,79,78,31,1
78,93,109,203,0,78,31,110,78,94,156,125,109,63,110,93,94,203,47,1
47,109,31,78,78,47,47,31,78,32,94,62,47,125,47,63,31,0,78,1
63,47,156,16,531,62,79,31,31,63,31,62,94,0,109,31,32,31,62,1
63,47,31,78,671,15,32,93,16,47,94,62,47,125,47,63,0,78,78,1
15,110,31,125,125,125,125,203,203,93,125,93,47,141,16,63,46,16,93,1
15,125,110,94,0,93,16,46,16,62,47,79,0,93,78,156,0,15,63,1
16,16,31,125,657,63,78,453,94,1000,125,93,47,141,16,63,93,219,93,1
31,63,172,78,78,62,79,62,63,47,40,106,47,125,94,62,63,62,79,1
297,62,62,63,78,106,93,63,78,47,47,31,78,109,176,13,63,62,141,1
47,94,172,78,62,27,140,63,74,101,40,106,47,125,94,62,62,235,79,1
297,109,79,109,109,63,234,78,110,62,141,109,140,16,203,63,32,109,16,2
203,63,63,62,0,109,109,32,78,63,78,63,109,16,63,94,78,110,16,2
172,62,79,109,0,93,109,109,63,125,141,109,140,16,203,63,78,78,16,2
94,94,156,250,250,47,62,94,109,141,156,62,94,62,47,78,156,109,47,2
62,47,47,62,0,62,125,156,78,110,63,63,79,78,62,266,16,31,31,2
47,125,156,250,62,32,15,62,109,94,156,62,94,62,47,78,78,172,47,2
16,94,141,250,250,94,47,62,47,47,63,78,32,141,78,16,16,47,31,2
31,94,172,16,0,78,125,16,94,49,15,78,31,94,63,125,16,16,31,2
16,78,141,250,906,78,203,78,91,968,63,78,32,141,78,16,110,93,31,2
32,78,31,109,109,32,32,78,62,94,16,359,218,47,47,62,16,16,46,2
15,32,16,47,0,359,47,16,62,78,62,94,94,15,156,16,16,15,47,2
15,79,31,109,0,59,78,78,62,94,16,359,218,47,47,62,47,94,46,2
94,94,31,140,140,94,16,94,94,78,125,109,62,94,94,109,125,94,78,2
62,94,62,78,0,109,109,125,94,78,78,63,94,109,78,78,16,46,63,2
47,78,31,140,109,63,16,78,62,109,125,109,62,94,94,109,78,78,78,2
166,90,63,80,80,65,36,79,79,80,47,78,69,111,78,109,81,78,69,2
49,65,31,78,70,78,24,81,94,78,58,150,78,94,62,141,79,85,63,2
21,104,63,80,73,109,73,31,47,141,47,78,69,111,78,109,78,94,69,2
172,109,63,172,172,63,78,78,109,94,110,78,156,63,47,125,15,78,78,2
62,63,16,78,0,78,94,15,110,94,78,63,110,47,94,62,410,62,172,2
109,78,63,172,0,47,172,94,141,109,110,78,156,63,47,125,125,109,78,2
0,93,32,187,187,93,31,78,78,94,16,78,94,78,15,78,20,78,16,2
16,93,16,62,110,78,117,20,94,156,47,63,94,31,172,15,32,421,46,2
16,93,32,187,109,16,15,78,94,109,16,78,94,78,15,78,125,125,16,2
94,78,219,62,62,46,109,47,94,63,547,1015,79,125,203,62,62,46,47,2
125,46,63,78,63,1015,125,62,63,63,31,62,93,110,62,485,47,63,62,2
125,62,219,62,47,79,219,47,63,188,547,1015,79,125,203,62,63,78,47,2
109,125,63,109,109,78,0,94,94,110,63,109,78,93,47,78,47,63,31,2
63,78,31,110,78,109,62,47,109,94,78,78,109,110,94,62,78,94,31,2
15,94,63,109,93,78,31,78,94,94,63,109,78,93,47,78,94,141,31,2
93,94,31,79,79,47,16,46,110,78,31,79,125,62,15,94,31,16,16,2
47,47,32,78,98,79,94,31,94,94,63,93,79,93,78,0,62,93,32,2
110,62,31,79,94,62,16,94,78,78,31,79,125,62,15,94,62,78,16,2
46,79,15,140,140,78,0,62,110,47,47,78,94,94,0,78,16,0,16,2
579,78,32,94,0,78,140,16,78,78,63,78,78,94,78,31,78,79,16,2
32,78,15,140,0,0,31,78,109,94,47,78,94,94,0,78,94,110,16,2
188,47,62,78,78,47,16,62,156,94,94,156,63,109,234,31,47,110,31,2
94,47,47,63,125,156,62,47,78,63,32,47,62,125,63,94,16,47,47,2
94,47,62,78,79,78,16,62,47,140,94,156,63,109,234,31,62,63,31,2
47,94,62,172,172,78,46,63,94,78,78,62,141,62,109,94,16,32,47,2
31,78,32,78,94,62,141,16,94,63,47,46,109,31,78,47,16,47,62,2
78,94,62,172,78,141,15,94,516,110,78,62,141,62,109,94,79,94,47,2
63,62,63,78,78,62,78,62,78,62,109,94,78,93,78,62,47,78,47,2
63,62,78,63,63,94,125,47,63,62,62,63,78,94,93,78,78,62,62,2
47,78,63,78,47,0,78,63,78,79,109,94,78,93,78,62,63,125,47,2
16,78,47,125,125,110,16,78,78,78,15,78,47,63,110,62,16,94,0,2
16,110,93,32,484,78,47,16,16,31,31,78,31,62,109,62,0,16,94,2
0,110,47,125,0,78,78,94,78,78,15,78,47,63,110,62,16,78,0,2
94,62,157,78,78,63,78,93,94,63,141,79,79,78,63,93,94,94,31,2
141,63,0,94,109,79,141,94,110,94,94,78,78,110,78,94,78,78,94,2
79,78,157,78,47,62,63,78,79,141,141,79,79,78,63,93,94,94,31,2
93,63,94,78,78,63,62,47,63,63,156,109,78,94,188,78,78,78,78,2
78,63,63,62,63,109,94,78,78,63,63,78,63,109,62,125,63,62,62,2
109,63,94,78,63,63,47,78,62,156,156,109,78,94,188,78,47,94,78,2
46,156,0,78,78,78,16,78,266,62,78,62,31,109,93,0,31,47,31,2
110,78,78,47,141,62,47,31,156,70,94,63,15,125,63,141,16,94,0,2
15,94,0,78,0,94,94,94,31,1390,78,62,31,109,93,0,63,156,31,2
94,78,62,109,109,63,141,31,110,109,63,94,141,0,93,32,31,63,32,2
109,63,78,31,110,94,78,31,156,111,94,46,63,172,125,500,78,94,93,2
78,156,62,109,0,0,47,109,63,0,63,94,141,0,93,32,78,78,32,2
