ft1,dtfk3,dtsk3,dtfk4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,ft8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
47,78,40,40,380,380,47,125,47,16,62,94,94,47,63,125,47,15,78,62,16,78,1
31,78,79,78,78,0,47,125,62,31,32,78,94,63,63,312,62,94,141,78,31,79,1
0,62,94,40,380,125,140,94,62,0,32,76,922,47,63,125,47,15,78,62,16,78,1
94,78,78,78,79,79,250,93,47,141,62,62,125,125,63,63,63,125,62,62,110,78,1
47,63,62,63,62,94,125,125,78,78,63,78,125,62,63,78,110,62,78,63,47,78,1
78,62,47,78,79,78,172,125,63,125,83,47,78,125,63,63,63,125,62,62,110,78,1
31,78,109,109,172,172,31,156,94,16,93,109,109,0,453,140,32,46,79,78,32,78,1
46,109,110,125,78,110,125,156,31,63,31,94,125,93,78,829,109,78,110,157,31,109,1
0,93,78,109,172,172,93,157,94,78,94,94,141,0,453,140,32,46,79,78,32,78,1
78,78,63,63,62,62,94,94,78,31,94,93,94,32,110,78,141,0,78,78,62,63,1
0,47,62,78,52,78,94,188,63,62,31,47,297,78,63,62,141,94,15,78,47,78,1
47,94,47,63,62,79,78,78,94,47,78,109,62,32,110,78,141,0,78,78,62,63,1
16,78,93,93,78,78,31,94,110,31,78,109,31,78,62,78,93,125,110,78,32,125,1
16,109,94,78,78,0,31,109,156,31,125,78,141,78,63,62,125,94,235,62,235,125,1
31,78,109,93,78,0,0,94,156,16,94,78,78,78,62,78,93,125,110,78,32,125,1
16,125,47,47,203,203,47,62,31,63,31,47,297,16,94,157,31,31,47,78,16,62,1
78,31,31,344,0,1469,140,31,0,62,156,125,32,78,78,0,78,156,16,63,31,94,1
79,31,62,47,203,141,15,125,125,719,109,78,0,16,94,157,31,31,47,78,16,62,1
62,94,78,78,78,78,249,88,78,344,407,78,94,234,93,94,78,47,109,78,109,94,1
63,109,78,62,78,62,204,78,78,172,78,109,125,281,93,94,213,94,110,94,125,93,1
0,407,78,78,78,1109,63,250,94,203,78,78,88,234,93,94,78,47,109,78,109,94,1
47,140,78,78,110,110,15,110,78,16,110,94,62,63,79,63,63,31,63,46,109,78,1
63,93,31,15,31,141,0,94,16,78,48,46,32,31,63,16,31,109,31,16,109,16,1
15,110,16,78,110,438,125,31,625,32,79,93,0,63,79,63,63,31,63,46,109,78,1
16,109,187,187,157,157,156,94,110,94,93,218,16,94,63,94,47,157,171,141,15,94,1
110,94,109,78,47,172,0,172,125,125,110,297,47,93,62,16,47,172,78,125,63,93,1
110,93,125,187,157,94,156,110,141,140,78,110,0,94,63,94,47,157,171,141,15,94,1
93,94,94,94,125,125,78,125,109,63,93,78,157,94,94,125,109,110,93,109,62,79,1
78,94,94,94,109,109,32,171,110,140,94,109,125,47,78,156,187,94,453,109,94,94,1
16,93,109,94,125,125,47,141,125,110,78,110,94,94,94,125,109,110,93,109,62,79,1
63,63,78,78,94,94,219,98,78,109,63,94,109,93,78,78,94,46,63,110,62,94,1
32,62,78,94,78,94,187,78,110,15,63,94,125,78,47,94,125,63,109,78,109,63,1
78,63,94,78,94,110,234,78,93,0,63,94,78,93,78,78,94,46,63,110,62,94,1
47,171,94,94,156,156,32,140,94,31,109,141,93,15,94,250,125,16,114,125,0,109,1
16,110,172,125,63,110,78,187,62,109,78,94,94,62,93,125,110,93,110,78,0,125,1
0,109,78,94,156,125,79,140,141,15,94,94,109,15,94,250,125,16,114,125,0,109,1
15,78,78,78,141,141,62,125,78,63,78,140,47,47,63,62,109,78,16,110,62,156,1
15,125,78,78,63,0,15,125,78,78,0,172,47,78,63,78,31,109,187,94,31,78,1
31,78,94,78,141,187,0,94,140,63,62,78,0,47,63,62,109,78,16,110,62,156,1
47,109,297,297,203,203,15,137,125,16,94,78,109,157,125,94,141,94,78,109,31,110,1
16,94,78,93,78,156,16,137,109,0,94,94,94,110,79,109,375,78,109,78,15,78,1
110,94,125,297,203,0,47,140,47,16,172,78,94,157,125,94,141,94,78,109,31,110,1
78,109,110,110,203,203,78,109,125,47,110,110,93,156,125,109,109,110,93,94,47,78,1
15,109,78,125,62,0,15,109,46,109,78,110,94,79,94,78,94,94,172,78,31,94,1
375,110,93,110,203,0,47,125,141,31,110,78,109,156,125,109,109,110,93,94,47,78,1
47,141,109,109,78,78,32,31,15,47,31,78,78,94,62,47,62,47,63,0,78,16,1
156,47,47,31,16,531,625,31,47,79,31,31,47,31,62,94,47,109,31,31,62,0,1
156,31,47,109,78,671,193,31,78,32,93,16,0,94,62,47,62,47,63,0,78,16,1
15,141,110,110,125,125,31,125,63,125,203,203,32,125,93,47,31,16,63,15,93,47,1
31,94,125,16,94,0,0,125,0,16,46,16,47,47,79,0,1000,78,156,0,63,93,1
62,203,16,110,125,657,720,15,250,78,453,94,78,125,93,47,31,16,63,15,93,47,1
62,63,63,63,78,78,31,78,78,79,62,63,203,40,106,47,63,94,62,78,79,62,1
47,63,62,79,63,78,250,47,94,93,63,78,125,47,31,78,101,176,13,62,141,62,1
62,62,94,63,78,62,188,78,78,140,63,74,67,40,106,47,63,94,62,78,79,62,1
78,109,109,109,109,109,31,78,47,234,78,110,156,141,109,140,109,203,63,63,16,62,2
47,93,63,125,62,0,31,141,94,109,32,78,187,78,63,109,125,63,94,78,16,78,2
16,78,62,109,109,0,16,94,125,109,109,63,78,141,109,140,109,203,63,63,16,62,2
16,62,94,94,250,250,31,141,109,62,94,109,78,156,62,94,109,47,78,93,47,110,2
31,63,47,47,62,0,32,141,47,125,156,78,125,63,63,79,94,62,266,110,31,78,2
63,94,125,94,250,62,94,94,63,15,62,109,78,156,62,94,109,47,78,93,47,110,2
47,78,94,94,250,250,47,47,62,47,62,47,31,63,78,32,16,78,16,63,31,78,2
15,94,94,78,16,0,47,47,47,125,16,94,31,15,78,31,968,63,125,63,31,110,2
93,62,78,94,250,906,1000,47,94,203,78,91,875,63,78,32,16,78,16,63,31,78,2
16,62,78,78,109,109,31,63,62,32,78,62,110,16,359,218,16,47,62,47,46,63,2
359,63,32,62,47,0,15,94,31,47,16,62,94,62,94,94,94,156,16,63,47,47,2
78,78,79,78,109,0,31,94,125,78,78,62,78,16,359,218,16,47,62,47,46,63,2
437,78,94,94,140,140,31,62,93,16,94,94,110,125,109,62,78,94,109,78,78,62,2
15,94,94,94,78,0,16,62,31,109,125,94,203,78,63,94,109,78,78,78,63,78,2
110,94,78,94,140,109,16,78,109,16,78,62,79,125,109,62,78,94,109,78,78,62,2
4369,69,90,90,80,80,442,110,89,36,79,79,96,47,78,69,63,78,109,33,69,61,2
4,98,65,78,78,70,411,65,89,24,81,94,94,58,150,78,141,62,141,78,63,78,2
6,79,104,90,80,73,185,103,11,73,31,47,94,47,78,69,63,78,109,33,69,61,2
156,94,109,109,172,172,47,109,79,78,78,109,156,110,78,156,78,47,125,78,78,125,2
15,78,63,156,78,0,31,109,109,94,15,110,109,78,63,110,109,94,62,109,172,125,2
78,78,78,109,172,0,15,109,93,172,94,141,125,110,78,156,78,47,125,78,78,125,2
32,63,93,93,187,187,0,78,63,31,78,78,94,16,78,94,63,15,78,109,16,93,2
32,94,93,62,62,110,31,78,47,117,20,94,47,47,63,94,109,172,15,63,46,125,2
78,78,93,93,187,109,47,63,63,15,78,94,47,16,78,94,63,15,78,109,16,93,2
141,63,78,78,62,62,31,47,63,109,47,94,109,547,1015,79,63,203,62,47,47,78,2
78,47,46,62,78,63,94,78,79,125,62,63,109,31,62,93,188,62,485,63,62,63,2
109,47,62,78,62,47,78,109,94,219,47,63,94,547,1015,79,63,203,62,47,47,78,2
125,78,125,125,109,109,47,125,94,0,94,94,78,63,109,78,94,47,78,79,31,78,2
16,78,78,94,110,78,78,187,16,62,47,109,78,78,78,109,94,94,62,78,31,94,2
0,94,94,125,109,93,78,110,94,31,78,94,93,63,109,78,94,47,78,79,31,78,2
47,110,94,94,79,79,31,140,78,16,46,110,78,31,79,125,110,15,94,94,16,78,2
16,62,47,78,78,98,59,124,62,94,31,94,62,63,93,79,78,78,0,93,32,62,2
31,46,62,94,79,94,31,125,78,16,94,78,78,31,79,125,110,15,94,94,16,78,2
31,79,79,79,140,140,47,90,109,0,62,110,93,47,78,94,78,0,78,94,16,78,2
0,62,78,78,94,0,16,93,31,140,16,78,63,63,78,78,94,78,31,62,16,94,2
16,62,78,79,140,0,63,125,62,31,78,109,78,47,78,94,78,0,78,94,16,78,2
343,46,47,47,78,78,125,79,62,16,62,156,156,94,156,63,110,234,31,62,31,47,2
0,47,47,93,63,125,62,141,110,62,47,78,125,32,47,62,140,63,94,47,47,62,2
47,62,47,47,78,79,46,110,62,16,62,47,63,94,156,63,110,234,31,62,31,47,2
31,109,94,94,172,172,15,100,94,46,63,94,109,78,62,141,110,109,94,94,47,62,2
32,94,78,93,78,94,46,110,16,141,16,94,109,47,46,109,110,78,47,78,62,79,2
109,63,94,94,172,78,94,125,79,15,94,516,94,78,62,141,110,109,94,94,47,62,2
78,62,62,62,78,78,62,79,63,78,62,78,94,109,94,78,63,78,62,63,47,62,2
62,62,62,63,63,63,125,62,78,125,47,63,125,62,63,78,79,93,78,78,62,63,2
78,62,78,62,78,47,125,63,62,78,63,78,843,109,94,78,63,78,62,63,47,62,2
47,31,78,78,125,125,47,47,93,16,78,78,16,15,78,47,16,110,62,78,0,31,2
16,78,110,16,32,484,500,47,609,47,16,16,63,31,78,31,78,109,62,16,94,16,2
156,78,110,78,125,0,47,62,31,78,94,78,0,15,78,47,16,110,62,78,0,31,2
32,78,62,62,78,78,172,62,79,78,93,94,109,141,79,79,78,63,93,62,31,79,2
16,78,63,93,94,109,157,78,125,141,94,110,93,94,78,78,141,78,94,78,94,94,2
78,93,78,62,78,47,156,94,140,63,78,79,78,141,79,79,78,63,93,62,31,79,2
109,63,63,63,78,78,187,63,63,62,47,63,109,156,109,78,78,188,78,47,78,63,2
47,78,63,62,62,63,62,78,62,94,78,78,125,63,78,63,156,62,125,63,62,47,2
62,47,63,63,78,63,140,47,63,47,78,62,78,156,109,78,78,188,78,47,78,63,2
47,125,156,156,78,78,78,180,63,16,78,266,47,78,62,31,46,93,0,78,31,63,2
15,125,78,15,47,141,47,187,62,47,31,156,63,94,63,15,1390,63,141,93,0,63,2
47,78,94,156,78,0,15,172,125,94,94,31,1312,78,62,31,46,93,0,78,31,63,2
79,94,78,78,109,109,31,125,94,141,31,110,125,63,94,141,15,93,32,78,32,93,2
125,94,63,47,31,110,31,125,78,78,31,156,15,94,46,63,0,125,500,63,93,78,2
31,31,156,78,109,0,0,94,78,47,109,63,109,63,94,141,15,93,32,78,32,93,2
