dtfk1,ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,dtsk6,ft7,ft8,dtfk10,ft10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,dtsk14,gender
156,0,93,93,109,109,32,171,16,109,47,62,62,78,31,47,375,156,63,16,78,78,125,1
62,16,16,63,47,94,93,47,31,109,375,78,109,16,63,78,78,78,16,109,0,94,94,1
47,31,93,63,78,109,32,171,31,125,15,140,125,0,31,47,375,156,63,16,78,78,125,1
125,15,78,78,93,93,94,78,203,63,63,187,0,94,141,109,63,94,93,16,78,93,62,1
187,16,63,94,63,78,31,63,0,94,63,125,63,94,234,328,110,110,94,93,32,94,78,1
78,31,62,78,78,93,94,78,171,63,15,94,16,110,141,109,63,94,93,16,78,93,62,1
125,172,109,109,109,109,250,78,110,78,78,110,140,125,94,78,110,47,94,265,94,93,78,1
110,359,78,78,78,78,219,93,78,78,110,610,328,141,93,94,63,78,156,94,140,110,93,1
94,313,78,63,94,109,250,78,250,94,78,156,187,94,94,78,110,47,94,265,94,93,78,1
63,94,47,47,63,63,93,156,31,63,63,62,125,47,78,56,73,78,79,15,110,62,63,1
62,16,47,63,63,47,16,47,594,656,73,16,125,78,62,78,63,140,47,110,62,63,78,1
78,31,63,78,62,63,93,156,16,94,62,15,31,703,78,56,73,78,79,15,110,62,63,1
109,16,109,109,47,47,391,438,31,46,94,94,31,140,94,31,78,109,109,16,78,78,94,1
94,0,110,78,94,78,141,78,32,46,78,78,78,109,63,62,78,125,687,94,78,78,94,1
78,109,93,94,78,47,391,438,31,94,78,46,31,94,94,31,78,109,109,16,78,78,94,1
125,31,125,125,93,93,485,594,47,140,94,93,141,109,47,78,78,47,125,16,93,78,93,1
93,16,125,78,94,109,47,78,31,141,78,109,110,110,62,94,62,125,172,78,94,94,93,1
156,16,63,62,94,93,485,594,16,109,94,109,78,94,47,78,78,47,125,16,93,78,93,1
62,63,47,47,31,31,125,63,171,79,63,172,32,78,63,47,93,78,78,172,78,46,78,1
172,15,47,78,63,79,46,47,31,94,93,125,15,63,62,78,63,78,125,62,47,62,78,1
62,0,63,78,62,31,125,63,47,94,94,109,16,79,63,47,93,78,78,172,78,46,78,1
93,547,172,172,79,79,128,225,40,110,63,78,47,140,47,62,109,78,47,15,62,94,94,1
78,16,109,109,63,78,47,62,734,0,109,172,93,47,78,78,78,79,110,94,78,15,47,1
78,78,47,78,78,79,128,225,47,141,93,62,31,109,47,62,109,78,47,15,62,94,94,1
63,15,63,63,93,93,63,140,188,109,31,62,578,125,47,94,141,78,47,78,62,93,62,1
62,78,63,94,31,79,62,78,207,109,141,156,78,94,47,78,63,78,93,110,78,94,94,1
62,31,63,94,78,93,63,140,687,94,78,94,453,766,47,94,141,78,47,78,62,93,62,1
78,47,78,78,40,40,271,380,47,125,79,62,16,94,47,62,63,125,47,15,78,62,78,1
62,31,0,78,79,78,32,78,47,125,63,15,31,94,63,62,63,312,62,94,141,78,79,1
63,0,78,62,94,40,271,380,140,94,63,94,0,922,47,62,63,125,47,15,78,62,78,1
78,94,78,78,78,78,140,79,250,93,62,63,141,125,125,47,63,63,63,125,62,62,78,1
63,47,63,63,62,63,94,62,125,125,63,172,78,125,62,78,63,78,110,62,78,63,78,1
63,78,47,62,47,78,140,79,172,125,62,125,125,78,125,47,63,63,63,125,62,62,78,1
126,31,78,78,109,109,31,172,31,156,110,125,16,109,0,93,453,140,32,46,79,78,78,1
125,46,16,109,110,125,15,78,125,156,453,47,63,125,93,110,78,829,109,78,110,157,109,1
141,0,110,93,78,109,31,172,93,157,31,15,78,141,0,93,453,140,32,46,79,78,78,1
62,78,78,78,63,63,78,62,94,94,62,94,31,94,32,62,110,78,141,0,78,78,63,1
94,0,16,47,62,78,61,52,94,188,110,141,62,297,78,78,63,62,141,94,15,78,78,1
94,47,94,94,47,63,78,62,78,78,16,31,47,62,32,62,110,78,141,0,78,78,63,1
125,16,78,78,93,93,188,78,31,94,94,156,31,31,78,63,62,78,93,125,110,78,125,1
156,16,78,109,94,78,0,78,31,109,62,313,31,141,78,47,63,62,125,94,235,62,125,1
109,31,78,78,109,93,188,78,0,94,0,78,16,78,78,63,62,78,93,125,110,78,125,1
125,16,125,125,47,47,109,203,47,62,31,47,63,297,16,62,94,157,31,31,47,78,62,1
47,78,63,31,31,344,94,0,140,31,94,63,62,32,78,78,78,0,78,156,16,63,94,1
16,79,62,31,62,47,109,203,15,125,125,47,719,0,16,62,94,157,31,31,47,78,62,1
141,62,94,94,78,78,203,78,249,88,78,109,344,94,234,79,93,94,78,47,109,78,94,1
109,63,94,109,78,62,157,78,204,78,93,172,172,125,281,63,93,94,213,94,110,94,93,1
110,0,78,407,78,78,203,78,63,250,32,157,203,88,234,79,93,94,78,47,109,78,94,1
156,47,140,140,78,78,79,110,15,110,31,15,16,62,63,78,79,63,63,31,63,46,78,1
15,63,46,93,31,15,94,31,0,94,79,31,78,32,31,78,63,16,31,109,31,16,16,1
63,15,32,110,16,78,79,110,125,31,93,47,32,0,63,78,79,63,63,31,63,46,78,1
156,16,109,109,187,187,109,157,156,94,109,125,94,16,94,109,63,94,47,157,171,141,94,1
125,110,94,94,109,78,141,47,0,172,63,500,125,47,93,110,62,16,47,172,78,125,93,1
250,110,125,93,125,187,109,157,156,110,94,125,140,0,94,109,63,94,47,157,171,141,94,1
125,93,94,94,94,94,125,125,78,125,94,141,63,157,94,62,94,125,109,110,93,109,79,1
141,78,94,94,94,94,47,109,32,171,94,140,140,125,47,93,78,156,187,94,453,109,94,1
109,16,78,93,109,94,125,125,47,141,47,94,110,94,94,62,94,125,109,110,93,109,79,1
78,63,63,63,78,78,125,94,219,98,78,109,109,109,93,63,78,78,94,46,63,110,94,1
109,32,47,62,78,94,31,78,187,78,78,125,15,125,78,109,47,94,125,63,109,78,63,1
78,78,62,63,94,78,125,94,234,78,15,63,0,78,93,63,78,78,94,46,63,110,94,1
93,47,171,171,94,94,47,156,32,140,172,94,31,93,15,141,94,250,125,16,114,125,109,1
94,16,63,110,172,125,0,63,78,187,94,47,109,94,62,110,93,125,110,93,110,78,125,1
