dtfk1,ft3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk6,dtsk7,dtfk8,ft8,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtsk12,dtsk13,dtfk14,ft14,gender
63,15,79,110,438,125,31,47,79,93,0,31,63,79,63,31,63,15,46,109,1
156,32,109,157,157,156,94,125,93,218,16,111,94,63,94,157,171,161,141,15,1
125,125,141,47,172,0,172,500,110,297,47,109,93,62,16,172,78,516,125,63,1
250,63,109,157,94,156,110,125,78,110,0,47,94,63,94,157,171,109,141,15,1
125,93,125,125,125,78,125,141,93,78,157,93,94,94,125,110,93,109,109,62,1
141,78,47,109,109,32,171,140,94,109,125,94,47,78,156,94,453,125,109,94,1
109,63,125,125,125,47,141,94,78,110,94,187,94,94,125,110,93,141,109,62,1
78,62,125,94,94,219,98,109,63,94,109,78,93,78,78,46,63,78,110,62,1
109,47,31,78,94,187,78,125,63,94,125,78,78,47,94,63,109,93,78,109,1
78,15,125,94,110,234,78,63,63,94,78,125,93,78,78,46,63,94,110,62,1
93,16,47,156,156,32,140,94,109,141,93,125,15,94,250,16,114,16,125,0,1
94,47,0,63,110,78,187,47,78,94,94,78,62,93,125,93,110,16,78,0,1
250,32,47,156,125,79,140,0,94,94,109,110,15,94,250,16,114,109,125,0,1
125,31,16,141,141,62,125,78,78,140,47,63,47,63,62,78,16,15,110,62,1
78,16,78,63,0,15,125,110,0,172,47,63,78,63,78,109,187,94,94,31,1
78,31,16,141,187,0,94,47,62,78,0,31,47,63,62,78,16,78,110,62,1
93,203,16,203,203,15,137,172,94,78,109,94,157,125,94,94,78,125,109,31,1
172,31,32,78,156,16,137,94,94,94,94,125,110,79,109,78,109,0,78,15,1
62,16,16,203,0,47,140,16,172,78,94,375,157,125,94,94,78,141,109,31,1
94,141,109,203,203,78,109,500,110,110,93,78,156,125,109,110,93,78,94,47,1
500,485,47,62,0,15,109,609,78,110,94,78,79,94,78,94,172,78,78,31,1
93,78,109,203,0,47,125,141,110,78,109,94,156,125,109,110,93,203,94,47,1
156,47,31,78,78,32,31,78,31,78,78,32,94,62,47,47,63,0,0,78,1
78,63,156,16,531,625,31,172,31,31,47,63,31,62,94,109,31,31,31,62,1
78,63,31,78,671,193,31,0,93,16,0,47,94,62,47,47,63,78,0,78,1
110,15,31,125,125,31,125,47,203,203,32,93,125,93,47,16,63,16,15,93,1
