dtfk1,ft1,dtsk1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,ft14,gender
78,16,94,109,62,78,78,31,78,16,63,141,78,16,47,62,63,63,125,15,78,94,547,0,16,1
31,172,0,78,0,78,62,110,250,938,31,94,109,32,78,94,78,63,125,47,63,109,93,78,78,1
156,0,94,93,93,109,109,32,171,16,109,62,63,62,63,156,31,375,156,47,78,63,78,47,31,1
62,16,94,16,63,47,94,93,47,31,109,78,94,109,47,93,63,78,78,47,125,16,0,62,15,1
47,31,62,93,63,78,109,32,171,31,125,140,62,125,109,125,31,375,156,47,78,63,78,94,31,1
125,15,110,78,78,93,93,94,78,203,63,187,141,0,78,78,141,63,94,78,94,93,78,78,32,1
187,16,78,63,94,63,78,31,63,0,94,125,94,63,78,93,234,110,110,93,78,94,32,78,31,1
78,31,78,62,78,78,93,94,78,171,63,94,109,16,62,79,141,63,94,78,94,93,78,78,32,1
125,172,94,109,109,109,109,250,78,110,78,110,125,140,63,62,94,110,47,156,79,94,94,63,94,1
110,359,94,78,78,78,78,219,93,78,78,610,62,328,63,109,93,63,78,109,79,156,140,93,125,1
94,313,93,78,63,94,109,250,78,250,94,156,94,187,78,109,94,110,47,156,79,94,94,93,94,1
63,94,93,47,47,63,63,93,156,31,63,62,78,125,78,141,78,73,78,31,125,79,110,78,31,1
62,16,47,47,63,63,47,16,47,594,656,16,62,125,78,78,62,63,140,0,63,47,62,31,31,1
78,31,31,63,78,62,63,93,156,16,94,15,94,31,63,78,78,73,78,31,125,79,110,78,31,1
109,16,110,109,109,47,47,391,438,31,46,94,78,31,94,110,94,78,109,125,109,109,78,15,0,1
94,0,109,110,78,94,78,141,78,32,46,78,31,78,15,63,63,78,125,31,62,687,78,32,31,1
78,109,32,93,94,78,47,391,438,31,94,46,110,31,94,0,94,78,109,125,109,109,78,94,0,1
125,31,110,125,125,93,93,485,594,47,140,93,78,141,62,125,47,78,47,62,109,125,93,0,32,1
93,16,94,125,78,94,109,47,78,31,141,109,32,110,0,78,62,62,125,62,125,172,94,94,47,1
156,16,94,63,62,94,93,485,594,16,109,109,125,78,94,109,47,78,47,62,109,125,93,93,32,1
62,63,93,47,47,31,31,125,63,171,79,172,62,32,78,78,63,93,78,78,47,78,78,63,79,1
172,15,93,47,78,63,79,46,47,31,94,125,78,15,63,78,62,63,78,94,63,125,47,63,63,1
62,0,63,63,78,62,31,125,63,47,94,109,62,16,62,62,63,93,78,78,47,78,78,78,79,1
93,547,156,172,172,79,79,128,225,40,110,78,63,47,78,15,47,109,78,63,93,47,62,32,47,1
78,16,109,109,109,63,78,47,62,734,0,172,79,93,32,109,78,78,79,78,172,110,78,78,62,1
78,78,78,47,78,78,79,128,225,47,141,62,94,31,172,47,47,109,78,63,93,47,62,47,47,1
63,15,63,63,63,93,93,63,140,188,109,62,63,578,94,78,47,141,78,94,188,47,62,47,63,1
62,78,125,63,94,31,79,62,78,207,109,156,94,78,47,94,47,63,78,125,62,93,78,47,31,1
62,31,47,63,94,78,93,63,140,687,94,94,125,453,78,63,47,141,78,94,188,47,62,94,63,1
78,47,94,78,78,40,40,271,380,47,125,62,47,16,62,94,47,63,125,32,0,47,78,32,16,1
62,31,78,0,78,79,78,32,78,47,125,15,62,31,32,78,63,63,312,63,94,62,141,62,31,1
63,0,62,78,62,94,40,271,380,140,94,94,62,0,32,76,47,63,125,32,0,47,78,79,16,1
78,94,94,78,78,78,78,140,79,250,93,63,47,141,62,62,125,63,63,93,63,63,62,63,110,1
63,47,78,63,63,62,63,94,62,125,125,172,78,78,63,78,62,63,78,110,62,110,78,78,47,1
63,78,78,47,62,47,78,140,79,172,125,125,63,125,83,47,125,63,63,93,63,63,62,78,110,1
126,31,125,78,78,109,109,31,172,31,156,125,94,16,93,109,0,453,140,47,63,32,79,31,32,1
125,46,125,16,109,110,125,15,78,125,156,47,31,63,31,94,93,78,829,31,93,109,110,62,31,1
141,0,62,110,93,78,109,31,172,93,157,15,94,78,94,94,0,453,140,47,63,32,79,109,32,1
62,78,110,78,78,63,63,78,62,94,94,94,78,31,94,93,32,110,78,94,63,141,78,31,62,1
94,0,78,16,47,62,78,61,52,94,188,141,63,62,31,47,78,63,62,110,62,141,15,31,47,1
94,47,31,94,94,47,63,78,62,78,78,31,94,47,78,109,32,110,78,94,63,141,78,78,62,1
125,16,94,78,78,93,93,188,78,31,94,156,110,31,78,109,78,62,78,110,78,93,110,125,32,1
156,16,62,78,109,94,78,0,78,31,109,313,156,31,125,78,78,63,62,94,62,125,235,125,235,1
109,31,125,78,78,109,93,188,78,0,94,78,156,16,94,78,78,62,78,110,78,93,110,125,32,1
125,16,109,125,125,47,47,109,203,47,62,47,31,63,31,47,16,94,157,31,62,31,47,156,16,1
47,78,16,63,31,31,344,94,0,140,31,63,0,62,156,125,78,78,0,47,63,78,16,31,31,1
16,79,31,62,31,62,47,109,203,15,125,47,125,719,109,78,16,94,157,31,62,31,47,94,16,1
141,62,110,94,94,78,78,203,78,249,88,109,78,344,407,78,234,93,94,140,79,78,109,78,109,1
109,63,93,94,109,78,62,157,78,204,78,172,78,172,78,109,281,93,94,172,78,213,110,78,125,1
110,0,78,78,407,78,78,203,78,63,250,157,94,203,78,78,234,93,94,140,79,78,109,93,109,1
156,47,47,140,140,78,78,79,110,15,110,15,78,16,110,94,63,79,63,47,15,63,63,48,109,1
15,63,31,46,93,31,15,94,31,0,94,31,16,78,48,46,31,63,16,78,62,31,31,16,109,1
63,15,16,32,110,16,78,79,110,125,31,47,625,32,79,93,63,79,63,47,15,63,63,16,109,1
156,16,125,109,109,187,187,109,157,156,94,125,110,94,93,218,94,63,94,203,63,47,171,110,15,1
125,110,109,94,94,109,78,141,47,0,172,500,125,125,110,297,93,62,16,141,62,47,78,531,63,1
250,110,531,125,93,125,187,109,157,156,110,125,141,140,78,110,94,63,94,203,63,47,171,93,15,1
125,93,125,94,94,94,94,125,125,78,125,141,109,63,93,78,94,94,125,94,78,109,93,94,62,1
141,78,125,94,94,94,94,47,109,32,171,140,110,140,94,109,47,78,156,47,110,187,453,94,94,1
109,16,94,78,93,109,94,125,125,47,141,94,125,110,78,110,94,94,125,94,78,109,93,94,62,1
78,63,109,63,63,78,78,125,94,219,98,109,78,109,63,94,93,78,78,110,46,94,63,63,62,1
109,32,62,47,62,78,94,31,78,187,78,125,110,15,63,94,78,47,94,93,78,125,109,63,109,1
78,78,63,62,63,94,78,125,94,234,78,63,93,0,63,94,93,78,78,110,46,94,63,63,62,1
93,47,110,171,171,94,94,47,156,32,140,94,94,31,109,141,15,94,250,31,125,125,114,78,0,1
94,16,109,63,110,172,125,0,63,78,187,47,62,109,78,94,62,93,125,93,94,110,110,62,0,1
250,0,62,125,109,78,94,47,156,79,140,0,141,15,94,94,15,94,250,31,125,125,114,125,0,1
125,15,78,78,78,78,78,16,141,62,125,78,78,63,78,140,47,63,62,140,63,109,16,0,62,1
78,15,94,16,125,78,78,78,63,15,125,110,78,78,0,172,78,63,78,93,32,31,187,94,31,1
78,31,94,110,78,94,78,16,141,0,94,47,140,63,62,78,47,63,62,140,63,109,16,78,62,1
93,47,94,109,109,297,297,16,203,15,137,172,125,16,94,78,157,125,94,78,109,141,78,94,31,1
172,16,78,125,94,78,93,32,78,16,137,94,109,0,94,94,110,79,109,63,141,375,109,15,15,1
62,110,15,62,94,125,297,16,203,47,140,16,47,16,172,78,157,125,94,78,109,141,78,78,31,1
94,78,125,109,109,110,110,109,203,78,109,500,125,47,110,110,156,125,109,63,78,109,93,78,47,1
500,15,156,93,109,78,125,47,62,15,109,609,46,109,78,110,79,94,78,110,109,94,172,79,31,1
93,375,79,63,110,93,110,109,203,47,125,141,141,31,110,78,156,125,109,63,78,109,93,94,47,1
156,47,78,141,141,109,109,31,78,32,31,78,15,47,31,78,94,62,47,125,47,62,63,31,78,1
78,156,32,47,47,47,31,156,16,625,31,172,47,79,31,31,31,62,94,0,62,47,31,32,62,1
78,156,32,62,31,47,109,31,78,193,31,0,78,32,93,16,94,62,47,125,47,62,63,0,78,1
110,15,109,141,141,110,110,31,125,31,125,47,63,125,203,203,125,93,47,141,31,31,63,46,93,1
47,31,109,125,94,125,16,110,94,0,125,78,0,16,46,16,47,79,0,93,47,1000,156,0,63,1
32,62,0,47,203,16,110,31,125,720,15,125,250,78,453,94,125,93,47,141,31,31,63,93,93,1
94,62,62,63,63,63,63,172,78,31,78,78,78,79,62,63,40,106,47,125,63,63,62,63,79,1
