@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,20,21,22,23,24,27,30,33,34,36,42,43'

@attribute dtfk4 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
78,125,63,47,63,156,125,47,63,93,125,63,125,62,62,110,1
63,62,172,78,125,47,62,78,78,110,62,78,63,46,63,47,1
78,63,125,63,63,187,125,47,63,93,125,78,78,47,62,110,1
109,46,125,94,172,47,0,93,140,47,46,31,94,78,78,32,1
125,94,47,31,15,141,93,110,829,31,78,62,47,94,157,31,1
109,78,15,94,719,875,0,93,140,47,46,109,0,110,78,32,1
63,47,94,78,47,547,32,62,78,94,0,31,79,46,78,62,1
78,62,141,63,31,110,78,78,62,110,94,31,31,94,78,47,1
63,94,31,94,895,62,32,62,78,94,0,78,47,78,78,62,1
93,62,156,110,78,110,78,63,78,110,125,125,125,125,78,32,1
78,94,313,156,78,156,78,47,62,94,94,125,0,94,62,235,1
93,62,78,156,203,62,78,63,78,110,125,125,31,109,78,32,1
47,78,47,31,93,0,16,62,157,31,31,156,110,62,78,16,1
344,78,63,0,47,32,78,78,0,47,156,31,125,15,63,31,1
47,0,47,125,859,110,16,62,157,31,31,94,0,62,78,16,1
78,282,109,78,94,531,234,79,94,140,47,78,391,109,78,109,1
62,63,172,78,157,78,281,63,94,172,94,78,516,78,94,125,1
78,93,157,94,63,250,234,79,94,140,47,93,235,78,78,109,1
78,47,15,78,469,578,63,78,63,47,31,48,5,84,46,109,1
15,188,31,16,47,140,31,78,16,78,109,16,94,0,16,109,1
78,32,47,625,0,62,63,78,63,47,31,16,110,15,46,109,1
187,203,125,110,125,110,94,109,94,203,157,110,93,161,141,15,1
78,93,500,125,125,156,93,110,16,141,172,531,140,516,125,63,1
187,78,125,141,750,125,94,109,94,203,157,93,110,109,141,15,1
94,109,141,109,94,109,94,62,125,94,110,94,47,109,109,62,1
94,94,140,110,94,125,47,93,156,47,94,94,31,125,109,94,1
94,140,94,125,125,94,94,62,125,94,110,94,78,141,109,62,1
78,94,109,78,78,94,93,63,78,110,46,63,94,78,110,62,1
94,62,125,110,63,78,78,109,94,93,63,63,16,93,78,109,1
78,109,63,93,93,125,93,63,78,110,46,63,31,94,110,62,1
94,15,94,94,110,47,15,141,250,31,16,78,109,16,125,0,1
125,109,47,62,0,140,62,110,125,93,93,62,140,16,78,0,1
94,125,0,141,860,125,15,141,250,31,16,125,0,109,125,0,1
78,79,78,78,109,32,47,47,62,140,78,0,110,15,110,62,1
78,62,110,78,47,93,78,109,78,93,109,94,15,94,94,31,1
78,0,47,140,937,94,47,47,62,140,78,78,141,78,110,62,1
297,63,172,125,94,188,157,62,94,78,94,94,109,125,109,31,1
93,78,94,109,16,141,110,93,109,63,78,15,78,0,78,15,1
297,125,16,47,110,78,157,62,94,78,94,78,15,141,109,31,1
110,390,500,125,94,343,156,78,109,63,110,78,94,78,94,47,1
