@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,8,10,12,13,14,15,16,17,18,20,21,22,23,26,30,33,34,35,36,37,38,39,42,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
125,78,78,78,16,78,63,109,157,47,47,62,140,110,62,1
78,32,125,78,78,78,63,47,79,78,109,78,93,94,31,1
78,79,78,94,16,140,31,937,78,47,47,62,140,110,62,1
93,94,109,297,16,125,94,94,125,157,62,94,78,109,31,1
172,219,94,78,32,109,125,16,46,110,93,109,63,78,15,1
62,63,94,125,16,47,375,110,109,157,62,94,78,109,31,1
94,125,109,110,109,125,78,94,468,156,78,109,63,94,47,1
500,141,109,78,47,46,78,141,15,79,62,78,110,78,31,1
93,94,110,93,109,141,94,1020,46,156,78,109,63,94,47,1
156,78,141,109,31,15,32,687,16,94,16,47,125,0,78,1
78,15,47,47,156,47,63,0,32,31,94,94,0,31,62,1
78,62,31,47,31,78,47,797,47,94,16,47,125,0,78,1
110,109,141,110,31,63,93,610,125,125,47,47,141,15,93,1
47,62,94,125,110,0,62,125,47,47,93,0,93,0,63,1
32,15,203,16,31,250,1000,656,0,125,47,47,141,15,93,1
94,62,63,63,172,78,47,109,78,40,60,47,125,78,79,1
78,47,63,62,62,94,47,115,62,47,78,78,109,62,141,1
63,62,62,94,172,78,101,62,94,40,60,47,125,78,79,1
78,110,109,109,79,47,62,0,94,141,62,140,16,63,16,2
78,94,93,63,63,94,63,62,110,78,78,109,16,78,16,2
78,328,78,62,79,125,125,813,94,141,62,140,16,63,16,2
375,78,62,94,156,109,141,93,235,156,63,94,62,93,47,2
94,219,63,47,47,47,110,172,47,63,62,79,78,110,31,2
171,218,94,125,156,63,94,953,47,156,63,94,62,93,47,2
109,172,78,94,141,62,47,0,94,63,62,32,141,63,31,2
63,110,94,94,172,47,49,141,47,15,63,31,94,63,31,2
32,110,62,78,141,94,968,735,47,63,62,32,141,63,31,2
62,109,62,78,31,62,94,0,94,16,188,218,47,47,46,2
47,63,63,32,16,31,78,79,94,62,63,94,15,63,47,2
63,110,78,79,31,125,94,703,31,16,188,218,47,47,46,2
172,94,78,94,31,93,78,94,94,125,63,62,94,78,78,2
219,125,94,94,62,31,78,94,32,78,78,94,109,78,63,2
140,219,94,78,31,109,109,937,31,125,63,62,94,78,78,2
57,113,69,90,63,89,80,78,141,47,78,69,111,33,69,2
192,68,98,65,31,89,78,172,406,58,68,78,94,78,63,2
74,39,79,104,63,11,141,74,89,47,78,69,111,33,69,2
110,125,94,109,63,79,94,78,63,110,250,156,63,78,78,2
94,78,78,63,16,109,94,141,110,78,78,110,47,109,172,2
187,110,78,78,63,93,109,828,109,110,250,156,63,78,78,2
93,125,63,93,32,63,94,562,78,16,94,94,78,109,16,2
125,47,94,93,16,47,156,94,15,47,47,94,31,63,46,2
78,125,78,93,32,63,109,719,47,16,94,94,78,109,16,2
62,78,63,78,219,63,63,78,94,547,63,79,125,47,47,2
62,62,47,46,63,79,63,125,78,31,828,93,110,63,62,2
31,47,47,62,219,94,188,79,79,547,63,79,125,47,47,2
109,109,78,125,63,94,110,109,125,63,78,78,93,79,31,2
94,156,78,78,31,16,94,63,125,78,78,109,110,78,31,2
125,94,94,94,63,94,94,843,16,63,78,78,93,79,31,2
93,125,110,94,31,78,78,172,94,31,62,125,62,94,16,2
94,125,62,47,32,62,94,62,78,63,78,79,93,93,32,2
79,31,46,62,31,78,78,609,62,31,62,125,62,94,16,2
94,78,79,79,15,109,47,94,140,47,63,94,94,94,16,2
94,16,62,78,32,31,78,31,0,63,78,78,94,62,16,2
62,78,62,78,15,62,94,781,31,47,63,94,94,94,16,2
63,63,46,47,62,62,94,62,78,94,62,63,109,62,31,2
63,125,47,47,47,110,63,156,125,32,125,62,125,47,47,2
203,63,62,47,62,62,140,922,110,94,62,63,109,62,31,2
140,141,109,94,62,94,78,94,93,78,47,141,62,94,47,2
125,172,94,78,32,16,63,78,94,47,94,109,31,78,62,2
31,250,63,94,62,79,110,828,16,78,47,141,62,94,47,2
63,78,62,62,63,63,62,62,124,109,62,78,93,63,47,2
78,47,62,62,78,78,62,94,62,62,78,78,94,78,62,2
94,47,62,78,63,62,79,62,78,109,62,78,93,63,47,2
109,63,31,78,47,93,78,594,94,15,78,47,63,78,0,2
47,31,78,110,93,609,31,110,93,31,63,31,62,16,94,2
94,32,78,110,47,31,78,0,609,15,78,47,63,78,0,2
94,109,78,62,157,79,63,125,266,141,62,79,78,62,31,2
94,78,78,63,0,125,94,15,47,94,78,78,110,78,94,2
110,93,93,78,157,140,141,0,125,141,62,79,78,62,31,2
94,62,63,63,94,63,63,93,110,156,63,78,94,47,78,2
94,78,78,63,63,62,63,110,109,63,78,63,109,63,62,2
63,78,47,63,94,63,156,110,62,156,63,78,94,47,78,2
78,157,125,156,0,63,62,0,141,78,94,31,109,78,31,2
94,110,125,78,78,62,70,110,165,94,62,15,125,93,0,2
47,16,78,94,0,125,1390,984,62,78,94,31,109,78,31,2
62,109,94,78,62,94,109,94,94,63,78,141,0,78,32,2
78,0,94,63,78,78,111,120,62,94,94,63,172,63,93,2
78,97,31,156,62,78,0,735,78,63,78,141,0,78,32,2
