@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,13,14,15,16,18,21,22,23,24,25,27,30,33,34,35,36,37,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute ft6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
15,31,31,93,94,188,16,78,140,31,78,16,78,94,0,16,109,1
63,16,235,110,79,32,625,32,62,63,78,63,47,110,15,46,109,1
156,125,125,109,109,203,110,94,110,94,109,94,203,93,161,141,15,1
125,109,156,94,141,93,125,125,156,93,110,16,141,140,516,125,63,1
250,531,312,93,109,78,141,140,125,94,109,94,203,110,109,141,15,1
125,125,125,94,125,109,109,63,109,94,62,125,94,47,109,109,62,1
141,125,125,94,47,94,110,140,125,47,93,156,47,31,125,109,94,1
109,94,156,93,125,140,125,110,94,94,62,125,94,78,141,109,62,1
78,109,109,63,125,94,78,109,94,93,63,78,110,94,78,110,62,1
109,62,78,62,31,62,110,15,78,78,109,94,93,16,93,78,109,1
78,63,109,63,125,109,93,0,125,93,63,78,110,31,94,110,62,1
93,110,110,171,47,15,94,31,47,15,141,250,31,109,16,125,0,1
94,109,0,110,0,109,62,109,140,62,110,125,93,140,16,78,0,1
250,62,312,109,47,125,141,15,125,15,141,250,31,0,109,125,0,1
125,78,78,78,16,79,78,63,32,47,47,62,140,110,15,110,62,1
78,94,32,125,78,62,78,78,93,78,109,78,93,15,94,94,31,1
78,94,79,78,16,0,140,63,94,47,47,62,140,141,78,110,62,1
93,94,94,109,16,63,125,16,188,157,62,94,78,109,125,109,31,1
172,78,219,94,32,78,109,0,141,110,93,109,63,78,0,78,15,1
62,15,63,94,16,125,47,16,78,157,62,94,78,15,141,109,31,1
94,125,125,109,109,390,125,47,343,156,78,109,63,94,78,94,47,1
500,156,141,109,47,63,46,109,266,79,62,78,110,78,78,78,31,1
93,79,94,110,109,78,141,31,1114,156,78,109,63,484,203,94,47,1
156,78,78,141,31,62,15,47,125,94,16,47,125,78,0,0,78,1
78,32,15,47,156,79,47,79,78,31,94,94,0,78,31,31,62,1
78,32,62,31,31,109,78,32,937,94,16,47,125,79,78,0,78,1
110,109,109,141,31,31,63,125,109,125,47,47,141,109,16,15,93,1
47,109,62,94,110,63,0,16,203,47,93,0,93,94,15,0,63,1
32,0,15,203,31,47,250,78,781,125,47,47,141,63,219,15,93,1
94,62,62,63,172,141,78,79,125,40,60,47,125,94,62,78,79,1
78,62,47,63,62,67,94,93,76,47,78,78,109,78,62,62,141,1
63,63,62,62,172,86,78,140,63,40,60,47,125,141,235,78,79,1
78,110,110,109,79,125,47,234,16,141,62,140,16,78,109,63,16,2
78,78,94,93,63,47,94,109,203,78,78,109,16,265,110,78,16,2
78,78,328,78,79,251,125,109,156,141,62,140,16,219,78,63,16,2
375,78,78,62,156,125,109,62,157,156,63,94,62,63,109,93,47,2
94,78,219,63,47,94,47,125,219,63,62,79,78,78,31,110,31,2
171,16,218,94,156,46,63,15,1047,156,63,94,62,110,172,93,47,2
109,172,172,78,141,15,62,47,31,63,62,32,141,78,47,63,31,2
63,109,110,94,172,172,47,125,31,15,63,31,94,78,16,63,31,2
32,16,110,62,141,31,94,203,797,63,62,32,141,15,93,63,31,2
62,109,109,62,31,140,62,32,47,16,188,218,47,78,16,47,46,2
47,94,63,63,16,78,31,47,93,62,63,94,15,78,15,63,47,2
63,16,110,78,31,32,125,78,766,16,188,218,47,15,94,47,46,2
172,94,94,78,31,141,93,16,125,125,63,62,94,78,94,78,78,2
219,94,125,94,62,62,31,109,46,78,78,94,109,78,46,78,63,2
140,16,219,94,31,78,109,16,63,125,63,62,94,94,78,78,78,2
57,113,113,69,63,101,89,36,297,47,78,69,111,37,78,33,69,2
192,79,68,98,31,94,89,24,94,58,68,78,94,13,85,78,63,2
74,79,39,79,63,31,11,73,258,47,78,69,111,15,94,33,69,2
110,125,125,94,63,78,79,78,109,110,250,156,63,63,78,78,78,2
94,94,78,78,16,94,109,94,78,78,78,110,47,94,62,109,172,2
187,410,110,78,63,93,93,172,94,110,250,156,63,266,109,78,78,2
93,125,125,63,32,47,63,31,110,16,94,94,78,88,78,109,16,2
125,94,47,94,16,78,47,117,78,47,47,94,31,32,421,63,46,2
78,32,125,78,32,94,63,15,94,16,94,94,78,15,125,109,16,2
62,78,78,63,219,157,63,109,109,547,63,79,125,188,46,47,47,2
62,63,62,47,63,78,79,125,94,31,828,93,110,172,63,63,62,2
31,47,47,47,219,62,94,219,171,547,63,79,125,125,78,47,47,2
109,109,109,78,63,109,94,0,47,63,78,78,93,78,63,79,31,2
94,78,156,78,31,79,16,62,93,78,78,109,110,78,94,78,31,2
125,78,94,94,63,78,94,31,984,63,78,78,93,31,141,79,31,2
93,125,125,110,31,109,78,16,78,31,62,125,62,78,16,94,16,2
94,62,125,62,32,62,62,94,94,63,78,79,93,32,93,93,32,2
79,62,31,46,31,16,78,16,94,31,62,125,62,32,78,94,16,2
94,78,78,79,15,62,109,0,46,47,63,94,94,78,0,94,16,2
94,63,16,62,32,172,31,140,125,63,78,78,94,15,79,62,16,2
62,78,78,62,15,63,62,31,94,47,63,94,94,15,110,94,16,2
63,63,63,46,62,156,62,16,157,94,62,63,109,78,110,62,31,2
63,78,125,47,47,47,110,62,63,32,125,62,125,78,47,47,47,2
203,16,63,62,62,47,62,16,62,94,62,63,109,47,63,62,31,2
140,141,141,109,62,62,94,46,16,78,47,141,62,93,32,94,47,2
125,110,172,94,32,141,16,141,62,47,94,109,31,78,47,78,62,2
31,16,250,63,62,0,79,15,968,78,47,141,62,46,94,94,47,2
63,78,78,62,63,94,63,78,63,109,62,78,93,31,78,63,47,2
78,79,47,62,78,188,78,125,157,62,78,78,94,47,62,78,62,2
94,78,47,62,63,93,62,78,63,109,62,78,93,31,125,63,47,2
109,63,63,31,47,62,93,16,78,15,78,47,63,47,94,78,0,2
47,78,31,78,93,94,609,47,31,31,63,31,62,94,16,16,94,2
94,0,32,78,47,31,31,78,547,15,78,47,63,93,78,78,0,2
94,109,109,78,157,93,79,78,141,141,62,79,78,15,94,62,31,2
94,93,78,78,0,78,125,141,125,94,78,78,110,47,78,78,94,2
110,78,93,93,157,172,140,63,32,141,62,79,78,156,94,62,31,2
94,62,62,63,94,140,63,62,47,156,63,78,94,78,78,47,78,2
94,63,78,78,63,63,62,94,78,63,78,63,109,78,62,63,62,2
63,63,78,47,94,62,63,47,94,156,63,78,94,47,94,47,78,2
78,157,157,125,0,109,63,16,16,78,94,31,109,94,47,78,31,2
94,94,110,125,78,94,62,47,20,94,62,15,125,94,94,93,0,2
47,16,16,78,0,15,125,94,1094,78,94,31,109,31,156,78,31,2
62,109,109,94,62,125,94,141,93,63,78,141,0,78,63,78,32,2
78,93,0,94,78,78,78,78,94,94,94,63,172,78,94,63,93,2
78,78,97,31,62,187,78,47,78,63,78,141,0,94,78,78,32,2
