@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,7,8,12,13,14,15,16,17,18,20,21,22,23,24,27,30,33,34,35,36,39,42,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
109,78,109,93,188,156,203,62,78,63,78,110,125,31,78,32,1
125,109,47,47,109,31,93,0,16,62,157,31,156,110,78,16,1
47,32,31,344,94,0,47,32,78,78,0,47,31,125,63,31,1
16,47,62,47,109,125,859,110,16,62,157,31,94,0,78,16,1
141,110,78,78,203,78,94,531,234,79,94,140,78,391,78,109,1
109,94,78,62,157,78,157,78,281,63,94,172,78,516,94,125,1
110,109,78,78,203,94,63,250,234,79,94,140,93,235,78,109,1
156,47,78,78,79,78,469,578,63,78,63,47,48,5,46,109,1
15,31,31,15,94,16,47,140,31,78,16,78,16,94,16,109,1
63,235,16,78,79,625,0,62,63,78,63,47,16,110,46,109,1
156,125,187,187,109,110,125,110,94,109,94,203,110,93,141,15,1
125,156,109,78,141,125,125,156,93,110,16,141,531,140,125,63,1
250,312,125,187,109,141,750,125,94,109,94,203,93,110,141,15,1
125,125,94,94,125,109,94,109,94,62,125,94,94,47,109,62,1
141,125,94,94,47,110,94,125,47,93,156,47,94,31,109,94,1
109,156,109,94,125,125,125,94,94,62,125,94,94,78,109,62,1
78,109,78,78,125,78,78,94,93,63,78,110,63,94,110,62,1
109,78,78,94,31,110,63,78,78,109,94,93,63,16,78,109,1
78,109,94,78,125,93,93,125,93,63,78,110,63,31,110,62,1
93,110,94,94,47,94,110,47,15,141,250,31,78,109,125,0,1
94,0,172,125,0,62,0,140,62,110,125,93,62,140,78,0,1
250,312,78,94,47,141,860,125,15,141,250,31,125,0,125,0,1
125,78,78,78,16,78,109,32,47,47,62,140,0,110,110,62,1
78,32,78,78,78,78,47,93,78,109,78,93,94,15,94,31,1
78,79,94,78,16,140,937,94,47,47,62,140,78,141,110,62,1
93,94,297,297,16,125,94,188,157,62,94,78,94,109,109,31,1
172,219,78,93,32,109,16,141,110,93,109,63,15,78,78,15,1
62,63,125,297,16,47,110,78,157,62,94,78,78,15,109,31,1
94,125,110,110,109,125,94,343,156,78,109,63,78,94,94,47,1
500,141,78,125,47,46,141,266,79,62,78,110,79,78,78,31,1
93,94,93,110,109,141,1020,1114,156,78,109,63,94,484,94,47,1
156,78,109,109,31,15,687,125,94,16,47,125,31,78,0,78,1
78,15,47,31,156,47,0,78,31,94,94,0,32,78,31,62,1
78,62,47,109,31,78,797,937,94,16,47,125,0,79,0,78,1
110,109,110,110,31,63,610,109,125,47,47,141,46,109,15,93,1
47,62,125,16,110,0,125,203,47,93,0,93,0,94,0,63,1
32,15,16,110,31,250,656,781,125,47,47,141,93,63,15,93,1
94,62,63,63,172,78,109,125,40,60,47,125,63,94,78,79,1
78,47,62,79,62,94,115,76,47,78,78,109,63,78,62,141,1
63,62,94,63,172,78,62,63,40,60,47,125,62,141,78,79,1
78,110,109,109,79,47,0,16,141,62,140,16,32,78,63,16,2
78,94,63,125,63,94,62,203,78,78,109,16,78,265,78,16,2
78,328,62,109,79,125,813,156,141,62,140,16,78,219,63,16,2
375,78,94,94,156,109,93,157,156,63,94,62,156,63,93,47,2
94,219,47,47,47,47,172,219,63,62,79,78,16,78,110,31,2
171,218,125,94,156,63,953,1047,156,63,94,62,78,110,93,47,2
109,172,94,94,141,62,0,31,63,62,32,141,16,78,63,31,2
63,110,94,78,172,47,141,31,15,63,31,94,16,78,63,31,2
32,110,78,94,141,94,735,797,63,62,32,141,110,15,63,31,2
62,109,78,78,31,62,0,47,16,188,218,47,16,78,47,46,2
47,63,32,62,16,31,79,93,62,63,94,15,16,78,63,47,2
63,110,79,78,31,125,703,766,16,188,218,47,47,15,47,46,2
172,94,94,94,31,93,94,125,125,63,62,94,125,78,78,78,2
219,125,94,94,62,31,94,46,78,78,94,109,16,78,78,63,2
140,219,78,94,31,109,937,63,125,63,62,94,78,94,78,78,2
57,113,90,90,63,89,78,297,47,78,69,111,81,37,33,69,2
192,68,65,78,31,89,172,94,58,68,78,94,79,13,78,63,2
74,39,104,90,63,11,74,258,47,78,69,111,78,15,33,69,2
110,125,109,109,63,79,78,109,110,250,156,63,15,63,78,78,2
94,78,63,156,16,109,141,78,78,78,110,47,410,94,109,172,2
187,110,78,109,63,93,828,94,110,250,156,63,125,266,78,78,2
93,125,93,93,32,63,562,110,16,94,94,78,20,88,109,16,2
125,47,93,62,16,47,94,78,47,47,94,31,32,32,63,46,2
78,125,93,93,32,63,719,94,16,94,94,78,125,15,109,16,2
62,78,78,78,219,63,78,109,547,63,79,125,62,188,47,47,2
