@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,12,13,14,16,17,18,20,21,22,23,24,27,28,30,33,34,35,37,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
156,16,188,62,94,93,485,109,125,985,1078,78,47,62,93,125,32,93,1
62,63,93,47,31,31,125,79,62,63,156,47,78,78,78,78,79,78,1
172,15,94,78,63,79,46,94,78,109,63,78,78,94,47,125,63,78,1
62,0,78,78,62,31,125,94,62,62,141,47,78,78,78,62,79,78,1
93,547,156,172,79,79,128,110,63,94,93,62,78,63,62,93,47,94,1
78,16,109,109,63,78,47,0,79,62,94,78,79,78,78,0,62,47,1
78,78,15,78,78,79,128,141,94,812,78,62,78,63,62,78,47,94,1
63,15,63,63,93,93,63,109,63,63,109,94,78,94,62,109,63,62,1
62,78,79,94,31,79,62,109,94,94,63,78,78,125,78,438,31,94,1
62,31,63,94,78,93,63,94,125,63,125,94,78,94,62,47,63,62,1
78,47,94,78,40,40,271,125,47,62,78,62,125,32,78,94,16,78,1
62,31,31,78,79,78,32,125,62,94,31,62,312,63,141,32,31,79,1
63,0,141,62,94,40,271,94,62,813,891,62,125,32,78,31,16,78,1
78,94,94,78,78,78,140,93,47,63,156,47,63,93,62,125,110,78,1
63,47,94,63,62,63,94,125,78,125,47,78,78,110,78,63,47,78,1
63,78,94,62,47,78,140,125,63,63,187,47,63,93,62,78,110,78,1
126,31,125,78,109,109,31,156,94,172,47,93,140,47,79,94,32,78,1
125,46,47,109,110,125,15,156,31,15,141,110,829,31,110,47,31,109,1
141,0,78,93,78,109,31,157,94,719,875,93,140,47,79,0,32,78,1
62,78,110,78,63,63,78,94,78,47,547,62,78,94,78,79,62,63,1
94,0,0,47,62,78,61,188,63,31,110,78,62,110,15,31,47,78,1
94,47,93,94,47,63,78,78,94,895,62,62,78,94,78,47,62,63,1
125,16,94,78,93,93,188,94,110,78,110,63,78,110,110,125,32,125,1
156,16,140,109,94,78,0,109,156,78,156,47,62,94,235,0,235,125,1
109,31,78,78,109,93,188,94,156,203,62,63,78,110,110,31,32,125,1
