@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,10,12,13,16,17,18,19,21,22,23,24,26,27,28,30,33,34,35,37,38,40,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,16,32,31,31,94,140,31,62,47,78,0,47,16,15,31,1
16,31,47,31,62,109,15,125,719,859,62,157,31,47,62,16,1
141,110,110,94,78,203,249,88,344,94,79,94,140,109,109,109,1
109,93,94,109,78,157,204,78,172,157,63,94,172,110,78,125,1
110,78,109,407,78,203,63,250,203,63,79,94,140,109,78,109,1
156,47,47,140,78,79,15,110,16,469,78,63,47,63,84,109,1
15,31,31,93,31,94,0,94,78,47,78,16,78,31,0,109,1
63,16,235,110,16,79,125,31,32,0,78,63,47,63,15,109,1
156,125,125,109,187,109,156,94,94,125,109,94,203,171,161,15,1
125,109,156,94,109,141,0,172,125,125,110,16,141,78,516,63,1
250,531,312,93,125,109,156,110,140,750,109,94,203,171,109,15,1
125,125,125,94,94,125,78,125,63,94,62,125,94,93,109,62,1
141,125,125,94,94,47,32,171,140,94,93,156,47,453,125,94,1
109,94,156,93,109,125,47,141,110,125,62,125,94,93,141,62,1
78,109,109,63,78,125,219,98,109,78,63,78,110,63,78,62,1
109,62,78,62,78,31,187,78,15,63,109,94,93,109,93,109,1
78,63,109,63,94,125,234,78,0,93,63,78,110,63,94,62,1
93,110,110,171,94,47,32,140,31,110,141,250,31,114,16,0,1
94,109,0,110,172,0,78,187,109,0,110,125,93,110,16,0,1
250,62,312,109,78,47,79,140,15,860,141,250,31,114,109,0,1
125,78,78,78,78,16,62,125,63,109,47,62,140,16,15,62,1
78,94,32,125,78,78,15,125,78,47,109,78,93,187,94,31,1
78,94,79,78,94,16,0,94,63,937,47,62,140,16,78,62,1
93,94,94,109,297,16,15,137,16,94,62,94,78,78,125,31,1
172,78,219,94,78,32,16,137,0,16,93,109,63,109,0,15,1
62,15,63,94,125,16,47,140,16,110,62,94,78,78,141,31,1
94,125,125,109,110,109,78,109,47,94,78,109,63,93,78,47,1
500,156,141,109,78,47,15,109,109,141,62,78,110,172,78,31,1
93,79,94,110,93,109,47,125,31,1020,78,109,63,93,203,47,1
156,78,78,141,109,31,32,31,47,687,16,47,125,63,0,78,1
78,32,15,47,47,156,625,31,79,0,94,94,0,31,31,62,1
78,32,62,31,47,31,193,31,32,797,16,47,125,63,78,78,1
110,109,109,141,110,31,31,125,125,610,47,47,141,63,16,93,1
47,109,62,94,125,110,0,125,16,125,93,0,93,156,15,63,1
32,0,15,203,16,31,720,15,78,656,47,47,141,63,219,93,1
94,62,62,63,63,172,31,78,79,109,60,47,125,62,62,79,1
78,62,47,63,62,62,250,47,93,115,78,78,109,13,62,141,1
63,63,62,62,94,172,188,78,140,62,60,47,125,62,235,79,1
78,110,110,109,109,79,31,78,234,0,62,140,16,63,109,16,2
78,78,94,93,63,63,31,141,109,62,78,109,16,94,110,16,2
78,78,328,78,62,79,16,94,109,813,62,140,16,63,78,16,2
375,78,78,62,94,156,31,141,62,93,63,94,62,78,109,47,2
94,78,219,63,47,47,32,141,125,172,62,79,78,266,31,31,2
171,16,218,94,125,156,94,94,15,953,63,94,62,78,172,47,2
109,172,172,78,94,141,47,47,47,0,62,32,141,16,47,31,2
63,109,110,94,94,172,47,47,125,141,63,31,94,125,16,31,2
32,16,110,62,78,141,1000,47,203,735,62,32,141,16,93,31,2
62,109,109,62,78,31,31,63,32,0,188,218,47,62,16,46,2
47,94,63,63,32,16,15,94,47,79,63,94,15,16,15,47,2
63,16,110,78,79,31,31,94,78,703,188,218,47,62,94,46,2
172,94,94,78,94,31,31,62,16,94,63,62,94,109,94,78,2
219,94,125,94,94,62,16,62,109,94,78,94,109,78,46,63,2
140,16,219,94,78,31,16,78,16,937,63,62,94,109,78,78,2
57,113,113,69,90,63,442,110,36,78,78,69,111,109,78,69,2
192,79,68,98,65,31,411,65,24,172,68,78,94,141,85,63,2
74,79,39,79,104,63,185,103,73,74,78,69,111,109,94,69,2
110,125,125,94,109,63,47,109,78,78,250,156,63,125,78,78,2
94,94,78,78,63,16,31,109,94,141,78,110,47,62,62,172,2
187,410,110,78,78,63,15,109,172,828,250,156,63,125,109,78,2
93,125,125,63,93,32,0,78,31,562,94,94,78,78,78,16,2
125,94,47,94,93,16,31,78,117,94,47,94,31,15,421,46,2
78,32,125,78,93,32,47,63,15,719,94,94,78,78,125,16,2
62,78,78,63,78,219,31,47,109,78,63,79,125,62,46,47,2
62,63,62,47,46,63,94,78,125,125,828,93,110,485,63,62,2
31,47,47,47,62,219,78,109,219,79,63,79,125,62,78,47,2
109,109,109,78,125,63,47,125,0,109,78,78,93,78,63,31,2
94,78,156,78,78,31,78,187,62,63,78,109,110,62,94,31,2
125,78,94,94,94,63,78,110,31,843,78,78,93,78,141,31,2
93,125,125,110,94,31,31,140,16,172,62,125,62,94,16,16,2
94,62,125,62,47,32,59,124,94,62,78,79,93,0,93,32,2
79,62,31,46,62,31,31,125,16,609,62,125,62,94,78,16,2
94,78,78,79,79,15,47,90,0,94,63,94,94,78,0,16,2
94,63,16,62,78,32,16,93,140,31,78,78,94,31,79,16,2
62,78,78,62,78,15,63,125,31,781,63,94,94,78,110,16,2
63,63,63,46,47,62,125,79,16,62,62,63,109,31,110,31,2
63,78,125,47,47,47,62,141,62,156,125,62,125,94,47,47,2
203,16,63,62,47,62,46,110,16,922,62,63,109,31,63,31,2
140,141,141,109,94,62,15,100,46,94,47,141,62,94,32,47,2
125,110,172,94,78,32,46,110,141,78,94,109,31,47,47,62,2
31,16,250,63,94,62,94,125,15,828,47,141,62,94,94,47,2
63,78,78,62,62,63,62,79,78,62,62,78,93,62,78,47,2
78,79,47,62,62,78,125,62,125,94,78,78,94,78,62,62,2
94,78,47,62,78,63,125,63,78,62,62,78,93,62,125,47,2
109,63,63,31,78,47,47,47,16,594,78,47,63,62,94,0,2
47,78,31,78,110,93,500,47,47,110,63,31,62,62,16,94,2
94,0,32,78,110,47,47,62,78,0,78,47,63,62,78,0,2
94,109,109,78,62,157,172,62,78,125,62,79,78,93,94,31,2
94,93,78,78,63,0,157,78,141,15,78,78,110,94,78,94,2
110,78,93,93,78,157,156,94,63,0,62,79,78,93,94,31,2
94,62,62,63,63,94,187,63,62,93,63,78,94,78,78,78,2
94,63,78,78,63,63,62,78,94,110,78,63,109,125,62,62,2
63,63,78,47,63,94,140,47,47,110,63,78,94,78,94,78,2
78,157,157,125,156,0,78,180,16,0,94,31,109,0,47,31,2
94,94,110,125,78,78,47,187,47,110,62,15,125,141,94,0,2
47,16,16,78,94,0,15,172,94,984,94,31,109,0,156,31,2
62,109,109,94,78,62,31,125,141,94,78,141,0,32,63,32,2
78,93,0,94,63,78,31,125,78,120,94,63,172,500,94,93,2
78,78,97,31,156,62,0,94,47,735,78,141,0,32,78,32,2
