@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,14,16,17,18,21,22,23,24,26,27,30,33,34,35,36,37,39,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
187,16,93,94,63,31,63,0,94,94,63,94,234,328,110,93,32,31,1
78,31,63,78,78,94,78,94,63,109,16,78,141,109,94,78,16,32,1
125,172,94,109,109,250,78,78,78,125,140,94,94,78,47,156,422,94,1
110,359,79,78,78,219,93,94,78,62,328,156,93,94,78,109,547,125,1
94,313,94,63,94,250,78,93,94,94,187,78,94,78,47,156,203,94,1
63,94,93,47,63,93,156,156,63,78,125,78,78,56,78,31,78,31,1
62,16,63,63,63,16,47,0,656,62,125,15,62,78,140,0,47,31,1
78,31,47,78,62,93,156,0,94,94,31,844,78,56,78,31,172,31,1
109,16,110,109,47,391,438,438,46,78,31,78,94,31,109,125,78,0,1
94,0,93,78,94,141,78,0,46,31,78,46,63,62,125,31,110,31,1
78,109,203,94,78,391,438,0,94,110,31,765,94,31,109,125,62,0,1
125,31,110,125,93,485,594,594,140,78,141,140,47,78,47,62,125,32,1
93,16,125,78,94,47,78,125,141,32,110,109,62,94,125,62,15,47,1
156,16,188,62,94,485,594,234,109,125,78,985,47,78,47,62,125,32,1
62,63,93,47,31,125,63,63,79,62,32,63,63,47,78,78,78,79,1
172,15,94,78,63,46,47,47,94,78,15,109,62,78,78,94,125,63,1
62,0,78,78,62,125,63,46,94,62,16,62,63,47,78,78,62,79,1
93,547,156,172,79,128,225,225,110,63,47,94,47,62,78,63,93,47,1
78,16,109,109,63,47,62,609,0,79,93,62,78,78,79,78,0,62,1
78,78,15,78,78,128,225,0,141,94,31,812,47,62,78,63,78,47,1
63,15,63,63,93,63,140,140,109,63,578,63,47,94,78,94,109,63,1
62,78,79,94,31,62,78,125,109,94,78,94,47,78,78,125,438,31,1
62,31,63,94,78,63,140,47,94,125,453,63,47,94,78,94,47,63,1
78,47,94,78,40,271,380,380,125,47,16,62,47,62,125,32,94,16,1
62,31,31,78,79,32,78,0,125,62,31,94,63,62,312,63,32,31,1
