@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,13,14,16,17,18,21,22,23,24,26,27,28,33,35,36,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
156,16,140,109,94,0,78,109,156,31,78,47,63,62,94,125,0,94,235,1
109,31,78,78,109,188,78,94,156,16,203,63,62,78,110,93,31,109,32,1
125,16,109,125,47,109,203,62,31,63,93,62,94,157,31,31,110,62,16,1
47,78,32,31,31,94,0,31,0,62,47,78,78,0,47,78,125,15,31,1
16,79,47,31,62,109,203,125,125,719,859,62,94,157,31,31,0,62,16,1
141,62,110,94,78,203,78,88,78,344,94,79,93,94,140,78,391,109,109,1
109,63,94,109,78,157,78,78,78,172,157,63,93,94,172,213,516,78,125,1
110,0,109,407,78,203,78,250,94,203,63,79,93,94,140,78,235,78,109,1
156,47,47,140,78,79,110,110,78,16,469,78,79,63,47,63,5,84,109,1
15,63,31,93,31,94,31,94,16,78,47,78,63,16,78,31,94,0,109,1
63,15,235,110,16,79,110,31,625,32,0,78,79,63,47,63,110,15,109,1
156,16,125,109,187,109,157,94,110,94,125,109,63,94,203,47,93,161,15,1
125,110,156,94,109,141,47,172,125,125,125,110,62,16,141,47,140,516,63,1
250,110,312,93,125,109,157,110,141,140,750,109,63,94,203,47,110,109,15,1
125,93,125,94,94,125,125,125,109,63,94,62,94,125,94,109,47,109,62,1
141,78,125,94,94,47,109,171,110,140,94,93,78,156,47,187,31,125,94,1
109,16,156,93,109,125,125,141,125,110,125,62,94,125,94,109,78,141,62,1
78,63,109,63,78,125,94,98,78,109,78,63,78,78,110,94,94,78,62,1
109,32,78,62,78,31,78,78,110,15,63,109,47,94,93,125,16,93,109,1
78,78,109,63,94,125,94,78,93,0,93,63,78,78,110,94,31,94,62,1
93,47,110,171,94,47,156,140,94,31,110,141,94,250,31,125,109,16,0,1
94,16,0,110,172,0,63,187,62,109,0,110,93,125,93,110,140,16,0,1
250,0,312,109,78,47,156,140,141,15,860,141,94,250,31,125,0,109,0,1
125,15,78,78,78,16,141,125,78,63,109,47,63,62,140,109,110,15,62,1
78,15,32,125,78,78,63,125,78,78,47,109,63,78,93,31,15,94,31,1
78,31,79,78,94,16,141,94,140,63,937,47,63,62,140,109,141,78,62,1
93,47,94,109,297,16,203,137,125,16,94,62,125,94,78,141,109,125,31,1
172,16,219,94,78,32,78,137,109,0,16,93,79,109,63,375,78,0,15,1
62,110,63,94,125,16,203,140,47,16,110,62,125,94,78,141,15,141,31,1
94,78,125,109,110,109,203,109,125,47,94,78,125,109,63,109,94,78,47,1
500,15,141,109,78,47,62,109,46,109,141,62,94,78,110,94,78,78,31,1
93,375,94,110,93,109,203,125,141,31,1020,78,125,109,63,109,484,203,47,1
156,47,78,141,109,31,78,31,15,47,687,16,62,47,125,62,78,0,78,1
78,156,15,47,47,156,16,31,47,79,0,94,62,94,0,47,78,31,62,1
78,156,62,31,47,31,78,31,78,32,797,16,62,47,125,62,79,78,78,1
110,15,109,141,110,31,125,125,63,125,610,47,93,47,141,31,109,16,93,1
47,31,62,94,125,110,94,125,0,16,125,93,79,0,93,1000,94,15,63,1
32,62,15,203,16,31,125,15,250,78,656,47,93,47,141,31,63,219,93,1
94,62,62,63,63,172,78,78,78,79,109,60,106,47,125,63,94,62,79,1
78,47,47,63,62,62,63,47,94,93,115,78,31,78,109,101,78,62,141,1
63,62,62,62,94,172,78,78,78,140,62,60,106,47,125,63,141,235,79,1
78,78,110,109,109,79,109,78,47,234,0,62,109,140,16,109,78,109,16,2
78,47,94,93,63,63,62,141,94,109,62,78,63,109,16,125,265,110,16,2
78,16,328,78,62,79,109,94,125,109,813,62,109,140,16,109,219,78,16,2
375,16,78,62,94,156,250,141,109,62,93,63,62,94,62,109,63,109,47,2
94,31,219,63,47,47,62,141,47,125,172,62,63,79,78,94,78,31,31,2
171,63,218,94,125,156,250,94,63,15,953,63,62,94,62,109,110,172,47,2
109,47,172,78,94,141,250,47,62,47,0,62,78,32,141,16,78,47,31,2
63,15,110,94,94,172,16,47,47,125,141,63,78,31,94,968,78,16,31,2
32,93,110,62,78,141,250,47,94,203,735,62,78,32,141,16,15,93,31,2
62,16,109,62,78,31,109,63,62,32,0,188,359,218,47,16,78,16,46,2
47,359,63,63,32,16,47,94,31,47,79,63,94,94,15,94,78,15,47,2
63,78,110,78,79,31,109,94,125,78,703,188,359,218,47,16,15,94,46,2
172,437,94,78,94,31,140,62,93,16,94,63,109,62,94,78,78,94,78,2
219,15,125,94,94,62,78,62,31,109,94,78,63,94,109,109,78,46,63,2
140,110,219,94,78,31,140,78,109,16,937,63,109,62,94,78,94,78,78,2
57,4369,113,69,90,63,80,110,89,36,78,78,78,69,111,63,37,78,69,2
192,4,68,98,65,31,78,65,89,24,172,68,150,78,94,141,13,85,63,2
74,6,39,79,104,63,80,103,11,73,74,78,78,69,111,63,15,94,69,2
110,156,125,94,109,63,172,109,79,78,78,250,78,156,63,78,63,78,78,2
94,15,78,78,63,16,78,109,109,94,141,78,63,110,47,109,94,62,172,2
187,78,110,78,78,63,172,109,93,172,828,250,78,156,63,78,266,109,78,2
93,32,125,63,93,32,187,78,63,31,562,94,78,94,78,63,88,78,16,2
125,32,47,94,93,16,62,78,47,117,94,47,63,94,31,109,32,421,46,2
78,78,125,78,93,32,187,63,63,15,719,94,78,94,78,63,15,125,16,2
62,141,78,63,78,219,62,47,63,109,78,63,1015,79,125,63,188,46,47,2
62,78,62,47,46,63,78,78,79,125,125,828,62,93,110,188,172,63,62,2
31,109,47,47,62,219,62,109,94,219,79,63,1015,79,125,63,125,78,47,2
109,125,109,78,125,63,109,125,94,0,109,78,109,78,93,94,78,63,31,2
94,16,156,78,78,31,110,187,16,62,63,78,78,109,110,94,78,94,31,2
125,0,94,94,94,63,109,110,94,31,843,78,109,78,93,94,31,141,31,2
93,47,125,110,94,31,79,140,78,16,172,62,79,125,62,110,78,16,16,2
94,16,125,62,47,32,78,124,62,94,62,78,93,79,93,78,32,93,32,2
79,31,31,46,62,31,79,125,78,16,609,62,79,125,62,110,32,78,16,2
94,31,78,79,79,15,140,90,109,0,94,63,78,94,94,78,78,0,16,2
94,0,16,62,78,32,94,93,31,140,31,78,78,78,94,94,15,79,16,2
62,16,78,62,78,15,140,125,62,31,781,63,78,94,94,78,15,110,16,2
63,343,63,46,47,62,78,79,62,16,62,62,156,63,109,110,78,110,31,2
63,0,125,47,47,47,63,141,110,62,156,125,47,62,125,140,78,47,47,2
203,47,63,62,47,62,78,110,62,16,922,62,156,63,109,110,47,63,31,2
140,31,141,109,94,62,172,100,94,46,94,47,62,141,62,110,93,32,47,2
125,32,172,94,78,32,78,110,16,141,78,94,46,109,31,110,78,47,62,2
31,109,250,63,94,62,172,125,79,15,828,47,62,141,62,110,46,94,47,2
63,78,78,62,62,63,78,79,63,78,62,62,94,78,93,63,31,78,47,2
78,62,47,62,62,78,63,62,78,125,94,78,63,78,94,79,47,62,62,2
94,78,47,62,78,63,78,63,62,78,62,62,94,78,93,63,31,125,47,2
109,47,63,31,78,47,125,47,93,16,594,78,78,47,63,16,47,94,0,2
47,16,31,78,110,93,32,47,609,47,110,63,78,31,62,78,94,16,94,2
94,156,32,78,110,47,125,62,31,78,0,78,78,47,63,16,93,78,0,2
94,32,109,78,62,157,78,62,79,78,125,62,79,79,78,78,15,94,31,2
94,16,78,78,63,0,94,78,125,141,15,78,78,78,110,141,47,78,94,2
110,78,93,93,78,157,78,94,140,63,0,62,79,79,78,78,156,94,31,2
94,109,62,63,63,94,78,63,63,62,93,63,109,78,94,78,78,78,78,2
94,47,78,78,63,63,62,78,62,94,110,78,78,63,109,156,78,62,62,2
63,62,78,47,63,94,78,47,63,47,110,63,109,78,94,78,47,94,78,2
78,47,157,125,156,0,78,180,63,16,0,94,62,31,109,46,94,47,31,2
94,15,110,125,78,78,47,187,62,47,110,62,63,15,125,1390,94,94,0,2
47,47,16,78,94,0,78,172,125,94,984,94,62,31,109,46,31,156,31,2
62,79,109,94,78,62,109,125,94,141,94,78,94,141,0,15,78,63,32,2
78,125,0,94,63,78,31,125,78,78,120,94,46,63,172,0,78,94,93,2
78,31,97,31,156,62,109,94,78,47,735,78,94,141,0,15,94,78,32,2
