@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,8,9,10,12,15,16,18,20,22,23,24,26,27,30,31,32,33,34,36,37,42,43'

@attribute dtfk1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
125,125,485,594,47,47,78,62,140,47,78,16,125,62,78,32,1
93,78,47,125,31,79,32,0,109,62,94,78,15,63,94,47,1
156,62,485,234,16,94,125,94,985,47,78,16,125,94,78,32,1
62,47,125,63,171,109,62,78,63,63,47,172,78,63,46,79,1
172,78,46,47,31,63,78,63,109,62,78,62,125,31,62,63,1
62,78,125,46,47,47,62,62,62,63,47,172,62,32,46,79,1
93,172,128,225,40,78,63,78,94,47,62,15,93,16,94,47,1
78,109,47,609,734,63,79,32,62,78,78,94,0,63,15,62,1
78,78,128,0,47,32,94,172,812,47,62,15,78,47,94,47,1
63,63,63,140,188,141,63,94,63,47,94,78,109,47,93,63,1
62,94,62,125,207,62,94,47,94,47,78,110,438,62,94,31,1
62,94,63,47,687,62,125,78,63,47,94,78,47,62,93,63,1
78,78,271,380,47,15,47,62,62,47,62,15,94,31,62,16,1
62,78,32,0,47,157,62,32,94,63,62,94,32,62,78,31,1
63,62,271,125,140,0,62,32,813,47,62,15,31,156,62,16,1
78,78,140,79,250,125,47,62,63,125,47,125,125,62,62,110,1
63,63,94,94,125,62,78,63,125,62,78,62,63,46,63,47,1
63,62,140,78,172,63,63,83,63,125,47,125,78,47,62,110,1
126,78,31,172,31,46,94,93,172,0,93,46,94,78,78,32,1
125,109,15,110,125,94,31,31,15,93,110,78,47,94,157,31,1
141,93,31,172,93,78,94,94,719,0,93,46,0,110,78,32,1
62,78,78,62,94,47,78,94,47,32,62,0,79,46,78,62,1
94,47,61,78,94,62,63,31,31,78,78,94,31,94,78,47,1
94,94,78,79,78,94,94,78,895,32,62,0,47,78,78,62,1
125,78,188,78,31,62,110,78,78,78,63,125,125,125,78,32,1
156,109,0,0,31,94,156,125,78,78,47,94,0,94,62,235,1
109,78,188,0,0,62,156,94,203,78,63,125,31,109,78,32,1
125,125,109,203,47,78,31,31,93,16,62,31,110,62,78,16,1
47,31,94,1469,140,78,0,156,47,78,78,156,125,15,63,31,1
16,31,109,141,15,0,125,109,859,16,62,31,0,62,78,16,1
141,94,203,78,249,282,78,407,94,234,79,47,391,109,78,109,1
109,109,157,62,204,63,78,78,157,281,63,94,516,78,94,125,1
110,407,203,1109,63,93,94,78,63,234,79,47,235,78,78,109,1
156,140,79,110,15,47,78,110,469,63,78,31,5,84,46,109,1
15,93,94,141,0,188,16,48,47,31,78,109,94,0,16,109,1
63,110,79,438,125,32,625,79,0,63,78,31,110,15,46,109,1
156,109,109,157,156,203,110,93,125,94,109,157,93,161,141,15,1
125,94,141,172,0,93,125,110,125,93,110,172,140,516,125,63,1
250,93,109,94,156,78,141,78,750,94,109,157,110,109,141,15,1
125,94,125,125,78,109,109,93,94,94,62,110,47,109,109,62,1
141,94,47,109,32,94,110,94,94,47,93,94,31,125,109,94,1
109,93,125,125,47,140,125,78,125,94,62,110,78,141,109,62,1
78,63,125,94,219,94,78,63,78,93,63,46,94,78,110,62,1
109,62,31,94,187,62,110,63,63,78,109,63,16,93,78,109,1
78,63,125,110,234,109,93,63,93,93,63,46,31,94,110,62,1
93,171,47,156,32,15,94,109,110,15,141,16,109,16,125,0,1
94,110,0,110,78,109,62,78,0,62,110,93,140,16,78,0,1
250,109,47,125,79,125,141,94,860,15,141,16,0,109,125,0,1
125,78,16,141,62,79,78,78,109,47,47,78,110,15,110,62,1
78,125,78,0,15,62,78,0,47,78,109,109,15,94,94,31,1
78,78,16,187,0,0,140,62,937,47,47,78,141,78,110,62,1
93,109,16,203,15,63,125,94,94,157,62,94,109,125,109,31,1
172,94,32,156,16,78,109,94,16,110,93,78,78,0,78,15,1
62,94,16,0,47,125,47,172,110,157,62,94,15,141,109,31,1
94,109,109,203,78,390,125,110,94,156,78,110,94,78,94,47,1
500,109,47,0,15,63,46,78,141,79,62,94,78,78,78,31,1
93,110,109,0,47,78,141,110,1020,156,78,110,484,203,94,47,1
156,141,31,78,32,62,15,31,687,94,16,47,78,0,0,78,1
78,47,156,531,625,79,47,31,0,31,94,109,78,31,31,62,1
78,31,31,671,193,109,78,93,797,94,16,47,79,78,0,78,1
110,141,31,125,31,31,63,203,610,125,47,16,109,16,15,93,1
47,94,110,0,0,63,0,46,125,47,93,78,94,15,0,63,1
32,203,31,657,720,47,250,453,656,125,47,16,63,219,15,93,1
94,63,172,78,31,141,78,62,109,40,60,94,94,62,78,79,1
78,63,62,78,250,67,94,63,115,47,78,176,78,62,62,141,1
63,62,172,62,188,86,78,63,62,40,60,94,141,235,78,79,1
78,109,79,109,31,125,47,78,0,141,62,203,78,109,63,16,2
78,93,63,0,31,47,94,32,62,78,78,63,265,110,78,16,2
78,78,79,0,16,251,125,109,813,141,62,203,219,78,63,16,2
375,62,156,250,31,125,109,94,93,156,63,47,63,109,93,47,2
94,63,47,0,32,94,47,156,172,63,62,62,78,31,110,31,2
171,94,156,62,94,46,63,62,953,156,63,47,110,172,93,47,2
109,78,141,250,47,15,62,62,0,63,62,78,78,47,63,31,2
63,94,172,0,47,172,47,16,141,15,63,63,78,16,63,31,2
32,62,141,906,1000,31,94,78,735,63,62,78,15,93,63,31,2
62,62,31,109,31,140,62,78,0,16,188,47,78,16,47,46,2
47,63,16,0,15,78,31,16,79,62,63,156,78,15,63,47,2
63,78,31,0,31,32,125,78,703,16,188,47,15,94,47,46,2
172,78,31,140,31,141,93,94,94,125,63,94,78,94,78,78,2
219,94,62,0,16,62,31,125,94,78,78,78,78,46,78,63,2
140,94,31,109,16,78,109,78,937,125,63,94,94,78,78,78,2
57,69,63,80,442,101,89,79,78,47,78,78,37,78,33,69,2
192,98,31,70,411,94,89,81,172,58,68,62,13,85,78,63,2
74,79,63,73,185,31,11,31,74,47,78,78,15,94,33,69,2
110,94,63,172,47,78,79,78,78,110,250,47,63,78,78,78,2
94,78,16,0,31,94,109,15,141,78,78,94,94,62,109,172,2
187,78,63,0,15,93,93,94,828,110,250,47,266,109,78,78,2
93,63,32,187,0,47,63,78,562,16,94,15,88,78,109,16,2
125,94,16,110,31,78,47,20,94,47,47,172,32,421,63,46,2
78,78,32,109,47,94,63,78,719,16,94,15,15,125,109,16,2
62,63,219,62,31,157,63,47,78,547,63,203,188,46,47,47,2
62,47,63,63,94,78,79,62,125,31,828,62,172,63,63,62,2
31,47,219,47,78,62,94,47,79,547,63,203,125,78,47,47,2
109,78,63,109,47,109,94,94,109,63,78,47,78,63,79,31,2
94,78,31,78,78,79,16,47,63,78,78,94,78,94,78,31,2
125,94,63,93,78,78,94,78,843,63,78,47,31,141,79,31,2
93,110,31,79,31,109,78,46,172,31,62,15,78,16,94,16,2
94,62,32,98,59,62,62,31,62,63,78,78,32,93,93,32,2
79,46,31,94,31,16,78,94,609,31,62,15,32,78,94,16,2
94,79,15,140,47,62,109,62,94,47,63,0,78,0,94,16,2
94,62,32,0,16,172,31,16,31,63,78,78,15,79,62,16,2
62,62,15,0,63,63,62,78,781,47,63,0,15,110,94,16,2
63,46,62,78,125,156,62,62,62,94,62,234,78,110,62,31,2
63,47,47,125,62,47,110,47,156,32,125,63,78,47,47,47,2
203,62,62,79,46,47,62,62,922,94,62,234,47,63,62,31,2
140,109,62,172,15,62,94,63,94,78,47,109,93,32,94,47,2
125,94,32,94,46,141,16,16,78,47,94,78,78,47,78,62,2
31,63,62,78,94,0,79,94,828,78,47,109,46,94,94,47,2
63,62,63,78,62,94,63,62,62,109,62,78,31,78,63,47,2
78,62,78,63,125,188,78,47,94,62,78,93,47,62,78,62,2
94,62,63,47,125,93,62,63,62,109,62,78,31,125,63,47,2
109,31,47,125,47,62,93,78,594,15,78,110,47,94,78,0,2
47,78,93,484,500,94,609,16,110,31,63,109,94,16,16,94,2
94,78,47,0,47,31,31,94,0,15,78,110,93,78,78,0,2
94,78,157,78,172,93,79,93,125,141,62,63,15,94,62,31,2
94,78,0,109,157,78,125,94,15,94,78,78,47,78,78,94,2
110,93,157,47,156,172,140,78,0,141,62,63,156,94,62,31,2
94,63,94,78,187,140,63,47,93,156,63,188,78,78,47,78,2
94,78,63,63,62,63,62,78,110,63,78,62,78,62,63,62,2
63,47,94,63,140,62,63,78,110,156,63,188,47,94,47,78,2
78,125,0,78,78,109,63,78,0,78,94,93,94,47,78,31,2
94,125,78,141,47,94,62,31,110,94,62,63,94,94,93,0,2
47,78,0,0,15,15,125,94,984,78,94,93,31,156,78,31,2
62,94,62,109,31,125,94,31,94,63,78,93,78,63,78,32,2
78,94,78,110,31,78,78,31,120,94,94,125,78,94,63,93,2
78,31,62,0,0,187,78,109,735,63,78,93,94,78,78,32,2
