@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,10,13,14,15,16,17,18,20,21,22,23,24,25,27,30,33,34,36,37,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
16,79,47,31,109,203,125,110,16,62,157,31,31,0,78,16,62,1
141,62,110,94,203,78,78,531,234,79,94,140,47,391,78,109,94,1
109,63,94,109,157,78,78,78,281,63,94,172,94,516,94,125,93,1
110,0,109,407,203,78,94,250,234,79,94,140,47,235,78,109,94,1
156,47,47,140,79,110,78,578,63,78,63,47,31,5,46,109,78,1
15,63,31,93,94,31,16,140,31,78,16,78,109,94,16,109,16,1
63,15,235,110,79,110,625,62,63,78,63,47,31,110,46,109,78,1
156,16,125,109,109,157,110,110,94,109,94,203,157,93,141,15,94,1
125,110,156,94,141,47,125,156,93,110,16,141,172,140,125,63,93,1
250,110,312,93,109,157,141,125,94,109,94,203,157,110,141,15,94,1
125,93,125,94,125,125,109,109,94,62,125,94,110,47,109,62,79,1
141,78,125,94,47,109,110,125,47,93,156,47,94,31,109,94,94,1
109,16,156,93,125,125,125,94,94,62,125,94,110,78,109,62,79,1
78,63,109,63,125,94,78,94,93,63,78,110,46,94,110,62,94,1
109,32,78,62,31,78,110,78,78,109,94,93,63,16,78,109,63,1
78,78,109,63,125,94,93,125,93,63,78,110,46,31,110,62,94,1
93,47,110,171,47,156,94,47,15,141,250,31,16,109,125,0,109,1
94,16,0,110,0,63,62,140,62,110,125,93,93,140,78,0,125,1
250,0,312,109,47,156,141,125,15,141,250,31,16,0,125,0,109,1
125,15,78,78,16,141,78,32,47,47,62,140,78,110,110,62,156,1
78,15,32,125,78,63,78,93,78,109,78,93,109,15,94,31,78,1
78,31,79,78,16,141,140,94,47,47,62,140,78,141,110,62,156,1
93,47,94,109,16,203,125,188,157,62,94,78,94,109,109,31,110,1
172,16,219,94,32,78,109,141,110,93,109,63,78,78,78,15,78,1
62,110,63,94,16,203,47,78,157,62,94,78,94,15,109,31,110,1
94,78,125,109,109,203,125,343,156,78,109,63,110,94,94,47,78,1
500,15,141,109,47,62,46,266,79,62,78,110,94,78,78,31,94,1
93,375,94,110,109,203,141,1114,156,78,109,63,110,484,94,47,78,1
156,47,78,141,31,78,15,125,94,16,47,125,47,78,0,78,16,1
78,156,15,47,156,16,47,78,31,94,94,0,109,78,31,62,0,1
78,156,62,31,31,78,78,937,94,16,47,125,47,79,0,78,16,1
110,15,109,141,31,125,63,109,125,47,47,141,16,109,15,93,47,1
47,31,62,94,110,94,0,203,47,93,0,93,78,94,0,63,93,1
32,62,15,203,31,125,250,781,125,47,47,141,16,63,15,93,47,1
94,62,62,63,172,78,78,125,40,60,47,125,94,94,78,79,62,1
78,47,47,63,62,63,94,76,47,78,78,109,176,78,62,141,62,1
63,62,62,62,172,78,78,63,40,60,47,125,94,141,78,79,62,1
78,78,110,109,79,109,47,16,141,62,140,16,203,78,63,16,62,2
78,47,94,93,63,62,94,203,78,78,109,16,63,265,78,16,78,2
78,16,328,78,79,109,125,156,141,62,140,16,203,219,63,16,62,2
375,16,78,62,156,250,109,157,156,63,94,62,47,63,93,47,110,2
94,31,219,63,47,62,47,219,63,62,79,78,62,78,110,31,78,2
171,63,218,94,156,250,63,1047,156,63,94,62,47,110,93,47,110,2
109,47,172,78,141,250,62,31,63,62,32,141,78,78,63,31,78,2
63,15,110,94,172,16,47,31,15,63,31,94,63,78,63,31,110,2
32,93,110,62,141,250,94,797,63,62,32,141,78,15,63,31,78,2
62,16,109,62,31,109,62,47,16,188,218,47,47,78,47,46,63,2
47,359,63,63,16,47,31,93,62,63,94,15,156,78,63,47,47,2
63,78,110,78,31,109,125,766,16,188,218,47,47,15,47,46,63,2
172,437,94,78,31,140,93,125,125,63,62,94,94,78,78,78,62,2
219,15,125,94,62,78,31,46,78,78,94,109,78,78,78,63,78,2
140,110,219,94,31,140,109,63,125,63,62,94,94,94,78,78,62,2
57,4369,113,69,63,80,89,297,47,78,69,111,78,37,33,69,61,2
192,4,68,98,31,78,89,94,58,68,78,94,62,13,78,63,78,2
74,6,39,79,63,80,11,258,47,78,69,111,78,15,33,69,61,2
110,156,125,94,63,172,79,109,110,250,156,63,47,63,78,78,125,2
94,15,78,78,16,78,109,78,78,78,110,47,94,94,109,172,125,2
187,78,110,78,63,172,93,94,110,250,156,63,47,266,78,78,125,2
93,32,125,63,32,187,63,110,16,94,94,78,15,88,109,16,93,2
125,32,47,94,16,62,47,78,47,47,94,31,172,32,63,46,125,2
78,78,125,78,32,187,63,94,16,94,94,78,15,15,109,16,93,2
62,141,78,63,219,62,63,109,547,63,79,125,203,188,47,47,78,2
62,78,62,47,63,78,79,94,31,828,93,110,62,172,63,62,63,2
31,109,47,47,219,62,94,171,547,63,79,125,203,125,47,47,78,2
109,125,109,78,63,109,94,47,63,78,78,93,47,78,79,31,78,2
94,16,156,78,31,110,16,93,78,78,109,110,94,78,78,31,94,2
125,0,94,94,63,109,94,984,63,78,78,93,47,31,79,31,78,2
93,47,125,110,31,79,78,78,31,62,125,62,15,78,94,16,78,2
94,16,125,62,32,78,62,94,63,78,79,93,78,32,93,32,62,2
79,31,31,46,31,79,78,94,31,62,125,62,15,32,94,16,78,2
94,31,78,79,15,140,109,46,47,63,94,94,0,78,94,16,78,2
94,0,16,62,32,94,31,125,63,78,78,94,78,15,62,16,94,2
62,16,78,62,15,140,62,94,47,63,94,94,0,15,94,16,78,2
63,343,63,46,62,78,62,157,94,62,63,109,234,78,62,31,47,2
63,0,125,47,47,63,110,63,32,125,62,125,63,78,47,47,62,2
203,47,63,62,62,78,62,62,94,62,63,109,234,47,62,31,47,2
140,31,141,109,62,172,94,16,78,47,141,62,109,93,94,47,62,2
125,32,172,94,32,78,16,62,47,94,109,31,78,78,78,62,79,2
31,109,250,63,62,172,79,968,78,47,141,62,109,46,94,47,62,2
63,78,78,62,63,78,63,63,109,62,78,93,78,31,63,47,62,2
78,62,47,62,78,63,78,157,62,78,78,94,93,47,78,62,63,2
94,78,47,62,63,78,62,63,109,62,78,93,78,31,63,47,62,2
109,47,63,31,47,125,93,78,15,78,47,63,110,47,78,0,31,2
47,16,31,78,93,32,609,31,31,63,31,62,109,94,16,94,16,2
94,156,32,78,47,125,31,547,15,78,47,63,110,93,78,0,31,2
94,32,109,78,157,78,79,141,141,62,79,78,63,15,62,31,79,2
94,16,78,78,0,94,125,125,94,78,78,110,78,47,78,94,94,2
110,78,93,93,157,78,140,32,141,62,79,78,63,156,62,31,79,2
94,109,62,63,94,78,63,47,156,63,78,94,188,78,47,78,63,2
94,47,78,78,63,62,62,78,63,78,63,109,62,78,63,62,47,2
63,62,78,47,94,78,63,94,156,63,78,94,188,47,47,78,63,2
78,47,157,125,0,78,63,16,78,94,31,109,93,94,78,31,63,2
94,15,110,125,78,47,62,20,94,62,15,125,63,94,93,0,63,2
47,47,16,78,0,78,125,1094,78,94,31,109,93,31,78,31,63,2
62,79,109,94,62,109,94,93,63,78,141,0,93,78,78,32,93,2
78,125,0,94,78,31,78,94,94,94,63,172,125,78,63,93,78,2
78,31,97,31,62,109,78,78,63,78,141,0,93,94,78,32,93,2
