@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,8,9,10,12,13,14,15,16,17,21,22,23,24,26,27,30,33,36,37,39,40,43'

@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,94,63,94,172,78,78,125,62,78,78,110,110,62,63,47,78,1
78,94,62,140,125,63,125,63,125,47,63,93,63,125,78,110,78,1
31,125,78,31,125,94,16,172,0,93,140,47,32,46,94,32,78,1
46,47,109,15,47,31,63,15,93,110,829,31,109,78,47,31,109,1
0,78,93,31,15,94,78,719,0,93,140,47,32,46,0,32,78,1
78,110,78,78,94,78,31,47,32,62,78,94,141,0,79,62,63,1
0,0,47,61,141,63,62,31,78,78,62,110,141,94,31,47,78,1
47,93,94,78,31,94,47,895,32,62,78,94,141,0,47,62,63,1
16,94,78,188,156,110,31,78,78,63,78,110,93,125,125,32,125,1
16,140,109,0,313,156,31,78,78,47,62,94,125,94,0,235,125,1
31,78,78,188,78,156,16,203,78,63,78,110,93,125,31,32,125,1
16,109,125,109,47,31,63,93,16,62,157,31,31,31,110,16,62,1
78,32,31,94,63,0,62,47,78,78,0,47,78,156,125,31,94,1
79,47,31,109,47,125,719,859,16,62,157,31,31,31,0,16,62,1
62,110,94,203,109,78,344,94,234,79,94,140,78,47,391,109,94,1
63,94,109,157,172,78,172,157,281,63,94,172,213,94,516,125,93,1
0,109,407,203,157,94,203,63,234,79,94,140,78,47,235,109,94,1
47,47,140,79,15,78,16,469,63,78,63,47,63,31,5,109,78,1
63,31,93,94,31,16,78,47,31,78,16,78,31,109,94,109,16,1
15,235,110,79,47,625,32,0,63,78,63,47,63,31,110,109,78,1
16,125,109,109,125,110,94,125,94,109,94,203,47,157,93,15,94,1
110,156,94,141,500,125,125,125,93,110,16,141,47,172,140,63,93,1
110,312,93,109,125,141,140,750,94,109,94,203,47,157,110,15,94,1
93,125,94,125,141,109,63,94,94,62,125,94,109,110,47,62,79,1
78,125,94,47,140,110,140,94,47,93,156,47,187,94,31,94,94,1
16,156,93,125,94,125,110,125,94,62,125,94,109,110,78,62,79,1
63,109,63,125,109,78,109,78,93,63,78,110,94,46,94,62,94,1
32,78,62,31,125,110,15,63,78,109,94,93,125,63,16,109,63,1
78,109,63,125,63,93,0,93,93,63,78,110,94,46,31,62,94,1
47,110,171,47,94,94,31,110,15,141,250,31,125,16,109,0,109,1
16,0,110,0,47,62,109,0,62,110,125,93,110,93,140,0,125,1
0,312,109,47,0,141,15,860,15,141,250,31,125,16,0,0,109,1
15,78,78,16,78,78,63,109,47,47,62,140,109,78,110,62,156,1
15,32,125,78,110,78,78,47,78,109,78,93,31,109,15,31,78,1
31,79,78,16,47,140,63,937,47,47,62,140,109,78,141,62,156,1
47,94,109,16,172,125,16,94,157,62,94,78,141,94,109,31,110,1
16,219,94,32,94,109,0,16,110,93,109,63,375,78,78,15,78,1
110,63,94,16,16,47,16,110,157,62,94,78,141,94,15,31,110,1
78,125,109,109,500,125,47,94,156,78,109,63,109,110,94,47,78,1
15,141,109,47,609,46,109,141,79,62,78,110,94,94,78,31,94,1
375,94,110,109,141,141,31,1020,156,78,109,63,109,110,484,47,78,1
47,78,141,31,78,15,47,687,94,16,47,125,62,47,78,78,16,1
156,15,47,156,172,47,79,0,31,94,94,0,47,109,78,62,0,1
156,62,31,31,0,78,32,797,94,16,47,125,62,47,79,78,16,1
15,109,141,31,47,63,125,610,125,47,47,141,31,16,109,93,47,1
31,62,94,110,78,0,16,125,47,93,0,93,1000,78,94,63,93,1
62,15,203,31,125,250,78,656,125,47,47,141,31,16,63,93,47,1
62,62,63,172,78,78,79,109,40,60,47,125,63,94,94,79,62,1
47,47,63,62,91,94,93,115,47,78,78,109,101,176,78,141,62,1
62,62,62,172,115,78,140,62,40,60,47,125,63,94,141,79,62,1
78,110,109,79,78,47,234,0,141,62,140,16,109,203,78,16,62,2
47,94,93,63,203,94,109,62,78,78,109,16,125,63,265,16,78,2
16,328,78,79,62,125,109,813,141,62,140,16,109,203,219,16,62,2
16,78,62,156,94,109,62,93,156,63,94,62,109,47,63,47,110,2
31,219,63,47,16,47,125,172,63,62,79,78,94,62,78,31,78,2
63,218,94,156,172,63,15,953,156,63,94,62,109,47,110,47,110,2
47,172,78,141,63,62,47,0,63,62,32,141,16,78,78,31,78,2
15,110,94,172,47,47,125,141,15,63,31,94,968,63,78,31,110,2
93,110,62,141,141,94,203,735,63,62,32,141,16,78,15,31,78,2
16,109,62,31,47,62,32,0,16,188,218,47,16,47,78,46,63,2
359,63,63,16,47,31,47,79,62,63,94,15,94,156,78,47,47,2
78,110,78,31,79,125,78,703,16,188,218,47,16,47,15,46,63,2
437,94,78,31,219,93,16,94,125,63,62,94,78,94,78,78,62,2
15,125,94,62,110,31,109,94,78,78,94,109,109,78,78,63,78,2
110,219,94,31,94,109,16,937,125,63,62,94,78,94,94,78,62,2
4369,113,69,63,192,89,36,78,47,78,69,111,63,78,37,69,61,2
4,68,98,31,187,89,24,172,58,68,78,94,141,62,13,63,78,2
6,39,79,63,172,11,73,74,47,78,69,111,63,78,15,69,61,2
156,125,94,63,94,79,78,78,110,250,156,63,78,47,63,78,125,2
15,78,78,16,62,109,94,141,78,78,110,47,109,94,94,172,125,2
78,110,78,63,141,93,172,828,110,250,156,63,78,47,266,78,125,2
32,125,63,32,125,63,31,562,16,94,94,78,63,15,88,16,93,2
32,47,94,16,78,47,117,94,47,47,94,31,109,172,32,46,125,2
78,125,78,32,94,63,15,719,16,94,94,78,63,15,15,16,93,2
141,78,63,219,62,63,109,78,547,63,79,125,63,203,188,47,78,2
78,62,47,63,125,79,125,125,31,828,93,110,188,62,172,62,63,2
109,47,47,219,125,94,219,79,547,63,79,125,63,203,125,47,78,2
125,109,78,63,94,94,0,109,63,78,78,93,94,47,78,31,78,2
16,156,78,31,46,16,62,63,78,78,109,110,94,94,78,31,94,2
0,94,94,63,63,94,31,843,63,78,78,93,94,47,31,31,78,2
47,125,110,31,94,78,16,172,31,62,125,62,110,15,78,16,78,2
16,125,62,32,125,62,94,62,63,78,79,93,78,78,32,32,62,2
31,31,46,31,62,78,16,609,31,62,125,62,110,15,32,16,78,2
31,78,79,15,94,109,0,94,47,63,94,94,78,0,78,16,78,2
0,16,62,32,31,31,140,31,63,78,78,94,94,78,15,16,94,2
16,78,62,15,31,62,31,781,47,63,94,94,78,0,15,16,78,2
343,63,46,62,63,62,16,62,94,62,63,109,110,234,78,31,47,2
0,125,47,47,141,110,62,156,32,125,62,125,140,63,78,47,62,2
47,63,62,62,156,62,16,922,94,62,63,109,110,234,47,31,47,2
31,141,109,62,125,94,46,94,78,47,141,62,110,109,93,47,62,2
32,172,94,32,62,16,141,78,47,94,109,31,110,78,78,62,79,2
109,250,63,62,78,79,15,828,78,47,141,62,110,109,46,47,62,2
78,78,62,63,78,63,78,62,109,62,78,93,63,78,31,47,62,2
62,47,62,78,15,78,125,94,62,78,78,94,79,93,47,62,63,2
78,47,62,63,94,62,78,62,109,62,78,93,63,78,31,47,62,2
47,63,31,47,47,93,16,594,15,78,47,63,16,110,47,0,31,2
16,31,78,93,0,609,47,110,31,63,31,62,78,109,94,94,16,2
156,32,78,47,110,31,78,0,15,78,47,63,16,110,93,0,31,2
32,109,78,157,94,79,78,125,141,62,79,78,78,63,15,31,79,2
16,78,78,0,93,125,141,15,94,78,78,110,141,78,47,94,94,2
78,93,93,157,15,140,63,0,141,62,79,78,78,63,156,31,79,2
109,62,63,94,94,63,62,93,156,63,78,94,78,188,78,78,63,2
47,78,78,63,172,62,94,110,63,78,63,109,156,62,78,62,47,2
62,78,47,94,110,63,47,110,156,63,78,94,78,188,47,78,63,2
47,157,125,0,94,63,16,0,78,94,31,109,46,93,94,31,63,2
15,110,125,78,219,62,47,110,94,62,15,125,1390,63,94,0,63,2
47,16,78,0,110,125,94,984,78,94,31,109,46,93,31,31,63,2
79,109,94,62,78,94,141,94,63,78,141,0,15,93,78,32,93,2
125,0,94,78,109,78,78,120,94,94,63,172,0,125,78,93,78,2
31,97,31,62,120,78,47,735,63,78,141,0,15,93,94,32,93,2
