ft1,dtsk1,ft4,dtsk4,dtfk5,dtsk5,ft6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft14,dtsk14,gender
47,94,271,380,380,125,15,47,16,62,94,94,63,125,32,47,15,32,16,78,1
31,78,32,78,0,125,157,62,31,32,78,94,63,312,63,62,94,62,31,79,1
0,62,271,380,125,94,0,62,0,32,76,922,63,125,32,47,15,79,16,78,1
94,94,140,79,79,93,125,47,141,62,62,125,63,63,93,63,125,63,110,78,1
47,78,94,62,94,125,62,78,78,63,78,125,63,78,110,110,62,78,47,78,1
78,78,140,79,78,125,63,63,125,83,47,78,63,63,93,63,125,78,110,78,1
31,125,31,172,172,156,46,94,16,93,109,109,453,140,47,32,46,31,32,78,1
46,125,15,78,110,156,94,31,63,31,94,125,78,829,31,109,78,62,31,109,1
0,62,31,172,172,157,78,94,78,94,94,141,453,140,47,32,46,109,32,78,1
78,110,78,62,62,94,47,78,31,94,93,94,110,78,94,141,0,31,62,63,1
0,78,61,52,78,188,62,63,62,31,47,297,63,62,110,141,94,31,47,78,1
47,31,78,62,79,78,94,94,47,78,109,62,110,78,94,141,0,78,62,63,1
16,94,188,78,78,94,62,110,31,78,109,31,62,78,110,93,125,125,32,125,1
16,62,0,78,0,109,94,156,31,125,78,141,63,62,94,125,94,125,235,125,1
31,125,188,78,0,94,62,156,16,94,78,78,62,78,110,93,125,125,32,125,1
16,109,109,203,203,62,78,31,63,31,47,297,94,157,31,31,31,156,16,62,1
78,16,94,0,1469,31,78,0,62,156,125,32,78,0,47,78,156,31,31,94,1
79,31,109,203,141,125,0,125,719,109,78,0,94,157,31,31,31,94,16,62,1
62,110,203,78,78,88,282,78,344,407,78,94,93,94,140,78,47,78,109,94,1
63,93,157,78,62,78,63,78,172,78,109,125,93,94,172,213,94,78,125,93,1
0,78,203,78,1109,250,93,94,203,78,78,88,93,94,140,78,47,93,109,94,1
