ft1,dtsk1,ft2,ft3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft8,dtsk8,dtsk9,ft10,dtsk10,dtfk12,dtsk12,dtfk13,dtsk13,gender
16,125,109,32,187,157,157,94,109,203,125,110,16,111,203,109,63,47,171,110,161,1
110,109,16,125,78,47,172,172,63,93,500,125,47,109,157,110,62,47,78,531,516,1
110,531,16,63,187,157,94,110,94,78,125,141,0,47,125,109,63,47,171,93,109,1
93,125,94,93,94,125,125,125,94,109,141,109,157,93,125,62,94,109,93,94,109,1
78,125,125,78,94,109,109,171,94,94,140,110,125,94,16,93,78,187,453,94,125,1
16,94,31,63,94,125,125,141,47,140,94,125,94,187,110,62,94,109,93,94,141,1
63,109,78,62,78,94,94,98,78,94,109,78,109,78,110,63,78,94,63,63,78,1
32,62,109,47,94,78,94,78,78,62,125,110,125,78,109,109,47,125,109,63,93,1
78,63,110,15,78,94,110,78,15,109,63,93,78,125,110,63,78,94,63,63,94,1
47,110,93,16,94,156,156,140,172,15,94,94,93,125,203,141,94,125,114,78,16,1
16,109,140,47,125,63,110,187,94,109,47,62,94,78,16,110,93,110,110,62,16,1
0,62,63,32,94,156,125,140,16,125,0,141,109,110,62,141,94,125,114,125,109,1
15,78,94,31,78,141,141,125,78,79,78,78,47,63,157,47,63,109,16,0,15,1
15,94,109,16,78,63,0,125,63,62,110,78,47,63,79,109,63,31,187,94,94,1
31,94,93,31,78,141,187,94,94,0,47,140,0,31,78,47,63,109,16,78,78,1
47,94,141,203,297,203,203,137,78,63,172,125,109,94,125,62,125,141,78,94,125,1
16,78,0,31,93,78,156,137,125,78,94,109,94,125,46,93,79,375,109,15,0,1
110,15,219,16,297,203,0,140,32,125,16,47,94,375,109,62,125,141,78,78,141,1
78,125,94,141,110,203,203,109,78,390,500,125,93,78,468,78,125,109,93,78,78,1
15,156,16,485,125,62,0,109,125,63,609,46,94,78,15,62,94,94,172,79,78,1
375,79,109,78,110,203,0,125,78,78,141,141,109,94,46,78,125,109,93,94,203,1
47,78,63,47,109,78,78,31,47,62,78,15,78,32,16,16,62,62,63,31,0,1
156,32,125,63,31,16,531,31,62,79,172,47,47,63,32,94,62,47,31,32,31,1
156,32,47,63,109,78,671,31,15,109,0,78,0,47,47,16,62,62,63,0,78,1
15,109,63,15,110,125,125,125,125,31,47,63,32,93,125,47,93,31,63,46,16,1
31,109,547,15,16,94,0,125,93,63,78,0,47,62,47,93,79,1000,156,0,15,1
62,0,63,16,110,125,657,15,63,47,125,250,78,1000,0,47,93,31,63,93,219,1
62,62,125,31,63,78,78,78,62,141,78,78,203,47,78,60,106,63,62,63,62,1
47,62,125,297,79,63,78,47,106,67,91,94,125,47,62,78,31,101,13,63,62,1
62,63,126,47,63,78,62,78,27,86,115,78,67,101,94,60,106,63,62,62,235,1
78,110,78,297,109,109,109,78,63,125,78,47,156,62,94,62,109,109,63,32,109,2
47,78,47,203,125,62,0,141,109,47,203,94,187,63,110,78,63,125,94,78,110,2
16,78,31,172,109,109,0,94,93,251,62,125,78,125,94,62,109,109,63,78,78,2
16,78,94,94,94,250,250,141,47,125,94,109,78,141,235,63,62,109,78,156,109,2
31,78,31,62,47,62,0,141,62,94,16,47,125,110,47,62,63,94,266,16,31,2
63,16,63,47,94,250,62,94,32,46,172,63,78,94,47,63,62,109,78,78,172,2
47,172,31,16,94,250,250,47,94,15,63,62,31,47,94,62,78,16,16,16,47,2
15,109,62,31,78,16,0,47,78,172,47,47,31,49,47,63,78,968,125,16,16,2
93,16,188,16,94,250,906,47,78,31,141,94,875,968,47,62,78,16,16,110,93,2
16,109,16,32,78,109,109,63,32,140,47,62,110,94,94,188,359,16,62,16,16,2
359,94,15,15,62,47,0,94,359,78,47,31,94,78,94,63,94,94,16,16,15,2
78,16,203,15,78,109,0,94,59,32,79,125,78,94,31,188,359,16,62,47,94,2
437,94,94,94,94,140,140,62,94,141,219,93,110,78,94,63,109,78,109,125,94,2
15,94,16,62,94,78,0,62,109,62,110,31,203,78,32,78,63,109,78,16,46,2
110,16,31,47,94,140,109,78,63,78,94,109,79,109,31,63,109,78,109,78,78,2
4369,113,168,166,90,80,80,110,65,101,192,89,96,80,141,78,78,63,109,81,78,2
4,79,80,49,78,78,70,65,78,94,187,89,94,78,406,68,150,141,141,79,85,2
6,79,136,21,90,80,73,103,109,31,172,11,94,141,89,78,78,63,109,78,94,2
156,125,31,172,109,172,172,109,63,78,94,79,156,94,63,250,78,78,125,15,78,2
15,94,125,62,156,78,0,109,78,94,62,109,109,94,110,78,63,109,62,410,62,2
78,410,15,109,109,172,0,109,47,93,141,93,125,109,109,250,78,78,125,125,109,2
