dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,ft8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtsk12,dtfk14,dtsk14,gender
63,78,62,79,78,94,47,62,63,62,110,78,94,78,78,63,1
93,188,78,78,94,110,31,31,250,63,62,78,110,110,78,125,1
78,0,78,0,109,156,31,141,16,47,63,62,94,235,62,125,1
93,188,78,0,94,156,16,78,156,63,62,78,110,110,78,125,1
47,109,203,203,62,31,63,297,125,62,94,157,31,47,78,62,1
344,94,0,1469,31,0,62,32,141,78,78,0,47,16,63,94,1
47,109,203,141,125,125,719,0,0,62,94,157,31,47,78,62,1
78,203,78,78,88,78,344,94,94,79,93,94,140,109,78,94,1
62,157,78,62,78,78,172,125,156,63,93,94,172,110,94,93,1
78,203,78,1109,250,94,203,88,78,79,93,94,140,109,78,94,1
78,79,110,110,110,78,16,62,16,78,79,63,47,63,46,78,1
15,94,31,141,94,16,78,32,16,78,63,16,78,31,16,16,1
78,79,110,438,31,625,32,0,16,78,79,63,47,63,46,78,1
187,109,157,157,94,110,94,16,203,109,63,94,203,171,141,94,1
78,141,47,172,172,125,125,47,157,110,62,16,141,78,125,93,1
187,109,157,94,110,141,140,0,125,109,63,94,203,171,141,94,1
94,125,125,125,125,109,63,157,125,62,94,125,94,93,109,79,1
94,47,109,109,171,110,140,125,16,93,78,156,47,453,109,94,1
94,125,125,125,141,125,110,94,110,62,94,125,94,93,109,79,1
78,125,94,94,98,78,109,109,110,63,78,78,110,63,110,94,1
94,31,78,94,78,110,15,125,109,109,47,94,93,109,78,63,1
78,125,94,110,78,93,0,78,110,63,78,78,110,63,110,94,1
94,47,156,156,140,94,31,93,203,141,94,250,31,114,125,109,1
125,0,63,110,187,62,109,94,16,110,93,125,93,110,78,125,1
94,47,156,125,140,141,15,109,62,141,94,250,31,114,125,109,1
78,16,141,141,125,78,63,47,157,47,63,62,140,16,110,156,1
78,78,63,0,125,78,78,47,79,109,63,78,93,187,94,78,1
78,16,141,187,94,140,63,0,78,47,63,62,140,16,110,156,1
297,16,203,203,137,125,16,109,125,62,125,94,78,78,109,110,1
93,32,78,156,137,109,0,94,46,93,79,109,63,109,78,78,1
297,16,203,0,140,47,16,94,109,62,125,94,78,78,109,110,1
110,109,203,203,109,125,47,93,468,78,125,109,63,93,94,78,1
125,47,62,0,109,46,109,94,15,62,94,78,110,172,78,94,1
110,109,203,0,125,141,31,109,46,78,125,109,63,93,94,78,1
109,31,78,78,31,15,47,78,16,16,62,47,125,63,0,16,1
31,156,16,531,31,47,79,47,32,94,62,94,0,31,31,0,1
109,31,78,671,31,78,32,0,47,16,62,47,125,63,0,16,1
110,31,125,125,125,63,125,32,125,47,93,47,141,63,15,47,1
16,110,94,0,125,0,16,47,47,93,79,0,93,156,0,93,1
110,31,125,657,15,250,78,78,0,47,93,47,141,63,15,47,1
63,172,78,78,78,78,79,203,78,60,106,47,125,62,78,62,1
79,62,63,78,47,94,93,125,62,78,31,78,109,13,62,62,1
63,172,78,62,78,78,140,67,94,60,106,47,125,62,78,62,1
109,79,109,109,78,47,234,156,94,62,109,140,16,63,63,62,2
