dtsk2,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,gender
125,110,94,0,0,125,16,46,79,0,93,47,1
47,31,125,657,720,15,78,453,93,47,141,31,1
63,172,78,78,31,78,79,62,106,47,125,63,1
46,62,63,78,250,47,93,63,31,78,109,63,1
46,172,78,62,188,78,140,63,106,47,125,63,1
109,79,109,109,31,78,234,78,109,140,16,62,2
94,63,62,0,31,141,109,32,63,109,16,78,2
125,79,109,0,16,94,109,109,109,140,16,62,2
62,156,250,250,31,141,62,94,62,94,62,94,2
110,47,62,0,32,141,125,156,63,79,78,62,2
31,156,250,62,94,94,15,62,62,94,62,94,2
78,141,250,250,47,47,47,62,78,32,141,31,2
109,172,16,0,47,47,125,16,78,31,94,31,2
62,141,250,906,1000,47,203,78,78,32,141,31,2
62,31,109,109,31,63,32,78,359,218,47,16,2
47,16,47,0,15,94,47,16,94,94,15,62,2
16,31,109,0,31,94,78,78,359,218,47,16,2
78,31,140,140,31,62,16,94,109,62,94,62,2
78,62,78,0,16,62,109,125,63,94,109,62,2
63,31,140,109,16,78,16,78,109,62,94,62,2
69,63,80,80,442,110,36,79,78,69,111,41,2
72,31,78,70,411,65,24,81,150,78,94,94,2
79,63,80,73,185,103,73,31,78,69,111,41,2
94,63,172,172,47,109,78,78,78,156,63,141,2
78,16,78,0,31,109,94,15,63,110,47,62,2
94,63,172,0,15,109,172,94,78,156,63,141,2
63,32,187,187,0,78,31,78,78,94,78,47,2
32,16,62,110,31,78,117,20,63,94,31,63,2
78,32,187,109,47,63,15,78,78,94,78,47,2
63,219,62,62,31,47,109,47,1015,79,125,62,2
47,63,78,63,94,78,125,62,62,93,110,93,2
78,219,62,47,78,109,219,47,1015,79,125,62,2
78,63,109,109,47,125,0,94,109,78,93,203,2
78,31,110,78,78,187,62,47,78,109,110,62,2
94,63,109,93,78,110,31,78,109,78,93,203,2
110,31,79,79,31,140,16,46,79,125,62,109,2
125,32,78,98,59,124,94,31,93,79,93,140,2
344,31,79,94,31,125,16,94,79,125,62,109,2
79,15,140,140,47,90,0,62,78,94,94,47,2
94,32,94,0,16,93,140,16,78,78,94,78,2
63,15,140,0,63,125,31,78,78,94,94,47,2
46,62,78,78,125,79,16,62,156,63,109,62,2
47,47,63,125,62,141,62,47,47,62,125,63,2
16,62,78,79,46,110,16,62,156,63,109,62,2
109,62,172,172,15,100,46,63,62,141,62,125,2
78,32,78,94,46,110,141,16,46,109,31,110,2
94,62,172,78,94,125,15,94,62,141,62,125,2
62,63,78,78,62,79,78,62,94,78,93,63,2
63,78,63,63,125,62,125,47,63,78,94,63,2
63,63,78,47,125,63,78,63,94,78,93,63,2
31,47,125,125,47,47,16,78,78,47,63,109,2
78,93,32,484,500,47,47,16,78,31,62,79,2
