dtfk1,dtsk1,ft2,ft3,dtfk4,ft4,ft5,dtfk6,ft6,dtfk7,ft7,dtfk8,dtfk9,dtfk10,ft10,dtfk11,dtfk12,ft12,dtfk13,dtfk14,sum,gender
93,94,31,125,109,47,31,78,79,32,110,78,109,62,94,125,172,78,94,94,3515,1
156,94,47,31,93,485,16,94,94,125,78,109,985,47,78,47,125,16,93,78,6516,1
62,93,110,78,31,125,171,63,109,62,32,78,63,63,47,78,78,172,63,46,3344,1
172,93,94,47,79,46,31,93,63,78,15,78,109,62,78,78,125,62,63,62,3125,1
62,63,78,47,31,125,47,94,47,62,16,62,62,63,47,78,78,172,78,46,2983,1
93,156,16,292,79,128,40,63,78,63,47,15,94,47,62,78,47,15,32,94,4488,1
78,109,47,0,78,47,734,109,63,79,93,109,62,78,78,79,110,94,78,15,4343,1
78,78,63,297,79,128,47,93,32,94,31,47,812,47,62,78,47,15,47,94,4134,1
63,63,93,16,93,63,188,31,141,63,578,78,63,47,94,78,47,78,47,93,3999,1
62,125,93,78,79,62,207,141,62,94,78,94,94,47,78,78,93,110,47,94,3941,1
62,47,109,62,93,63,687,78,62,125,453,63,63,47,94,78,47,78,94,93,5077,1
78,94,78,52,40,271,47,79,15,47,16,94,62,47,62,125,47,15,32,62,3507,1
62,78,110,31,78,32,47,63,157,62,31,78,94,63,62,312,62,94,62,78,3018,1
63,62,125,16,40,271,140,63,0,62,0,76,813,47,62,125,47,15,79,62,5659,1
78,94,109,563,78,140,250,62,125,47,141,62,63,125,47,63,63,125,63,62,4205,1
63,78,109,109,63,94,125,63,62,78,78,78,125,62,78,78,110,62,78,63,3438,1
63,78,125,78,78,140,172,62,63,63,125,47,63,125,47,63,63,125,78,62,3585,1
126,125,94,31,109,31,31,110,46,94,16,109,172,0,93,140,32,46,31,78,3983,1
125,125,172,0,125,15,125,453,94,31,63,94,15,93,110,829,109,78,62,157,4546,1
141,62,109,32,109,31,93,31,78,94,78,94,719,0,93,140,32,46,109,78,5156,1
62,110,62,16,63,78,94,62,47,78,31,93,47,32,62,78,141,0,31,78,3438,1
94,78,156,31,78,61,94,110,62,63,62,47,31,78,78,62,141,94,31,78,3129,1
94,31,110,62,63,78,78,16,94,94,47,109,895,32,62,78,141,0,78,78,3866,1
125,94,109,63,93,188,31,94,62,110,31,109,78,78,63,78,93,125,125,78,3953,1
156,62,63,31,78,0,31,62,94,156,31,78,78,78,47,62,125,94,125,62,3921,1
109,125,110,47,93,188,0,0,62,156,16,78,203,78,63,78,93,125,125,78,3623,1
125,109,15,0,47,109,47,31,78,31,63,47,93,16,62,157,31,31,156,78,3231,1
47,16,62,109,344,94,140,94,78,0,62,125,47,78,78,0,78,156,31,63,4361,1
16,31,47,78,47,109,15,125,0,125,719,78,859,16,62,157,31,31,94,78,4186,1
141,110,250,62,78,203,249,78,282,78,344,78,94,234,79,94,78,47,78,78,5854,1
109,93,93,94,62,157,204,93,63,78,172,109,157,281,63,94,213,94,78,94,5009,1
110,78,110,15,78,203,63,32,93,94,203,78,63,234,79,94,78,47,93,78,5833,1
156,47,62,32,78,79,15,31,47,78,16,94,469,63,78,63,63,31,48,46,3717,1
15,31,79,32,15,94,0,79,188,16,78,46,47,31,78,16,31,109,16,16,2360,1
63,16,328,15,78,79,125,93,32,625,32,93,0,63,78,63,63,31,16,46,3677,1
156,125,109,32,187,109,156,109,203,110,94,218,125,94,109,94,47,157,110,141,4960,1
125,109,16,125,78,141,0,63,93,125,125,297,125,93,110,16,47,172,531,125,5704,1
250,531,16,63,187,109,156,94,78,141,140,110,750,94,109,94,47,157,93,141,5814,1
125,125,94,93,94,125,78,94,109,109,63,78,94,94,62,125,109,110,94,109,4233,1
141,125,125,78,94,47,32,94,94,110,140,109,94,47,93,156,187,94,94,109,4563,1
109,94,31,63,94,125,47,47,140,125,110,110,125,94,62,125,109,110,94,109,4142,1
78,109,78,62,78,125,219,78,94,78,109,94,78,93,63,78,94,46,63,110,3677,1
109,62,109,47,94,31,187,78,62,110,15,94,63,78,109,94,125,63,63,78,3404,1
78,63,110,15,78,125,234,15,109,93,0,94,93,93,63,78,94,46,63,110,3484,1
93,110,93,16,94,47,32,172,15,94,31,141,110,15,141,250,125,16,78,125,4112,1
94,109,140,47,125,0,78,94,109,62,109,94,0,62,110,125,110,93,62,78,3546,1
250,62,63,32,94,47,79,16,125,141,15,94,860,15,141,250,125,16,125,125,4802,1
125,78,94,31,78,16,62,78,79,78,63,140,109,47,47,62,109,78,0,110,3298,1
78,94,109,16,78,78,15,63,62,78,78,172,47,78,109,78,31,109,94,94,3000,1
78,94,93,31,78,16,0,94,0,140,63,78,937,47,47,62,109,78,78,110,4078,1
93,94,141,203,297,16,15,78,63,125,16,78,94,157,62,94,141,94,94,109,4810,1
172,78,0,31,93,32,16,125,78,109,0,94,16,110,93,109,375,78,15,78,3762,1
62,15,219,16,297,16,47,32,125,47,16,78,110,157,62,94,141,94,78,109,4143,1
94,125,94,141,110,109,78,78,390,125,47,110,94,156,78,109,109,110,78,94,5623,1
500,156,16,485,125,47,15,125,63,46,109,110,141,79,62,78,94,94,79,78,5015,1
