dtsk2,ft3,ft4,dtsk4,dtsk5,dtsk6,ft7,dtfk8,dtfk9,dtfk10,ft10,dtsk10,ft13,dtsk13,dtfk14,dtsk14,sum,gender
47,297,128,225,141,62,31,47,812,47,62,109,78,47,94,94,4134,1
63,16,63,140,109,62,578,78,63,47,94,141,109,47,93,62,3999,1
63,78,62,78,109,156,78,94,94,47,78,63,438,62,94,94,3941,1
63,62,63,140,94,94,453,63,63,47,94,141,47,62,93,62,5077,1
78,52,271,380,125,62,16,94,62,47,62,63,94,31,62,78,3507,1
0,31,32,78,125,15,31,78,94,63,62,63,32,62,78,79,3018,1
78,16,271,380,94,94,0,76,813,47,62,63,31,156,62,78,5659,1
78,563,140,79,93,63,141,62,63,125,47,63,125,62,62,78,4205,1
63,109,94,62,125,172,78,78,125,62,78,63,63,46,63,78,3438,1
47,78,140,79,125,125,125,47,63,125,47,63,78,47,62,78,3585,1
78,31,31,172,156,125,16,109,172,0,93,453,94,78,78,78,3983,1
16,0,15,78,156,47,63,94,15,93,110,78,47,94,157,109,4546,1
110,32,31,172,157,15,78,94,719,0,93,453,0,110,78,78,5156,1
78,16,78,62,94,94,31,93,47,32,62,110,79,46,78,63,3438,1
16,31,61,52,188,141,62,47,31,78,78,63,31,94,78,78,3129,1
94,62,78,62,78,31,47,109,895,32,62,110,47,78,78,63,3866,1
78,63,188,78,94,156,31,109,78,78,63,62,125,125,78,125,3953,1
78,31,0,78,109,313,31,78,78,78,47,63,0,94,62,125,3921,1
78,47,188,78,94,78,16,78,203,78,63,62,31,109,78,125,3623,1
125,0,109,203,62,47,63,47,93,16,62,94,110,62,78,62,3231,1
63,109,94,0,31,63,62,125,47,78,78,78,125,15,63,94,4361,1
62,78,109,203,125,47,719,78,859,16,62,94,0,62,78,62,4186,1
94,62,203,78,88,109,344,78,94,234,79,93,391,109,78,94,5854,1
94,94,157,78,78,172,172,109,157,281,63,93,516,78,94,93,5009,1
78,15,203,78,250,157,203,78,63,234,79,93,235,78,78,94,5833,1
140,32,79,110,110,15,16,94,469,63,78,79,5,84,46,78,3717,1
46,32,94,31,94,31,78,46,47,31,78,63,94,0,16,16,2360,1
32,15,79,110,31,47,32,93,0,63,78,79,110,15,46,78,3677,1
109,32,109,157,94,125,94,218,125,94,109,63,93,161,141,94,4960,1
94,125,141,47,172,500,125,297,125,93,110,62,140,516,125,93,5704,1
125,63,109,157,110,125,140,110,750,94,109,63,110,109,141,94,5814,1
94,93,125,125,125,141,63,78,94,94,62,94,47,109,109,79,4233,1
94,78,47,109,171,140,140,109,94,47,93,78,31,125,109,94,4563,1
78,63,125,125,141,94,110,110,125,94,62,94,78,141,109,79,4142,1
63,62,125,94,98,109,109,94,78,93,63,78,94,78,110,94,3677,1
47,47,31,78,78,125,15,94,63,78,109,47,16,93,78,63,3404,1
62,15,125,94,78,63,0,94,93,93,63,78,31,94,110,94,3484,1
171,16,47,156,140,94,31,141,110,15,141,94,109,16,125,109,4112,1
63,47,0,63,187,47,109,94,0,62,110,93,140,16,78,125,3546,1
125,32,47,156,140,0,15,94,860,15,141,94,0,109,125,109,4802,1
78,31,16,141,125,78,63,140,109,47,47,63,110,15,110,156,3298,1
16,16,78,63,125,110,78,172,47,78,109,63,15,94,94,78,3000,1
110,31,16,141,94,47,63,78,937,47,47,63,141,78,110,156,4078,1
109,203,16,203,137,172,16,78,94,157,62,125,109,125,109,110,4810,1
125,31,32,78,137,94,0,94,16,110,93,79,78,0,78,78,3762,1
62,16,16,203,140,16,16,78,110,157,62,125,15,141,109,110,4143,1
109,141,109,203,109,500,47,110,94,156,78,125,94,78,94,78,5623,1
93,485,47,62,109,609,109,110,141,79,62,94,78,78,78,94,5015,1
63,78,109,203,125,141,31,78,1020,156,78,125,484,203,94,78,6649,1
141,47,31,78,31,78,47,78,687,94,16,62,78,0,0,16,3281,1
47,63,156,16,31,172,79,31,0,31,94,62,78,31,31,0,3485,1
62,63,31,78,31,0,32,16,797,94,16,62,79,78,0,16,4676,1
141,15,31,125,125,47,125,203,610,125,47,93,109,16,15,47,4046,1
125,15,110,94,125,78,16,16,125,47,93,79,94,15,0,93,4154,1
47,16,31,125,15,125,78,94,656,125,47,93,63,219,15,47,6861,1
63,31,172,78,78,78,79,63,109,40,60,106,94,62,78,62,3348,1
46,297,62,63,47,91,93,78,115,47,78,31,78,62,62,62,3587,1
46,47,172,78,78,115,140,74,62,40,60,106,141,235,78,62,3553,1
109,297,79,109,78,78,234,110,0,141,62,109,78,109,63,62,3921,2
94,203,63,62,141,203,109,78,62,78,78,63,265,110,78,78,3845,2
125,172,79,109,94,62,109,63,813,141,62,109,219,78,63,62,4874,2
62,94,156,250,141,94,62,109,93,156,63,62,63,109,93,110,4562,2
110,62,47,62,141,16,125,78,172,63,62,63,78,31,110,78,3488,2
31,47,156,250,94,172,15,109,953,156,63,62,110,172,93,110,5671,2
78,16,141,250,47,63,47,47,0,63,62,78,78,47,63,78,3049,2
109,31,172,16,47,47,125,94,141,15,63,78,78,16,63,110,3707,2
62,16,141,250,47,141,203,91,735,63,62,78,15,93,63,78,8140,2
62,32,31,109,63,47,32,62,0,16,188,359,78,16,47,63,3000,2
47,15,16,47,94,47,47,62,79,62,63,94,78,15,63,47,2969,2
16,15,31,109,94,79,78,62,703,16,188,359,15,94,47,63,4467,2
78,94,31,140,62,219,16,94,94,125,63,109,78,94,78,62,4296,2
78,62,62,78,62,110,109,94,94,78,78,63,78,46,78,78,3310,2
63,47,31,140,78,94,16,62,937,125,63,109,94,78,78,62,4249,2
69,166,63,80,110,192,36,79,78,47,78,78,37,78,33,61,8445,2
72,49,31,78,65,187,24,94,172,58,68,150,13,85,78,78,4213,2
79,21,63,80,103,172,73,47,74,47,78,78,15,94,33,61,3365,2
94,172,63,172,109,94,78,109,78,110,250,78,63,78,78,125,4252,2
78,62,16,78,109,62,94,110,141,78,78,63,94,62,109,125,3846,2
94,109,63,172,109,141,172,141,828,110,250,78,266,109,78,125,5502,2
63,0,32,187,78,125,31,78,562,16,94,78,88,78,109,93,3638,2
32,16,16,62,78,78,117,94,94,47,47,63,32,421,63,125,3279,2
78,16,32,187,63,94,15,94,719,16,94,78,15,125,109,93,3657,2
63,94,219,62,47,62,109,94,78,547,63,1015,188,46,47,78,4983,2
47,125,63,78,78,125,125,63,125,31,828,62,172,63,63,63,5531,2
78,125,219,62,109,125,219,63,79,547,63,1015,125,78,47,78,5221,2
78,109,63,109,125,94,0,94,109,63,78,109,78,63,79,78,3750,2
78,63,31,110,187,46,62,109,63,78,78,78,78,94,78,94,3373,2
94,15,63,109,110,63,31,94,843,63,78,109,31,141,79,78,5093,2
