ft1,dtsk2,ft3,dtsk3,dtfk4,ft4,ft5,ft6,dtsk6,dtfk8,ft8,dtfk10,ft10,dtsk10,dtsk11,ft12,dtfk13,dtsk13,ft14,sum,gender
16,63,62,63,78,31,0,62,125,93,94,234,328,110,78,93,78,62,31,3610,1
31,62,63,78,93,94,171,78,94,79,110,141,109,63,94,16,78,78,32,3280,1
172,109,110,109,109,250,110,156,110,62,125,94,78,110,79,265,63,78,94,4923,1
359,78,110,78,78,219,78,93,610,109,141,93,94,63,79,94,93,94,125,5672,1
313,78,15,94,109,250,250,63,156,109,94,94,78,110,79,265,93,63,94,4811,1
94,47,47,63,63,93,31,469,62,141,47,78,56,73,125,15,78,47,31,3755,1
16,47,62,63,47,16,594,166,16,78,78,62,78,63,63,110,31,63,31,3739,1
31,63,32,62,63,93,16,141,15,78,703,78,56,73,125,15,78,78,31,5098,1
16,109,78,47,47,391,31,62,94,110,140,94,31,78,109,16,15,31,0,4172,1
0,110,47,94,78,141,32,94,78,63,109,63,62,78,62,94,32,31,31,3593,1
109,93,31,78,47,391,31,47,46,0,94,94,31,78,109,16,94,63,0,5717,1
31,125,79,93,93,485,47,47,93,125,109,47,78,78,109,16,0,62,32,4935,1
16,125,125,94,109,47,31,79,109,78,110,62,94,62,125,78,94,63,47,3515,1
16,63,31,94,93,485,16,94,109,109,94,47,78,78,109,16,93,94,32,6516,1
63,47,78,31,31,125,171,109,172,78,78,63,47,93,47,172,63,63,79,3344,1
15,47,47,63,79,46,31,63,125,78,63,62,78,63,63,62,63,31,63,3125,1
0,63,47,62,31,125,47,47,109,62,79,63,47,93,47,172,78,32,79,2983,1
547,172,292,79,79,128,40,78,78,15,140,47,62,109,93,15,32,16,47,4488,1
16,109,0,63,78,47,734,63,172,109,47,78,78,78,172,94,78,63,62,4343,1
78,47,297,78,79,128,47,32,62,47,109,47,62,109,93,15,47,47,47,4134,1
15,63,16,93,93,63,188,141,62,78,125,47,94,141,188,78,47,47,63,3999,1
78,63,78,31,79,62,207,62,156,94,94,47,78,63,62,110,47,62,31,3941,1
31,63,62,78,93,63,687,62,94,63,766,47,94,141,188,78,94,62,63,5077,1
47,78,52,40,40,271,47,15,62,94,94,47,62,63,0,15,32,31,16,3507,1
31,0,31,79,78,32,47,157,15,78,94,63,62,63,94,94,62,62,31,3018,1
0,78,16,94,40,271,140,0,94,76,922,47,62,63,0,15,79,156,16,5659,1
94,78,563,78,78,140,250,125,63,62,125,125,47,63,63,125,63,62,110,4205,1
47,63,109,62,63,94,125,62,172,78,125,62,78,63,62,62,78,46,47,3438,1
78,47,78,47,78,140,172,63,125,47,78,125,47,63,63,125,78,47,110,3585,1
31,78,31,109,109,31,31,46,125,109,109,0,93,453,63,46,31,78,32,3983,1
46,16,0,110,125,15,125,94,47,94,125,93,110,78,93,78,62,94,31,4546,1
0,110,32,78,109,31,93,78,15,94,141,0,93,453,63,46,109,110,32,5156,1
78,78,16,63,63,78,94,47,94,93,94,32,62,110,63,0,31,46,62,3438,1
0,16,31,62,78,61,94,62,141,47,297,78,78,63,62,94,31,94,47,3129,1
47,94,62,47,63,78,78,94,31,109,62,32,62,110,63,0,78,78,62,3866,1
16,78,63,93,93,188,31,62,156,109,31,78,63,62,78,125,125,125,32,3953,1
16,78,31,94,78,0,31,94,313,78,141,78,47,63,62,94,125,94,235,3921,1
31,78,47,109,93,188,0,62,78,78,78,78,63,62,78,125,125,109,32,3623,1
16,125,0,47,47,109,47,78,47,47,297,16,62,94,62,31,156,62,16,3231,1
78,63,109,31,344,94,140,78,63,125,32,78,78,78,63,156,31,15,31,4361,1
79,62,78,62,47,109,15,0,47,78,0,16,62,94,62,31,94,62,16,4186,1
62,94,62,78,78,203,249,282,109,78,94,234,79,93,79,47,78,109,109,5854,1
63,94,94,78,62,157,204,63,172,109,125,281,63,93,78,94,78,78,125,5009,1
0,78,15,78,78,203,63,93,157,78,88,234,79,93,79,47,93,78,109,5833,1
47,140,32,78,78,79,15,47,15,94,62,63,78,79,15,31,48,84,109,3717,1
63,46,32,31,15,94,0,188,31,46,32,31,78,63,62,109,16,0,109,2360,1
15,32,15,16,78,79,125,32,47,93,0,63,78,79,15,31,16,15,109,3677,1
16,109,32,187,187,109,156,203,125,218,16,94,109,63,63,157,110,161,15,4960,1
110,94,125,109,78,141,0,93,500,297,47,93,110,62,62,172,531,516,63,5704,1
110,125,63,125,187,109,156,78,125,110,0,94,109,63,63,157,93,109,15,5814,1
93,94,93,94,94,125,78,109,141,78,157,94,62,94,78,110,94,109,62,4233,1
78,94,78,94,94,47,32,94,140,109,125,47,93,78,110,94,94,125,94,4563,1
16,78,63,109,94,125,47,140,94,110,94,94,62,94,78,110,94,141,62,4142,1
63,63,62,78,78,125,219,94,109,94,109,93,63,78,46,46,63,78,62,3677,1
32,47,47,78,94,31,187,62,125,94,125,78,109,47,78,63,63,93,109,3404,1
78,62,15,94,78,125,234,109,63,94,78,93,63,78,46,46,63,94,62,3484,1
47,171,16,94,94,47,32,15,94,141,93,15,141,94,125,16,78,16,0,4112,1
16,63,47,172,125,0,78,109,47,94,94,62,110,93,94,93,62,16,0,3546,1
0,125,32,78,94,47,79,125,0,94,109,15,141,94,125,16,125,109,0,4802,1
15,78,31,78,78,16,62,79,78,140,47,47,47,63,63,78,0,15,62,3298,1
15,16,16,78,78,78,15,62,110,172,47,78,109,63,32,109,94,94,31,3000,1
31,110,31,94,78,16,0,0,47,78,0,47,47,63,63,78,78,78,62,4078,1
47,109,203,297,297,16,15,63,172,78,109,157,62,125,109,94,94,125,31,4810,1
16,125,31,78,93,32,16,78,94,94,94,110,93,79,141,78,15,0,15,3762,1
110,62,16,125,297,16,47,125,16,78,94,157,62,125,109,94,78,141,31,4143,1
78,109,141,110,110,109,78,390,500,110,93,156,78,125,78,110,78,78,47,5623,1
