dtfk1,dtsk1,dtsk2,dtsk3,dtfk4,ft4,dtsk4,ft5,ft6,ft7,dtsk7,dtfk8,ft8,dtsk8,dtsk10,ft11,ft12,dtfk13,dtfk14,dtsk14,gender
78,32,47,47,31,156,16,625,79,79,31,31,47,63,62,0,109,32,31,0,1
78,32,62,47,109,31,78,193,109,32,93,16,0,47,62,125,47,0,0,16,1
110,109,141,110,110,31,125,31,31,125,203,203,32,93,93,141,16,46,15,47,1
47,109,125,125,16,110,94,0,63,16,46,16,47,62,79,93,78,0,0,93,1
32,0,47,16,110,31,125,720,47,78,453,94,78,1000,93,141,16,93,15,47,1
94,62,63,63,63,172,78,31,141,79,62,63,203,47,106,125,94,63,78,62,1
78,62,46,62,79,62,63,250,67,93,63,78,125,47,31,109,176,63,62,62,1
63,63,46,94,63,172,78,188,86,140,63,74,67,101,106,125,94,62,78,62,1
78,110,109,109,109,79,109,31,125,234,78,110,156,62,109,16,203,32,63,62,2
78,78,94,63,125,63,62,31,47,109,32,78,187,63,63,16,63,78,78,78,2
78,78,125,62,109,79,109,16,251,109,109,63,78,125,109,16,203,78,63,62,2
375,78,62,94,94,156,250,31,125,62,94,109,78,141,62,62,47,156,93,110,2
94,78,110,47,47,47,62,32,94,125,156,78,125,110,63,78,62,16,110,78,2
171,16,31,125,94,156,250,94,46,15,62,109,78,94,62,62,47,78,93,110,2
109,172,78,94,94,141,250,47,15,47,62,47,31,47,78,141,78,16,63,78,2
63,109,109,94,78,172,16,47,172,125,16,94,31,49,78,94,63,16,63,110,2
32,16,62,78,94,141,250,1000,31,203,78,91,875,968,78,141,78,110,63,78,2
62,109,62,78,78,31,109,31,140,32,78,62,110,94,359,47,47,16,47,63,2
47,94,47,32,62,16,47,15,78,47,16,62,94,78,94,15,156,16,63,47,2
63,16,16,79,78,31,109,31,32,78,78,62,78,94,359,47,47,47,47,63,2
172,94,78,94,94,31,140,31,141,16,94,94,110,78,109,94,94,125,78,62,2
219,94,78,94,94,62,78,16,62,109,125,94,203,78,63,109,78,16,78,78,2
140,16,63,78,94,31,140,16,78,16,78,62,79,109,109,94,94,78,78,62,2
57,113,69,90,90,63,80,442,101,36,79,79,96,80,78,111,78,81,33,61,2
192,79,72,65,78,31,78,411,94,24,81,94,94,78,150,94,62,79,78,78,2
74,79,79,104,90,63,80,185,31,73,31,47,94,141,78,111,78,78,33,61,2
110,125,94,109,109,63,172,47,78,78,78,109,156,94,78,63,47,15,78,125,2
94,94,78,63,156,16,78,31,94,94,15,110,109,94,63,47,94,410,109,125,2
187,410,94,78,109,63,172,15,93,172,94,141,125,109,78,63,47,125,78,125,2
93,125,63,93,93,32,187,0,47,31,78,78,94,94,78,78,15,20,109,93,2
125,94,32,93,62,16,62,31,78,117,20,94,47,156,63,31,172,32,63,125,2
78,32,78,93,93,32,187,47,94,15,78,94,47,109,78,78,15,125,109,93,2
62,78,63,78,78,219,62,31,157,109,47,94,109,63,1015,125,203,62,47,78,2
62,63,47,46,62,63,78,94,78,125,62,63,109,63,62,110,62,47,63,63,2
31,47,78,62,78,219,62,78,62,219,47,63,94,188,1015,125,203,63,47,78,2
109,109,78,125,125,63,109,47,109,0,94,94,78,110,109,93,47,47,79,78,2
94,78,78,78,94,31,110,78,79,62,47,109,78,94,78,110,94,78,78,94,2
125,78,94,94,125,63,109,78,78,31,78,94,93,94,109,93,47,94,79,78,2
93,125,110,94,94,31,79,31,109,16,46,110,78,78,79,62,15,31,94,78,2
94,62,125,47,78,32,78,59,62,94,31,94,62,94,93,93,78,62,93,62,2
79,62,344,62,94,31,79,31,16,16,94,78,78,78,79,62,15,62,94,78,2
94,78,79,79,79,15,140,47,62,0,62,110,93,47,78,94,0,16,94,78,2
94,63,94,78,78,32,94,16,172,140,16,78,63,78,78,94,78,78,62,94,2
62,78,63,78,79,15,140,63,63,31,78,109,78,94,78,94,0,94,94,78,2
63,63,46,47,47,62,78,125,156,16,62,156,156,94,156,109,234,47,62,47,2
63,78,47,47,93,47,63,62,47,62,47,78,125,63,47,125,63,16,47,62,2
203,16,16,47,47,62,78,46,47,16,62,47,63,140,156,109,234,62,62,47,2
140,141,109,94,94,62,172,15,62,46,63,94,109,78,62,62,109,16,94,62,2
125,110,78,78,93,32,78,46,141,141,16,94,109,63,46,31,78,16,78,79,2
31,16,94,94,94,62,172,94,0,15,94,516,94,110,62,62,109,79,94,62,2
63,78,62,62,62,63,78,62,94,78,62,78,94,62,94,93,78,47,63,62,2
78,79,63,62,63,78,63,125,188,125,47,63,125,62,63,94,93,78,78,63,2
94,78,63,78,62,63,78,125,93,78,63,78,843,79,94,93,78,63,63,62,2
109,63,31,78,78,47,125,47,62,16,78,78,16,78,78,63,110,16,78,31,2
47,78,78,110,16,93,32,500,94,47,16,16,63,31,78,62,109,0,16,16,2
94,0,47,110,78,47,125,47,31,78,94,78,0,78,78,63,110,16,78,31,2
94,109,78,62,62,157,78,172,93,78,93,94,109,63,79,78,63,94,62,79,2
94,93,62,63,93,0,94,157,78,141,94,110,93,94,78,110,78,78,78,94,2
110,78,63,78,62,157,78,156,172,63,78,79,78,141,79,78,63,94,62,79,2
94,62,63,63,63,94,78,187,140,62,47,63,109,63,109,94,188,78,47,63,2
94,63,62,63,62,63,62,62,63,94,78,78,125,63,78,109,62,63,63,47,2
63,63,47,63,63,94,78,140,62,47,78,62,78,156,109,94,188,47,47,63,2
78,157,125,156,156,0,78,78,109,16,78,266,47,62,62,109,93,31,78,63,2
94,94,94,78,15,78,47,47,94,47,31,156,63,70,63,125,63,16,93,63,2
47,16,0,94,156,0,78,15,15,94,94,31,1312,1390,62,109,93,63,78,63,2
62,109,94,78,78,62,109,31,125,141,31,110,125,109,94,0,93,31,78,93,2
78,93,16,63,47,78,31,31,78,78,31,156,15,111,46,172,125,78,63,78,2
78,78,94,156,78,62,109,0,187,47,109,63,109,0,94,0,93,78,78,93,2
