dtsk1,dtfk3,dtfk4,ft4,dtsk4,dtsk5,dtfk6,dtfk7,ft7,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtsk12,dtfk14,sum,gender
93,47,63,93,156,63,63,78,125,78,78,73,78,31,79,15,110,62,3755,1
47,63,47,16,47,656,73,62,125,78,62,63,140,0,47,110,62,63,3739,1
31,78,63,93,156,94,62,94,31,63,78,73,78,31,79,15,110,62,5098,1
110,109,47,391,438,46,94,78,31,94,94,78,109,125,109,16,78,78,4172,1
109,78,78,141,78,46,78,31,78,15,63,78,125,31,687,94,78,78,3593,1
32,94,47,391,438,94,78,110,31,94,94,78,109,125,109,16,78,78,5717,1
110,125,93,485,594,140,94,78,141,62,47,78,47,62,125,16,93,78,4935,1
94,78,109,47,78,141,78,32,110,0,62,62,125,62,172,78,94,94,3515,1
94,62,93,485,594,109,94,125,78,94,47,78,47,62,125,16,93,78,6516,1
93,47,31,125,63,79,63,62,32,78,63,93,78,78,78,172,78,46,3344,1
93,78,79,46,47,94,93,78,15,63,62,63,78,94,125,62,47,62,3125,1
63,78,31,125,63,94,94,62,16,62,63,93,78,78,78,172,78,46,2983,1
156,172,79,128,225,110,63,63,47,78,47,109,78,63,47,15,62,94,4488,1
109,109,78,47,62,0,109,79,93,32,78,78,79,78,110,94,78,15,4343,1
78,78,79,128,225,141,93,94,31,172,47,109,78,63,47,15,62,94,4134,1
63,63,93,63,140,109,31,63,578,94,47,141,78,94,47,78,62,93,3999,1
125,94,79,62,78,109,141,94,78,47,47,63,78,125,93,110,78,94,3941,1
47,94,93,63,140,94,78,125,453,78,47,141,78,94,47,78,62,93,5077,1
94,78,40,271,380,125,79,47,16,62,47,63,125,32,47,15,78,62,3507,1
78,78,78,32,78,125,63,62,31,32,63,63,312,63,62,94,141,78,3018,1
62,62,40,271,380,94,63,62,0,32,47,63,125,32,47,15,78,62,5659,1
94,78,78,140,79,93,62,47,141,62,125,63,63,93,63,125,62,62,4205,1
78,63,63,94,62,125,63,78,78,63,62,63,78,110,110,62,78,63,3438,1
78,62,78,140,79,125,62,63,125,83,125,63,63,93,63,125,62,62,3585,1
125,78,109,31,172,156,110,94,16,93,0,453,140,47,32,46,79,78,3983,1
125,109,125,15,78,156,453,31,63,31,93,78,829,31,109,78,110,157,4546,1
62,93,109,31,172,157,31,94,78,94,0,453,140,47,32,46,79,78,5156,1
110,78,63,78,62,94,62,78,31,94,32,110,78,94,141,0,78,78,3438,1
78,47,78,61,52,188,110,63,62,31,78,63,62,110,141,94,15,78,3129,1
31,94,63,78,62,78,16,94,47,78,32,110,78,94,141,0,78,78,3866,1
94,78,93,188,78,94,94,110,31,78,78,62,78,110,93,125,110,78,3953,1
62,109,78,0,78,109,62,156,31,125,78,63,62,94,125,94,235,62,3921,1
125,78,93,188,78,94,0,156,16,94,78,62,78,110,93,125,110,78,3623,1
109,125,47,109,203,62,31,31,63,31,16,94,157,31,31,31,47,78,3231,1
16,31,344,94,0,31,94,0,62,156,78,78,0,47,78,156,16,63,4361,1
31,31,47,109,203,125,125,125,719,109,16,94,157,31,31,31,47,78,4186,1
110,94,78,203,78,88,78,78,344,407,234,93,94,140,78,47,109,78,5854,1
93,109,62,157,78,78,93,78,172,78,281,93,94,172,213,94,110,94,5009,1
78,407,78,203,78,250,32,94,203,78,234,93,94,140,78,47,109,78,5833,1
47,140,78,79,110,110,31,78,16,110,63,79,63,47,63,31,63,46,3717,1
31,93,15,94,31,94,79,16,78,48,31,63,16,78,31,109,31,16,2360,1
16,110,78,79,110,31,93,625,32,79,63,79,63,47,63,31,63,46,3677,1
125,109,187,109,157,94,109,110,94,93,94,63,94,203,47,157,171,141,4960,1
109,94,78,141,47,172,63,125,125,110,93,62,16,141,47,172,78,125,5704,1
531,93,187,109,157,110,94,141,140,78,94,63,94,203,47,157,171,141,5814,1
125,94,94,125,125,125,94,109,63,93,94,94,125,94,109,110,93,109,4233,1
125,94,94,47,109,171,94,110,140,94,47,78,156,47,187,94,453,109,4563,1
94,93,94,125,125,141,47,125,110,78,94,94,125,94,109,110,93,109,4142,1
109,63,78,125,94,98,78,78,109,63,93,78,78,110,94,46,63,110,3677,1
62,62,94,31,78,78,78,110,15,63,78,47,94,93,125,63,109,78,3404,1
63,63,78,125,94,78,15,93,0,63,93,78,78,110,94,46,63,110,3484,1
110,171,94,47,156,140,172,94,31,109,15,94,250,31,125,16,114,125,4112,1
109,110,125,0,63,187,94,62,109,78,62,93,125,93,110,93,110,78,3546,1
62,109,94,47,156,140,16,141,15,94,15,94,250,31,125,16,114,125,4802,1
78,78,78,16,141,125,78,78,63,78,47,63,62,140,109,78,16,110,3298,1
94,125,78,78,63,125,63,78,78,0,78,63,78,93,31,109,187,94,3000,1
94,78,78,16,141,94,94,140,63,62,47,63,62,140,109,78,16,110,4078,1
94,109,297,16,203,137,78,125,16,94,157,125,94,78,141,94,78,109,4810,1
78,94,93,32,78,137,125,109,0,94,110,79,109,63,375,78,109,78,3762,1
15,94,297,16,203,140,32,47,16,172,157,125,94,78,141,94,78,109,4143,1
125,109,110,109,203,109,78,125,47,110,156,125,109,63,109,110,93,94,5623,1
156,109,125,47,62,109,125,46,109,78,79,94,78,110,94,94,172,78,5015,1
79,110,110,109,203,125,78,141,31,110,156,125,109,63,109,110,93,94,6649,1
78,141,109,31,78,31,47,15,47,31,94,62,47,125,62,47,63,0,3281,1
32,47,31,156,16,31,62,47,79,31,31,62,94,0,47,109,31,31,3485,1
32,31,109,31,78,31,15,78,32,93,94,62,47,125,62,47,63,0,4676,1
109,141,110,31,125,125,125,63,125,203,125,93,47,141,31,16,63,15,4046,1
109,94,16,110,94,125,93,0,16,46,47,79,0,93,1000,78,156,0,4154,1
0,203,110,31,125,15,63,250,78,453,125,93,47,141,31,16,63,15,6861,1
62,63,63,172,78,78,62,78,79,62,40,106,47,125,63,94,62,78,3348,1
62,63,79,62,63,47,106,94,93,63,47,31,78,109,101,176,13,62,3587,1
63,62,63,172,78,78,27,78,140,63,40,106,47,125,63,94,62,78,3553,1
110,109,109,79,109,78,63,47,234,78,141,109,140,16,109,203,63,63,3921,2
78,93,125,63,62,141,109,94,109,32,78,63,109,16,125,63,94,78,3845,2
78,78,109,79,109,94,93,125,109,109,141,109,140,16,109,203,63,63,4874,2
78,62,94,156,250,141,47,109,62,94,156,62,94,62,109,47,78,93,4562,2
78,63,47,47,62,141,62,47,125,156,63,63,79,78,94,62,266,110,3488,2
16,94,94,156,250,94,32,63,15,62,156,62,94,62,109,47,78,93,5671,2
172,78,94,141,250,47,94,62,47,62,63,78,32,141,16,78,16,63,3049,2
109,94,78,172,16,47,78,47,125,16,15,78,31,94,968,63,125,63,3707,2
16,62,94,141,250,47,78,94,203,78,63,78,32,141,16,78,16,63,8140,2
109,62,78,31,109,63,32,62,32,78,16,359,218,47,16,47,62,47,3000,2
94,63,62,16,47,94,359,31,47,16,62,94,94,15,94,156,16,63,2969,2
16,78,78,31,109,94,59,125,78,78,16,359,218,47,16,47,62,47,4467,2
94,78,94,31,140,62,94,93,16,94,125,109,62,94,78,94,109,78,4296,2
94,94,94,62,78,62,109,31,109,125,78,63,94,109,109,78,78,78,3310,2
16,94,94,31,140,78,63,109,16,78,125,109,62,94,78,94,109,78,4249,2
113,69,90,63,80,110,65,89,36,79,47,78,69,111,63,78,109,33,8445,2
79,98,78,31,78,65,78,89,24,81,58,150,78,94,141,62,141,78,4213,2
79,79,90,63,80,103,109,11,73,31,47,78,69,111,63,78,109,33,3365,2
125,94,109,63,172,109,63,79,78,78,110,78,156,63,78,47,125,78,4252,2
94,78,156,16,78,109,78,109,94,15,78,63,110,47,109,94,62,109,3846,2
410,78,109,63,172,109,47,93,172,94,110,78,156,63,78,47,125,78,5502,2
125,63,93,32,187,78,93,63,31,78,16,78,94,78,63,15,78,109,3638,2
94,94,62,16,62,78,78,47,117,20,47,63,94,31,109,172,15,63,3279,2
32,78,93,32,187,63,16,63,15,78,16,78,94,78,63,15,78,109,3657,2
78,63,78,219,62,47,46,63,109,47,547,1015,79,125,63,203,62,47,4983,2
63,47,62,63,78,78,1015,79,125,62,31,62,93,110,188,62,485,63,5531,2
47,47,78,219,62,109,79,94,219,47,547,1015,79,125,63,203,62,47,5221,2
109,78,125,63,109,125,78,94,0,94,63,109,78,93,94,47,78,79,3750,2
78,78,94,31,110,187,109,16,62,47,78,78,109,110,94,94,62,78,3373,2
78,94,125,63,109,110,78,94,31,78,63,109,78,93,94,47,78,79,5093,2
125,110,94,31,79,140,47,78,16,46,31,79,125,62,110,15,94,94,3298,2
62,62,78,32,78,124,79,62,94,31,63,93,79,93,78,78,0,93,3122,2
62,46,94,31,79,125,62,78,16,94,31,79,125,62,110,15,94,94,3749,2
78,79,79,15,140,90,78,109,0,62,47,78,94,94,78,0,78,94,2996,2
63,62,78,32,94,93,78,31,140,16,63,78,78,94,94,78,31,62,3220,2
78,62,79,15,140,125,0,62,31,78,47,78,94,94,78,0,78,94,3423,2
63,46,47,62,78,79,47,62,16,62,94,156,63,109,110,234,31,62,3952,2
78,47,93,47,63,141,156,110,62,47,32,47,62,125,140,63,94,47,3300,2
16,62,47,62,78,110,78,62,16,62,94,156,63,109,110,234,31,62,4171,2
141,109,94,62,172,100,78,94,46,63,78,62,141,62,110,109,94,94,3582,2
110,94,93,32,78,110,62,16,141,16,47,46,109,31,110,78,47,78,3159,2
16,63,94,62,172,125,141,79,15,94,78,62,141,62,110,109,94,94,5580,2
78,62,62,63,78,79,62,63,78,62,109,94,78,93,63,78,62,63,3012,2
79,62,63,78,63,62,94,78,125,47,62,63,78,94,79,93,78,78,3267,2
78,62,62,63,78,63,0,62,78,63,109,94,78,93,63,78,62,63,3780,2
63,31,78,47,125,47,110,93,16,78,15,78,47,63,16,110,62,78,3142,2
78,78,16,93,32,47,78,609,47,16,31,78,31,62,78,109,62,16,3721,2
0,78,78,47,125,62,78,31,78,94,15,78,47,63,16,110,62,78,3562,2
109,78,62,157,78,62,63,79,78,93,141,79,79,78,78,63,93,62,4392,2
93,78,93,0,94,78,79,125,141,94,94,78,78,110,141,78,94,78,3658,2
78,93,62,157,78,94,62,140,63,78,141,79,79,78,78,63,93,62,3643,2
62,63,63,94,78,63,63,63,62,47,156,109,78,94,78,188,78,47,3596,2
63,78,62,63,62,78,109,62,94,78,63,78,63,109,156,62,125,63,3406,2
63,47,63,94,78,47,63,63,47,78,156,109,78,94,78,188,78,47,3410,2
157,125,156,0,78,180,78,63,16,78,78,62,31,109,46,93,0,78,3397,2
94,125,15,78,47,187,62,62,47,31,94,63,15,125,1390,63,141,93,4740,2
16,78,156,0,78,172,94,125,94,94,78,62,31,109,46,93,0,78,7215,2
109,94,78,62,109,125,63,94,141,31,63,94,141,0,15,93,32,78,3421,2
93,94,47,78,31,125,94,78,78,31,94,46,63,172,0,125,500,63,3729,2
78,31,78,62,109,94,0,78,47,109,63,94,141,0,15,93,32,78,3667,2
