dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,ft7,dtfk11,ft11,dtsk11,dtfk13,dtfk14,ft14,dtsk14,gender
78,31,31,78,671,193,32,47,125,47,0,0,78,16,1
110,141,31,125,125,31,125,47,141,31,46,15,93,47,1
47,94,110,94,0,0,16,0,93,47,0,0,63,93,1
32,203,31,125,657,720,78,47,141,31,93,15,93,47,1
94,63,172,78,78,31,79,47,125,63,63,78,79,62,1
78,63,62,63,78,250,93,78,109,63,63,62,141,62,1
63,62,172,78,62,188,140,47,125,63,62,78,79,62,1
78,109,79,109,109,31,234,140,16,62,32,63,16,62,2
78,93,63,62,0,31,109,109,16,78,78,78,16,78,2
78,78,79,109,0,16,109,140,16,62,78,63,16,62,2
375,62,156,250,250,31,62,94,62,94,156,93,47,110,2
94,63,47,62,0,32,125,79,78,62,16,110,31,78,2
171,94,156,250,62,94,15,94,62,94,78,93,47,110,2
109,78,141,250,250,47,47,32,141,31,16,63,31,78,2
63,94,172,16,0,47,125,31,94,31,16,63,31,110,2
32,62,141,250,906,1000,203,32,141,31,110,63,31,78,2
62,62,31,109,109,31,32,218,47,16,16,47,46,63,2
47,63,16,47,0,15,47,94,15,62,16,63,47,47,2
63,78,31,109,0,31,78,218,47,16,47,47,46,63,2
172,78,31,140,140,31,16,62,94,62,125,78,78,62,2
219,94,62,78,0,16,109,94,109,62,16,78,63,78,2
140,94,31,140,109,16,16,62,94,62,78,78,78,62,2
57,69,63,80,80,442,36,69,111,41,81,33,69,61,2
192,98,31,78,70,411,24,78,94,94,79,78,63,78,2
74,79,63,80,73,185,73,69,111,41,78,33,69,61,2
110,94,63,172,172,47,78,156,63,141,15,78,78,125,2
94,78,16,78,0,31,94,110,47,62,410,109,172,125,2
187,78,63,172,0,15,172,156,63,141,125,78,78,125,2
93,63,32,187,187,0,31,94,78,47,20,109,16,93,2
125,94,16,62,110,31,117,94,31,63,32,63,46,125,2
78,78,32,187,109,47,15,94,78,47,125,109,16,93,2
62,63,219,62,62,31,109,79,125,62,62,47,47,78,2
62,47,63,78,63,94,125,93,110,93,47,63,62,63,2
31,47,219,62,47,78,219,79,125,62,63,47,47,78,2
109,78,63,109,109,47,0,78,93,203,47,79,31,78,2
94,78,31,110,78,78,62,109,110,62,78,78,31,94,2
125,94,63,109,93,78,31,78,93,203,94,79,31,78,2
93,110,31,79,79,31,16,125,62,109,31,94,16,78,2
94,62,32,78,98,59,94,79,93,140,62,93,32,62,2
79,46,31,79,94,31,16,125,62,109,62,94,16,78,2
94,79,15,140,140,47,0,94,94,47,16,94,16,78,2
94,62,32,94,0,16,140,78,94,78,78,62,16,94,2
62,62,15,140,0,63,31,94,94,47,94,94,16,78,2
63,46,62,78,78,125,16,63,109,62,47,62,31,47,2
63,47,47,63,125,62,62,62,125,63,16,47,47,62,2
203,62,62,78,79,46,16,63,109,62,62,62,31,47,2
