ft1,dtfk3,dtfk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtsk8,ft9,dtfk10,dtsk10,dtfk11,dtsk11,ft12,dtfk14,ft14,dtsk14,gender
547,172,79,225,40,110,63,78,63,47,78,94,93,47,109,78,93,15,94,47,94,1
16,109,78,609,734,0,109,63,79,93,32,125,94,78,78,79,172,94,15,62,47,1
78,78,79,0,47,141,93,32,94,31,172,110,78,47,109,78,93,15,94,47,94,1
15,63,93,140,188,109,31,141,63,578,94,62,109,47,141,78,188,78,93,63,62,1
78,94,79,125,207,109,141,62,94,78,47,62,63,47,63,78,62,110,94,31,94,1
31,94,93,47,687,94,78,62,125,453,78,93,125,47,141,78,188,78,93,63,62,1
47,78,40,380,47,125,79,15,47,16,62,62,78,47,63,125,0,15,62,16,78,1
31,78,78,0,47,125,63,157,62,31,32,78,31,63,63,312,94,94,78,31,79,1
0,62,40,125,140,94,63,0,62,0,32,62,891,47,63,125,0,15,62,16,78,1
94,78,78,79,250,93,62,125,47,141,62,63,156,125,63,63,63,125,62,110,78,1
47,63,63,94,125,125,63,62,78,78,63,62,47,62,63,78,62,62,63,47,78,1
78,62,78,78,172,125,62,63,63,125,83,110,187,125,63,63,63,125,62,110,78,1
31,78,109,172,31,156,110,46,94,16,93,63,47,0,453,140,63,46,78,32,78,1
46,109,125,110,125,156,453,94,31,63,31,62,141,93,78,829,93,78,157,31,109,1
0,93,109,172,93,157,31,78,94,78,94,109,875,0,453,140,63,46,78,32,78,1
78,78,63,62,94,94,62,47,78,31,94,31,547,32,110,78,63,0,78,62,63,1
0,47,78,78,94,188,110,62,63,62,31,78,110,78,63,62,62,94,78,47,78,1
47,94,63,79,78,78,16,94,94,47,78,141,62,32,110,78,63,0,78,62,63,1
16,78,93,78,31,94,94,62,110,31,78,125,110,78,62,78,78,125,78,32,125,1
16,109,78,0,31,109,62,94,156,31,125,125,156,78,63,62,62,94,62,235,125,1
31,78,93,0,0,94,0,62,156,16,94,125,62,78,62,78,78,125,78,32,125,1
16,125,47,203,47,62,31,78,31,63,31,31,0,16,94,157,62,31,78,16,62,1
78,31,344,1469,140,31,94,78,0,62,156,31,32,78,78,0,63,156,63,31,94,1
79,31,47,141,15,125,125,0,125,719,109,78,110,16,94,157,62,31,78,16,62,1
62,94,78,78,249,88,78,282,78,344,407,78,531,234,93,94,79,47,78,109,94,1
63,109,62,62,204,78,93,63,78,172,78,78,78,281,93,94,78,94,94,125,93,1
0,407,78,1109,63,250,32,93,94,203,78,213,250,234,93,94,79,47,78,109,94,1
47,140,78,110,15,110,31,47,78,16,110,78,578,63,79,63,15,31,46,109,78,1
63,93,15,141,0,94,79,188,16,78,48,93,140,31,63,16,62,109,16,109,16,1
15,110,78,438,125,31,93,32,625,32,79,31,62,63,79,63,15,31,46,109,78,1
16,109,187,157,156,94,109,203,110,94,93,111,110,94,63,94,63,157,141,15,94,1
110,94,78,172,0,172,63,93,125,125,110,109,156,93,62,16,62,172,125,63,93,1
110,93,187,94,156,110,94,78,141,140,78,47,125,94,63,94,63,157,141,15,94,1
93,94,94,125,78,125,94,109,109,63,93,93,109,94,94,125,78,110,109,62,79,1
78,94,94,109,32,171,94,94,110,140,94,94,125,47,78,156,110,94,109,94,94,1
16,93,94,125,47,141,47,140,125,110,78,187,94,94,94,125,78,110,109,62,79,1
63,63,78,94,219,98,78,94,78,109,63,78,94,93,78,78,46,46,110,62,94,1
32,62,94,94,187,78,78,62,110,15,63,78,78,78,47,94,78,63,78,109,63,1
78,63,78,110,234,78,15,109,93,0,63,125,125,93,78,78,46,46,110,62,94,1
47,171,94,156,32,140,172,15,94,31,109,125,47,15,94,250,125,16,125,0,109,1
16,110,125,110,78,187,94,109,62,109,78,78,140,62,93,125,94,93,78,0,125,1
0,109,94,125,79,140,16,125,141,15,94,110,125,15,94,250,125,16,125,0,109,1
15,78,78,141,62,125,78,79,78,63,78,63,32,47,63,62,63,78,110,62,156,1
15,125,78,0,15,125,63,62,78,78,0,63,93,78,63,78,32,109,94,31,78,1
