ft1,dtsk1,ft4,dtsk4,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk13,ft14,gender
15,16,79,110,125,31,625,32,79,63,79,63,47,15,16,109,1
16,125,109,157,156,94,110,94,93,94,63,94,203,63,110,15,1
110,109,141,47,0,172,125,125,110,93,62,16,141,62,531,63,1
110,531,109,157,156,110,141,140,78,94,63,94,203,63,93,15,1
93,125,125,125,78,125,109,63,93,94,94,125,94,78,94,62,1
78,125,47,109,32,171,110,140,94,47,78,156,47,110,94,94,1
16,94,125,125,47,141,125,110,78,94,94,125,94,78,94,62,1
63,109,125,94,219,98,78,109,63,93,78,78,110,46,63,62,1
32,62,31,78,187,78,110,15,63,78,47,94,93,78,63,109,1
78,63,125,94,234,78,93,0,63,93,78,78,110,46,63,62,1
47,110,47,156,32,140,94,31,109,15,94,250,31,125,78,0,1
16,109,0,63,78,187,62,109,78,62,93,125,93,94,62,0,1
0,62,47,156,79,140,141,15,94,15,94,250,31,125,125,0,1
15,78,16,141,62,125,78,63,78,47,63,62,140,63,0,62,1
15,94,78,63,15,125,78,78,0,78,63,78,93,32,94,31,1
31,94,16,141,0,94,140,63,62,47,63,62,140,63,78,62,1
47,94,16,203,15,137,125,16,94,157,125,94,78,109,94,31,1
16,78,32,78,16,137,109,0,94,110,79,109,63,141,15,15,1
110,15,16,203,47,140,47,16,172,157,125,94,78,109,78,31,1
78,125,109,203,78,109,125,47,110,156,125,109,63,78,78,47,1
15,156,47,62,15,109,46,109,78,79,94,78,110,109,79,31,1
375,79,109,203,47,125,141,31,110,156,125,109,63,78,94,47,1
47,78,31,78,32,31,15,47,31,94,62,47,125,47,31,78,1
156,32,156,16,625,31,47,79,31,31,62,94,0,62,32,62,1
156,32,31,78,193,31,78,32,93,94,62,47,125,47,0,78,1
15,109,31,125,31,125,63,125,203,125,93,47,141,31,46,93,1
31,109,110,94,0,125,0,16,46,47,79,0,93,47,0,63,1
62,0,31,125,720,15,250,78,453,125,93,47,141,31,93,93,1
62,62,172,78,31,78,78,79,62,40,106,47,125,63,63,79,1
47,62,62,63,250,47,94,93,63,47,31,78,109,63,63,141,1
62,63,172,78,188,78,78,140,63,40,106,47,125,63,62,79,1
78,110,79,109,31,78,47,234,78,141,109,140,16,62,32,16,2
47,78,63,62,31,141,94,109,32,78,63,109,16,78,78,16,2
16,78,79,109,16,94,125,109,109,141,109,140,16,62,78,16,2
16,78,156,250,31,141,109,62,94,156,62,94,62,94,156,47,2
31,78,47,62,32,141,47,125,156,63,63,79,78,62,16,31,2
63,16,156,250,94,94,63,15,62,156,62,94,62,94,78,47,2
47,172,141,250,47,47,62,47,62,63,78,32,141,31,16,31,2
15,109,172,16,47,47,47,125,16,15,78,31,94,31,16,31,2
93,16,141,250,1000,47,94,203,78,63,78,32,141,31,110,31,2
16,109,31,109,31,63,62,32,78,16,359,218,47,16,16,46,2
359,94,16,47,15,94,31,47,16,62,94,94,15,62,16,47,2
78,16,31,109,31,94,125,78,78,16,359,218,47,16,47,46,2
437,94,31,140,31,62,93,16,94,125,109,62,94,62,125,78,2
15,94,62,78,16,62,31,109,125,78,63,94,109,62,16,63,2
110,16,31,140,16,78,109,16,78,125,109,62,94,62,78,78,2
4369,113,63,80,442,110,89,36,79,47,78,69,111,41,81,69,2
4,79,31,78,411,65,89,24,81,58,150,78,94,94,79,63,2
6,79,63,80,185,103,11,73,31,47,78,69,111,41,78,69,2
156,125,63,172,47,109,79,78,78,110,78,156,63,141,15,78,2
15,94,16,78,31,109,109,94,15,78,63,110,47,62,410,172,2
78,410,63,172,15,109,93,172,94,110,78,156,63,141,125,78,2
32,125,32,187,0,78,63,31,78,16,78,94,78,47,20,16,2
32,94,16,62,31,78,47,117,20,47,63,94,31,63,32,46,2
78,32,32,187,47,63,63,15,78,16,78,94,78,47,125,16,2
141,78,219,62,31,47,63,109,47,547,1015,79,125,62,62,47,2
78,63,63,78,94,78,79,125,62,31,62,93,110,93,47,62,2
109,47,219,62,78,109,94,219,47,547,1015,79,125,62,63,47,2
125,109,63,109,47,125,94,0,94,63,109,78,93,203,47,31,2
16,78,31,110,78,187,16,62,47,78,78,109,110,62,78,31,2
0,78,63,109,78,110,94,31,78,63,109,78,93,203,94,31,2
47,125,31,79,31,140,78,16,46,31,79,125,62,109,31,16,2
16,62,32,78,59,124,62,94,31,63,93,79,93,140,62,32,2
31,62,31,79,31,125,78,16,94,31,79,125,62,109,62,16,2
31,78,15,140,47,90,109,0,62,47,78,94,94,47,16,16,2
