ft1,dtfk2,ft2,dtfk3,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtfk8,dtsk8,ft9,dtsk9,dtfk11,dtfk12,dtsk12,ft13,dtfk14,ft14,dtsk14,gender
156,62,47,31,78,193,31,0,78,32,16,47,937,47,47,62,63,79,0,78,16,1
15,109,63,141,125,31,125,47,63,125,203,93,109,125,47,31,63,109,15,93,47,1
31,62,547,94,94,0,125,78,0,16,16,62,203,47,0,1000,156,94,0,63,93,1
62,15,63,203,125,720,15,125,250,78,94,1000,781,0,47,31,63,63,15,93,47,1
62,62,125,63,78,31,78,78,78,79,63,47,125,78,47,63,62,94,78,79,62,1
47,47,125,63,63,250,47,91,94,93,78,47,76,62,78,101,13,78,62,141,62,1
62,62,126,62,78,188,78,115,78,140,74,101,63,94,47,63,62,141,78,79,62,1
78,110,78,109,109,31,78,78,47,234,110,62,16,94,140,109,63,78,63,16,62,2
47,94,47,93,62,31,141,203,94,109,78,63,203,110,109,125,94,265,78,16,78,2
16,328,31,78,109,16,94,62,125,109,63,125,156,94,140,109,63,219,63,16,62,2
16,78,94,62,250,31,141,94,109,62,109,141,157,235,94,109,78,63,93,47,110,2
31,219,31,63,62,32,141,16,47,125,78,110,219,47,79,94,266,78,110,31,78,2
63,218,63,94,250,94,94,172,63,15,109,94,1047,47,94,109,78,110,93,47,110,2
47,172,31,78,250,47,47,63,62,47,47,47,31,94,32,16,16,78,63,31,78,2
15,110,62,94,16,47,47,47,47,125,94,49,31,47,31,968,125,78,63,31,110,2
93,110,188,62,250,1000,47,141,94,203,91,968,797,47,32,16,16,15,63,31,78,2
16,109,16,62,109,31,63,47,62,32,62,94,47,94,218,16,62,78,47,46,63,2
359,63,15,63,47,15,94,47,31,47,62,78,93,94,94,94,16,78,63,47,47,2
78,110,203,78,109,31,94,79,125,78,62,94,766,31,218,16,62,15,47,46,63,2
437,94,94,78,140,31,62,219,93,16,94,78,125,94,62,78,109,78,78,78,62,2
15,125,16,94,78,16,62,110,31,109,94,78,46,32,94,109,78,78,78,63,78,2
110,219,31,94,140,16,78,94,109,16,62,109,63,31,62,78,109,94,78,78,62,2
4369,113,168,69,80,442,110,192,89,36,79,80,297,141,69,63,109,37,33,69,61,2
4,68,80,98,78,411,65,187,89,24,94,78,94,406,78,141,141,13,78,63,78,2
6,39,136,79,80,185,103,172,11,73,47,141,258,89,69,63,109,15,33,69,61,2
156,125,31,94,172,47,109,94,79,78,109,94,109,63,156,78,125,63,78,78,125,2
15,78,125,78,78,31,109,62,109,94,110,94,78,110,110,109,62,94,109,172,125,2
78,110,15,78,172,15,109,141,93,172,141,109,94,109,156,78,125,266,78,78,125,2
32,125,47,63,187,0,78,125,63,31,78,94,110,78,94,63,78,88,109,16,93,2
32,47,125,94,62,31,78,78,47,117,94,156,78,15,94,109,15,32,63,46,125,2
78,125,32,78,187,47,63,94,63,15,94,109,94,47,94,63,78,15,109,16,93,2
141,78,109,63,62,31,47,62,63,109,94,63,109,94,79,63,62,188,47,47,78,2
78,62,125,47,78,94,78,125,79,125,63,63,94,78,93,188,485,172,63,62,63,2
109,47,125,47,62,78,109,125,94,219,63,188,171,79,79,63,62,125,47,47,78,2
125,109,79,78,109,47,125,94,94,0,94,110,47,125,78,94,78,78,79,31,78,2
16,156,15,78,110,78,187,46,16,62,109,94,93,125,109,94,62,78,78,31,94,2
0,94,78,94,109,78,110,63,94,31,94,94,984,16,78,94,78,31,79,31,78,2
47,125,47,110,79,31,140,94,78,16,110,78,78,94,125,110,94,78,94,16,78,2
16,125,62,62,78,59,124,125,62,94,94,94,94,78,79,78,0,32,93,32,62,2
31,31,156,46,79,31,125,62,78,16,78,78,94,62,125,110,94,32,94,16,78,2
31,78,125,79,140,47,90,94,109,0,110,47,46,140,94,78,78,78,94,16,78,2
0,16,62,62,94,16,93,31,31,140,78,78,125,0,78,94,31,15,62,16,94,2
16,78,94,62,140,63,125,31,62,31,109,94,94,31,94,78,78,15,94,16,78,2
343,63,219,46,78,125,79,63,62,16,156,94,157,78,63,110,31,78,62,31,47,2
0,125,47,47,63,62,141,141,110,62,78,63,63,125,62,140,94,78,47,47,62,2
47,63,203,62,78,46,110,156,62,16,47,140,62,110,63,110,31,47,62,31,47,2
31,141,31,109,172,15,100,125,94,46,94,78,16,93,141,110,94,93,94,47,62,2
32,172,16,94,78,46,110,62,16,141,94,63,62,94,109,110,47,78,78,62,79,2
109,250,31,63,172,94,125,78,79,15,516,110,968,16,141,110,94,46,94,47,62,2
78,78,94,62,78,62,79,78,63,78,78,62,63,124,78,63,62,31,63,47,62,2
62,47,109,62,63,125,62,15,78,125,63,62,157,62,78,79,78,47,78,62,63,2
78,47,109,62,78,125,63,94,62,78,78,79,63,78,78,63,62,31,63,47,62,2
47,63,47,31,125,47,47,47,93,16,78,78,78,94,47,16,62,47,78,0,31,2
16,31,78,78,32,500,47,0,609,47,16,31,31,93,31,78,62,94,16,94,16,2
156,32,78,78,125,47,62,110,31,78,78,78,547,609,47,16,62,93,78,0,31,2
32,109,703,78,78,172,62,94,79,78,94,63,141,266,79,78,93,15,62,31,79,2
16,78,110,78,94,157,78,93,125,141,110,94,125,47,78,141,94,47,78,94,94,2
78,93,125,93,78,156,94,15,140,63,79,141,32,125,79,78,93,156,62,31,79,2
109,62,141,63,78,187,63,94,63,62,63,63,47,110,78,78,78,78,47,78,63,2
47,78,125,78,62,62,78,172,62,94,78,63,78,109,63,156,125,78,63,62,47,2
62,78,125,47,78,140,47,110,63,47,62,156,94,62,78,78,78,47,47,78,63,2
47,157,62,125,78,78,180,94,63,16,266,62,16,141,31,46,0,94,78,31,63,2
15,110,47,125,47,47,187,219,62,47,156,70,20,165,15,1390,141,94,93,0,63,2
47,16,94,78,78,15,172,110,125,94,31,1390,1094,62,31,46,0,31,78,31,63,2
79,109,78,94,109,31,125,78,94,141,110,109,93,94,141,15,32,78,78,32,93,2
125,0,109,94,31,31,125,109,78,78,156,111,94,62,63,0,500,78,63,93,78,2
31,97,46,31,109,0,94,120,78,47,63,0,78,78,141,15,32,94,78,32,93,2
