dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtfk8,dtfk11,ft11,dtsk11,ft12,dtfk13,gender
78,93,63,62,0,31,141,94,109,78,109,16,78,63,78,2
78,78,79,109,0,16,94,125,109,63,140,16,62,203,78,2
375,62,156,250,250,31,141,109,62,109,94,62,94,47,156,2
94,63,47,62,0,32,141,47,125,78,79,78,62,62,16,2
171,94,156,250,62,94,94,63,15,109,94,62,94,47,78,2
109,78,141,250,250,47,47,62,47,47,32,141,31,78,16,2
63,94,172,16,0,47,47,47,125,94,31,94,31,63,16,2
32,62,141,250,906,1000,47,94,203,91,32,141,31,78,110,2
62,62,31,109,109,31,63,62,32,62,218,47,16,47,16,2
47,63,16,47,0,15,94,31,47,62,94,15,62,156,16,2
63,78,31,109,0,31,94,125,78,62,218,47,16,47,47,2
172,78,31,140,140,31,62,93,16,94,62,94,62,94,125,2
219,94,62,78,0,16,62,31,109,94,94,109,62,78,16,2
140,94,31,140,109,16,78,109,16,62,62,94,62,94,78,2
57,69,63,80,80,442,110,89,36,79,69,111,41,78,81,2
192,98,31,78,70,411,65,89,24,94,78,94,94,62,79,2
74,79,63,80,73,185,103,11,73,47,69,111,41,78,78,2
110,94,63,172,172,47,109,79,78,109,156,63,141,47,15,2
94,78,16,78,0,31,109,109,94,110,110,47,62,94,410,2
187,78,63,172,0,15,109,93,172,141,156,63,141,47,125,2
93,63,32,187,187,0,78,63,31,78,94,78,47,15,20,2
125,94,16,62,110,31,78,47,117,94,94,31,63,172,32,2
78,78,32,187,109,47,63,63,15,94,94,78,47,15,125,2
62,63,219,62,62,31,47,63,109,94,79,125,62,203,62,2
62,47,63,78,63,94,78,79,125,63,93,110,93,62,47,2
31,47,219,62,47,78,109,94,219,63,79,125,62,203,63,2
109,78,63,109,109,47,125,94,0,94,78,93,203,47,47,2
94,78,31,110,78,78,187,16,62,109,109,110,62,94,78,2
125,94,63,109,93,78,110,94,31,94,78,93,203,47,94,2
93,110,31,79,79,31,140,78,16,110,125,62,109,15,31,2
94,62,32,78,98,59,124,62,94,94,79,93,140,78,62,2
79,46,31,79,94,31,125,78,16,78,125,62,109,15,62,2
94,79,15,140,140,47,90,109,0,110,94,94,47,0,16,2
94,62,32,94,0,16,93,31,140,78,78,94,78,78,78,2
62,62,15,140,0,63,125,62,31,109,94,94,47,0,94,2
63,46,62,78,78,125,79,62,16,156,63,109,62,234,47,2
63,47,47,63,125,62,141,110,62,78,62,125,63,63,16,2
203,62,62,78,79,46,110,62,16,47,63,109,62,234,62,2
140,109,62,172,172,15,100,94,46,94,141,62,125,109,16,2
125,94,32,78,94,46,110,16,141,94,109,31,110,78,16,2
31,63,62,172,78,94,125,79,15,516,141,62,125,109,79,2
63,62,63,78,78,62,79,63,78,78,78,93,63,78,47,2
78,62,78,63,63,125,62,78,125,63,78,94,63,93,78,2
94,62,63,78,47,125,63,62,78,78,78,93,63,78,63,2
109,31,47,125,125,47,47,93,16,78,47,63,109,110,16,2
47,78,93,32,484,500,47,609,47,16,31,62,79,109,0,2
94,78,47,125,0,47,62,31,78,78,47,63,109,110,16,2
94,78,157,78,78,172,62,79,78,94,79,78,78,63,94,2
94,78,0,94,109,157,78,125,141,110,78,110,78,78,78,2
110,93,157,78,47,156,94,140,63,79,79,78,78,63,94,2
94,63,94,78,78,187,63,63,62,63,78,94,63,188,78,2
94,78,63,62,63,62,78,62,94,78,63,109,78,62,63,2
63,47,94,78,63,140,47,63,47,62,78,94,63,188,47,2
78,125,0,78,78,78,180,63,16,266,31,109,47,93,31,2
94,125,78,47,141,47,187,62,47,156,15,125,46,63,16,2
47,78,0,78,0,15,172,125,94,31,31,109,47,93,63,2
62,94,62,109,109,31,125,94,141,110,141,0,62,93,31,2
78,94,78,31,110,31,125,78,78,156,63,172,16,125,78,2
78,31,62,109,0,0,94,78,47,63,141,0,62,93,78,2
