dtfk1,dtsk1,dtfk2,dtsk2,dtsk5,dtfk6,ft6,ft7,dtsk7,dtfk8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk13,dtfk14,ft14,gender
94,109,0,63,187,94,109,109,78,94,16,110,93,125,93,110,110,62,78,0,1
250,62,312,125,140,16,125,15,94,94,62,141,94,250,31,125,114,125,125,0,1
125,78,78,78,125,78,79,63,78,140,157,47,63,62,140,109,16,0,110,62,1
78,94,32,16,125,63,62,78,0,172,79,109,63,78,93,31,187,94,94,31,1
78,94,79,110,94,94,0,63,62,78,78,47,63,62,140,109,16,78,110,62,1
93,94,94,109,137,78,63,16,94,78,125,62,125,94,78,141,78,94,109,31,1
172,78,219,125,137,125,78,0,94,94,46,93,79,109,63,375,109,15,78,15,1
62,15,63,62,140,32,125,16,172,78,109,62,125,94,78,141,78,78,109,31,1
94,125,125,109,109,78,390,47,110,110,468,78,125,109,63,109,93,78,94,47,1
500,156,141,93,109,125,63,109,78,110,15,62,94,78,110,94,172,79,78,31,1
93,79,94,63,125,78,78,31,110,78,46,78,125,109,63,109,93,94,94,47,1
156,78,78,141,31,47,62,47,31,78,16,16,62,47,125,62,63,31,0,78,1
78,32,15,47,31,62,79,79,31,31,32,94,62,94,0,47,31,32,31,62,1
78,32,62,62,31,15,109,32,93,16,47,16,62,47,125,62,63,0,0,78,1
110,109,109,141,125,125,31,125,203,203,125,47,93,47,141,31,63,46,15,93,1
47,109,62,125,125,93,63,16,46,16,47,93,79,0,93,1000,156,0,0,63,1
32,0,15,47,15,63,47,78,453,94,0,47,93,47,141,31,63,93,15,93,1
94,62,62,63,78,62,141,79,62,63,78,60,106,47,125,63,62,63,78,79,1
78,62,47,46,47,106,67,93,63,78,62,78,31,78,109,101,13,63,62,141,1
63,63,62,46,78,27,86,140,63,74,94,60,106,47,125,63,62,62,78,79,1
78,110,110,109,78,63,125,234,78,110,94,62,109,140,16,109,63,32,63,16,2
78,78,94,94,141,109,47,109,32,78,110,78,63,109,16,125,94,78,78,16,2
78,78,328,125,94,93,251,109,109,63,94,62,109,140,16,109,63,78,63,16,2
375,78,78,62,141,47,125,62,94,109,235,63,62,94,62,109,78,156,93,47,2
94,78,219,110,141,62,94,125,156,78,47,62,63,79,78,94,266,16,110,31,2
171,16,218,31,94,32,46,15,62,109,47,63,62,94,62,109,78,78,93,47,2
109,172,172,78,47,94,15,47,62,47,94,62,78,32,141,16,16,16,63,31,2
63,109,110,109,47,78,172,125,16,94,47,63,78,31,94,968,125,16,63,31,2
32,16,110,62,47,78,31,203,78,91,47,62,78,32,141,16,16,110,63,31,2
62,109,109,62,63,32,140,32,78,62,94,188,359,218,47,16,62,16,47,46,2
47,94,63,47,94,359,78,47,16,62,94,63,94,94,15,94,16,16,63,47,2
63,16,110,16,94,59,32,78,78,62,31,188,359,218,47,16,62,47,47,46,2
172,94,94,78,62,94,141,16,94,94,94,63,109,62,94,78,109,125,78,78,2
219,94,125,78,62,109,62,109,125,94,32,78,63,94,109,109,78,16,78,63,2
140,16,219,63,78,63,78,16,78,62,31,63,109,62,94,78,109,78,78,78,2
57,113,113,69,110,65,101,36,79,79,141,78,78,69,111,63,109,81,33,69,2
192,79,68,72,65,78,94,24,81,94,406,68,150,78,94,141,141,79,78,63,2
74,79,39,79,103,109,31,73,31,47,89,78,78,69,111,63,109,78,33,69,2
110,125,125,94,109,63,78,78,78,109,63,250,78,156,63,78,125,15,78,78,2
94,94,78,78,109,78,94,94,15,110,110,78,63,110,47,109,62,410,109,172,2
187,410,110,94,109,47,93,172,94,141,109,250,78,156,63,78,125,125,78,78,2
93,125,125,63,78,93,47,31,78,78,78,94,78,94,78,63,78,20,109,16,2
125,94,47,32,78,78,78,117,20,94,15,47,63,94,31,109,15,32,63,46,2
78,32,125,78,63,16,94,15,78,94,47,94,78,94,78,63,78,125,109,16,2
62,78,78,63,47,46,157,109,47,94,94,63,1015,79,125,63,62,62,47,47,2
62,63,62,47,78,1015,78,125,62,63,78,828,62,93,110,188,485,47,63,62,2
31,47,47,78,109,79,62,219,47,63,79,63,1015,79,125,63,62,63,47,47,2
109,109,109,78,125,78,109,0,94,94,125,78,109,78,93,94,78,47,79,31,2
94,78,156,78,187,109,79,62,47,109,125,78,78,109,110,94,62,78,78,31,2
125,78,94,94,110,78,78,31,78,94,16,78,109,78,93,94,78,94,79,31,2
93,125,125,110,140,47,109,16,46,110,94,62,79,125,62,110,94,31,94,16,2
94,62,125,125,124,79,62,94,31,94,78,78,93,79,93,78,0,62,93,32,2
79,62,31,344,125,62,16,16,94,78,62,62,79,125,62,110,94,62,94,16,2
94,78,78,79,90,78,62,0,62,110,140,63,78,94,94,78,78,16,94,16,2
94,63,16,94,93,78,172,140,16,78,0,78,78,78,94,94,31,78,62,16,2
62,78,78,63,125,0,63,31,78,109,31,63,78,94,94,78,78,94,94,16,2
63,63,63,46,79,47,156,16,62,156,78,62,156,63,109,110,31,47,62,31,2
63,78,125,47,141,156,47,62,47,78,125,125,47,62,125,140,94,16,47,47,2
203,16,63,16,110,78,47,16,62,47,110,62,156,63,109,110,31,62,62,31,2
140,141,141,109,100,78,62,46,63,94,93,47,62,141,62,110,94,16,94,47,2
125,110,172,78,110,62,141,141,16,94,94,94,46,109,31,110,47,16,78,62,2
31,16,250,94,125,141,0,15,94,516,16,47,62,141,62,110,94,79,94,47,2
63,78,78,62,79,62,94,78,62,78,124,62,94,78,93,63,62,47,63,47,2
78,79,47,63,62,94,188,125,47,63,62,78,63,78,94,79,78,78,78,62,2
94,78,47,63,63,0,93,78,63,78,78,62,94,78,93,63,62,63,63,47,2
109,63,63,31,47,110,62,16,78,78,94,78,78,47,63,16,62,16,78,0,2
47,78,31,78,47,78,94,47,16,16,93,63,78,31,62,78,62,0,16,94,2
94,0,32,47,62,78,31,78,94,78,609,78,78,47,63,16,62,16,78,0,2
94,109,109,78,62,63,93,78,93,94,266,62,79,79,78,78,93,94,62,31,2
94,93,78,62,78,79,78,141,94,110,47,78,78,78,110,141,94,78,78,94,2
110,78,93,63,94,62,172,63,78,79,125,62,79,79,78,78,93,94,62,31,2
94,62,62,63,63,63,140,62,47,63,110,63,109,78,94,78,78,78,47,78,2
94,63,78,62,78,109,63,94,78,78,109,78,78,63,109,156,125,63,63,62,2
63,63,78,47,47,63,62,47,78,62,62,63,109,78,94,78,78,47,47,78,2
78,157,157,125,180,78,109,16,78,266,141,94,62,31,109,46,0,31,78,31,2
94,94,110,94,187,62,94,47,31,156,165,62,63,15,125,1390,141,16,93,0,2
47,16,16,0,172,94,15,94,94,31,62,94,62,31,109,46,0,63,78,31,2
62,109,109,94,125,63,125,141,31,110,94,78,94,141,0,15,32,31,78,32,2
78,93,0,16,125,94,78,78,31,156,62,94,46,63,172,0,500,78,63,93,2
78,78,97,94,94,0,187,47,109,63,78,78,94,141,0,15,32,78,78,32,2
