dtfk1,dtfk2,dtfk3,ft3,ft4,dtsk4,ft5,dtsk6,ft7,dtfk8,ft9,dtfk10,ft10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
110,109,407,15,203,78,63,157,203,78,250,234,79,94,140,47,93,235,78,78,109,1
156,47,140,32,79,110,15,15,16,94,578,63,78,63,47,31,48,5,84,46,109,1
15,31,93,32,94,31,0,31,78,46,140,31,78,16,78,109,16,94,0,16,109,1
63,235,110,15,79,110,125,47,32,93,62,63,78,63,47,31,16,110,15,46,109,1
156,125,109,32,109,157,156,125,94,218,110,94,109,94,203,157,110,93,161,141,15,1
125,156,94,125,141,47,0,500,125,297,156,93,110,16,141,172,531,140,516,125,63,1
250,312,93,63,109,157,156,125,140,110,125,94,109,94,203,157,93,110,109,141,15,1
125,125,94,93,125,125,78,141,63,78,109,94,62,125,94,110,94,47,109,109,62,1
141,125,94,78,47,109,32,140,140,109,125,47,93,156,47,94,94,31,125,109,94,1
109,156,93,63,125,125,47,94,110,110,94,94,62,125,94,110,94,78,141,109,62,1
78,109,63,62,125,94,219,109,109,94,94,93,63,78,110,46,63,94,78,110,62,1
109,78,62,47,31,78,187,125,15,94,78,78,109,94,93,63,63,16,93,78,109,1
78,109,63,15,125,94,234,63,0,94,125,93,63,78,110,46,63,31,94,110,62,1
93,110,171,16,47,156,32,94,31,141,47,15,141,250,31,16,78,109,16,125,0,1
94,0,110,47,0,63,78,47,109,94,140,62,110,125,93,93,62,140,16,78,0,1
250,312,109,32,47,156,79,0,15,94,125,15,141,250,31,16,125,0,109,125,0,1
125,78,78,31,16,141,62,78,63,140,32,47,47,62,140,78,0,110,15,110,62,1
78,32,125,16,78,63,15,110,78,172,93,78,109,78,93,109,94,15,94,94,31,1
78,79,78,31,16,141,0,47,63,78,94,47,47,62,140,78,78,141,78,110,62,1
93,94,109,203,16,203,15,172,16,78,188,157,62,94,78,94,94,109,125,109,31,1
172,219,94,31,32,78,16,94,0,94,141,110,93,109,63,78,15,78,0,78,15,1
62,63,94,16,16,203,47,16,16,78,78,157,62,94,78,94,78,15,141,109,31,1
94,125,109,141,109,203,78,500,47,110,343,156,78,109,63,110,78,94,78,94,47,1
500,141,109,485,47,62,15,609,109,110,266,79,62,78,110,94,79,78,78,78,31,1
93,94,110,78,109,203,47,141,31,78,1114,156,78,109,63,110,94,484,203,94,47,1
156,78,141,47,31,78,32,78,47,78,125,94,16,47,125,47,31,78,0,0,78,1
78,15,47,63,156,16,625,172,79,31,78,31,94,94,0,109,32,78,31,31,62,1
78,62,31,63,31,78,193,0,32,16,937,94,16,47,125,47,0,79,78,0,78,1
110,109,141,15,31,125,31,47,125,203,109,125,47,47,141,16,46,109,16,15,93,1
47,62,94,15,110,94,0,78,16,16,203,47,93,0,93,78,0,94,15,0,63,1
32,15,203,16,31,125,720,125,78,94,781,125,47,47,141,16,93,63,219,15,93,1
94,62,63,31,172,78,31,78,79,63,125,40,60,47,125,94,63,94,62,78,79,1
78,47,63,297,62,63,250,91,93,78,76,47,78,78,109,176,63,78,62,62,141,1
63,62,62,47,172,78,188,115,140,74,63,40,60,47,125,94,62,141,235,78,79,1
78,110,109,297,79,109,31,78,234,110,16,141,62,140,16,203,32,78,109,63,16,2
78,94,93,203,63,62,31,203,109,78,203,78,78,109,16,63,78,265,110,78,16,2
78,328,78,172,79,109,16,62,109,63,156,141,62,140,16,203,78,219,78,63,16,2
375,78,62,94,156,250,31,94,62,109,157,156,63,94,62,47,156,63,109,93,47,2
94,219,63,62,47,62,32,16,125,78,219,63,62,79,78,62,16,78,31,110,31,2
171,218,94,47,156,250,94,172,15,109,1047,156,63,94,62,47,78,110,172,93,47,2
109,172,78,16,141,250,47,63,47,47,31,63,62,32,141,78,16,78,47,63,31,2
63,110,94,31,172,16,47,47,125,94,31,15,63,31,94,63,16,78,16,63,31,2
32,110,62,16,141,250,1000,141,203,91,797,63,62,32,141,78,110,15,93,63,31,2
62,109,62,32,31,109,31,47,32,62,47,16,188,218,47,47,16,78,16,47,46,2
47,63,63,15,16,47,15,47,47,62,93,62,63,94,15,156,16,78,15,63,47,2
63,110,78,15,31,109,31,79,78,62,766,16,188,218,47,47,47,15,94,47,46,2
172,94,78,94,31,140,31,219,16,94,125,125,63,62,94,94,125,78,94,78,78,2
219,125,94,62,62,78,16,110,109,94,46,78,78,94,109,78,16,78,46,78,63,2
