dtsk1,dtfk2,dtfk3,ft4,dtsk4,dtfk5,ft6,dtfk7,ft7,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,ft14,dtsk14,gender
109,109,109,47,62,609,63,79,93,94,78,78,78,79,78,94,78,0,62,47,1
78,15,78,128,225,0,32,94,31,78,47,62,109,78,63,15,47,78,47,94,1
63,63,63,63,140,140,141,63,578,109,47,94,141,78,94,78,47,109,63,62,1
125,79,94,62,78,125,62,94,78,63,47,78,63,78,125,110,47,438,31,94,1
47,63,94,63,140,47,62,125,453,125,47,94,141,78,94,78,94,47,63,62,1
94,94,78,271,380,380,15,47,16,78,47,62,63,125,32,15,32,94,16,78,1
78,31,78,32,78,0,157,62,31,31,63,62,63,312,63,94,62,32,31,79,1
62,141,62,271,380,125,0,62,0,891,47,62,63,125,32,15,79,31,16,78,1
94,94,78,140,79,79,125,47,141,156,125,47,63,63,93,125,63,125,110,78,1
78,94,63,94,62,94,62,78,78,47,62,78,63,78,110,62,78,63,47,78,1
78,94,62,140,79,78,63,63,125,187,125,47,63,63,93,125,78,78,110,78,1
125,125,78,31,172,172,46,94,16,47,0,93,453,140,47,46,31,94,32,78,1
125,47,109,15,78,110,94,31,63,141,93,110,78,829,31,78,62,47,31,109,1
62,78,93,31,172,172,78,94,78,875,0,93,453,140,47,46,109,0,32,78,1
110,110,78,78,62,62,47,78,31,547,32,62,110,78,94,0,31,79,62,63,1
78,0,47,61,52,78,62,63,62,110,78,78,63,62,110,94,31,31,47,78,1
31,93,94,78,62,79,94,94,47,62,32,62,110,78,94,0,78,47,62,63,1
94,94,78,188,78,78,62,110,31,110,78,63,62,78,110,125,125,125,32,125,1
62,140,109,0,78,0,94,156,31,156,78,47,63,62,94,94,125,0,235,125,1
125,78,78,188,78,0,62,156,16,62,78,63,62,78,110,125,125,31,32,125,1
109,109,125,109,203,203,78,31,63,0,16,62,94,157,31,31,156,110,16,62,1
16,32,31,94,0,1469,78,0,62,32,78,78,78,0,47,156,31,125,31,94,1
31,47,31,109,203,141,0,125,719,110,16,62,94,157,31,31,94,0,16,62,1
110,110,94,203,78,78,282,78,344,531,234,79,93,94,140,47,78,391,109,94,1
93,94,109,157,78,62,63,78,172,78,281,63,93,94,172,94,78,516,125,93,1
78,109,407,203,78,1109,93,94,203,250,234,79,93,94,140,47,93,235,109,94,1
47,47,140,79,110,110,47,78,16,578,63,78,79,63,47,31,48,5,109,78,1
31,31,93,94,31,141,188,16,78,140,31,78,63,16,78,109,16,94,109,16,1
16,235,110,79,110,438,32,625,32,62,63,78,79,63,47,31,16,110,109,78,1
125,125,109,109,157,157,203,110,94,110,94,109,63,94,203,157,110,93,15,94,1
109,156,94,141,47,172,93,125,125,156,93,110,62,16,141,172,531,140,63,93,1
531,312,93,109,157,94,78,141,140,125,94,109,63,94,203,157,93,110,15,94,1
125,125,94,125,125,125,109,109,63,109,94,62,94,125,94,110,94,47,62,79,1
125,125,94,47,109,109,94,110,140,125,47,93,78,156,47,94,94,31,94,94,1
94,156,93,125,125,125,140,125,110,94,94,62,94,125,94,110,94,78,62,79,1
109,109,63,125,94,94,94,78,109,94,93,63,78,78,110,46,63,94,62,94,1
62,78,62,31,78,94,62,110,15,78,78,109,47,94,93,63,63,16,109,63,1
63,109,63,125,94,110,109,93,0,125,93,63,78,78,110,46,63,31,62,94,1
110,110,171,47,156,156,15,94,31,47,15,141,94,250,31,16,78,109,0,109,1
109,0,110,0,63,110,109,62,109,140,62,110,93,125,93,93,62,140,0,125,1
62,312,109,47,156,125,125,141,15,125,15,141,94,250,31,16,125,0,0,109,1
78,78,78,16,141,141,79,78,63,32,47,47,63,62,140,78,0,110,62,156,1
94,32,125,78,63,0,62,78,78,93,78,109,63,78,93,109,94,15,31,78,1
94,79,78,16,141,187,0,140,63,94,47,47,63,62,140,78,78,141,62,156,1
94,94,109,16,203,203,63,125,16,188,157,62,125,94,78,94,94,109,31,110,1
78,219,94,32,78,156,78,109,0,141,110,93,79,109,63,78,15,78,15,78,1
15,63,94,16,203,0,125,47,16,78,157,62,125,94,78,94,78,15,31,110,1
125,125,109,109,203,203,390,125,47,343,156,78,125,109,63,110,78,94,47,78,1
156,141,109,47,62,0,63,46,109,266,79,62,94,78,110,94,79,78,31,94,1
79,94,110,109,203,0,78,141,31,1114,156,78,125,109,63,110,94,484,47,78,1
78,78,141,31,78,78,62,15,47,125,94,16,62,47,125,47,31,78,78,16,1
32,15,47,156,16,531,79,47,79,78,31,94,62,94,0,109,32,78,62,0,1
32,62,31,31,78,671,109,78,32,937,94,16,62,47,125,47,0,79,78,16,1
109,109,141,31,125,125,31,63,125,109,125,47,93,47,141,16,46,109,93,47,1
109,62,94,110,94,0,63,0,16,203,47,93,79,0,93,78,0,94,63,93,1
0,15,203,31,125,657,47,250,78,781,125,47,93,47,141,16,93,63,93,47,1
62,62,63,172,78,78,141,78,79,125,40,60,106,47,125,94,63,94,79,62,1
62,47,63,62,63,78,67,94,93,76,47,78,31,78,109,176,63,78,141,62,1
63,62,62,172,78,62,86,78,140,63,40,60,106,47,125,94,62,141,79,62,1
110,110,109,79,109,109,125,47,234,16,141,62,109,140,16,203,32,78,16,62,2
78,94,93,63,62,0,47,94,109,203,78,78,63,109,16,63,78,265,16,78,2
78,328,78,79,109,0,251,125,109,156,141,62,109,140,16,203,78,219,16,62,2
78,78,62,156,250,250,125,109,62,157,156,63,62,94,62,47,156,63,47,110,2
78,219,63,47,62,0,94,47,125,219,63,62,63,79,78,62,16,78,31,78,2
16,218,94,156,250,62,46,63,15,1047,156,63,62,94,62,47,78,110,47,110,2
172,172,78,141,250,250,15,62,47,31,63,62,78,32,141,78,16,78,31,78,2
109,110,94,172,16,0,172,47,125,31,15,63,78,31,94,63,16,78,31,110,2
16,110,62,141,250,906,31,94,203,797,63,62,78,32,141,78,110,15,31,78,2
109,109,62,31,109,109,140,62,32,47,16,188,359,218,47,47,16,78,46,63,2
94,63,63,16,47,0,78,31,47,93,62,63,94,94,15,156,16,78,47,47,2
16,110,78,31,109,0,32,125,78,766,16,188,359,218,47,47,47,15,46,63,2
94,94,78,31,140,140,141,93,16,125,125,63,109,62,94,94,125,78,78,62,2
94,125,94,62,78,0,62,31,109,46,78,78,63,94,109,78,16,78,63,78,2
16,219,94,31,140,109,78,109,16,63,125,63,109,62,94,94,78,94,78,62,2
113,113,69,63,80,80,101,89,36,297,47,78,78,69,111,78,81,37,69,61,2
79,68,98,31,78,70,94,89,24,94,58,68,150,78,94,62,79,13,63,78,2
79,39,79,63,80,73,31,11,73,258,47,78,78,69,111,78,78,15,69,61,2
125,125,94,63,172,172,78,79,78,109,110,250,78,156,63,47,15,63,78,125,2
94,78,78,16,78,0,94,109,94,78,78,78,63,110,47,94,410,94,172,125,2
410,110,78,63,172,0,93,93,172,94,110,250,78,156,63,47,125,266,78,125,2
125,125,63,32,187,187,47,63,31,110,16,94,78,94,78,15,20,88,16,93,2
94,47,94,16,62,110,78,47,117,78,47,47,63,94,31,172,32,32,46,125,2
32,125,78,32,187,109,94,63,15,94,16,94,78,94,78,15,125,15,16,93,2
78,78,63,219,62,62,157,63,109,109,547,63,1015,79,125,203,62,188,47,78,2
63,62,47,63,78,63,78,79,125,94,31,828,62,93,110,62,47,172,62,63,2
47,47,47,219,62,47,62,94,219,171,547,63,1015,79,125,203,63,125,47,78,2
109,109,78,63,109,109,109,94,0,47,63,78,109,78,93,47,47,78,31,78,2
78,156,78,31,110,78,79,16,62,93,78,78,78,109,110,94,78,78,31,94,2
78,94,94,63,109,93,78,94,31,984,63,78,109,78,93,47,94,31,31,78,2
125,125,110,31,79,79,109,78,16,78,31,62,79,125,62,15,31,78,16,78,2
62,125,62,32,78,98,62,62,94,94,63,78,93,79,93,78,62,32,32,62,2
62,31,46,31,79,94,16,78,16,94,31,62,79,125,62,15,62,32,16,78,2
78,78,79,15,140,140,62,109,0,46,47,63,78,94,94,0,16,78,16,78,2
63,16,62,32,94,0,172,31,140,125,63,78,78,78,94,78,78,15,16,94,2
78,78,62,15,140,0,63,62,31,94,47,63,78,94,94,0,94,15,16,78,2
63,63,46,62,78,78,156,62,16,157,94,62,156,63,109,234,47,78,31,47,2
78,125,47,47,63,125,47,110,62,63,32,125,47,62,125,63,16,78,47,62,2
16,63,62,62,78,79,47,62,16,62,94,62,156,63,109,234,62,47,31,47,2
141,141,109,62,172,172,62,94,46,16,78,47,62,141,62,109,16,93,47,62,2
110,172,94,32,78,94,141,16,141,62,47,94,46,109,31,78,16,78,62,79,2
16,250,63,62,172,78,0,79,15,968,78,47,62,141,62,109,79,46,47,62,2
78,78,62,63,78,78,94,63,78,63,109,62,94,78,93,78,47,31,47,62,2
79,47,62,78,63,63,188,78,125,157,62,78,63,78,94,93,78,47,62,63,2
78,47,62,63,78,47,93,62,78,63,109,62,94,78,93,78,63,31,47,62,2
63,63,31,47,125,125,62,93,16,78,15,78,78,47,63,110,16,47,0,31,2
78,31,78,93,32,484,94,609,47,31,31,63,78,31,62,109,0,94,94,16,2
0,32,78,47,125,0,31,31,78,547,15,78,78,47,63,110,16,93,0,31,2
109,109,78,157,78,78,93,79,78,141,141,62,79,79,78,63,94,15,31,79,2
93,78,78,0,94,109,78,125,141,125,94,78,78,78,110,78,78,47,94,94,2
78,93,93,157,78,47,172,140,63,32,141,62,79,79,78,63,94,156,31,79,2
62,62,63,94,78,78,140,63,62,47,156,63,109,78,94,188,78,78,78,63,2
63,78,78,63,62,63,63,62,94,78,63,78,78,63,109,62,63,78,62,47,2
63,78,47,94,78,63,62,63,47,94,156,63,109,78,94,188,47,47,78,63,2
157,157,125,0,78,78,109,63,16,16,78,94,62,31,109,93,31,94,31,63,2
94,110,125,78,47,141,94,62,47,20,94,62,63,15,125,63,16,94,0,63,2
16,16,78,0,78,0,15,125,94,1094,78,94,62,31,109,93,63,31,31,63,2
109,109,94,62,109,109,125,94,141,93,63,78,94,141,0,93,31,78,32,93,2
93,0,94,78,31,110,78,78,78,94,94,94,46,63,172,125,78,78,93,78,2
78,97,31,62,109,0,187,78,47,78,63,78,94,141,0,93,78,94,32,93,2
