ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,ft6,dtsk6,dtfk7,dtfk9,dtsk9,dtfk10,ft10,dtsk10,ft11,dtsk11,dtfk12,dtfk13,ft13,dtsk13,ft14,gender
78,32,31,31,344,94,1469,31,78,63,0,47,141,78,78,78,47,63,78,31,125,15,31,1
79,47,31,62,47,109,141,125,0,47,125,859,0,16,62,94,31,62,31,94,0,62,16,1
62,110,94,78,78,203,78,88,282,109,78,94,94,234,79,93,140,79,78,78,391,109,109,1
63,94,109,78,62,157,62,78,63,172,78,157,156,281,63,93,172,78,213,78,516,78,125,1
0,109,407,78,78,203,1109,250,93,157,94,63,78,234,79,93,140,79,78,93,235,78,109,1
47,47,140,78,78,79,110,110,47,15,78,469,16,63,78,79,47,15,63,48,5,84,109,1
63,31,93,31,15,94,141,94,188,31,16,47,16,31,78,63,78,62,31,16,94,0,109,1
15,235,110,16,78,79,438,31,32,47,625,0,16,63,78,79,47,15,63,16,110,15,109,1
16,125,109,187,187,109,157,94,203,125,110,125,203,94,109,63,203,63,47,110,93,161,15,1
110,156,94,109,78,141,172,172,93,500,125,125,157,93,110,62,141,62,47,531,140,516,63,1
110,312,93,125,187,109,94,110,78,125,141,750,125,94,109,63,203,63,47,93,110,109,15,1
93,125,94,94,94,125,125,125,109,141,109,94,125,94,62,94,94,78,109,94,47,109,62,1
78,125,94,94,94,47,109,171,94,140,110,94,16,47,93,78,47,110,187,94,31,125,94,1
16,156,93,109,94,125,125,141,140,94,125,125,110,94,62,94,94,78,109,94,78,141,62,1
63,109,63,78,78,125,94,98,94,109,78,78,110,93,63,78,110,46,94,63,94,78,62,1
32,78,62,78,94,31,94,78,62,125,110,63,109,78,109,47,93,78,125,63,16,93,109,1
78,109,63,94,78,125,110,78,109,63,93,93,110,93,63,78,110,46,94,63,31,94,62,1
47,110,171,94,94,47,156,140,15,94,94,110,203,15,141,94,31,125,125,78,109,16,0,1
16,0,110,172,125,0,110,187,109,47,62,0,16,62,110,93,93,94,110,62,140,16,0,1
0,312,109,78,94,47,125,140,125,0,141,860,62,15,141,94,31,125,125,125,0,109,0,1
15,78,78,78,78,16,141,125,79,78,78,109,157,47,47,63,140,63,109,0,110,15,62,1
15,32,125,78,78,78,0,125,62,110,78,47,79,78,109,63,93,32,31,94,15,94,31,1
31,79,78,94,78,16,187,94,0,47,140,937,78,47,47,63,140,63,109,78,141,78,62,1
47,94,109,297,297,16,203,137,63,172,125,94,125,157,62,125,78,109,141,94,109,125,31,1
16,219,94,78,93,32,156,137,78,94,109,16,46,110,93,79,63,141,375,15,78,0,15,1
110,63,94,125,297,16,0,140,125,16,47,110,109,157,62,125,78,109,141,78,15,141,31,1
78,125,109,110,110,109,203,109,390,500,125,94,468,156,78,125,63,78,109,78,94,78,47,1
15,141,109,78,125,47,0,109,63,609,46,141,15,79,62,94,110,109,94,79,78,78,31,1
375,94,110,93,110,109,0,125,78,141,141,1020,46,156,78,125,63,78,109,94,484,203,47,1
47,78,141,109,109,31,78,31,62,78,15,687,16,94,16,62,125,47,62,31,78,0,78,1
156,15,47,47,31,156,531,31,79,172,47,0,32,31,94,62,0,62,47,32,78,31,62,1
156,62,31,47,109,31,671,31,109,0,78,797,47,94,16,62,125,47,62,0,79,78,78,1
15,109,141,110,110,31,125,125,31,47,63,610,125,125,47,93,141,31,31,46,109,16,93,1
31,62,94,125,16,110,0,125,63,78,0,125,47,47,93,79,93,47,1000,0,94,15,63,1
