dtfk1,dtsk1,dtfk2,dtfk3,dtsk3,ft4,dtsk4,ft5,ft6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,dtsk12,dtfk13,dtsk13,ft14,gender
63,16,235,110,16,79,110,125,32,625,32,0,63,78,63,47,31,63,16,15,109,1
156,125,125,109,187,109,157,156,203,110,94,125,94,109,94,203,157,171,110,161,15,1
125,109,156,94,109,141,47,0,93,125,125,125,93,110,16,141,172,78,531,516,63,1
250,531,312,93,125,109,157,156,78,141,140,750,94,109,94,203,157,171,93,109,15,1
125,125,125,94,94,125,125,78,109,109,63,94,94,62,125,94,110,93,94,109,62,1
141,125,125,94,94,47,109,32,94,110,140,94,47,93,156,47,94,453,94,125,94,1
109,94,156,93,109,125,125,47,140,125,110,125,94,62,125,94,110,93,94,141,62,1
78,109,109,63,78,125,94,219,94,78,109,78,93,63,78,110,46,63,63,78,62,1
109,62,78,62,78,31,78,187,62,110,15,63,78,109,94,93,63,109,63,93,109,1
78,63,109,63,94,125,94,234,109,93,0,93,93,63,78,110,46,63,63,94,62,1
93,110,110,171,94,47,156,32,15,94,31,110,15,141,250,31,16,114,78,16,0,1
94,109,0,110,172,0,63,78,109,62,109,0,62,110,125,93,93,110,62,16,0,1
250,62,312,109,78,47,156,79,125,141,15,860,15,141,250,31,16,114,125,109,0,1
125,78,78,78,78,16,141,62,79,78,63,109,47,47,62,140,78,16,0,15,62,1
78,94,32,125,78,78,63,15,62,78,78,47,78,109,78,93,109,187,94,94,31,1
78,94,79,78,94,16,141,0,0,140,63,937,47,47,62,140,78,16,78,78,62,1
93,94,94,109,297,16,203,15,63,125,16,94,157,62,94,78,94,78,94,125,31,1
172,78,219,94,78,32,78,16,78,109,0,16,110,93,109,63,78,109,15,0,15,1
62,15,63,94,125,16,203,47,125,47,16,110,157,62,94,78,94,78,78,141,31,1
94,125,125,109,110,109,203,78,390,125,47,94,156,78,109,63,110,93,78,78,47,1
500,156,141,109,78,47,62,15,63,46,109,141,79,62,78,110,94,172,79,78,31,1
93,79,94,110,93,109,203,47,78,141,31,1020,156,78,109,63,110,93,94,203,47,1
156,78,78,141,109,31,78,32,62,15,47,687,94,16,47,125,47,63,31,0,78,1
78,32,15,47,47,156,16,625,79,47,79,0,31,94,94,0,109,31,32,31,62,1
78,32,62,31,47,31,78,193,109,78,32,797,94,16,47,125,47,63,0,78,78,1
110,109,109,141,110,31,125,31,31,63,125,610,125,47,47,141,16,63,46,16,93,1
47,109,62,94,125,110,94,0,63,0,16,125,47,93,0,93,78,156,0,15,63,1
32,0,15,203,16,31,125,720,47,250,78,656,125,47,47,141,16,63,93,219,93,1
94,62,62,63,63,172,78,31,141,78,79,109,40,60,47,125,94,62,63,62,79,1
78,62,47,63,62,62,63,250,67,94,93,115,47,78,78,109,176,13,63,62,141,1
63,63,62,62,94,172,78,188,86,78,140,62,40,60,47,125,94,62,62,235,79,1
78,110,110,109,109,79,109,31,125,47,234,0,141,62,140,16,203,63,32,109,16,2
78,78,94,93,63,63,62,31,47,94,109,62,78,78,109,16,63,94,78,110,16,2
78,78,328,78,62,79,109,16,251,125,109,813,141,62,140,16,203,63,78,78,16,2
375,78,78,62,94,156,250,31,125,109,62,93,156,63,94,62,47,78,156,109,47,2
94,78,219,63,47,47,62,32,94,47,125,172,63,62,79,78,62,266,16,31,31,2
171,16,218,94,125,156,250,94,46,63,15,953,156,63,94,62,47,78,78,172,47,2
109,172,172,78,94,141,250,47,15,62,47,0,63,62,32,141,78,16,16,47,31,2
63,109,110,94,94,172,16,47,172,47,125,141,15,63,31,94,63,125,16,16,31,2
32,16,110,62,78,141,250,1000,31,94,203,735,63,62,32,141,78,16,110,93,31,2
62,109,109,62,78,31,109,31,140,62,32,0,16,188,218,47,47,62,16,16,46,2
47,94,63,63,32,16,47,15,78,31,47,79,62,63,94,15,156,16,16,15,47,2
63,16,110,78,79,31,109,31,32,125,78,703,16,188,218,47,47,62,47,94,46,2
172,94,94,78,94,31,140,31,141,93,16,94,125,63,62,94,94,109,125,94,78,2
219,94,125,94,94,62,78,16,62,31,109,94,78,78,94,109,78,78,16,46,63,2
140,16,219,94,78,31,140,16,78,109,16,937,125,63,62,94,94,109,78,78,78,2
57,113,113,69,90,63,80,442,101,89,36,78,47,78,69,111,78,109,81,78,69,2
192,79,68,98,65,31,78,411,94,89,24,172,58,68,78,94,62,141,79,85,63,2
74,79,39,79,104,63,80,185,31,11,73,74,47,78,69,111,78,109,78,94,69,2
