ft1,dtsk1,dtfk3,ft3,dtfk4,ft4,dtfk5,ft5,dtsk5,ft6,dtsk6,dtfk7,ft7,dtfk8,dtsk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,sum,gender
31,78,78,63,93,94,94,171,63,78,94,109,16,79,94,78,93,141,109,63,94,93,78,78,16,78,93,32,3280,1
172,94,109,110,109,250,78,110,78,156,110,125,140,62,47,94,172,94,78,110,79,94,94,63,422,78,93,94,4923,1
359,94,78,110,78,219,94,78,78,93,610,62,328,109,109,156,94,93,94,63,79,156,140,93,547,94,110,125,5672,1
313,93,63,15,109,250,93,250,94,63,156,94,187,109,156,78,188,94,78,110,79,94,94,93,203,63,93,94,4811,1
94,93,47,47,63,93,156,31,63,469,62,78,125,141,172,78,63,78,56,73,125,79,110,78,78,47,62,31,3755,1
16,47,63,62,47,16,0,594,656,166,16,62,125,78,62,15,109,62,78,63,63,47,62,31,47,63,63,31,3739,1
31,31,78,32,63,93,0,16,94,141,15,94,31,78,47,844,891,78,56,73,125,79,110,78,172,78,62,31,5098,1
16,110,109,78,47,391,438,31,46,62,94,78,31,110,79,78,32,94,31,78,109,109,78,15,78,31,78,0,4172,1
0,109,78,47,78,141,0,32,46,94,78,31,78,63,47,46,125,63,62,78,62,687,78,32,110,31,78,31,3593,1
109,32,94,31,47,391,0,31,94,47,46,110,31,0,687,765,844,94,31,78,109,109,78,94,62,63,78,0,5717,1
31,110,125,79,93,485,594,47,140,47,93,78,141,125,63,140,16,47,78,78,109,125,93,0,125,62,78,32,4935,1
16,94,78,125,109,47,125,31,141,79,109,32,110,78,109,109,0,62,94,62,125,172,94,94,15,63,94,47,3515,1
16,94,62,31,93,485,234,16,109,94,109,125,78,109,172,985,1078,47,78,78,109,125,93,93,125,94,78,32,6516,1
63,93,47,78,31,125,63,171,79,109,172,62,32,78,78,63,156,63,47,93,47,78,78,63,78,63,46,79,3344,1
15,93,78,47,79,46,47,31,94,63,125,78,15,78,109,109,63,62,78,63,63,125,47,63,125,31,62,63,3125,1
0,63,78,47,31,125,46,47,94,47,109,62,16,62,125,62,141,63,47,93,47,78,78,78,62,32,46,79,2983,1
547,156,172,292,79,128,225,40,110,78,78,63,47,15,94,94,93,47,62,109,93,47,62,32,93,16,94,47,4488,1
16,109,109,0,78,47,609,734,0,63,172,79,93,109,125,62,94,78,78,78,172,110,78,78,0,63,15,62,4343,1
78,78,78,297,79,128,0,47,141,32,62,94,31,47,110,812,78,47,62,109,93,47,62,47,78,47,94,47,4134,1
15,63,63,16,93,63,140,188,109,141,62,63,578,78,62,63,109,47,94,141,188,47,62,47,109,47,93,63,3999,1
78,125,94,78,79,62,125,207,109,62,156,94,78,94,62,94,63,47,78,63,62,93,78,47,438,62,94,31,3941,1
31,47,94,62,93,63,47,687,94,62,94,125,453,63,93,63,125,47,94,141,188,47,62,94,47,62,93,63,5077,1
47,94,78,52,40,271,380,47,125,15,62,47,16,94,62,62,78,47,62,63,0,47,78,32,94,31,62,16,3507,1
31,78,78,31,78,32,0,47,125,157,15,62,31,78,78,94,31,63,62,63,94,62,141,62,32,62,78,31,3018,1
0,62,62,16,40,271,125,140,94,0,94,62,0,76,62,813,891,47,62,63,0,47,78,79,31,156,62,16,5659,1
94,94,78,563,78,140,79,250,93,125,63,47,141,62,63,63,156,125,47,63,63,63,62,63,125,62,62,110,4205,1
47,78,63,109,63,94,94,125,125,62,172,78,78,78,62,125,47,62,78,63,62,110,78,78,63,46,63,47,3438,1
78,78,62,78,78,140,78,172,125,63,125,63,125,47,110,63,187,125,47,63,63,63,62,78,78,47,62,110,3585,1
31,125,78,31,109,31,172,31,156,46,125,94,16,109,63,172,47,0,93,453,63,32,79,31,94,78,78,32,3983,1
46,125,109,0,125,15,110,125,156,94,47,31,63,94,62,15,141,93,110,78,93,109,110,62,47,94,157,31,4546,1
0,62,93,32,109,31,172,93,157,78,15,94,78,94,109,719,875,0,93,453,63,32,79,109,0,110,78,32,5156,1
78,110,78,16,63,78,62,94,94,47,94,78,31,93,31,47,547,32,62,110,63,141,78,31,79,46,78,62,3438,1
0,78,47,31,78,61,78,94,188,62,141,63,62,47,78,31,110,78,78,63,62,141,15,31,31,94,78,47,3129,1
47,31,94,62,63,78,79,78,78,94,31,94,47,109,141,895,62,32,62,110,63,141,78,78,47,78,78,62,3866,1
16,94,78,63,93,188,78,31,94,62,156,110,31,109,125,78,110,78,63,62,78,93,110,125,125,125,78,32,3953,1
16,62,109,31,78,0,0,31,109,94,313,156,31,78,125,78,156,78,47,63,62,125,235,125,0,94,62,235,3921,1
31,125,78,47,93,188,0,0,94,62,78,156,16,78,125,203,62,78,63,62,78,93,110,125,31,109,78,32,3623,1
16,109,125,0,47,109,203,47,62,78,47,31,63,47,31,93,0,16,62,94,62,31,47,156,110,62,78,16,3231,1
78,16,31,109,344,94,1469,140,31,78,63,0,62,125,31,47,32,78,78,78,63,78,16,31,125,15,63,31,4361,1
79,31,31,78,47,109,141,15,125,0,47,125,719,78,78,859,110,16,62,94,62,31,47,94,0,62,78,16,4186,1
62,110,94,62,78,203,78,249,88,282,109,78,344,78,78,94,531,234,79,93,79,78,109,78,391,109,78,109,5854,1
63,93,109,94,62,157,62,204,78,63,172,78,172,109,78,157,78,281,63,93,78,213,110,78,516,78,94,125,5009,1
0,78,407,15,78,203,1109,63,250,93,157,94,203,78,213,63,250,234,79,93,79,78,109,93,235,78,78,109,5833,1
47,47,140,32,78,79,110,15,110,47,15,78,16,94,78,469,578,63,78,79,15,63,63,48,5,84,46,109,3717,1
63,31,93,32,15,94,141,0,94,188,31,16,78,46,93,47,140,31,78,63,62,31,31,16,94,0,16,109,2360,1
15,16,110,15,78,79,438,125,31,32,47,625,32,93,31,0,62,63,78,79,15,63,63,16,110,15,46,109,3677,1
16,125,109,32,187,109,157,156,94,203,125,110,94,218,111,125,110,94,109,63,63,47,171,110,93,161,141,15,4960,1
110,109,94,125,78,141,172,0,172,93,500,125,125,297,109,125,156,93,110,62,62,47,78,531,140,516,125,63,5704,1
110,531,93,63,187,109,94,156,110,78,125,141,140,110,47,750,125,94,109,63,63,47,171,93,110,109,141,15,5814,1
93,125,94,93,94,125,125,78,125,109,141,109,63,78,93,94,109,94,62,94,78,109,93,94,47,109,109,62,4233,1
78,125,94,78,94,47,109,32,171,94,140,110,140,109,94,94,125,47,93,78,110,187,453,94,31,125,109,94,4563,1
16,94,93,63,94,125,125,47,141,140,94,125,110,110,187,125,94,94,62,94,78,109,93,94,78,141,109,62,4142,1
63,109,63,62,78,125,94,219,98,94,109,78,109,94,78,78,94,93,63,78,46,94,63,63,94,78,110,62,3677,1
32,62,62,47,94,31,94,187,78,62,125,110,15,94,78,63,78,78,109,47,78,125,109,63,16,93,78,109,3404,1
78,63,63,15,78,125,110,234,78,109,63,93,0,94,125,93,125,93,63,78,46,94,63,63,31,94,110,62,3484,1
47,110,171,16,94,47,156,32,140,15,94,94,31,141,125,110,47,15,141,94,125,125,114,78,109,16,125,0,4112,1
16,109,110,47,125,0,110,78,187,109,47,62,109,94,78,0,140,62,110,93,94,110,110,62,140,16,78,0,3546,1
0,62,109,32,94,47,125,79,140,125,0,141,15,94,110,860,125,15,141,94,125,125,114,125,0,109,125,0,4802,1
15,78,78,31,78,16,141,62,125,79,78,78,63,140,63,109,32,47,47,63,63,109,16,0,110,15,110,62,3298,1
15,94,125,16,78,78,0,15,125,62,110,78,78,172,63,47,93,78,109,63,32,31,187,94,15,94,94,31,3000,1
31,94,78,31,78,16,187,0,94,0,47,140,63,78,31,937,94,47,47,63,63,109,16,78,141,78,110,62,4078,1
47,94,109,203,297,16,203,15,137,63,172,125,16,78,94,94,188,157,62,125,109,141,78,94,109,125,109,31,4810,1
16,78,94,31,93,32,156,16,137,78,94,109,0,94,125,16,141,110,93,79,141,375,109,15,78,0,78,15,3762,1
110,15,94,16,297,16,0,47,140,125,16,47,16,78,375,110,78,157,62,125,109,141,78,78,15,141,109,31,4143,1
78,125,109,141,110,109,203,78,109,390,500,125,47,110,78,94,343,156,78,125,78,109,93,78,94,78,94,47,5623,1
15,156,109,485,125,47,0,15,109,63,609,46,109,110,78,141,266,79,62,94,109,94,172,79,78,78,78,31,5015,1
375,79,110,78,110,109,0,47,125,78,141,141,31,78,94,1020,1114,156,78,125,78,109,93,94,484,203,94,47,6649,1
47,78,141,47,109,31,78,32,31,62,78,15,47,78,32,687,125,94,16,62,47,62,63,31,78,0,0,78,3281,1
156,32,47,63,31,156,531,625,31,79,172,47,79,31,63,0,78,31,94,62,62,47,31,32,78,31,31,62,3485,1
156,32,31,63,109,31,671,193,31,109,0,78,32,16,47,797,937,94,16,62,47,62,63,0,79,78,0,78,4676,1
15,109,141,15,110,31,125,31,125,31,47,63,125,203,93,610,109,125,47,93,31,31,63,46,109,16,15,93,4046,1
31,109,94,15,16,110,0,0,125,63,78,0,16,16,62,125,203,47,93,79,47,1000,156,0,94,15,0,63,4154,1
62,0,203,16,110,31,657,720,15,47,125,250,78,94,1000,656,781,125,47,93,31,31,63,93,63,219,15,93,6861,1
62,62,63,31,63,172,78,31,78,141,78,78,79,63,47,109,125,40,60,106,63,63,62,63,94,62,78,79,3348,1
47,62,63,297,79,62,78,250,47,67,91,94,93,78,47,115,76,47,78,31,63,101,13,63,78,62,62,141,3587,1
62,63,62,47,63,172,62,188,78,86,115,78,140,74,101,62,63,40,60,106,63,63,62,62,141,235,78,79,3553,1
78,110,109,297,109,79,109,31,78,125,78,47,234,110,62,0,16,141,62,109,62,109,63,32,78,109,63,16,3921,2
47,78,93,203,125,63,0,31,141,47,203,94,109,78,63,62,203,78,78,63,78,125,94,78,265,110,78,16,3845,2
16,78,78,172,109,79,0,16,94,251,62,125,109,63,125,813,156,141,62,109,62,109,63,78,219,78,63,16,4874,2
16,78,62,94,94,156,250,31,141,125,94,109,62,109,141,93,157,156,63,62,94,109,78,156,63,109,93,47,4562,2
31,78,63,62,47,47,0,32,141,94,16,47,125,78,110,172,219,63,62,63,62,94,266,16,78,31,110,31,3488,2
63,16,94,47,94,156,62,94,94,46,172,63,15,109,94,953,1047,156,63,62,94,109,78,78,110,172,93,47,5671,2
47,172,78,16,94,141,250,47,47,15,63,62,47,47,47,0,31,63,62,78,31,16,16,16,78,47,63,31,3049,2
15,109,94,31,78,172,0,47,47,172,47,47,125,94,49,141,31,15,63,78,31,968,125,16,78,16,63,31,3707,2
93,16,62,16,94,141,906,1000,47,31,141,94,203,91,968,735,797,63,62,78,31,16,16,110,15,93,63,31,8140,2
16,109,62,32,78,31,109,31,63,140,47,62,32,62,94,0,47,16,188,359,16,16,62,16,78,16,47,46,3000,2
359,94,63,15,62,16,0,15,94,78,47,31,47,62,78,79,93,62,63,94,62,94,16,16,78,15,63,47,2969,2
78,16,78,15,78,31,0,31,94,32,79,125,78,62,94,703,766,16,188,359,16,16,62,47,15,94,47,46,4467,2
437,94,78,94,94,31,140,31,62,141,219,93,16,94,78,94,125,125,63,109,62,78,109,125,78,94,78,78,4296,2
15,94,94,62,94,62,0,16,62,62,110,31,109,94,78,94,46,78,78,63,62,109,78,16,78,46,78,63,3310,2
110,16,94,47,94,31,109,16,78,78,94,109,16,62,109,937,63,125,63,109,62,78,109,78,94,78,78,78,4249,2
4369,113,69,166,90,63,80,442,110,101,192,89,36,79,80,78,297,47,78,78,41,63,109,81,37,78,33,69,8445,2
4,79,98,49,78,31,70,411,65,94,187,89,24,94,78,172,94,58,68,150,94,141,141,79,13,85,78,63,4213,2
6,79,79,21,90,63,73,185,103,31,172,11,73,47,141,74,258,47,78,78,41,63,109,78,15,94,33,69,3365,2
156,125,94,172,109,63,172,47,109,78,94,79,78,109,94,78,109,110,250,78,141,78,125,15,63,78,78,78,4252,2
