dtfk3,ft3,dtsk3,ft4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
78,31,79,32,0,47,62,31,32,78,94,63,62,63,312,63,94,62,32,62,31,79,1
62,16,94,271,125,140,62,0,32,62,813,47,62,63,125,32,15,79,31,156,16,78,1
78,563,78,140,79,250,47,141,62,63,63,125,47,63,63,93,125,63,125,62,110,78,1
63,109,62,94,94,125,78,78,63,62,125,62,78,63,78,110,62,78,63,46,47,78,1
62,78,47,140,78,172,63,125,83,110,63,125,47,63,63,93,125,78,78,47,110,78,1
78,31,109,31,172,31,94,16,93,63,172,0,93,453,140,47,46,31,94,78,32,78,1
109,0,110,15,110,125,31,63,31,62,15,93,110,78,829,31,78,62,47,94,31,109,1
93,32,78,31,172,93,94,78,94,109,719,0,93,453,140,47,46,109,0,110,32,78,1
78,16,63,78,62,94,78,31,94,31,47,32,62,110,78,94,0,31,79,46,62,63,1
47,31,62,61,78,94,63,62,31,78,31,78,78,63,62,110,94,31,31,94,47,78,1
94,62,47,78,79,78,94,47,78,141,895,32,62,110,78,94,0,78,47,78,62,63,1
78,63,93,188,78,31,110,31,78,125,78,78,63,62,78,110,125,125,125,125,32,125,1
109,31,94,0,0,31,156,31,125,125,78,78,47,63,62,94,94,125,0,94,235,125,1
78,47,109,188,0,0,156,16,94,125,203,78,63,62,78,110,125,125,31,109,32,125,1
125,0,47,109,203,47,31,63,31,31,93,16,62,94,157,31,31,156,110,62,16,62,1
31,109,31,94,1469,140,0,62,156,31,47,78,78,78,0,47,156,31,125,15,31,94,1
31,78,62,109,141,15,125,719,109,78,859,16,62,94,157,31,31,94,0,62,16,62,1
94,62,78,203,78,249,78,344,407,78,94,234,79,93,94,140,47,78,391,109,109,94,1
109,94,78,157,62,204,78,172,78,78,157,281,63,93,94,172,94,78,516,78,125,93,1
407,15,78,203,1109,63,94,203,78,213,63,234,79,93,94,140,47,93,235,78,109,94,1
140,32,78,79,110,15,78,16,110,78,469,63,78,79,63,47,31,48,5,84,109,78,1
93,32,31,94,141,0,16,78,48,93,47,31,78,63,16,78,109,16,94,0,109,16,1
110,15,16,79,438,125,625,32,79,31,0,63,78,79,63,47,31,16,110,15,109,78,1
109,32,187,109,157,156,110,94,93,111,125,94,109,63,94,203,157,110,93,161,15,94,1
94,125,109,141,172,0,125,125,110,109,125,93,110,62,16,141,172,531,140,516,63,93,1
93,63,125,109,94,156,141,140,78,47,750,94,109,63,94,203,157,93,110,109,15,94,1
94,93,94,125,125,78,109,63,93,93,94,94,62,94,125,94,110,94,47,109,62,79,1
94,78,94,47,109,32,110,140,94,94,94,47,93,78,156,47,94,94,31,125,94,94,1
93,63,109,125,125,47,125,110,78,187,125,94,62,94,125,94,110,94,78,141,62,79,1
63,62,78,125,94,219,78,109,63,78,78,93,63,78,78,110,46,63,94,78,62,94,1
62,47,78,31,94,187,110,15,63,78,63,78,109,47,94,93,63,63,16,93,109,63,1
63,15,94,125,110,234,93,0,63,125,93,93,63,78,78,110,46,63,31,94,62,94,1
171,16,94,47,156,32,94,31,109,125,110,15,141,94,250,31,16,78,109,16,0,109,1
110,47,172,0,110,78,62,109,78,78,0,62,110,93,125,93,93,62,140,16,0,125,1
109,32,78,47,125,79,141,15,94,110,860,15,141,94,250,31,16,125,0,109,0,109,1
78,31,78,16,141,62,78,63,78,63,109,47,47,63,62,140,78,0,110,15,62,156,1
125,16,78,78,0,15,78,78,0,63,47,78,109,63,78,93,109,94,15,94,31,78,1
78,31,94,16,187,0,140,63,62,31,937,47,47,63,62,140,78,78,141,78,62,156,1
109,203,297,16,203,15,125,16,94,94,94,157,62,125,94,78,94,94,109,125,31,110,1
94,31,78,32,156,16,109,0,94,125,16,110,93,79,109,63,78,15,78,0,15,78,1
94,16,125,16,0,47,47,16,172,375,110,157,62,125,94,78,94,78,15,141,31,110,1
109,141,110,109,203,78,125,47,110,78,94,156,78,125,109,63,110,78,94,78,47,78,1
109,485,78,47,0,15,46,109,78,78,141,79,62,94,78,110,94,79,78,78,31,94,1
110,78,93,109,0,47,141,31,110,94,1020,156,78,125,109,63,110,94,484,203,47,78,1
141,47,109,31,78,32,15,47,31,32,687,94,16,62,47,125,47,31,78,0,78,16,1
47,63,47,156,531,625,47,79,31,63,0,31,94,62,94,0,109,32,78,31,62,0,1
31,63,47,31,671,193,78,32,93,47,797,94,16,62,47,125,47,0,79,78,78,16,1
141,15,110,31,125,31,63,125,203,93,610,125,47,93,47,141,16,46,109,16,93,47,1
94,15,125,110,0,0,0,16,46,62,125,47,93,79,0,93,78,0,94,15,63,93,1
203,16,16,31,657,720,250,78,453,1000,656,125,47,93,47,141,16,93,63,219,93,47,1
63,31,63,172,78,31,78,79,62,47,109,40,60,106,47,125,94,63,94,62,79,62,1
63,297,62,62,78,250,94,93,63,47,115,47,78,31,78,109,176,63,78,62,141,62,1
62,47,94,172,62,188,78,140,63,101,62,40,60,106,47,125,94,62,141,235,79,62,1
109,297,109,79,109,31,47,234,78,62,0,141,62,109,140,16,203,32,78,109,16,62,2
93,203,63,63,0,31,94,109,32,63,62,78,78,63,109,16,63,78,265,110,16,78,2
78,172,62,79,0,16,125,109,109,125,813,141,62,109,140,16,203,78,219,78,16,62,2
62,94,94,156,250,31,109,62,94,141,93,156,63,62,94,62,47,156,63,109,47,110,2
63,62,47,47,0,32,47,125,156,110,172,63,62,63,79,78,62,16,78,31,31,78,2
94,47,125,156,62,94,63,15,62,94,953,156,63,62,94,62,47,78,110,172,47,110,2
