dtfk1,ft1,ft2,dtfk3,ft3,dtfk4,dtsk4,dtfk5,ft5,ft6,dtfk7,ft7,dtsk7,ft10,dtsk10,dtfk11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtsk13,dtsk14,sum,gender
94,141,157,47,47,78,328,328,62,93,47,78,125,78,344,140,63,125,78,62,125,125,94,6577,1
313,109,47,141,62,46,31,0,62,94,140,235,62,78,78,16,63,78,62,156,16,78,79,5172,1
78,78,47,125,78,78,328,0,63,63,109,141,62,78,344,140,63,125,78,79,31,109,94,4420,1
93,282,94,78,891,78,94,94,47,984,63,218,47,78,78,63,94,828,78,78,297,78,78,6749,1
63,297,141,78,250,62,62,93,63,63,78,250,78,94,62,78,78,62,344,94,484,79,62,4935,1
62,797,94,47,235,78,94,141,203,78,78,375,47,78,78,63,94,828,78,62,375,63,78,6250,1
93,32,63,94,78,62,250,250,63,94,125,46,0,78,63,125,63,32,93,47,78,78,63,4202,1
78,16,47,62,47,78,78,125,16,62,78,16,47,93,63,125,78,93,547,0,78,31,78,3891,1
31,172,93,0,16,62,250,844,938,46,109,32,78,78,63,125,63,32,93,78,63,187,63,7094,1
156,0,16,93,16,109,171,171,16,125,63,62,63,47,375,156,78,16,78,47,78,16,125,3624,1
62,16,141,63,47,94,47,110,31,78,94,109,47,78,78,78,125,109,0,62,16,62,94,3281,1
47,31,16,63,62,109,171,94,31,63,62,125,109,47,375,156,78,16,78,94,62,78,125,4501,1
125,15,78,78,63,93,78,78,203,94,141,0,78,109,63,94,94,16,78,78,78,78,62,3703,1
187,16,125,94,62,78,63,0,0,62,94,63,78,328,110,110,78,93,32,78,32,62,78,3610,1
78,31,109,78,63,93,78,94,171,78,109,16,62,109,63,94,94,16,78,78,16,78,62,3280,1
125,172,203,109,110,109,78,78,110,156,125,140,63,78,110,47,79,265,94,63,422,78,78,4923,1
110,359,62,78,110,78,93,94,78,93,62,328,63,94,63,78,79,94,140,93,547,94,93,5672,1
94,313,109,63,15,109,78,93,250,63,94,187,78,78,110,47,79,265,94,93,203,63,78,4811,1
