ft1,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft13,dtsk13,ft14,sum,gender
78,63,15,94,78,125,78,63,93,0,93,93,63,78,78,110,94,46,63,31,94,62,3484,1
47,171,16,94,94,47,140,94,94,31,110,15,141,94,250,31,125,16,78,109,16,0,4112,1
16,110,47,172,125,0,187,47,62,109,0,62,110,93,125,93,110,93,62,140,16,0,3546,1
0,109,32,78,94,47,140,0,141,15,860,15,141,94,250,31,125,16,125,0,109,0,4802,1
15,78,31,78,78,16,125,78,78,63,109,47,47,63,62,140,109,78,0,110,15,62,3298,1
15,125,16,78,78,78,125,110,78,78,47,78,109,63,78,93,31,109,94,15,94,31,3000,1
31,78,31,94,78,16,94,47,140,63,937,47,47,63,62,140,109,78,78,141,78,62,4078,1
47,109,203,297,297,16,137,172,125,16,94,157,62,125,94,78,141,94,94,109,125,31,4810,1
16,94,31,78,93,32,137,94,109,0,16,110,93,79,109,63,375,78,15,78,0,15,3762,1
110,94,16,125,297,16,140,16,47,16,110,157,62,125,94,78,141,94,78,15,141,31,4143,1
78,109,141,110,110,109,109,500,125,47,94,156,78,125,109,63,109,110,78,94,78,47,5623,1
15,109,485,78,125,47,109,609,46,109,141,79,62,94,78,110,94,94,79,78,78,31,5015,1
375,110,78,93,110,109,125,141,141,31,1020,156,78,125,109,63,109,110,94,484,203,47,6649,1
47,141,47,109,109,31,31,78,15,47,687,94,16,62,47,125,62,47,31,78,0,78,3281,1
156,47,63,47,31,156,31,172,47,79,0,31,94,62,94,0,47,109,32,78,31,62,3485,1
156,31,63,47,109,31,31,0,78,32,797,94,16,62,47,125,62,47,0,79,78,78,4676,1
15,141,15,110,110,31,125,47,63,125,610,125,47,93,47,141,31,16,46,109,16,93,4046,1
31,94,15,125,16,110,125,78,0,16,125,47,93,79,0,93,1000,78,0,94,15,63,4154,1
62,203,16,16,110,31,15,125,250,78,656,125,47,93,47,141,31,16,93,63,219,93,6861,1
62,63,31,63,63,172,78,78,78,79,109,40,60,106,47,125,63,94,63,94,62,79,3348,1
47,63,297,62,79,62,47,91,94,93,115,47,78,31,78,109,101,176,63,78,62,141,3587,1
62,62,47,94,63,172,78,115,78,140,62,40,60,106,47,125,63,94,62,141,235,79,3553,1
78,109,297,109,109,79,78,78,47,234,0,141,62,109,140,16,109,203,32,78,109,16,3921,2
47,93,203,63,125,63,141,203,94,109,62,78,78,63,109,16,125,63,78,265,110,16,3845,2
16,78,172,62,109,79,94,62,125,109,813,141,62,109,140,16,109,203,78,219,78,16,4874,2
16,62,94,94,94,156,141,94,109,62,93,156,63,62,94,62,109,47,156,63,109,47,4562,2
31,63,62,47,47,47,141,16,47,125,172,63,62,63,79,78,94,62,16,78,31,31,3488,2
63,94,47,125,94,156,94,172,63,15,953,156,63,62,94,62,109,47,78,110,172,47,5671,2
47,78,16,94,94,141,47,63,62,47,0,63,62,78,32,141,16,78,16,78,47,31,3049,2
15,94,31,94,78,172,47,47,47,125,141,15,63,78,31,94,968,63,16,78,16,31,3707,2
93,62,16,78,94,141,47,141,94,203,735,63,62,78,32,141,16,78,110,15,93,31,8140,2
16,62,32,78,78,31,63,47,62,32,0,16,188,359,218,47,16,47,16,78,16,46,3000,2
359,63,15,32,62,16,94,47,31,47,79,62,63,94,94,15,94,156,16,78,15,47,2969,2
78,78,15,79,78,31,94,79,125,78,703,16,188,359,218,47,16,47,47,15,94,46,4467,2
437,78,94,94,94,31,62,219,93,16,94,125,63,109,62,94,78,94,125,78,94,78,4296,2
15,94,62,94,94,62,62,110,31,109,94,78,78,63,94,109,109,78,16,78,46,63,3310,2
110,94,47,78,94,31,78,94,109,16,937,125,63,109,62,94,78,94,78,94,78,78,4249,2
4369,69,166,90,90,63,110,192,89,36,78,47,78,78,69,111,63,78,81,37,78,69,8445,2
4,98,49,65,78,31,65,187,89,24,172,58,68,150,78,94,141,62,79,13,85,63,4213,2
6,79,21,104,90,63,103,172,11,73,74,47,78,78,69,111,63,78,78,15,94,69,3365,2
156,94,172,109,109,63,109,94,79,78,78,110,250,78,156,63,78,47,15,63,78,78,4252,2
15,78,62,63,156,16,109,62,109,94,141,78,78,63,110,47,109,94,410,94,62,172,3846,2
78,78,109,78,109,63,109,141,93,172,828,110,250,78,156,63,78,47,125,266,109,78,5502,2
32,63,0,93,93,32,78,125,63,31,562,16,94,78,94,78,63,15,20,88,78,16,3638,2
32,94,16,93,62,16,78,78,47,117,94,47,47,63,94,31,109,172,32,32,421,46,3279,2
78,78,16,93,93,32,63,94,63,15,719,16,94,78,94,78,63,15,125,15,125,16,3657,2
141,63,94,78,78,219,47,62,63,109,78,547,63,1015,79,125,63,203,62,188,46,47,4983,2
78,47,125,46,62,63,78,125,79,125,125,31,828,62,93,110,188,62,47,172,63,62,5531,2
109,47,125,62,78,219,109,125,94,219,79,547,63,1015,79,125,63,203,63,125,78,47,5221,2
125,78,109,125,125,63,125,94,94,0,109,63,78,109,78,93,94,47,47,78,63,31,3750,2
16,78,63,78,94,31,187,46,16,62,63,78,78,78,109,110,94,94,78,78,94,31,3373,2
0,94,15,94,125,63,110,63,94,31,843,63,78,109,78,93,94,47,94,31,141,31,5093,2
47,110,93,94,94,31,140,94,78,16,172,31,62,79,125,62,110,15,31,78,16,16,3298,2
16,62,47,47,78,32,124,125,62,94,62,63,78,93,79,93,78,78,62,32,93,32,3122,2
31,46,110,62,94,31,125,62,78,16,609,31,62,79,125,62,110,15,62,32,78,16,3749,2
31,79,46,79,79,15,90,94,109,0,94,47,63,78,94,94,78,0,16,78,0,16,2996,2
0,62,579,78,78,32,93,31,31,140,31,63,78,78,78,94,94,78,78,15,79,16,3220,2
16,62,32,78,79,15,125,31,62,31,781,47,63,78,94,94,78,0,94,15,110,16,3423,2
343,46,188,47,47,62,79,63,62,16,62,94,62,156,63,109,110,234,47,78,110,31,3952,2
0,47,94,47,93,47,141,141,110,62,156,32,125,47,62,125,140,63,16,78,47,47,3300,2
47,62,94,47,47,62,110,156,62,16,922,94,62,156,63,109,110,234,62,47,63,31,4171,2
31,109,47,94,94,62,100,125,94,46,94,78,47,62,141,62,110,109,16,93,32,47,3582,2
