@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,7,8,10,15,20,21,23,25,26,27,29,32,33,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
125,31,110,46,125,93,485,594,594,47,94,47,93,78,125,63,47,78,47,125,16,93,125,62,32,1
93,16,94,31,125,94,47,78,125,31,78,79,109,32,78,109,62,62,125,172,78,94,15,63,47,1
156,16,94,47,63,94,485,594,234,16,94,94,109,125,109,172,47,78,47,125,16,93,125,94,32,1
62,63,93,110,47,31,125,63,63,171,63,109,172,62,78,78,63,93,78,78,172,78,78,63,79,1
172,15,93,94,47,63,46,47,47,31,93,63,125,78,78,109,62,63,78,125,62,47,125,31,63,1
62,0,63,78,63,62,125,63,46,47,94,47,109,62,62,125,63,93,78,78,172,78,62,32,79,1
93,547,156,16,172,79,128,225,225,40,63,78,78,63,15,94,47,109,78,47,15,62,93,16,47,1
78,16,109,47,109,63,47,62,609,734,109,63,172,79,109,125,78,78,79,110,94,78,0,63,62,1
78,78,78,63,47,78,128,225,0,47,93,32,62,94,47,110,47,109,78,47,15,62,78,47,47,1
63,15,63,93,63,93,63,140,140,188,31,141,62,63,78,62,47,141,78,47,78,62,109,47,63,1
62,78,125,93,63,31,62,78,125,207,141,62,156,94,94,62,47,63,78,93,110,78,438,62,31,1
62,31,47,109,63,78,63,140,47,687,78,62,94,125,63,93,47,141,78,47,78,62,47,62,63,1
78,47,94,78,78,40,271,380,380,47,79,15,62,47,94,62,47,63,125,47,15,78,94,31,16,1
62,31,78,110,0,79,32,78,0,47,63,157,15,62,78,78,63,63,312,62,94,141,32,62,31,1
63,0,62,125,78,94,271,380,125,140,63,0,94,62,76,62,47,63,125,47,15,78,31,156,16,1
78,94,94,109,78,78,140,79,79,250,62,125,63,47,62,63,125,63,63,63,125,62,125,62,110,1
63,47,78,109,63,62,94,62,94,125,63,62,172,78,78,62,62,63,78,110,62,78,63,46,47,1
63,78,78,125,47,47,140,79,78,172,62,63,125,63,47,110,125,63,63,63,125,62,78,47,110,1
126,31,125,94,78,109,31,172,172,31,110,46,125,94,109,63,0,453,140,32,46,79,94,78,32,1
125,46,125,172,16,110,15,78,110,125,453,94,47,31,94,62,93,78,829,109,78,110,47,94,31,1
141,0,62,109,110,78,31,172,172,93,31,78,15,94,94,109,0,453,140,32,46,79,0,110,32,1
62,78,110,62,78,63,78,62,62,94,62,47,94,78,93,31,32,110,78,141,0,78,79,46,62,1
94,0,78,156,16,62,61,52,78,94,110,62,141,63,47,78,78,63,62,141,94,15,31,94,47,1
94,47,31,110,94,47,78,62,79,78,16,94,31,94,109,141,32,110,78,141,0,78,47,78,62,1
125,16,94,109,78,93,188,78,78,31,94,62,156,110,109,125,78,62,78,93,125,110,125,125,32,1
156,16,62,63,78,94,0,78,0,31,62,94,313,156,78,125,78,63,62,125,94,235,0,94,235,1
109,31,125,110,78,109,188,78,0,0,0,62,78,156,78,125,78,62,78,93,125,110,31,109,32,1
125,16,109,15,125,47,109,203,203,47,31,78,47,31,47,31,16,94,157,31,31,47,110,62,16,1
47,78,16,62,63,31,94,0,1469,140,94,78,63,0,125,31,78,78,0,78,156,16,125,15,31,1
16,79,31,47,62,62,109,203,141,15,125,0,47,125,78,78,16,94,157,31,31,47,0,62,16,1
141,62,110,250,94,78,203,78,78,249,78,282,109,78,78,78,234,93,94,78,47,109,391,109,109,1
109,63,93,93,94,78,157,78,62,204,93,63,172,78,109,78,281,93,94,213,94,110,516,78,125,1
110,0,78,110,78,78,203,78,1109,63,32,93,157,94,78,213,234,93,94,78,47,109,235,78,109,1
156,47,47,62,140,78,79,110,110,15,31,47,15,78,94,78,63,79,63,63,31,63,5,84,109,1
15,63,31,79,46,31,94,31,141,0,79,188,31,16,46,93,31,63,16,31,109,31,94,0,109,1
63,15,16,328,32,16,79,110,438,125,93,32,47,625,93,31,63,79,63,63,31,63,110,15,109,1
156,16,125,109,109,187,109,157,157,156,109,203,125,110,218,111,94,63,94,47,157,171,93,161,15,1
125,110,109,16,94,109,141,47,172,0,63,93,500,125,297,109,93,62,16,47,172,78,140,516,63,1
250,110,531,16,125,125,109,157,94,156,94,78,125,141,110,47,94,63,94,47,157,171,110,109,15,1
125,93,125,94,94,94,125,125,125,78,94,109,141,109,78,93,94,94,125,109,110,93,47,109,62,1
141,78,125,125,94,94,47,109,109,32,94,94,140,110,109,94,47,78,156,187,94,453,31,125,94,1
109,16,94,31,78,109,125,125,125,47,47,140,94,125,110,187,94,94,125,109,110,93,78,141,62,1
78,63,109,78,63,78,125,94,94,219,78,94,109,78,94,78,93,78,78,94,46,63,94,78,62,1
109,32,62,109,47,78,31,78,94,187,78,62,125,110,94,78,78,47,94,125,63,109,16,93,109,1
78,78,63,110,62,94,125,94,110,234,15,109,63,93,94,125,93,78,78,94,46,63,31,94,62,1
93,47,110,93,171,94,47,156,156,32,172,15,94,94,141,125,15,94,250,125,16,114,109,16,0,1
94,16,109,140,63,172,0,63,110,78,94,109,47,62,94,78,62,93,125,110,93,110,140,16,0,1
250,0,62,63,125,78,47,156,125,79,16,125,0,141,94,110,15,94,250,125,16,114,0,109,0,1
125,15,78,94,78,78,16,141,141,62,78,79,78,78,140,63,47,63,62,109,78,16,110,15,62,1
78,15,94,109,16,78,78,63,0,15,63,62,110,78,172,63,78,63,78,31,109,187,15,94,31,1
78,31,94,93,110,94,16,141,187,0,94,0,47,140,78,31,47,63,62,109,78,16,141,78,62,1
93,47,94,141,109,297,16,203,203,15,78,63,172,125,78,94,157,125,94,141,94,78,109,125,31,1
172,16,78,0,125,78,32,78,156,16,125,78,94,109,94,125,110,79,109,375,78,109,78,0,15,1
62,110,15,219,62,125,16,203,0,47,32,125,16,47,78,375,157,125,94,141,94,78,15,141,31,1
94,78,125,94,109,110,109,203,203,78,78,390,500,125,110,78,156,125,109,109,110,93,94,78,47,1
500,15,156,16,93,78,47,62,0,15,125,63,609,46,110,78,79,94,78,94,94,172,78,78,31,1
93,375,79,109,63,93,109,203,0,47,78,78,141,141,78,94,156,125,109,109,110,93,484,203,47,1
156,47,78,63,141,109,31,78,78,32,47,62,78,15,78,32,94,62,47,62,47,63,78,0,78,1
78,156,32,125,47,47,156,16,531,625,62,79,172,47,31,63,31,62,94,47,109,31,78,31,62,1
78,156,32,47,62,47,31,78,671,193,15,109,0,78,16,47,94,62,47,62,47,63,79,78,78,1
110,15,109,63,141,110,31,125,125,31,125,31,47,63,203,93,125,93,47,31,16,63,109,16,93,1
47,31,109,547,125,125,110,94,0,0,93,63,78,0,16,62,47,79,0,1000,78,156,94,15,63,1
32,62,0,63,47,16,31,125,657,720,63,47,125,250,94,1000,125,93,47,31,16,63,63,219,93,1
94,62,62,125,63,63,172,78,78,31,62,141,78,78,63,47,40,106,47,63,94,62,94,62,79,1
78,47,62,125,46,62,62,63,78,250,106,67,91,94,78,47,47,31,78,101,176,13,78,62,141,1
