@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,8,16,17,22,24,25,26,27,29,31,32,33,37,38,39,40,41,43'

@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,47,47,63,63,93,156,156,31,63,62,78,125,78,47,78,73,79,15,110,63,1
16,47,63,63,47,16,47,0,594,656,16,62,125,78,78,62,63,47,110,62,78,1
31,63,78,62,63,93,156,0,16,94,15,94,31,63,703,78,73,79,15,110,63,1
16,109,109,47,47,391,438,438,31,46,94,78,31,94,140,94,78,109,16,78,94,1
0,110,78,94,78,141,78,0,32,46,78,31,78,15,109,63,78,687,94,78,94,1
109,93,94,78,47,391,438,0,31,94,46,110,31,94,94,94,78,109,16,78,94,1
31,125,125,93,93,485,594,594,47,140,93,78,141,62,109,47,78,125,16,93,93,1
16,125,78,94,109,47,78,125,31,141,109,32,110,0,110,62,62,172,78,94,93,1
16,63,62,94,93,485,594,234,16,109,109,125,78,94,94,47,78,125,16,93,93,1
63,47,47,31,31,125,63,63,171,79,172,62,32,78,78,63,93,78,172,78,78,1
15,47,78,63,79,46,47,47,31,94,125,78,15,63,63,62,63,125,62,47,78,1
0,63,78,62,31,125,63,46,47,94,109,62,16,62,79,63,93,78,172,78,78,1
547,172,172,79,79,128,225,225,40,110,78,63,47,78,140,47,109,47,15,62,94,1
16,109,109,63,78,47,62,609,734,0,172,79,93,32,47,78,78,110,94,78,47,1
78,47,78,78,79,128,225,0,47,141,62,94,31,172,109,47,109,47,15,62,94,1
