@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,7,8,10,12,17,21,22,24,25,26,27,29,31,32,33,36,38,41,43'

@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
110,188,62,78,141,906,1000,47,78,141,94,203,875,63,78,16,78,110,93,63,78,2
109,16,62,78,31,109,31,63,32,47,62,32,110,16,359,16,47,16,16,47,63,2
63,15,47,32,16,0,15,94,359,47,31,47,94,62,94,94,156,16,15,63,47,2
110,203,16,79,31,0,31,94,59,79,125,78,78,16,359,16,47,47,94,47,63,2
94,94,78,94,31,140,31,62,94,219,93,16,110,125,109,78,94,125,94,78,62,2
125,16,78,94,62,0,16,62,109,110,31,109,203,78,63,109,78,16,46,78,78,2
219,31,63,78,31,109,16,78,63,94,109,16,79,125,109,78,94,78,78,78,62,2
113,168,69,90,63,80,442,110,65,192,89,36,96,47,78,63,78,81,78,33,61,2
68,80,72,65,31,70,411,65,78,187,89,24,94,58,150,141,62,79,85,78,78,2
39,136,79,104,63,73,185,103,109,172,11,73,94,47,78,63,78,78,94,33,61,2
125,31,94,109,63,172,47,109,63,94,79,78,156,110,78,78,47,15,78,78,125,2
78,125,78,63,16,0,31,109,78,62,109,94,109,78,63,109,94,410,62,109,125,2
110,15,94,78,63,0,15,109,47,141,93,172,125,110,78,78,47,125,109,78,125,2
125,47,63,93,32,187,0,78,93,125,63,31,94,16,78,63,15,20,78,109,93,2
47,125,32,93,16,110,31,78,78,78,47,117,47,47,63,109,172,32,421,63,125,2
125,32,78,93,32,109,47,63,16,94,63,15,47,16,78,63,15,125,125,109,93,2
78,109,63,78,219,62,31,47,46,62,63,109,109,547,1015,63,203,62,46,47,78,2
62,125,47,46,63,63,94,78,1015,125,79,125,109,31,62,188,62,47,63,63,63,2
47,125,78,62,219,47,78,109,79,125,94,219,94,547,1015,63,203,63,78,47,78,2
109,79,78,125,63,109,47,125,78,94,94,0,78,63,109,94,47,47,63,79,78,2
156,15,78,78,31,78,78,187,109,46,16,62,78,78,78,94,94,78,94,78,94,2
94,78,94,94,63,93,78,110,78,63,94,31,93,63,109,94,47,94,141,79,78,2
125,47,110,94,31,79,31,140,47,94,78,16,78,31,79,110,15,31,16,94,78,2
125,62,125,47,32,98,59,124,79,125,62,94,62,63,93,78,78,62,93,93,62,2
31,156,344,62,31,94,31,125,62,62,78,16,78,31,79,110,15,62,78,94,78,2
78,125,79,79,15,140,47,90,78,94,109,0,93,47,78,78,0,16,0,94,78,2
16,62,94,78,32,0,16,93,78,31,31,140,63,63,78,94,78,78,79,62,94,2
78,94,63,78,15,0,63,125,0,31,62,31,78,47,78,78,0,94,110,94,78,2
63,219,46,47,62,78,125,79,47,63,62,16,156,94,156,110,234,47,110,62,47,2
125,47,47,47,47,125,62,141,156,141,110,62,125,32,47,140,63,16,47,47,62,2
63,203,16,47,62,79,46,110,78,156,62,16,63,94,156,110,234,62,63,62,47,2
141,31,109,94,62,172,15,100,78,125,94,46,109,78,62,110,109,16,32,94,62,2
172,16,78,78,32,94,46,110,62,62,16,141,109,47,46,110,78,16,47,78,79,2
250,31,94,94,62,78,94,125,141,78,79,15,94,78,62,110,109,79,94,94,62,2
78,94,62,62,63,78,62,79,62,78,63,78,94,109,94,63,78,47,78,63,62,2
47,109,63,62,78,63,125,62,94,15,78,125,125,62,63,79,93,78,62,78,63,2
47,109,63,78,63,47,125,63,0,94,62,78,843,109,94,63,78,63,125,63,62,2
63,47,31,78,47,125,47,47,110,47,93,16,16,15,78,16,110,16,94,78,31,2
31,78,78,110,93,484,500,47,78,0,609,47,63,31,78,78,109,0,16,16,16,2
32,78,47,110,47,0,47,62,78,110,31,78,0,15,78,16,110,16,78,78,31,2
109,703,78,62,157,78,172,62,63,94,79,78,109,141,79,78,63,94,94,62,79,2
78,110,62,63,0,109,157,78,79,93,125,141,93,94,78,141,78,78,78,78,94,2
93,125,63,78,157,47,156,94,62,15,140,63,78,141,79,78,63,94,94,62,79,2
62,141,63,63,94,78,187,63,63,94,63,62,109,156,109,78,188,78,78,47,63,2
78,125,62,63,63,63,62,78,109,172,62,94,125,63,78,156,62,63,62,63,47,2
78,125,47,63,94,63,140,47,63,110,63,47,78,156,109,78,188,47,94,47,63,2
157,62,125,156,0,78,78,180,78,94,63,16,47,78,62,46,93,31,47,78,63,2
110,47,94,78,78,141,47,187,62,219,62,47,63,94,63,1390,63,16,94,93,63,2
16,94,0,94,0,0,15,172,94,110,125,94,1312,78,62,46,93,63,156,78,63,2
109,78,94,78,62,109,31,125,63,78,94,141,125,63,94,15,93,31,63,78,93,2
0,109,16,63,78,110,31,125,94,109,78,78,15,94,46,0,125,78,94,63,78,2
97,46,94,156,62,0,0,94,0,120,78,47,109,63,94,15,93,78,78,78,93,2
